,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,A,56.21,57.1,56.15,57.1,1916160.0,,,,,56.92,56.39,,,0.71,
1,2014-01-03,A,56.92,57.34,56.26,56.39,1866651.0,,,,,56.64,57.4,56.21,0.71,-0.28,-0.99
2,2014-01-06,A,56.64,57.7,56.56,57.4,1777472.0,,,,,57.45,56.95,56.92,-0.28,0.81,1.09
3,2014-01-07,A,57.45,57.63,56.93,56.95,1463208.0,,,,,58.39,57.33,56.64,0.81,0.94,0.13
4,2014-01-08,A,58.39,58.54,57.17,57.33,2659468.0,,,,,58.41,58.4,57.45,0.94,0.02,-0.92
5,2014-01-09,A,58.41,58.68,57.87,58.4,1757647.0,,,,,58.93,58.51,58.39,0.02,0.52,0.5
6,2014-01-10,A,58.93,59.01,58.14,58.51,1623330.0,,,,,58.93,58.77,58.41,0.52,0.0,-0.52
7,2014-01-13,A,58.93,59.1,58.6,58.77,2946738.0,,,,,59.88,59.16,58.93,0.0,0.95,0.95
8,2014-01-14,A,59.88,59.95,59.02,59.16,2562236.0,,,,,60.34,59.82,58.93,0.95,0.46,-0.49
9,2014-01-15,A,60.34,60.36,59.58,59.82,2335194.0,,,,,60.5,60.24,59.88,0.46,0.16,-0.3
10,2014-01-16,A,60.5,60.5,60.04,60.24,1835957.0,,,,,60.71,60.83,60.34,0.16,0.21,0.05
11,2014-01-17,A,60.71,60.83,60.33,60.83,1699534.0,,,,,60.85,60.69,60.5,0.21,0.14,-0.07
12,2014-01-21,A,60.85,60.88,59.86,60.69,3008458.0,,,,,60.93,60.82,60.71,0.14,0.08,-0.06
13,2014-01-22,A,60.93,61.22,60.71,60.82,2769350.0,,,,,59.47,60.48,60.85,0.08,-1.46,-1.54
14,2014-01-23,A,59.47,60.51,59.4,60.48,3063559.0,,,,,57.87,59.22,60.93,-1.46,-1.6,-0.14
15,2014-01-24,A,57.87,59.46,57.71,59.22,2656341.0,,,,,58.3,57.9,59.47,-1.6,0.43,2.03
16,2014-01-27,A,58.3,58.37,56.98,57.9,4669012.0,,,,,58.1,58.5,57.87,0.43,-0.2,-0.63
17,2014-01-28,A,58.1,58.88,57.91,58.5,2536290.0,,,,,57.65,57.67,58.3,-0.2,-0.45,-0.25
18,2014-01-29,A,57.65,58.22,57.41,57.67,2163031.0,,,,,59.51,58.42,58.1,-0.45,1.86,2.31
19,2014-01-30,A,59.51,60.11,58.42,58.42,3743153.0,,,,,58.15,58.61,57.65,1.86,-1.36,-3.22
20,2014-01-31,A,58.15,59.15,58.05,58.61,3529054.0,,,,,56.15,58.15,59.51,-1.36,-2.0,-0.64
21,2014-02-03,A,56.15,58.48,56.08,58.15,2929252.0,,,,,57.81,56.32,58.15,-2.0,1.66,3.66
22,2014-02-04,A,57.81,57.88,56.09,56.32,2911877.0,,,,,57.43,57.58,56.15,1.66,-0.38,-2.04
23,2014-02-05,A,57.43,57.7,56.96,57.58,2283870.0,,,,,58.29,57.51,57.81,-0.38,0.86,1.24
24,2014-02-06,A,58.29,58.35,57.46,57.51,1609451.0,,,,,59.42,58.46,57.43,0.86,1.13,0.27
25,2014-02-07,A,59.42,59.46,58.13,58.46,1975290.0,,,,,59.01,59.27,58.29,1.13,-0.41,-1.54
26,2014-02-10,A,59.01,59.44,58.29,59.27,1760468.0,,,,,59.73,59.0,59.42,-0.41,0.72,1.13
27,2014-02-11,A,59.73,60.0,58.88,59.0,2148202.0,,,,,59.89,60.0,59.01,0.72,0.16,-0.56
28,2014-02-12,A,59.89,60.46,59.67,60.0,2347270.0,,,,,60.08,59.45,59.73,0.16,0.19,0.03
29,2014-02-13,A,60.08,60.38,59.37,59.45,3097011.0,0.6908,0.043,0.8475,0.1095,55.25,57.15,59.89,0.19,-4.83,-5.02
30,2014-02-14,A,55.25,57.77,54.87,57.15,17862776.0,,,,,55.15,55.38,60.08,-4.83,-0.1,4.73
31,2014-02-18,A,55.15,56.04,54.96,55.38,6553839.0,,,,,55.94,55.01,55.25,-0.1,0.79,0.89
32,2014-02-19,A,55.94,56.65,54.9,55.01,4838795.0,,,,,57.29,56.14,55.15,0.79,1.35,0.56
33,2014-02-20,A,57.29,57.54,56.04,56.14,4629755.0,,,,,56.34,57.25,55.94,1.35,-0.95,-2.3
34,2014-02-21,A,56.34,57.4,56.32,57.25,2407171.0,,,,,56.75,56.45,57.29,-0.95,0.41,1.36
35,2014-02-24,A,56.75,56.98,56.4,56.45,2392783.0,,,,,56.89,56.8,56.34,0.41,0.14,-0.27
36,2014-02-25,A,56.89,57.57,56.75,56.8,3375173.0,,,,,57.1,56.98,56.75,0.14,0.21,0.07
37,2014-02-26,A,57.1,57.62,56.75,56.98,2400946.0,,,,,56.36,57.02,56.89,0.21,-0.74,-0.95
38,2014-02-27,A,56.36,57.28,56.19,57.02,3123781.0,,,,,56.93,56.45,57.1,-0.74,0.57,1.31
39,2014-02-28,A,56.93,57.11,56.4,56.45,2876261.0,,,,,56.71,56.12,56.36,0.57,-0.22,-0.79
40,2014-03-03,A,56.71,57.12,55.78,56.12,2488373.0,,,,,57.78,57.22,56.93,-0.22,1.07,1.29
41,2014-03-04,A,57.78,58.0,56.98,57.22,2841919.0,,,,,57.8,57.71,56.71,1.07,0.02,-1.05
42,2014-03-05,A,57.8,58.0,57.56,57.71,3113546.0,,,,,58.77,58.39,57.78,0.02,0.97,0.95
43,2014-03-06,A,58.77,59.32,58.14,58.39,5178833.0,,,,,58.42,59.06,57.8,0.97,-0.35,-1.32
44,2014-03-07,A,58.42,59.2,57.52,59.06,3247154.0,,,,,58.15,58.29,58.77,-0.35,-0.27,0.08
45,2014-03-10,A,58.15,58.34,57.6,58.29,2563418.0,,,,,56.86,58.23,58.42,-0.27,-1.29,-1.02
46,2014-03-11,A,56.86,58.3,56.5,58.23,3421731.0,,,,,57.06,56.52,58.15,-1.29,0.2,1.49
47,2014-03-12,A,57.06,57.08,56.01,56.52,1652324.0,,,,,55.85,57.16,56.86,0.2,-1.21,-1.41
48,2014-03-13,A,55.85,57.4,55.77,57.16,2318832.0,,,,,55.44,55.61,57.06,-1.21,-0.41,0.8
49,2014-03-14,A,55.44,55.98,55.23,55.61,1745218.0,,,,,55.8,55.68,55.85,-0.41,0.36,0.77
50,2014-03-17,A,55.8,56.41,55.48,55.68,1437471.0,,,,,56.79,55.97,55.44,0.36,0.99,0.63
51,2014-03-18,A,56.79,56.81,55.84,55.97,1294681.0,,,,,56.63,56.72,55.8,0.99,-0.16,-1.15
52,2014-03-19,A,56.63,57.15,56.18,56.72,1804350.0,,,,,56.7,56.54,56.79,-0.16,0.07,0.23
53,2014-03-20,A,56.7,56.93,56.16,56.54,1808447.0,,,,,56.09,57.18,56.63,0.07,-0.61,-0.68
54,2014-03-21,A,56.09,57.78,55.96,57.18,2762931.0,,,,,55.26,56.08,56.7,-0.61,-0.83,-0.22
55,2014-03-24,A,55.26,56.23,54.66,56.08,1985703.0,,,,,55.16,55.5,56.09,-0.83,-0.1,0.73
56,2014-03-25,A,55.16,56.21,54.98,55.5,1727269.0,,,,,55.17,55.4,55.26,-0.1,0.01,0.11
57,2014-03-26,A,55.17,55.99,55.16,55.4,2560731.0,,,,,54.69,55.6,55.16,0.01,-0.48,-0.49
58,2014-03-27,A,54.69,55.6,54.22,55.6,2972614.0,,,,,54.69,54.85,55.17,-0.48,0.0,0.48
59,2014-03-28,A,54.69,55.25,54.42,54.85,2006941.0,,,,,55.92,54.97,54.69,0.0,1.23,1.23
60,2014-03-31,A,55.92,56.05,54.57,54.97,2190772.0,,,,,56.36,56.2,54.69,1.23,0.44,-0.79
61,2014-04-01,A,56.36,56.62,55.84,56.2,2090720.0,,,,,56.67,56.42,55.92,0.44,0.31,-0.13
62,2014-04-02,A,56.67,56.7,56.2,56.42,1919493.0,,,,,56.6,56.77,56.36,0.31,-0.07,-0.38
63,2014-04-03,A,56.6,57.14,56.27,56.77,1603010.0,,,,,55.57,57.1,56.67,-0.07,-1.03,-0.96
64,2014-04-04,A,55.57,57.24,55.55,57.1,2307668.0,,,,,54.35,55.56,56.6,-1.03,-1.22,-0.19
65,2014-04-07,A,54.35,55.66,53.94,55.56,2584538.0,,,,,54.66,54.21,55.57,-1.22,0.31,1.53
66,2014-04-08,A,54.66,55.0,53.82,54.21,1842491.0,,,,,55.57,55.44,54.35,0.31,0.91,0.6
67,2014-04-09,A,55.57,55.61,54.38,55.44,2017519.0,,,,,54.05,55.57,54.66,0.91,-1.52,-2.43
68,2014-04-10,A,54.05,55.64,53.9,55.57,1966409.0,,,,,52.77,53.69,55.57,-1.52,-1.28,0.24
69,2014-04-11,A,52.77,54.05,52.65,53.69,2591968.0,,,,,52.65,53.19,54.05,-1.28,-0.12,1.16
70,2014-04-14,A,52.65,53.25,52.31,53.19,2840577.0,,,,,53.11,52.84,52.77,-0.12,0.46,0.58
71,2014-04-15,A,53.11,53.36,51.96,52.84,2172515.0,,,,,53.68,53.55,52.65,0.46,0.57,0.11
72,2014-04-16,A,53.68,53.77,53.25,53.55,1243513.0,,,,,54.65,53.74,53.11,0.57,0.97,0.4
73,2014-04-17,A,54.65,54.89,53.61,53.74,2061997.0,,,,,54.69,54.61,53.68,0.97,0.04,-0.93
74,2014-04-21,A,54.69,54.8,54.33,54.61,1185867.0,,,,,54.97,54.7,54.65,0.04,0.28,0.24
75,2014-04-22,A,54.97,55.6,54.53,54.7,1475541.0,,,,,55.01,54.85,54.69,0.28,0.04,-0.24
76,2014-04-23,A,55.01,55.2,54.57,54.85,894232.0,,,,,55.28,55.23,54.97,0.04,0.27,0.23
77,2014-04-24,A,55.28,55.52,54.56,55.23,1806441.0,,,,,54.39,55.25,55.01,0.27,-0.89,-1.16
78,2014-04-25,A,54.39,55.25,54.07,55.25,1580495.0,,,,,53.73,54.85,55.28,-0.89,-0.66,0.23
79,2014-04-28,A,53.73,54.93,52.86,54.85,3009046.0,,,,,53.3,53.29,54.39,-0.66,-0.43,0.23
80,2014-04-29,A,53.3,53.55,51.97,53.29,3359741.0,,,,,54.04,53.43,53.73,-0.43,0.74,1.17
