,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ABT,38.23,38.4,38.0,38.09,4967472.0,,,,,38.64,38.37,,,0.41,
1,2014-01-03,ABT,38.64,38.78,38.27,38.37,4301604.0,,,,,39.15,39.19,38.23,0.41,0.51,0.1
2,2014-01-06,ABT,39.15,39.69,39.11,39.19,10130748.0,,,,,38.85,39.23,38.64,0.51,-0.3,-0.81
3,2014-01-07,ABT,38.85,39.34,38.74,39.23,8329434.0,,,,,39.2,38.85,39.15,-0.3,0.35,0.65
4,2014-01-08,ABT,39.2,39.22,38.72,38.85,6140715.0,,,,,39.27,39.27,38.85,0.35,0.07,-0.28
5,2014-01-09,ABT,39.27,39.34,38.97,39.27,4996794.0,,,,,39.57,39.27,39.2,0.07,0.3,0.23
6,2014-01-10,ABT,39.57,39.63,39.11,39.27,6360581.0,,,,,39.11,39.11,39.27,0.3,-0.46,-0.76
7,2014-01-13,ABT,39.11,39.67,39.06,39.11,12136003.0,,,,,39.57,39.3,39.57,-0.46,0.46,0.92
8,2014-01-14,ABT,39.57,39.58,39.07,39.3,6570306.0,,,,,39.53,39.6,39.11,0.46,-0.04,-0.5
9,2014-01-15,ABT,39.53,39.62,39.25,39.6,5338689.0,,,,,39.54,39.53,39.57,-0.04,0.01,0.05
10,2014-01-16,ABT,39.54,39.69,39.41,39.53,3716078.0,,,,,39.4,39.86,39.53,0.01,-0.14,-0.15
11,2014-01-17,ABT,39.4,39.86,39.2,39.86,7216431.0,,,,,39.12,39.52,39.54,-0.14,-0.28,-0.14
12,2014-01-21,ABT,39.12,39.57,38.86,39.52,8230083.0,0.431133333333,0.071,0.839666666667,0.0896666666667,38.07,38.02,39.4,-0.28,-1.05,-0.77
13,2014-01-22,ABT,38.07,38.87,36.94,38.02,12970242.0,,,,,37.43,37.9,39.12,-1.05,-0.64,0.41
14,2014-01-23,ABT,37.43,37.93,37.22,37.9,10207305.0,,,,,36.58,37.2,38.07,-0.64,-0.85,-0.21
15,2014-01-24,ABT,36.58,37.2,36.57,37.2,9204891.0,,,,,36.3,36.68,37.43,-0.85,-0.28,0.57
16,2014-01-27,ABT,36.3,36.83,36.13,36.68,9128881.0,,,,,36.37,36.54,36.58,-0.28,0.07,0.35
17,2014-01-28,ABT,36.37,36.87,36.28,36.54,7608263.0,,,,,35.85,36.26,36.3,0.07,-0.52,-0.59
18,2014-01-29,ABT,35.85,36.5,35.65,36.26,10405325.0,,,,,36.53,36.24,36.37,-0.52,0.68,1.2
19,2014-01-30,ABT,36.53,36.62,36.14,36.24,9579843.0,,,,,36.66,36.03,35.85,0.68,0.13,-0.55
20,2014-01-31,ABT,36.66,36.89,35.97,36.03,10845470.0,,,,,35.85,36.58,36.53,0.13,-0.81,-0.94
21,2014-02-03,ABT,35.85,36.95,35.8,36.58,12232080.0,,,,,36.25,35.9,36.66,-0.81,0.4,1.21
22,2014-02-04,ABT,36.25,36.44,35.85,35.9,8237356.0,,,,,36.35,36.12,35.85,0.4,0.1,-0.3
23,2014-02-05,ABT,36.35,36.6,35.98,36.12,7597341.0,,,,,36.65,36.41,36.25,0.1,0.3,0.2
24,2014-02-06,ABT,36.65,36.93,36.38,36.41,9982322.0,,,,,37.18,36.77,36.35,0.3,0.53,0.23
25,2014-02-07,ABT,37.18,37.21,36.65,36.77,12044916.0,,,,,37.16,37.17,36.65,0.53,-0.02,-0.55
26,2014-02-10,ABT,37.16,37.32,36.96,37.17,11207267.0,,,,,37.95,37.04,37.18,-0.02,0.79,0.81
27,2014-02-11,ABT,37.95,38.0,37.04,37.04,8645614.0,,,,,38.26,37.93,37.16,0.79,0.31,-0.48
28,2014-02-12,ABT,38.26,38.38,37.89,37.93,8793500.0,,,,,38.72,38.07,37.95,0.31,0.46,0.15
29,2014-02-13,ABT,38.72,38.8,38.06,38.07,7253281.0,,,,,38.81,38.68,38.26,0.46,0.09,-0.37
30,2014-02-14,ABT,38.81,38.98,38.55,38.68,7269587.0,,,,,38.93,38.96,38.72,0.09,0.12,0.03
31,2014-02-18,ABT,38.93,39.19,38.8,38.96,6794100.0,,,,,38.76,38.74,38.81,0.12,-0.17,-0.29
32,2014-02-19,ABT,38.76,39.37,38.68,38.74,7093216.0,,,,,38.95,38.82,38.93,-0.17,0.19,0.36
33,2014-02-20,ABT,38.95,39.09,38.53,38.82,8611905.0,,,,,38.82,38.88,38.76,0.19,-0.13,-0.32
34,2014-02-21,ABT,38.82,39.45,38.79,38.88,8335130.0,,,,,38.98,38.86,38.95,-0.13,0.16,0.29
35,2014-02-24,ABT,38.98,39.35,38.82,38.86,8104555.0,,,,,39.25,38.99,38.82,0.16,0.27,0.11
36,2014-02-25,ABT,39.25,39.52,38.91,38.99,7952172.0,,,,,39.39,39.29,38.98,0.27,0.14,-0.13
37,2014-02-26,ABT,39.39,39.66,39.03,39.29,8752550.0,,,,,39.79,39.35,39.25,0.14,0.4,0.26
38,2014-02-27,ABT,39.79,39.83,39.33,39.35,9189574.0,,,,,39.78,39.62,39.39,0.4,-0.01,-0.41
39,2014-02-28,ABT,39.78,39.98,39.42,39.62,8695830.0,,,,,39.33,39.5,39.79,-0.01,-0.45,-0.44
40,2014-03-03,ABT,39.33,39.64,38.83,39.5,11006319.0,,,,,40.12,39.74,39.78,-0.45,0.79,1.24
41,2014-03-04,ABT,40.12,40.32,39.67,39.74,9460192.0,,,,,39.79,40.49,39.33,0.79,-0.33,-1.12
42,2014-03-05,ABT,39.79,40.49,39.76,40.49,8285234.0,,,,,39.73,39.92,40.12,-0.33,-0.06,0.27
43,2014-03-06,ABT,39.73,40.23,39.73,39.92,6442012.0,,,,,39.57,39.84,39.79,-0.06,-0.16,-0.1
44,2014-03-07,ABT,39.57,39.95,39.32,39.84,8630729.0,,,,,39.82,39.5,39.73,-0.16,0.25,0.41
45,2014-03-10,ABT,39.82,39.89,39.41,39.5,5576312.0,,,,,39.71,39.85,39.57,0.25,-0.11,-0.36
46,2014-03-11,ABT,39.71,40.16,39.65,39.85,5117602.0,,,,,39.66,39.44,39.82,-0.11,-0.05,0.06
47,2014-03-12,ABT,39.66,39.89,39.44,39.44,6933032.0,-0.4225,0.084,0.831,0.085,39.23,39.74,39.71,-0.05,-0.43,-0.38
48,2014-03-13,ABT,39.23,39.82,39.1,39.74,6964453.0,,,,,38.97,39.19,39.66,-0.43,-0.26,0.17
49,2014-03-14,ABT,38.97,39.52,38.91,39.19,7736046.0,,,,,39.51,39.05,39.23,-0.26,0.54,0.8
50,2014-03-17,ABT,39.51,39.58,39.04,39.05,5768991.0,,,,,39.73,39.5,38.97,0.54,0.22,-0.32
51,2014-03-18,ABT,39.73,39.88,39.48,39.5,5534330.0,,,,,39.45,39.73,39.51,0.22,-0.28,-0.5
52,2014-03-19,ABT,39.45,40.22,39.32,39.73,8679052.0,,,,,38.87,39.46,39.73,-0.28,-0.58,-0.3
53,2014-03-20,ABT,38.87,39.64,38.78,39.46,11396612.0,,,,,38.39,39.21,39.45,-0.58,-0.48,0.1
54,2014-03-21,ABT,38.39,39.6,38.36,39.21,21663062.0,,,,,38.43,38.66,38.87,-0.48,0.04,0.52
55,2014-03-24,ABT,38.43,38.66,38.13,38.66,11078044.0,,,,,38.4,38.49,38.39,0.04,-0.03,-0.07
56,2014-03-25,ABT,38.4,38.7,38.08,38.49,8209588.0,,,,,38.56,38.55,38.43,-0.03,0.16,0.19
57,2014-03-26,ABT,38.56,39.14,38.39,38.55,8174785.0,,,,,38.45,38.55,38.4,0.16,-0.11,-0.27
58,2014-03-27,ABT,38.45,38.69,38.13,38.55,7404067.0,,,,,38.31,38.58,38.56,-0.11,-0.14,-0.03
