,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ACN,81.13,81.92,81.09,81.5,2405384.0,,,,,81.4,81.21,,,0.27,
1,2014-01-03,ACN,81.4,81.82,81.09,81.21,1812566.0,,,,,80.54,81.31,81.13,0.27,-0.86,-1.13
2,2014-01-06,ACN,80.54,81.5,80.44,81.31,2312283.0,,,,,81.52,80.84,81.4,-0.86,0.98,1.84
3,2014-01-07,ACN,81.52,81.94,80.66,80.84,3368387.0,,,,,82.15,81.29,80.54,0.98,0.63,-0.35
4,2014-01-08,ACN,82.15,82.2,81.25,81.29,4217448.0,,,,,82.95,82.02,81.52,0.63,0.8,0.17
5,2014-01-09,ACN,82.95,83.05,82.0,82.02,4054242.0,,,,,83.2,82.75,82.15,0.8,0.25,-0.55
6,2014-01-10,ACN,83.2,83.22,82.39,82.75,4369463.0,0.9454,0.077,0.831,0.092,81.06,82.71,82.95,0.25,-2.14,-2.39
7,2014-01-13,ACN,81.06,82.74,80.8,82.71,3941523.0,,,,,81.95,80.78,83.2,-2.14,0.89,3.03
8,2014-01-14,ACN,81.95,82.25,80.71,80.78,3288647.0,,,,,84.22,82.09,81.06,0.89,2.27,1.38
9,2014-01-15,ACN,84.22,84.31,81.61,82.09,4284908.0,,,,,84.12,83.54,81.95,2.27,-0.1,-2.37
10,2014-01-16,ACN,84.12,84.26,83.14,83.54,4183539.0,,,,,84.43,83.64,84.22,-0.1,0.31,0.41
11,2014-01-17,ACN,84.43,84.9,83.63,83.64,3762200.0,,,,,84.93,84.22,84.12,0.31,0.5,0.19
12,2014-01-21,ACN,84.93,85.04,83.86,84.22,3031250.0,,,,,85.4,84.46,84.43,0.5,0.47,-0.03
13,2014-01-22,ACN,85.4,85.88,84.46,84.46,3564057.0,,,,,83.92,84.81,84.93,0.47,-1.48,-1.95
14,2014-01-23,ACN,83.92,85.07,83.5,84.81,4147473.0,,,,,81.18,83.29,85.4,-1.48,-2.74,-1.26
15,2014-01-24,ACN,81.18,83.3,81.17,83.29,3384290.0,,,,,81.15,81.34,83.92,-2.74,-0.03,2.71
16,2014-01-27,ACN,81.15,81.9,80.18,81.34,2640267.0,,,,,81.3,81.73,81.18,-0.03,0.15,0.18
17,2014-01-28,ACN,81.3,81.91,80.93,81.73,2995664.0,,,,,80.32,81.27,81.15,0.15,-0.98,-1.13
18,2014-01-29,ACN,80.32,81.77,80.13,81.27,2703516.0,,,,,80.72,81.05,81.3,-0.98,0.4,1.38
19,2014-01-30,ACN,80.72,81.34,80.19,81.05,2244657.0,,,,,79.88,80.0,80.32,0.4,-0.84,-1.24
20,2014-01-31,ACN,79.88,80.38,78.82,80.0,3696808.0,,,,,78.09,80.02,80.72,-0.84,-1.79,-0.95
21,2014-02-03,ACN,78.09,80.68,77.66,80.02,3745076.0,,,,,78.08,78.39,79.88,-1.79,-0.01,1.78
22,2014-02-04,ACN,78.08,78.51,77.9,78.39,2608155.0,,,,,77.57,77.87,78.09,-0.01,-0.51,-0.5
23,2014-02-05,ACN,77.57,78.53,77.42,77.87,3163163.0,,,,,78.52,77.87,78.08,-0.51,0.95,1.46
24,2014-02-06,ACN,78.52,78.74,77.79,77.87,2224827.0,,,,,80.58,78.81,77.57,0.95,2.06,1.11
25,2014-02-07,ACN,80.58,80.73,78.67,78.81,3472470.0,,,,,79.97,80.19,78.52,2.06,-0.61,-2.67
26,2014-02-10,ACN,79.97,80.58,79.78,80.19,2399941.0,,,,,80.55,80.53,80.58,-0.61,0.58,1.19
27,2014-02-11,ACN,80.55,80.89,80.15,80.53,2257890.0,,,,,81.21,80.84,79.97,0.58,0.66,0.08
28,2014-02-12,ACN,81.21,81.84,80.84,80.84,2489254.0,,,,,81.74,80.86,80.55,0.66,0.53,-0.13
29,2014-02-13,ACN,81.74,81.98,80.63,80.86,1895048.0,,,,,82.11,81.73,81.21,0.53,0.37,-0.16
30,2014-02-14,ACN,82.11,82.43,81.38,81.73,2025305.0,,,,,82.59,82.1,81.74,0.37,0.48,0.11
31,2014-02-18,ACN,82.59,82.75,81.78,82.1,2013898.0,0.9817,0.09,0.789,0.121,83.26,82.42,82.11,0.48,0.67,0.19
32,2014-02-19,ACN,83.26,83.74,82.24,82.42,3801559.0,0.9896,0.0595,0.796,0.1445,83.38,83.16,82.59,0.67,0.12,-0.55
33,2014-02-20,ACN,83.38,83.59,82.94,83.16,2465314.0,0.9984,0.037,0.7785,0.1845,83.8,83.6,83.26,0.12,0.42,0.3
34,2014-02-21,ACN,83.8,84.19,83.53,83.6,2366605.0,0.9946,0.029,0.82,0.151,83.95,83.71,83.38,0.42,0.15,-0.27
35,2014-02-24,ACN,83.95,84.75,83.61,83.71,1843118.0,0.978766666667,0.0663333333333,0.800666666667,0.133,83.41,84.0,83.8,0.15,-0.54,-0.69
36,2014-02-25,ACN,83.41,84.0,82.97,84.0,2189669.0,0.9987,0.048,0.771,0.181,83.4,83.76,83.95,-0.54,-0.00999999999999,0.53
37,2014-02-26,ACN,83.4,83.8,83.11,83.76,1987581.0,,,,,83.36,82.4,83.41,-0.00999999999999,-0.04,-0.03
38,2014-02-27,ACN,83.36,83.69,81.94,82.4,2108035.0,,,,,83.35,83.31,83.4,-0.04,-0.01,0.03
39,2014-02-28,ACN,83.35,83.81,82.73,83.31,2419995.0,,,,,82.5,82.56,83.36,-0.01,-0.85,-0.84
40,2014-03-03,ACN,82.5,82.74,81.78,82.56,1970579.0,,,,,83.98,83.42,83.35,-0.85,1.48,2.33
41,2014-03-04,ACN,83.98,84.63,83.36,83.42,2218002.0,,,,,84.11,83.94,82.5,1.48,0.13,-1.35
42,2014-03-05,ACN,84.11,84.21,83.48,83.94,1793921.0,,,,,83.8,84.24,83.98,0.13,-0.31,-0.44
43,2014-03-06,ACN,83.8,84.36,83.59,84.24,1976399.0,0.9762,0.057,0.748,0.195,83.93,84.32,84.11,-0.31,0.13,0.44
44,2014-03-07,ACN,83.93,84.69,83.6,84.32,1951817.0,,,,,84.04,83.82,83.8,0.13,0.11,-0.02
45,2014-03-10,ACN,84.04,84.27,83.44,83.82,1520844.0,,,,,83.55,84.32,83.93,0.11,-0.49,-0.6
46,2014-03-11,ACN,83.55,84.6,83.38,84.32,1687344.0,,,,,82.75,83.16,84.04,-0.49,-0.8,-0.31
47,2014-03-12,ACN,82.75,83.31,82.59,83.16,2643286.0,,,,,82.09,83.01,83.55,-0.8,-0.66,0.14
48,2014-03-13,ACN,82.09,83.02,81.87,83.01,2702255.0,,,,,81.38,81.98,82.75,-0.66,-0.71,-0.05
49,2014-03-14,ACN,81.38,82.47,81.32,81.98,2048809.0,,,,,83.39,81.97,82.09,-0.71,2.01,2.72
50,2014-03-17,ACN,83.39,83.43,81.73,81.97,2286576.0,0.9969,0.032,0.781,0.187,83.79,83.69,81.38,2.01,0.4,-1.61
51,2014-03-18,ACN,83.79,84.12,83.33,83.69,2181101.0,,,,,82.63,83.57,83.39,0.4,-1.16,-1.56
52,2014-03-19,ACN,82.63,83.82,81.9,83.57,1984530.0,,,,,83.06,82.5,83.79,-1.16,0.43,1.59
53,2014-03-20,ACN,83.06,83.1,81.81,82.5,1657264.0,,,,,82.83,83.44,82.63,0.43,-0.23,-0.66
54,2014-03-21,ACN,82.83,83.69,82.63,83.44,4799094.0,,,,,82.0,83.32,83.06,-0.23,-0.83,-0.6
55,2014-03-24,ACN,82.0,83.82,81.61,83.32,2998472.0,,,,,83.52,82.61,82.83,-0.83,1.52,2.35
56,2014-03-25,ACN,83.52,83.75,82.59,82.61,2875945.0,,,,,82.97,84.0,82.0,1.52,-0.55,-2.07
57,2014-03-26,ACN,82.97,84.12,82.97,84.0,3973202.0,,,,,78.8,80.11,83.52,-0.55,-4.17,-3.62
58,2014-03-27,ACN,78.8,80.29,76.25,80.11,14821341.0,0.70685,0.0405,0.866,0.093,78.81,79.55,82.97,-4.17,0.01,4.18
59,2014-03-28,ACN,78.81,79.96,78.47,79.55,7108670.0,,,,,79.72,79.18,78.8,0.01,0.91,0.9
60,2014-03-31,ACN,79.72,79.86,78.25,79.18,4318128.0,,,,,79.54,79.6,78.81,0.91,-0.18,-1.09
61,2014-04-01,ACN,79.54,79.67,78.97,79.6,3877434.0,,,,,79.99,79.29,79.72,-0.18,0.45,0.63
62,2014-04-02,ACN,79.99,80.15,79.06,79.29,3091801.0,,,,,79.35,79.79,79.54,0.45,-0.64,-1.09
63,2014-04-03,ACN,79.35,80.0,78.05,79.79,3588598.0,,,,,78.14,79.59,79.99,-0.64,-1.21,-0.57
64,2014-04-04,ACN,78.14,79.69,78.06,79.59,4121337.0,,,,,78.88,77.6,79.35,-1.21,0.74,1.95
65,2014-04-07,ACN,78.88,78.99,77.49,77.6,4568356.0,,,,,78.29,78.47,78.14,0.74,-0.59,-1.33
66,2014-04-08,ACN,78.29,79.05,78.18,78.47,3772570.0,,,,,78.48,77.66,78.88,-0.59,0.19,0.78
67,2014-04-09,ACN,78.48,78.55,77.28,77.66,3470745.0,,,,,76.83,78.57,78.29,0.19,-1.65,-1.84
