,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ADBE,59.29,59.53,58.94,59.06,2746370.0,,,,,59.16,59.19,,,-0.13,
1,2014-01-03,ADBE,59.16,59.68,59.11,59.19,1588951.0,,,,,58.12,58.06,59.29,-0.13,-1.04,-0.91
2,2014-01-06,ADBE,58.12,58.77,58.01,58.06,3753914.0,,,,,58.97,58.26,59.16,-1.04,0.85,1.89
3,2014-01-07,ADBE,58.97,59.05,58.06,58.26,2963608.0,0.8689,0.0,0.942,0.058,58.9,59.12,58.12,0.85,-0.07,-0.92
4,2014-01-08,ADBE,58.9,59.28,58.46,59.12,3455956.0,,,,,59.09,58.99,58.97,-0.07,0.19,0.26
5,2014-01-09,ADBE,59.09,59.53,58.72,58.99,2427430.0,,,,,59.53,59.35,58.9,0.19,0.44,0.25
6,2014-01-10,ADBE,59.53,59.63,58.95,59.35,1829065.0,,,,,58.6,59.28,59.09,0.44,-0.93,-1.37
7,2014-01-13,ADBE,58.6,59.44,58.41,59.28,2928748.0,,,,,60.37,58.68,59.53,-0.93,1.77,2.7
8,2014-01-14,ADBE,60.37,60.53,58.63,58.68,4180051.0,,,,,61.68,60.44,58.6,1.77,1.31,-0.46
9,2014-01-15,ADBE,61.68,61.81,60.4,60.44,4220336.0,-0.836,0.082,0.871,0.048,61.63,61.59,60.37,1.31,-0.05,-1.36
10,2014-01-16,ADBE,61.63,61.98,61.26,61.59,3747779.0,,,,,61.37,61.02,61.68,-0.05,-0.26,-0.21
11,2014-01-17,ADBE,61.37,61.6,60.8,61.02,3314520.0,,,,,60.85,61.5,61.63,-0.26,-0.52,-0.26
12,2014-01-21,ADBE,60.85,61.79,60.7,61.5,3198693.0,,,,,61.77,60.93,61.37,-0.52,0.92,1.44
13,2014-01-22,ADBE,61.77,61.81,60.7,60.93,3593983.0,,,,,60.88,61.18,60.85,0.92,-0.89,-1.81
14,2014-01-23,ADBE,60.88,61.43,60.32,61.18,2671273.0,,,,,59.09,60.3,61.77,-0.89,-1.79,-0.9
15,2014-01-24,ADBE,59.09,60.44,59.09,60.3,2920077.0,,,,,58.36,58.11,60.88,-1.79,-0.73,1.06
16,2014-01-27,ADBE,58.36,58.88,57.86,58.11,5257958.0,,,,,59.11,57.98,59.09,-0.73,0.75,1.48
17,2014-01-28,ADBE,59.11,59.46,57.88,57.98,3529455.0,,,,,58.46,58.61,58.36,0.75,-0.65,-1.4
18,2014-01-29,ADBE,58.46,59.18,58.17,58.61,3585389.0,,,,,59.39,59.12,59.11,-0.65,0.93,1.58
19,2014-01-30,ADBE,59.39,59.9,59.02,59.12,2768347.0,,,,,59.19,58.15,58.46,0.93,-0.2,-1.13
20,2014-01-31,ADBE,59.19,59.54,58.09,58.15,3112871.0,,,,,58.09,59.08,59.39,-0.2,-1.1,-0.9
21,2014-02-03,ADBE,58.09,59.26,57.32,59.08,6649084.0,,,,,59.72,58.48,59.19,-1.1,1.63,2.73
22,2014-02-04,ADBE,59.72,59.74,57.65,58.48,3593173.0,,,,,61.0,59.54,58.09,1.63,1.28,-0.35
23,2014-02-05,ADBE,61.0,61.02,59.27,59.54,5122619.0,,,,,61.34,60.7,59.72,1.28,0.34,-0.94
24,2014-02-06,ADBE,61.34,61.65,60.65,60.7,2898235.0,,,,,62.88,61.58,61.0,0.34,1.54,1.2
25,2014-02-07,ADBE,62.88,63.24,61.3,61.58,4823760.0,,,,,63.78,62.73,61.34,1.54,0.9,-0.64
26,2014-02-10,ADBE,63.78,63.8,62.52,62.73,2833408.0,,,,,63.97,64.48,62.88,0.9,0.19,-0.71
27,2014-02-11,ADBE,63.97,64.88,63.66,64.48,4648164.0,,,,,65.14,64.21,63.78,0.19,1.17,0.98
28,2014-02-12,ADBE,65.14,65.15,64.09,64.21,3137832.0,,,,,67.04,64.84,63.97,1.17,1.9,0.73
29,2014-02-13,ADBE,67.04,67.11,64.83,64.84,3606875.0,,,,,68.34,67.48,65.14,1.9,1.3,-0.6
