,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,AEE,35.53,36.11,35.47,36.05,1394264.0,,,,,35.4,35.63,,,-0.13,
1,2014-01-03,AEE,35.4,35.69,35.22,35.63,1206534.0,,,,,35.76,35.7,35.53,-0.13,0.36,0.49
2,2014-01-06,AEE,35.76,35.82,35.42,35.7,2837469.0,,,,,36.22,35.81,35.4,0.36,0.46,0.1
3,2014-01-07,AEE,36.22,36.25,35.81,35.81,1653721.0,,,,,35.94,36.14,35.76,0.46,-0.28,-0.74
4,2014-01-08,AEE,35.94,36.19,35.8,36.14,1618538.0,,,,,36.04,36.02,36.22,-0.28,0.1,0.38
5,2014-01-09,AEE,36.04,36.09,35.86,36.02,1226322.0,,,,,36.52,36.17,35.94,0.1,0.48,0.38
6,2014-01-10,AEE,36.52,36.66,35.98,36.17,2106624.0,,,,,36.23,36.44,36.04,0.48,-0.29,-0.77
7,2014-01-13,AEE,36.23,36.57,36.04,36.44,1363681.0,,,,,36.31,36.25,36.52,-0.29,0.08,0.37
8,2014-01-14,AEE,36.31,36.49,36.16,36.25,1419986.0,,,,,35.95,36.31,36.23,0.08,-0.36,-0.44
9,2014-01-15,AEE,35.95,36.4,35.93,36.31,1351804.0,,,,,36.17,35.95,36.31,-0.36,0.22,0.58
10,2014-01-16,AEE,36.17,36.19,35.89,35.95,1056992.0,,,,,36.15,36.2,35.95,0.22,-0.02,-0.24
11,2014-01-17,AEE,36.15,36.25,36.08,36.2,826211.0,,,,,36.64,36.32,36.17,-0.02,0.49,0.51
12,2014-01-21,AEE,36.64,36.66,36.24,36.32,913957.0,,,,,36.63,36.68,36.15,0.49,-0.01,-0.5
13,2014-01-22,AEE,36.63,36.84,36.46,36.68,1688209.0,,,,,36.47,36.47,36.64,-0.01,-0.16,-0.15
14,2014-01-23,AEE,36.47,36.59,36.23,36.47,1414416.0,,,,,35.91,36.35,36.63,-0.16,-0.56,-0.4
15,2014-01-24,AEE,35.91,36.54,35.91,36.35,1787601.0,,,,,36.25,35.99,36.47,-0.56,0.34,0.9
16,2014-01-27,AEE,36.25,36.42,35.88,35.99,2037044.0,,,,,36.53,36.28,35.91,0.34,0.28,-0.06
17,2014-01-28,AEE,36.53,36.55,36.2,36.28,1117442.0,,,,,36.62,36.43,36.25,0.28,0.09,-0.19
18,2014-01-29,AEE,36.62,36.74,36.33,36.43,1613063.0,,,,,37.26,36.71,36.53,0.09,0.64,0.55
19,2014-01-30,AEE,37.26,37.29,36.64,36.71,1209620.0,,,,,37.84,37.07,36.62,0.64,0.58,-0.06
20,2014-01-31,AEE,37.84,37.94,36.85,37.07,2720080.0,,,,,37.66,37.85,37.26,0.58,-0.18,-0.76
21,2014-02-03,AEE,37.66,38.34,37.59,37.85,3280628.0,,,,,37.22,37.8,37.84,-0.18,-0.44,-0.26
22,2014-02-04,AEE,37.22,37.8,37.1,37.8,3733393.0,,,,,36.93,37.18,37.66,-0.44,-0.29,0.15
23,2014-02-05,AEE,36.93,37.21,36.74,37.18,2168154.0,,,,,37.17,36.93,37.22,-0.29,0.24,0.53
24,2014-02-06,AEE,37.17,37.21,36.78,36.93,1439292.0,,,,,37.44,37.29,36.93,0.24,0.27,0.03
25,2014-02-07,AEE,37.44,37.47,37.17,37.29,1227945.0,,,,,37.67,37.34,37.17,0.27,0.23,-0.04
26,2014-02-10,AEE,37.67,37.67,37.0,37.34,1242770.0,,,,,38.14,37.6,37.44,0.23,0.47,0.24
27,2014-02-11,AEE,38.14,38.19,37.56,37.6,1262525.0,,,,,38.04,38.1,37.67,0.47,-0.1,-0.57
28,2014-02-12,AEE,38.04,38.25,37.97,38.1,814512.0,,,,,38.39,37.93,38.14,-0.1,0.35,0.45
29,2014-02-13,AEE,38.39,38.4,37.85,37.93,1348998.0,,,,,38.63,38.34,38.04,0.35,0.24,-0.11
30,2014-02-14,AEE,38.63,38.64,38.25,38.34,824872.0,,,,,38.89,38.74,38.39,0.24,0.26,0.02
31,2014-02-18,AEE,38.89,39.03,38.66,38.74,1224367.0,,,,,38.27,38.78,38.63,0.26,-0.62,-0.88
32,2014-02-19,AEE,38.27,39.0,38.16,38.78,2191959.0,,,,,38.81,38.42,38.89,-0.62,0.54,1.16
33,2014-02-20,AEE,38.81,38.9,38.26,38.42,2455370.0,,,,,40.88,41.0,38.27,0.54,2.07,1.53
34,2014-02-21,AEE,40.88,42.24,39.92,41.0,5257661.0,,,,,40.9,40.98,38.81,2.07,0.02,-2.05
35,2014-02-24,AEE,40.9,41.56,40.86,40.98,3494293.0,,,,,40.49,40.44,40.88,0.02,-0.41,-0.43
36,2014-02-25,AEE,40.49,40.88,40.38,40.44,2362482.0,,,,,40.44,40.59,40.9,-0.41,-0.05,0.36
37,2014-02-26,AEE,40.44,40.67,40.28,40.59,1246254.0,,,,,40.15,40.41,40.49,-0.05,-0.29,-0.24
38,2014-02-27,AEE,40.15,40.7,40.03,40.41,1298536.0,,,,,40.41,40.23,40.44,-0.29,0.26,0.55
39,2014-02-28,AEE,40.41,40.62,40.16,40.23,1146781.0,,,,,40.36,40.33,40.15,0.26,-0.05,-0.31
40,2014-03-03,AEE,40.36,40.6,40.12,40.33,1695607.0,,,,,40.9,40.7,40.41,-0.05,0.54,0.59
41,2014-03-04,AEE,40.9,40.99,40.66,40.7,2014565.0,,,,,40.59,40.84,40.36,0.54,-0.31,-0.85
