,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,AES,14.27,14.56,14.19,14.51,3987216.0,,,,,14.2,14.28,,,-0.07,
1,2014-01-03,AES,14.2,14.35,14.11,14.28,4104721.0,,,,,14.34,14.34,14.27,-0.07,0.14,0.21
2,2014-01-06,AES,14.34,14.44,14.13,14.34,5066996.0,,,,,14.59,14.36,14.2,0.14,0.25,0.11
3,2014-01-07,AES,14.59,14.8,14.36,14.36,10596937.0,,,,,14.3,14.54,14.34,0.25,-0.29,-0.54
4,2014-01-08,AES,14.3,14.61,14.21,14.54,6992503.0,,,,,14.46,14.36,14.59,-0.29,0.16,0.45
5,2014-01-09,AES,14.46,14.54,14.27,14.36,5359464.0,,,,,14.53,14.5,14.3,0.16,0.07,-0.09
6,2014-01-10,AES,14.53,14.7,14.48,14.5,4807694.0,,,,,14.26,14.45,14.46,0.07,-0.27,-0.34
7,2014-01-13,AES,14.26,14.51,14.21,14.45,4807218.0,,,,,14.44,14.27,14.53,-0.27,0.18,0.45
8,2014-01-14,AES,14.44,14.45,14.18,14.27,4268264.0,,,,,14.3,14.44,14.26,0.18,-0.14,-0.32
9,2014-01-15,AES,14.3,14.47,14.23,14.44,5268524.0,,,,,14.31,14.28,14.44,-0.14,0.01,0.15
10,2014-01-16,AES,14.31,14.37,14.18,14.28,4247117.0,,,,,14.3,14.36,14.3,0.01,-0.01,-0.02
11,2014-01-17,AES,14.3,14.44,14.27,14.36,3437874.0,,,,,14.43,14.46,14.31,-0.01,0.13,0.14
12,2014-01-21,AES,14.43,14.55,14.28,14.46,4683758.0,0.9891,0.034,0.847,0.119,14.47,14.43,14.3,0.13,0.04,-0.09
13,2014-01-22,AES,14.47,14.59,14.39,14.43,3384088.0,,,,,14.19,14.35,14.43,0.04,-0.28,-0.32
14,2014-01-23,AES,14.19,14.4,14.06,14.35,5266322.0,,,,,13.72,14.13,14.47,-0.28,-0.47,-0.19
15,2014-01-24,AES,13.72,14.13,13.54,14.13,12327830.0,,,,,13.64,13.72,14.19,-0.47,-0.08,0.39
16,2014-01-27,AES,13.64,13.75,13.42,13.72,8703468.0,,,,,13.97,13.65,13.72,-0.08,0.33,0.41
17,2014-01-28,AES,13.97,13.97,13.62,13.65,5337019.0,,,,,13.75,13.8,13.64,0.33,-0.22,-0.55
18,2014-01-29,AES,13.75,13.96,13.68,13.8,7127289.0,,,,,13.95,13.8,13.97,-0.22,0.2,0.42
19,2014-01-30,AES,13.95,13.97,13.73,13.8,3184882.0,,,,,14.06,13.78,13.75,0.2,0.11,-0.09
20,2014-01-31,AES,14.06,14.1,13.71,13.78,7542430.0,,,,,13.71,14.06,13.95,0.11,-0.35,-0.46
21,2014-02-03,AES,13.71,14.22,13.68,14.06,5421188.0,,,,,13.83,13.76,14.06,-0.35,0.12,0.47
22,2014-02-04,AES,13.83,13.89,13.62,13.76,4359531.0,,,,,13.84,13.74,13.71,0.12,0.01,-0.11
23,2014-02-05,AES,13.84,13.92,13.58,13.74,3564278.0,,,,,13.96,13.85,13.83,0.01,0.12,0.11
24,2014-02-06,AES,13.96,13.99,13.79,13.85,3388811.0,,,,,14.06,14.0,13.84,0.12,0.1,-0.02
25,2014-02-07,AES,14.06,14.1,13.92,14.0,3536772.0,,,,,14.05,14.02,13.96,0.1,-0.01,-0.11
26,2014-02-10,AES,14.05,14.11,13.82,14.02,3095277.0,,,,,14.33,14.05,14.06,-0.01,0.28,0.29
