,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,AFL,65.96,66.69,65.81,66.63,1914657.0,,,,,66.15,66.08,,,0.19,
1,2014-01-03,AFL,66.15,66.54,66.04,66.08,1279123.0,,,,,64.88,66.2,65.96,0.19,-1.27,-1.46
2,2014-01-06,AFL,64.88,66.28,64.32,66.2,4244179.0,,,,,65.09,65.03,66.15,-1.27,0.21,1.48
3,2014-01-07,AFL,65.09,65.53,64.87,65.03,1913102.0,,,,,64.63,64.98,64.88,0.21,-0.46,-0.67
4,2014-01-08,AFL,64.63,65.17,64.41,64.98,1726374.0,,,,,64.27,64.69,65.09,-0.46,-0.36,0.1
5,2014-01-09,AFL,64.27,64.85,64.09,64.69,2311941.0,,,,,65.17,64.58,64.63,-0.36,0.9,1.26
6,2014-01-10,AFL,65.17,65.26,64.1,64.58,1837151.0,,,,,64.1,64.83,64.27,0.9,-1.07,-1.97
7,2014-01-13,AFL,64.1,65.01,64.0,64.83,2409756.0,,,,,64.7,64.39,65.17,-1.07,0.6,1.67
8,2014-01-14,AFL,64.7,64.81,64.22,64.39,1777827.0,,,,,64.94,64.71,64.1,0.6,0.24,-0.36
9,2014-01-15,AFL,64.94,65.11,64.68,64.71,2019858.0,,,,,64.83,64.79,64.7,0.24,-0.11,-0.35
10,2014-01-16,AFL,64.83,65.15,64.55,64.79,1658315.0,,,,,64.71,64.81,64.94,-0.11,-0.12,-0.01
11,2014-01-17,AFL,64.71,65.47,64.62,64.81,2144405.0,,,,,64.83,64.92,64.83,-0.12,0.12,0.24
12,2014-01-21,AFL,64.83,65.28,64.41,64.92,2177577.0,,,,,64.4,64.86,64.71,0.12,-0.43,-0.55
13,2014-01-22,AFL,64.4,64.99,64.25,64.86,1396094.0,,,,,63.56,64.2,64.83,-0.43,-0.84,-0.41
14,2014-01-23,AFL,63.56,64.3,63.26,64.2,2022913.0,,,,,62.29,63.29,64.4,-0.84,-1.27,-0.43
15,2014-01-24,AFL,62.29,63.61,62.29,63.29,3201587.0,,,,,61.79,62.18,63.56,-1.27,-0.5,0.77
16,2014-01-27,AFL,61.79,62.57,61.34,62.18,2818306.0,,,,,62.45,61.84,62.29,-0.5,0.66,1.16
17,2014-01-28,AFL,62.45,62.54,61.84,61.84,1788227.0,,,,,62.12,61.74,61.79,0.66,-0.33,-0.99
18,2014-01-29,AFL,62.12,62.85,61.73,61.74,2498195.0,,,,,63.2,62.55,62.45,-0.33,1.08,1.41
19,2014-01-30,AFL,63.2,63.35,62.45,62.55,1574017.0,,,,,62.78,62.24,62.12,1.08,-0.42,-1.5
20,2014-01-31,AFL,62.78,63.35,62.02,62.24,2203416.0,,,,,60.72,62.86,63.2,-0.42,-2.06,-1.64
21,2014-02-03,AFL,60.72,62.92,60.69,62.86,3034391.0,,,,,61.47,60.98,62.78,-2.06,0.75,2.81
22,2014-02-04,AFL,61.47,61.64,60.81,60.98,2437015.0,,,,,61.76,61.9,60.72,0.75,0.29,-0.46
23,2014-02-05,AFL,61.76,62.31,60.45,61.9,2716196.0,,,,,61.73,61.6,61.47,0.29,-0.03,-0.32
24,2014-02-06,AFL,61.73,62.0,61.37,61.6,2172052.0,,,,,62.68,61.77,61.76,-0.03,0.95,0.98
25,2014-02-07,AFL,62.68,62.79,61.48,61.77,2330131.0,,,,,62.43,62.51,61.73,0.95,-0.25,-1.2
26,2014-02-10,AFL,62.43,63.0,62.15,62.51,1873975.0,,,,,62.41,62.42,62.68,-0.25,-0.02,0.23
27,2014-02-11,AFL,62.41,62.62,61.79,62.42,2349977.0,,,,,62.75,62.33,62.43,-0.02,0.34,0.36
28,2014-02-12,AFL,62.75,62.95,62.3,62.33,1617949.0,,,,,62.79,62.18,62.41,0.34,0.04,-0.3
29,2014-02-13,AFL,62.79,62.82,62.0,62.18,1303411.0,,,,,63.13,62.67,62.75,0.04,0.34,0.3
30,2014-02-14,AFL,63.13,63.25,62.66,62.67,1491438.0,,,,,63.03,63.09,62.79,0.34,-0.1,-0.44
31,2014-02-18,AFL,63.03,63.15,62.84,63.09,1389818.0,,,,,62.44,62.74,63.13,-0.1,-0.59,-0.49
