,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,AKAM,46.53,47.18,46.42,47.11,935107.0,,,,,46.45,46.68,,,-0.08,
1,2014-01-03,AKAM,46.45,46.96,46.27,46.68,960420.0,,,,,46.11,46.4,46.53,-0.08,-0.34,-0.26
2,2014-01-06,AKAM,46.11,46.58,45.8,46.4,1754527.0,,,,,47.01,46.25,46.45,-0.34,0.9,1.24
3,2014-01-07,AKAM,47.01,47.14,46.01,46.25,1480028.0,,,,,46.68,46.99,46.11,0.9,-0.33,-1.23
4,2014-01-08,AKAM,46.68,47.26,46.65,46.99,2228498.0,,,,,47.62,46.78,47.01,-0.33,0.94,1.27
5,2014-01-09,AKAM,47.62,47.91,46.76,46.78,1687655.0,,,,,48.2,47.78,46.68,0.94,0.58,-0.36
6,2014-01-10,AKAM,48.2,48.24,47.63,47.78,1425392.0,0.9685,0.0375,0.876,0.0865,46.3,48.17,47.62,0.58,-1.9,-2.48
7,2014-01-13,AKAM,46.3,48.17,45.86,48.17,2134410.0,,,,,47.44,46.27,48.2,-1.9,1.14,3.04
8,2014-01-14,AKAM,47.44,47.52,46.22,46.27,1538628.0,,,,,49.15,47.56,46.3,1.14,1.71,0.57
9,2014-01-15,AKAM,49.15,49.49,47.35,47.56,2829333.0,,,,,48.74,49.2,47.44,1.71,-0.41,-2.12
10,2014-01-16,AKAM,48.74,49.22,48.25,49.2,1180853.0,,,,,48.58,48.7,49.15,-0.41,-0.16,0.25
11,2014-01-17,AKAM,48.58,49.06,48.36,48.7,1369029.0,,,,,48.95,48.82,48.74,-0.16,0.37,0.53
12,2014-01-21,AKAM,48.95,49.0,48.35,48.82,1227915.0,,,,,49.18,48.93,48.58,0.37,0.23,-0.14
13,2014-01-22,AKAM,49.18,49.45,48.68,48.93,1724642.0,,,,,49.61,48.77,48.95,0.23,0.43,0.2
14,2014-01-23,AKAM,49.61,49.71,48.53,48.77,2466271.0,,,,,48.34,49.35,49.18,0.43,-1.27,-1.7
15,2014-01-24,AKAM,48.34,49.39,48.12,49.35,1987419.0,,,,,47.84,48.49,49.61,-1.27,-0.5,0.77
16,2014-01-27,AKAM,47.84,48.72,47.37,48.49,1652390.0,,,,,48.35,47.81,48.34,-0.5,0.51,1.01
17,2014-01-28,AKAM,48.35,48.49,47.64,47.81,1162790.0,,,,,47.55,47.98,47.84,0.51,-0.8,-1.31
18,2014-01-29,AKAM,47.55,48.34,47.41,47.98,1379632.0,,,,,48.47,47.94,48.35,-0.8,0.92,1.72
19,2014-01-30,AKAM,48.47,48.68,47.68,47.94,1326700.0,,,,,47.68,47.97,47.55,0.92,-0.79,-1.71
20,2014-01-31,AKAM,47.68,48.07,47.46,47.97,1884425.0,,,,,46.01,48.88,48.47,-0.79,-1.67,-0.88
21,2014-02-03,AKAM,46.01,49.5,45.59,48.88,6602985.0,,,,,46.49,46.37,47.68,-1.67,0.48,2.15
22,2014-02-04,AKAM,46.49,46.96,46.09,46.37,3047529.0,,,,,47.42,46.43,46.01,0.48,0.93,0.45
23,2014-02-05,AKAM,47.42,47.79,46.2,46.43,5670383.0,0.9749,0.0075,0.875,0.1175,57.18,54.99,46.49,0.93,9.76,8.83
24,2014-02-06,AKAM,57.18,57.76,54.8,54.99,14584182.0,,,,,56.64,56.99,47.42,9.76,-0.54,-10.3
25,2014-02-07,AKAM,56.64,57.2,56.25,56.99,4850126.0,,,,,58.01,56.41,57.18,-0.54,1.37,1.91
26,2014-02-10,AKAM,58.01,58.05,56.41,56.41,4644639.0,,,,,59.79,58.12,56.64,1.37,1.78,0.41
27,2014-02-11,AKAM,59.79,59.95,57.86,58.12,4894953.0,,,,,59.14,59.77,58.01,1.78,-0.65,-2.43
28,2014-02-12,AKAM,59.14,61.11,59.07,59.77,4761910.0,,,,,59.71,58.64,59.79,-0.65,0.57,1.22
29,2014-02-13,AKAM,59.71,59.94,58.63,58.64,3855339.0,,,,,60.03,59.66,59.14,0.57,0.32,-0.25
30,2014-02-14,AKAM,60.03,60.17,58.81,59.66,6328200.0,,,,,60.62,59.79,59.71,0.32,0.59,0.27
31,2014-02-18,AKAM,60.62,60.81,59.72,59.79,2775139.0,,,,,60.52,60.61,60.03,0.59,-0.1,-0.69
32,2014-02-19,AKAM,60.52,60.81,60.04,60.61,2929785.0,,,,,61.55,60.7,60.62,-0.1,1.03,1.13
33,2014-02-20,AKAM,61.55,61.61,60.5,60.7,2139764.0,,,,,61.73,61.65,60.52,1.03,0.18,-0.85
34,2014-02-21,AKAM,61.73,62.5,61.27,61.65,2487030.0,,,,,62.64,61.65,61.55,0.18,0.91,0.73
35,2014-02-24,AKAM,62.64,63.14,61.41,61.65,3047186.0,,,,,61.67,62.75,61.73,0.91,-0.97,-1.88
36,2014-02-25,AKAM,61.67,62.88,61.51,62.75,2315080.0,,,,,61.48,61.94,62.64,-0.97,-0.19,0.78
37,2014-02-26,AKAM,61.48,62.41,61.42,61.94,2391148.0,,,,,62.74,61.8,61.67,-0.19,1.26,1.45
38,2014-02-27,AKAM,62.74,62.74,61.8,61.8,2541263.0,,,,,61.13,62.93,61.48,1.26,-1.61,-2.87
39,2014-02-28,AKAM,61.13,63.15,60.92,62.93,2614304.0,,,,,61.26,60.49,62.74,-1.61,0.13,1.74
40,2014-03-03,AKAM,61.26,61.39,60.01,60.49,2165892.0,,,,,62.64,61.95,61.13,0.13,1.38,1.25
41,2014-03-04,AKAM,62.64,62.65,61.77,61.95,1925494.0,,,,,61.51,62.67,61.26,1.38,-1.13,-2.51
42,2014-03-05,AKAM,61.51,62.79,61.49,62.67,2026978.0,,,,,61.37,61.79,62.64,-1.13,-0.14,0.99
