,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ALK,36.59,36.96,36.28,36.66,900234.0,,,,,37.26,37.14,,,0.67,
1,2014-01-03,ALK,37.26,37.46,36.92,37.14,1615220.0,,,,,37.02,37.63,36.59,0.67,-0.24,-0.91
2,2014-01-06,ALK,37.02,37.8,36.92,37.63,1437232.0,,,,,37.0,37.2,37.26,-0.24,-0.02,0.22
3,2014-01-07,ALK,37.0,37.41,36.72,37.2,1223636.0,,,,,37.9,36.93,37.02,-0.02,0.9,0.92
4,2014-01-08,ALK,37.9,37.94,36.89,36.93,1672628.0,,,,,38.7,38.26,37.0,0.9,0.8,-0.1
5,2014-01-09,ALK,38.7,40.1,38.26,38.26,2613614.0,,,,,39.54,38.57,37.9,0.8,0.84,0.04
6,2014-01-10,ALK,39.54,39.74,38.5,38.57,1499486.0,,,,,38.72,39.73,38.7,0.84,-0.82,-1.66
7,2014-01-13,ALK,38.72,39.84,38.37,39.73,1524496.0,,,,,39.69,38.89,39.54,-0.82,0.97,1.79
8,2014-01-14,ALK,39.69,39.74,38.74,38.89,1403368.0,,,,,39.36,39.68,38.72,0.97,-0.33,-1.3
9,2014-01-15,ALK,39.36,39.82,39.01,39.68,1523550.0,,,,,39.58,39.28,39.69,-0.33,0.22,0.55
10,2014-01-16,ALK,39.58,39.82,39.14,39.28,802204.0,,,,,39.26,39.64,39.36,0.22,-0.32,-0.54
11,2014-01-17,ALK,39.26,39.82,39.18,39.64,1021366.0,,,,,40.03,39.88,39.58,-0.32,0.77,1.09
12,2014-01-21,ALK,40.03,40.59,39.64,39.88,2652026.0,,,,,40.94,40.06,39.26,0.77,0.91,0.14
13,2014-01-22,ALK,40.94,40.97,40.02,40.06,2289038.0,,,,,40.68,41.0,40.03,0.91,-0.26,-1.17
14,2014-01-23,ALK,40.68,41.0,39.53,41.0,2202566.0,0.92615,0.017,0.8385,0.1445,39.82,40.5,40.94,-0.26,-0.86,-0.6
15,2014-01-24,ALK,39.82,41.04,39.64,40.5,2207342.0,,,,,39.4,39.82,40.68,-0.86,-0.42,0.44
16,2014-01-27,ALK,39.4,40.02,38.22,39.82,1733234.0,,,,,39.76,39.3,39.82,-0.42,0.36,0.78
17,2014-01-28,ALK,39.76,40.41,39.3,39.3,1393616.0,,,,,38.37,39.29,39.4,0.36,-1.39,-1.75
