,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ALXN,133.440002,133.820007,130.539993,132.460007,760200.0,,,,,131.720001,133.0,,,-1.720001,
1,2014-01-03,ALXN,131.720001,134.270004,131.649994,133.0,683900.0,,,,,129.860001,131.660004,133.440002,-1.720001,-1.86,-0.139999
2,2014-01-06,ALXN,129.860001,132.0,127.699997,131.660004,1085500.0,,,,,133.169998,130.509995,131.720001,-1.86,3.309997,5.169997
3,2014-01-07,ALXN,133.169998,133.419998,128.509995,130.509995,1455200.0,,,,,134.0,133.669998,129.860001,3.309997,0.830002,-2.479995
4,2014-01-08,ALXN,134.0,135.179993,131.690002,133.669998,957600.0,,,,,134.070007,134.119995,133.169998,0.830002,0.070007,-0.759995
5,2014-01-09,ALXN,134.070007,135.460007,132.220001,134.119995,991500.0,,,,,135.210007,135.509995,134.0,0.070007,1.14,1.069993
6,2014-01-10,ALXN,135.210007,135.529999,132.869995,135.509995,991000.0,,,,,130.610001,135.589996,134.070007,1.14,-4.600006,-5.740006
7,2014-01-13,ALXN,130.610001,136.429993,128.850006,135.589996,1354100.0,,,,,137.660004,131.350006,135.210007,-4.600006,7.050003,11.650009
8,2014-01-14,ALXN,137.660004,137.759995,130.910004,131.350006,1467600.0,,,,,137.029999,137.729996,130.610001,7.050003,-0.630005,-7.680008
9,2014-01-15,ALXN,137.029999,138.320007,133.990005,137.729996,1025000.0,,,,,139.809998,137.039993,137.660004,-0.630005,2.779999,3.410004
10,2014-01-16,ALXN,139.809998,139.880005,136.869995,137.039993,936700.0,,,,,139.710007,139.380005,137.029999,2.779999,-0.099991,-2.87999
11,2014-01-17,ALXN,139.710007,140.979996,136.880005,139.380005,1535300.0,,,,,142.580002,141.289993,139.809998,-0.099991,2.869995,2.969986
12,2014-01-21,ALXN,142.580002,142.690002,139.160004,141.289993,1224900.0,,,,,140.75,140.639999,139.710007,2.869995,-1.830002,-4.699997
13,2014-01-22,ALXN,140.75,142.979996,140.119995,140.639999,1263300.0,,,,,137.940002,139.350006,142.580002,-1.830002,-2.809998,-0.979996
14,2014-01-23,ALXN,137.940002,141.229996,136.330002,139.350006,1137500.0,,,,,133.639999,137.220001,140.75,-2.809998,-4.300003,-1.490005
15,2014-01-24,ALXN,133.639999,139.020004,133.479996,137.220001,1307900.0,,,,,129.820007,133.380005,137.940002,-4.300003,-3.819992,0.480011
