,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,AMGN,115.800003,116.190002,114.059998,114.360001,2528800.0,,,,,114.470001,115.699997,,,-1.330002,
1,2014-01-03,AMGN,114.470001,115.970001,114.059998,115.699997,2075800.0,,,,,113.480003,114.470001,115.800003,-1.330002,-0.989998,0.340004
2,2014-01-06,AMGN,113.480003,114.919998,113.120003,114.470001,2838100.0,,,,,116.43,113.5,114.470001,-0.989998,2.949997,3.939995
3,2014-01-07,AMGN,116.43,116.790001,113.269997,113.5,3632400.0,,,,,115.879997,116.639999,113.480003,2.949997,-0.550003,-3.5
4,2014-01-08,AMGN,115.879997,116.900002,115.349998,116.639999,2481800.0,,,,,118.889999,116.540001,116.43,-0.550003,3.010002,3.560005
5,2014-01-09,AMGN,118.889999,118.959999,116.220001,116.540001,3400000.0,-0.9136,0.098,0.886,0.0165,117.989998,119.0,115.879997,3.010002,-0.900001,-3.910003
6,2014-01-10,AMGN,117.989998,119.0,116.199997,119.0,3053100.0,,,,,116.400002,118.32,118.889999,-0.900001,-1.589996,-0.689995
7,2014-01-13,AMGN,116.400002,118.730003,115.940002,118.32,3703900.0,,,,,117.720001,116.839996,117.989998,-1.589996,1.319999,2.909995
8,2014-01-14,AMGN,117.720001,117.940002,116.220001,116.839996,2541200.0,,,,,118.510002,118.419998,116.400002,1.319999,0.790001,-0.529998
9,2014-01-15,AMGN,118.510002,118.949997,117.400002,118.419998,3064600.0,,,,,119.029999,118.82,117.720001,0.790001,0.519997,-0.270004
10,2014-01-16,AMGN,119.029999,119.690002,118.209999,118.82,2553200.0,,,,,119.150002,118.910004,118.510002,0.519997,0.120003,-0.399994
11,2014-01-17,AMGN,119.150002,119.550003,118.309998,118.910004,4010000.0,,,,,119.25,119.959999,119.029999,0.120003,0.099998,-0.020005
12,2014-01-21,AMGN,119.25,120.0,118.57,119.959999,3072700.0,,,,,124.370003,119.830002,119.150002,0.099998,5.120003,5.020005
13,2014-01-22,AMGN,124.370003,124.459999,119.580002,119.830002,5086200.0,,,,,123.599998,123.0,119.25,5.120003,-0.770005,-5.890008
