,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,APH,87.739998,88.790001,87.459999,88.730003,883600.0,,,,,88.059998,87.760002,,,0.32,
1,2014-01-03,APH,88.059998,88.32,87.629997,87.760002,766800.0,,,,,87.25,88.459999,87.739998,0.32,-0.809998,-1.129998
2,2014-01-06,APH,87.25,88.459999,87.169998,88.459999,783800.0,,,,,87.839996,87.620003,88.059998,-0.809998,0.589996,1.399994
3,2014-01-07,APH,87.839996,88.360001,87.339996,87.620003,610200.0,,,,,88.330002,87.839996,87.25,0.589996,0.490006,-0.09999
4,2014-01-08,APH,88.330002,88.669998,87.629997,87.839996,853800.0,,,,,89.419998,88.57,87.839996,0.490006,1.089996,0.59999
5,2014-01-09,APH,89.419998,89.459999,88.43,88.57,1062000.0,,,,,89.339996,89.18,88.330002,1.089996,-0.080002,-1.169998
6,2014-01-10,APH,89.339996,89.980003,88.519997,89.18,769200.0,,,,,89.190002,89.120003,89.419998,-0.080002,-0.149994,-0.069992
7,2014-01-13,APH,89.190002,90.629997,88.779999,89.120003,1508400.0,,,,,92.410004,89.709999,89.339996,-0.149994,3.220002,3.369996
8,2014-01-14,APH,92.410004,92.419998,89.709999,89.709999,1730200.0,,,,,92.050003,92.089996,89.190002,3.220002,-0.360001,-3.580003
9,2014-01-15,APH,92.050003,92.290001,91.209999,92.089996,1406400.0,,,,,91.870003,92.029999,92.410004,-0.360001,-0.18,0.180001
10,2014-01-16,APH,91.870003,92.07,91.339996,92.029999,727600.0,,,,,92.080002,92.040001,92.050003,-0.18,0.209999,0.389999
11,2014-01-17,APH,92.080002,92.290001,91.610001,92.040001,945400.0,,,,,91.040001,92.099998,91.870003,0.209999,-1.040001,-1.25
12,2014-01-21,APH,91.040001,92.419998,90.639999,92.099998,2122200.0,,,,,91.07,91.029999,92.080002,-1.040001,0.029999,1.07
13,2014-01-22,APH,91.07,92.389999,89.830002,91.029999,1688800.0,,,,,88.489998,90.639999,91.040001,0.029999,-2.580002,-2.610001
14,2014-01-23,APH,88.489998,91.0,88.32,90.639999,1660200.0,,,,,85.889999,88.300003,91.07,-2.580002,-2.599999,-0.019997
15,2014-01-24,APH,85.889999,88.300003,85.889999,88.300003,1351400.0,,,,,85.339996,85.900002,88.489998,-2.599999,-0.550003,2.049996
16,2014-01-27,APH,85.339996,86.32,85.330002,85.900002,1786600.0,,,,,86.089996,85.510002,85.889999,-0.550003,0.75,1.300003
17,2014-01-28,APH,86.089996,86.339996,85.489998,85.510002,2195600.0,,,,,85.629997,85.080002,85.339996,0.75,-0.459999,-1.209999
18,2014-01-29,APH,85.629997,85.989998,84.989998,85.080002,2316800.0,,,,,86.669998,86.099998,86.089996,-0.459999,1.040001,1.5
19,2014-01-30,APH,86.669998,86.970001,85.849998,86.099998,1553200.0,,,,,86.879997,85.529999,85.629997,1.040001,0.209999,-0.830002
20,2014-01-31,APH,86.879997,87.199997,85.379997,85.529999,1595200.0,,,,,84.68,86.800003,86.669998,0.209999,-2.199997,-2.409996
21,2014-02-03,APH,84.68,86.93,84.599998,86.800003,2006000.0,,,,,84.959999,84.709999,86.879997,-2.199997,0.279999,2.479996
22,2014-02-04,APH,84.959999,85.120003,84.110001,84.709999,1384600.0,,,,,85.330002,84.589996,84.68,0.279999,0.370003,0.090004
23,2014-02-05,APH,85.330002,85.599998,84.400002,84.589996,1099000.0,,,,,86.699997,85.169998,84.959999,0.370003,1.369995,0.999992
24,2014-02-06,APH,86.699997,87.040001,85.160004,85.169998,1252800.0,,,,,87.360001,86.870003,85.330002,1.369995,0.660004,-0.709991
25,2014-02-07,APH,87.360001,87.43,86.449997,86.870003,1100200.0,,,,,87.029999,87.290001,86.699997,0.660004,-0.330002,-0.990006
26,2014-02-10,APH,87.029999,87.489998,86.449997,87.290001,742600.0,,,,,87.959999,87.010002,87.360001,-0.330002,0.93,1.260002
27,2014-02-11,APH,87.959999,88.190002,87.010002,87.010002,855800.0,,,,,88.279999,88.120003,87.029999,0.93,0.32,-0.61
28,2014-02-12,APH,88.279999,88.599998,87.860001,88.120003,644200.0,,,,,88.540001,87.540001,87.959999,0.32,0.260002,-0.059998
29,2014-02-13,APH,88.540001,88.68,87.410004,87.540001,560000.0,,,,,88.269997,88.620003,88.279999,0.260002,-0.270004,-0.530006
30,2014-02-14,APH,88.269997,88.690002,87.849998,88.620003,940800.0,,,,,88.849998,88.360001,88.540001,-0.270004,0.580001,0.850005
31,2014-02-18,APH,88.849998,88.989998,88.209999,88.360001,832000.0,,,,,88.550003,88.449997,88.269997,0.580001,-0.299995,-0.879996
32,2014-02-19,APH,88.550003,89.68,88.379997,88.449997,930000.0,,,,,88.949997,88.559998,88.849998,-0.299995,0.399994,0.699989
33,2014-02-20,APH,88.949997,89.099998,87.959999,88.559998,632600.0,,,,,88.160004,88.949997,88.550003,0.399994,-0.789993,-1.189987
34,2014-02-21,APH,88.160004,89.339996,88.019997,88.949997,1145400.0,,,,,88.910004,88.529999,88.949997,-0.789993,0.75,1.539993
35,2014-02-24,APH,88.910004,89.730003,88.489998,88.529999,960800.0,,,,,88.330002,88.739998,88.160004,0.75,-0.580002,-1.330002
36,2014-02-25,APH,88.330002,89.089996,88.080002,88.739998,684400.0,,,,,87.080002,88.440002,88.910004,-0.580002,-1.25,-0.669998
37,2014-02-26,APH,87.080002,88.589996,86.870003,88.440002,1531600.0,,,,,87.589996,86.809998,88.330002,-1.25,0.509994,1.759994
38,2014-02-27,APH,87.589996,87.919998,86.739998,86.809998,1644000.0,,,,,88.019997,87.660004,87.080002,0.509994,0.430001,-0.079993
39,2014-02-28,APH,88.019997,88.330002,87.32,87.660004,1190800.0,,,,,87.779999,87.510002,87.589996,0.430001,-0.239998,-0.669999
40,2014-03-03,APH,87.779999,88.129997,86.760002,87.510002,1026200.0,,,,,89.980003,88.68,88.019997,-0.239998,2.200004,2.440002
41,2014-03-04,APH,89.980003,90.160004,88.57,88.68,1209200.0,,,,,89.300003,89.839996,87.779999,2.200004,-0.68,-2.880004
42,2014-03-05,APH,89.300003,90.059998,89.18,89.839996,765000.0,,,,,90.25,89.339996,89.980003,-0.68,0.949997,1.629997
43,2014-03-06,APH,90.25,90.419998,89.050003,89.339996,1126600.0,,,,,90.410004,90.519997,89.300003,0.949997,0.160004,-0.789993
44,2014-03-07,APH,90.410004,91.160004,90.120003,90.519997,755800.0,,,,,90.489998,89.949997,90.25,0.160004,0.079994,-0.08001
45,2014-03-10,APH,90.489998,90.779999,88.400002,89.949997,1072200.0,,,,,89.839996,90.760002,90.410004,0.079994,-0.650002,-0.729996
46,2014-03-11,APH,89.839996,91.160004,89.370003,90.760002,1059000.0,,,,,90.559998,89.370003,90.489998,-0.650002,0.720002,1.370004
47,2014-03-12,APH,90.559998,90.669998,89.160004,89.370003,1265800.0,,,,,90.230003,90.75,89.839996,0.720002,-0.329995,-1.049997
48,2014-03-13,APH,90.230003,91.5,90.050003,90.75,1307200.0,,,,,90.489998,89.989998,90.559998,-0.329995,0.259995,0.58999
49,2014-03-14,APH,90.489998,91.080002,89.910004,89.989998,1047800.0,,,,,91.239998,90.959999,90.230003,0.259995,0.75,0.490005
50,2014-03-17,APH,91.239998,91.889999,90.839996,90.959999,714200.0,,,,,91.75,91.239998,90.489998,0.75,0.510002,-0.239998
51,2014-03-18,APH,91.75,92.0,90.970001,91.239998,833600.0,,,,,91.139999,91.440002,91.239998,0.510002,-0.610001,-1.120003
52,2014-03-19,APH,91.139999,92.089996,90.599998,91.440002,913000.0,,,,,91.669998,90.459999,91.75,-0.610001,0.529999,1.14
53,2014-03-20,APH,91.669998,91.699997,89.940002,90.459999,975400.0,,,,,93.25,92.5,91.139999,0.529999,1.580002,1.050003
54,2014-03-21,APH,93.25,93.620003,92.0,92.5,3203800.0,,,,,92.5,92.760002,91.669998,1.580002,-0.75,-2.330002
55,2014-03-24,APH,92.5,93.239998,92.230003,92.760002,2359200.0,,,,,92.720001,92.459999,93.25,-0.75,0.220001,0.970001
56,2014-03-25,APH,92.720001,93.370003,92.279999,92.459999,851800.0,,,,,91.470001,93.300003,92.5,0.220001,-1.25,-1.470001
57,2014-03-26,APH,91.470001,93.5,91.470001,93.300003,1063400.0,,,,,90.779999,91.82,92.720001,-1.25,-0.690002,0.559998
58,2014-03-27,APH,90.779999,91.82,90.709999,91.82,1343600.0,,,,,91.620003,91.029999,91.470001,-0.690002,0.840004,1.530006
59,2014-03-28,APH,91.620003,92.32,90.540001,91.029999,814600.0,,,,,91.650002,92.160004,90.779999,0.840004,0.029999,-0.810005
60,2014-03-31,APH,91.650002,92.300003,90.519997,92.160004,3145200.0,,,,,92.220001,91.93,91.620003,0.029999,0.569999,0.54
61,2014-04-01,APH,92.220001,92.25,91.230003,91.93,1249200.0,,,,,94.0,92.339996,91.650002,0.569999,1.779999,1.21
62,2014-04-02,APH,94.0,94.190002,92.120003,92.339996,1259000.0,,,,,93.739998,93.860001,92.220001,1.779999,-0.260002,-2.040001
63,2014-04-03,APH,93.739998,93.910004,92.940002,93.860001,947200.0,,,,,92.720001,94.129997,94.0,-0.260002,-1.019997,-0.759995
64,2014-04-04,APH,92.720001,95.400002,92.650002,94.129997,1257200.0,,,,,91.470001,92.379997,93.739998,-1.019997,-1.25,-0.230003
65,2014-04-07,APH,91.470001,92.629997,91.050003,92.379997,935000.0,,,,,91.720001,91.410004,92.720001,-1.25,0.25,1.5
66,2014-04-08,APH,91.720001,91.970001,90.709999,91.410004,1136000.0,,,,,93.139999,91.709999,91.470001,0.25,1.419998,1.169998
67,2014-04-09,APH,93.139999,93.330002,91.529999,91.709999,1339000.0,,,,,91.050003,93.199997,91.720001,1.419998,-2.089996,-3.509994
68,2014-04-10,APH,91.050003,93.389999,91.010002,93.199997,928600.0,,,,,90.529999,90.800003,93.139999,-2.089996,-0.520004,1.569992
69,2014-04-11,APH,90.529999,91.639999,90.349998,90.800003,1344400.0,,,,,91.220001,91.529999,91.050003,-0.520004,0.690002,1.210006
70,2014-04-14,APH,91.220001,91.559998,90.300003,91.529999,577800.0,,,,,91.360001,91.459999,90.529999,0.690002,0.14,-0.550002
71,2014-04-15,APH,91.360001,92.120003,90.480003,91.459999,1210800.0,,,,,93.379997,92.209999,91.220001,0.14,2.019996,1.879996
72,2014-04-16,APH,93.379997,93.470001,91.68,92.209999,872400.0,,,,,94.120003,93.260002,91.360001,2.019996,0.740006,-1.27999
73,2014-04-17,APH,94.120003,94.419998,92.849998,93.260002,891800.0,,,,,94.360001,94.110001,93.379997,0.740006,0.239998,-0.500008
74,2014-04-21,APH,94.360001,94.980003,93.940002,94.110001,983800.0,,,,,95.010002,94.209999,94.120003,0.239998,0.650001,0.410003
75,2014-04-22,APH,95.010002,95.220001,94.099998,94.209999,1411600.0,,,,,95.529999,95.900002,94.360001,0.650001,0.519997,-0.130004
76,2014-04-23,APH,95.529999,95.949997,93.970001,95.900002,1347200.0,,,,,96.32,96.139999,95.010002,0.519997,0.790001,0.270004
77,2014-04-24,APH,96.32,96.489998,95.669998,96.139999,3803200.0,,,,,94.709999,96.300003,95.529999,0.790001,-1.610001,-2.400002
78,2014-04-25,APH,94.709999,96.300003,94.18,96.300003,1368400.0,,,,,94.730003,95.349998,96.32,-1.610001,0.020004,1.630005
79,2014-04-28,APH,94.730003,95.57,93.699997,95.349998,1772000.0,,,,,94.989998,94.809998,94.709999,0.020004,0.259995,0.239991
80,2014-04-29,APH,94.989998,95.18,94.550003,94.809998,1898800.0,,,,,95.349998,94.959999,94.730003,0.259995,0.36,0.100005
81,2014-04-30,APH,95.349998,95.480003,94.330002,94.959999,1381200.0,,,,,96.330002,95.489998,94.989998,0.36,0.980004,0.620004
82,2014-05-01,APH,96.330002,96.599998,95.0,95.489998,1457600.0,,,,,95.739998,96.150002,95.349998,0.980004,-0.590004,-1.570008
83,2014-05-02,APH,95.739998,96.519997,95.550003,96.150002,959200.0,,,,,96.540001,95.300003,96.330002,-0.590004,0.800003,1.390007
84,2014-05-05,APH,96.540001,96.669998,94.860001,95.300003,1078000.0,,,,,95.32,96.25,95.739998,0.800003,-1.220001,-2.020004
85,2014-05-06,APH,95.32,96.5,95.260002,96.25,1838800.0,,,,,95.669998,95.480003,96.540001,-1.220001,0.349998,1.569999
86,2014-05-07,APH,95.669998,95.709999,94.129997,95.480003,1315400.0,,,,,95.510002,95.510002,95.32,0.349998,-0.159996,-0.509994
87,2014-05-08,APH,95.510002,96.5,95.209999,95.510002,1312800.0,,,,,96.0,95.529999,95.669998,-0.159996,0.489998,0.649994
88,2014-05-09,APH,96.0,96.150002,94.540001,95.529999,1293600.0,,,,,96.629997,96.269997,95.510002,0.489998,0.629997,0.139999
89,2014-05-12,APH,96.629997,96.980003,95.93,96.269997,1543000.0,,,,,96.120003,96.389999,96.0,0.629997,-0.509994,-1.139991
90,2014-05-13,APH,96.120003,96.879997,95.980003,96.389999,890000.0,,,,,95.57,96.160004,96.629997,-0.509994,-0.550003,-0.040009
91,2014-05-14,APH,95.57,96.160004,95.459999,96.160004,713400.0,,,,,94.800003,95.550003,96.120003,-0.550003,-0.769997,-0.219994
92,2014-05-15,APH,94.800003,95.699997,94.239998,95.550003,1299000.0,,,,,95.489998,94.580002,95.57,-0.769997,0.689995,1.459992
93,2014-05-16,APH,95.489998,95.580002,94.5,94.580002,1417800.0,,,,,95.769997,95.089996,94.800003,0.689995,0.279999,-0.409996
94,2014-05-19,APH,95.769997,96.029999,95.010002,95.089996,707400.0,,,,,94.599998,95.669998,95.489998,0.279999,-1.169999,-1.449998
95,2014-05-20,APH,94.599998,95.889999,94.459999,95.669998,1192200.0,,,,,95.150002,95.190002,95.769997,-1.169999,0.550004,1.720003
96,2014-05-21,APH,95.150002,95.379997,94.599998,95.190002,650000.0,,,,,95.43,94.690002,94.599998,0.550004,0.279998,-0.270006
97,2014-05-22,APH,95.43,95.790001,94.690002,94.690002,614800.0,,,,,95.709999,95.160004,95.150002,0.279998,0.279999,9.99999983264e-07
98,2014-05-23,APH,95.709999,95.870003,95.080002,95.160004,1159000.0,,,,,95.5,95.959999,95.43,0.279999,-0.209999,-0.489998
99,2014-05-27,APH,95.5,96.129997,95.379997,95.959999,795200.0,,,,,95.309998,95.18,95.709999,-0.209999,-0.190002,0.019997
100,2014-05-28,APH,95.309998,95.68,94.980003,95.18,1366400.0,,,,,95.919998,95.529999,95.5,-0.190002,0.61,0.800002
101,2014-05-29,APH,95.919998,96.0,95.150002,95.529999,767200.0,,,,,95.800003,95.870003,95.309998,0.61,-0.119995,-0.729995
