,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ATVI,18.07,18.08,17.8,17.91,6620855.0,,,,,18.29,17.8,,,0.22,
1,2014-01-03,ATVI,18.29,18.35,17.64,17.8,7194703.0,,,,,18.08,18.38,18.07,0.22,-0.21,-0.43
2,2014-01-06,ATVI,18.08,18.55,18.07,18.38,5989303.0,,,,,18.32,18.2,18.29,-0.21,0.24,0.45
3,2014-01-07,ATVI,18.32,18.37,18.01,18.2,5114435.0,,,,,18.34,18.32,18.08,0.24,0.02,-0.22
4,2014-01-08,ATVI,18.34,18.43,18.08,18.32,5520400.0,,,,,18.3,18.41,18.32,0.02,-0.04,-0.06
5,2014-01-09,ATVI,18.3,18.45,18.28,18.41,4005130.0,,,,,18.18,18.38,18.34,-0.04,-0.12,-0.08
6,2014-01-10,ATVI,18.18,18.39,18.03,18.38,3943646.0,,,,,17.87,18.02,18.3,-0.12,-0.31,-0.19
7,2014-01-13,ATVI,17.87,18.27,17.78,18.02,4577494.0,,,,,17.49,17.78,18.18,-0.31,-0.38,-0.07
8,2014-01-14,ATVI,17.49,17.78,17.15,17.78,10833673.0,,,,,17.39,17.56,17.87,-0.38,-0.1,0.28
9,2014-01-15,ATVI,17.39,17.61,17.22,17.56,7357011.0,,,,,17.33,17.37,17.49,-0.1,-0.06,0.04
10,2014-01-16,ATVI,17.33,17.52,17.29,17.37,8097779.0,,,,,16.96,17.35,17.39,-0.06,-0.37,-0.31
11,2014-01-17,ATVI,16.96,17.47,16.76,17.35,15311930.0,,,,,16.79,17.02,17.33,-0.37,-0.17,0.2
12,2014-01-21,ATVI,16.79,17.09,16.69,17.02,6331539.0,,,,,16.74,16.85,16.96,-0.17,-0.05,0.12
13,2014-01-22,ATVI,16.74,16.89,16.65,16.85,7998713.0,,,,,16.67,16.63,16.79,-0.05,-0.07,-0.02
14,2014-01-23,ATVI,16.67,16.75,16.55,16.63,7209795.0,,,,,16.67,16.64,16.74,-0.07,0.0,0.07
15,2014-01-24,ATVI,16.67,16.84,16.55,16.64,7993198.0,,,,,16.67,16.7,16.67,0.0,0.0,0.0
16,2014-01-27,ATVI,16.67,16.89,16.62,16.7,7575883.0,,,,,16.69,16.67,16.67,0.0,0.02,0.02
17,2014-01-28,ATVI,16.69,16.84,16.65,16.67,7202509.0,,,,,16.91,16.78,16.67,0.02,0.22,0.2
18,2014-01-29,ATVI,16.91,17.05,16.68,16.78,8286242.0,,,,,17.26,17.04,16.69,0.22,0.35,0.13
19,2014-01-30,ATVI,17.26,17.36,16.93,17.04,5021519.0,,,,,17.13,16.98,16.91,0.35,-0.13,-0.48
20,2014-01-31,ATVI,17.13,17.36,16.92,16.98,8471463.0,,,,,17.06,17.35,17.26,-0.13,-0.07,0.06
21,2014-02-03,ATVI,17.06,17.35,16.9,17.35,7001893.0,,,,,16.9,17.06,17.13,-0.07,-0.16,-0.09
22,2014-02-04,ATVI,16.9,17.14,16.8,17.06,5463699.0,,,,,16.89,16.88,17.06,-0.16,-0.01,0.15
23,2014-02-05,ATVI,16.89,16.97,16.64,16.88,5566173.0,,,,,17.17,16.99,16.9,-0.01,0.28,0.29
24,2014-02-06,ATVI,17.17,17.2,16.95,16.99,7383505.0,0.802433333333,0.0,0.906666666667,0.0933333333333,19.64,18.95,16.89,0.28,2.47,2.19
25,2014-02-07,ATVI,19.64,19.95,18.78,18.95,29882321.0,0.95295,0.003,0.9305,0.0665,19.36,19.25,17.17,2.47,-0.28,-2.75
26,2014-02-10,ATVI,19.36,19.55,18.95,19.25,16779584.0,,,,,19.37,19.16,19.64,-0.28,0.01,0.29
27,2014-02-11,ATVI,19.37,19.55,19.0,19.16,8944882.0,,,,,19.63,19.49,19.36,0.01,0.26,0.25
28,2014-02-12,ATVI,19.63,19.69,19.24,19.49,8002885.0,,,,,19.77,19.55,19.37,0.26,0.14,-0.12
29,2014-02-13,ATVI,19.77,19.86,19.48,19.55,7972535.0,,,,,19.8,19.42,19.63,0.14,0.03,-0.11
30,2014-02-14,ATVI,19.8,19.93,19.3,19.42,9008106.0,,,,,19.94,19.91,19.77,0.03,0.14,0.11
31,2014-02-18,ATVI,19.94,20.24,19.85,19.91,6435446.0,,,,,19.68,19.9,19.8,0.14,-0.26,-0.4
32,2014-02-19,ATVI,19.68,20.0,19.57,19.9,7843761.0,,,,,19.63,19.66,19.94,-0.26,-0.05,0.21
33,2014-02-20,ATVI,19.63,19.84,19.59,19.66,5095156.0,,,,,19.72,19.75,19.68,-0.05,0.09,0.14
34,2014-02-21,ATVI,19.72,19.92,19.7,19.75,7827548.0,,,,,19.69,19.7,19.63,0.09,-0.03,-0.12
35,2014-02-24,ATVI,19.69,19.87,19.63,19.7,6421718.0,,,,,19.46,19.78,19.72,-0.03,-0.23,-0.2
36,2014-02-25,ATVI,19.46,19.79,19.37,19.78,5304777.0,,,,,19.44,19.49,19.69,-0.23,-0.02,0.21
37,2014-02-26,ATVI,19.44,19.75,19.33,19.49,4555399.0,,,,,19.55,19.39,19.46,-0.02,0.11,0.13
38,2014-02-27,ATVI,19.55,19.71,19.39,19.39,2767535.0,,,,,19.35,19.61,19.44,0.11,-0.2,-0.31
39,2014-02-28,ATVI,19.35,19.64,19.23,19.61,4936506.0,,,,,19.52,19.12,19.55,-0.2,0.17,0.37
40,2014-03-03,ATVI,19.52,19.58,19.03,19.12,4425467.0,,,,,19.71,19.58,19.35,0.17,0.19,0.02
41,2014-03-04,ATVI,19.71,19.8,19.58,19.58,6547395.0,,,,,20.04,19.79,19.52,0.19,0.33,0.14
42,2014-03-05,ATVI,20.04,20.05,19.65,19.79,6588398.0,,,,,20.17,20.06,19.71,0.33,0.13,-0.2
43,2014-03-06,ATVI,20.17,20.35,20.01,20.06,4707603.0,,,,,20.11,20.2,20.04,0.13,-0.06,-0.19
44,2014-03-07,ATVI,20.11,20.29,20.03,20.2,5544651.0,,,,,20.29,20.09,20.17,-0.06,0.18,0.24
45,2014-03-10,ATVI,20.29,20.38,20.01,20.09,4683728.0,,,,,20.07,20.13,20.11,0.18,-0.22,-0.4
46,2014-03-11,ATVI,20.07,20.19,19.82,20.13,5311382.0,0.9716,0.0,0.8765,0.1235,20.6,19.9,20.29,-0.22,0.53,0.75
47,2014-03-12,ATVI,20.6,20.66,19.84,19.9,7112897.0,,,,,20.85,21.5,20.07,0.53,0.25,-0.28
48,2014-03-13,ATVI,20.85,21.5,20.53,21.5,16099873.0,,,,,21.0,20.84,20.6,0.25,0.15,-0.1
49,2014-03-14,ATVI,21.0,21.31,20.83,20.84,7773024.0,,,,,21.23,21.16,20.85,0.15,0.23,0.08
50,2014-03-17,ATVI,21.23,21.5,20.99,21.16,7427933.0,,,,,21.1,21.2,21.0,0.23,-0.13,-0.36
51,2014-03-18,ATVI,21.1,21.35,21.05,21.2,5363851.0,,,,,21.04,21.14,21.23,-0.13,-0.06,0.07
52,2014-03-19,ATVI,21.04,21.26,20.97,21.14,5942704.0,,,,,20.92,21.03,21.1,-0.06,-0.12,-0.06
53,2014-03-20,ATVI,20.92,21.14,20.88,21.03,3348840.0,,,,,20.78,21.11,21.04,-0.12,-0.14,-0.02
54,2014-03-21,ATVI,20.78,21.23,20.68,21.11,7984072.0,,,,,20.49,20.89,20.92,-0.14,-0.29,-0.15
55,2014-03-24,ATVI,20.49,20.98,20.45,20.89,4835371.0,,,,,20.59,20.59,20.78,-0.29,0.1,0.39
