,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,AYI,107.65,109.26,106.84,109.22,254146.0,,,,,108.15,107.7,,,0.5,
1,2014-01-03,AYI,108.15,108.56,107.55,107.7,192777.0,,,,,106.28,108.7,107.65,0.5,-1.87,-2.37
2,2014-01-06,AYI,106.28,108.93,105.74,108.7,271973.0,,,,,109.44,106.91,108.15,-1.87,3.16,5.03
3,2014-01-07,AYI,109.44,109.7,106.61,106.91,286308.0,,,,,110.03,109.47,106.28,3.16,0.59,-2.57
4,2014-01-08,AYI,110.03,110.56,108.24,109.47,635479.0,,,,,123.5,120.0,109.44,0.59,13.47,12.88
5,2014-01-09,AYI,123.5,136.46,119.06,120.0,1981527.0,,,,,132.66,128.22,110.03,13.47,9.16,-4.31
6,2014-01-10,AYI,132.66,134.0,127.17,128.22,1333814.0,,,,,129.79,131.77,123.5,9.16,-2.87,-12.03
7,2014-01-13,AYI,129.79,132.83,128.81,131.77,828964.0,,,,,130.09,130.12,132.66,-2.87,0.3,3.17
8,2014-01-14,AYI,130.09,130.79,128.38,130.12,626014.0,,,,,133.45,130.89,129.79,0.3,3.36,3.06
9,2014-01-15,AYI,133.45,133.55,129.98,130.89,591318.0,,,,,133.36,133.46,130.09,3.36,-0.09,-3.45
10,2014-01-16,AYI,133.36,134.28,131.4,133.46,316890.0,,,,,131.9,133.2,133.45,-0.09,-1.46,-1.37
11,2014-01-17,AYI,131.9,134.02,131.65,133.2,293472.0,,,,,130.73,132.3,133.36,-1.46,-1.17,0.29
12,2014-01-21,AYI,130.73,132.65,129.91,132.3,387140.0,,,,,131.36,130.73,131.9,-1.17,0.63,1.8
13,2014-01-22,AYI,131.36,131.41,130.1,130.73,286722.0,,,,,129.96,131.01,130.73,0.63,-1.4,-2.03
14,2014-01-23,AYI,129.96,131.43,129.1,131.01,299202.0,,,,,124.56,128.83,131.36,-1.4,-5.4,-4.0
15,2014-01-24,AYI,124.56,129.72,123.45,128.83,409024.0,,,,,125.37,125.36,129.96,-5.4,0.81,6.21
16,2014-01-27,AYI,125.37,126.61,123.4,125.36,685927.0,,,,,127.41,125.48,124.56,0.81,2.04,1.23
17,2014-01-28,AYI,127.41,128.41,125.32,125.48,369608.0,,,,,127.46,125.93,125.37,2.04,0.05,-1.99
18,2014-01-29,AYI,127.46,127.76,125.91,125.93,492044.0,,,,,127.04,129.1,127.41,0.05,-0.42,-0.47
19,2014-01-30,AYI,127.04,129.1,126.96,129.1,587724.0,,,,,127.04,125.56,127.46,-0.42,0.0,0.42
20,2014-01-31,AYI,127.04,129.07,125.09,125.56,357362.0,,,,,124.62,126.9,127.04,0.0,-2.42,-2.42
21,2014-02-03,AYI,124.62,127.67,122.97,126.9,750463.0,,,,,126.83,125.31,127.04,-2.42,2.21,4.63
22,2014-02-04,AYI,126.83,127.7,124.31,125.31,491075.0,,,,,126.86,126.33,124.62,2.21,0.03,-2.18
23,2014-02-05,AYI,126.86,127.18,124.06,126.33,401437.0,,,,,127.83,127.31,126.83,0.03,0.97,0.94
24,2014-02-06,AYI,127.83,129.61,126.97,127.31,279760.0,,,,,129.61,128.33,126.86,0.97,1.78,0.81
25,2014-02-07,AYI,129.61,129.98,128.15,128.33,379193.0,,,,,128.19,129.22,127.83,1.78,-1.42,-3.2
26,2014-02-10,AYI,128.19,129.58,126.42,129.22,375861.0,,,,,128.87,128.35,129.61,-1.42,0.68,2.1
27,2014-02-11,AYI,128.87,129.82,126.83,128.35,442889.0,,,,,131.51,128.94,128.19,0.68,2.64,1.96
28,2014-02-12,AYI,131.51,131.85,128.47,128.94,556671.0,,,,,133.0,131.02,128.87,2.64,1.49,-1.15
29,2014-02-13,AYI,133.0,133.34,129.42,131.02,317825.0,,,,,132.25,132.98,131.51,1.49,-0.75,-2.24
30,2014-02-14,AYI,132.25,133.34,131.41,132.98,341690.0,,,,,134.44,132.29,133.0,-0.75,2.19,2.94
31,2014-02-18,AYI,134.44,134.78,132.29,132.29,369030.0,,,,,133.58,133.77,132.25,2.19,-0.86,-3.05
32,2014-02-19,AYI,133.58,135.25,133.26,133.77,347297.0,,,,,136.09,133.92,134.44,-0.86,2.51,3.37
33,2014-02-20,AYI,136.09,136.24,132.94,133.92,304918.0,,,,,135.44,136.56,133.58,2.51,-0.65,-3.16
