,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,BHI,54.07,55.419998,53.84,54.98,3475200.0,,,,,53.59,54.150002,,,-0.48,
1,2014-01-03,BHI,53.59,54.450001,53.43,54.150002,3195400.0,,,,,53.400002,53.950001,54.07,-0.48,-0.189998,0.290002
2,2014-01-06,BHI,53.400002,53.959999,53.02,53.950001,2940300.0,,,,,52.790001,52.75,53.59,-0.189998,-0.610001,-0.420003
3,2014-01-07,BHI,52.790001,52.860001,52.259998,52.75,4494200.0,,,,,52.209999,52.869999,53.400002,-0.610001,-0.580002,0.029999
4,2014-01-08,BHI,52.209999,52.869999,51.669998,52.869999,5122500.0,,,,,51.82,52.5,52.790001,-0.580002,-0.389999,0.190003
5,2014-01-09,BHI,51.82,52.5,51.389999,52.5,3258300.0,,,,,53.060001,51.0,52.209999,-0.389999,1.240001,1.63
6,2014-01-10,BHI,53.060001,53.130001,50.799999,51.0,8784900.0,0.366233333333,0.0723333333333,0.832333333333,0.0956666666667,52.549999,53.470001,51.82,1.240001,-0.510002,-1.750003
7,2014-01-13,BHI,52.549999,53.470001,52.240002,53.470001,6200400.0,,,,,53.040001,52.07,53.060001,-0.510002,0.490002,1.000004
8,2014-01-14,BHI,53.040001,53.240002,52.07,52.07,4329000.0,,,,,53.5,53.330002,52.549999,0.490002,0.459999,-0.030003
9,2014-01-15,BHI,53.5,53.509998,52.740002,53.330002,4901200.0,,,,,53.73,53.5,53.040001,0.459999,0.23,-0.229999
10,2014-01-16,BHI,53.73,53.759998,53.189999,53.5,5071800.0,,,,,54.139999,53.959999,53.5,0.23,0.409999,0.179999
11,2014-01-17,BHI,54.139999,54.200001,53.66,53.959999,6107800.0,0.9815,0.037,0.852,0.11,56.73,55.139999,53.73,0.409999,2.590001,2.180002
12,2014-01-21,BHI,56.73,56.900002,55.0,55.139999,10040300.0,0.938566666667,0.0276666666667,0.85,0.122333333333,56.779999,56.82,54.139999,2.590001,0.049999,-2.540002
13,2014-01-22,BHI,56.779999,57.0,55.919998,56.82,4144700.0,,,,,56.939999,56.34,56.73,0.049999,0.16,0.110001
14,2014-01-23,BHI,56.939999,57.009998,56.34,56.34,6770500.0,,,,,56.43,56.48,56.779999,0.16,-0.509999,-0.669999
15,2014-01-24,BHI,56.43,57.049999,55.939999,56.48,6222000.0,,,,,56.25,56.389999,56.939999,-0.509999,-0.18,0.329999
16,2014-01-27,BHI,56.25,56.75,55.889999,56.389999,4920600.0,,,,,56.240002,55.610001,56.43,-0.18,-0.009998,0.170002
17,2014-01-28,BHI,56.240002,56.400002,55.290001,55.610001,6430900.0,,,,,55.810001,55.639999,56.25,-0.009998,-0.430001,-0.420003
18,2014-01-29,BHI,55.810001,56.029999,55.080002,55.639999,5998100.0,,,,,57.0,56.75,56.240002,-0.430001,1.189999,1.62
19,2014-01-30,BHI,57.0,57.34,56.610001,56.75,5766100.0,,,,,56.639999,56.16,55.810001,1.189999,-0.360001,-1.55
20,2014-01-31,BHI,56.639999,57.16,55.959999,56.16,5699000.0,,,,,56.200001,56.75,57.0,-0.360001,-0.439998,-0.079997
21,2014-02-03,BHI,56.200001,56.889999,55.889999,56.75,5276400.0,,,,,57.049999,56.459999,56.639999,-0.439998,0.849998,1.289996
22,2014-02-04,BHI,57.049999,57.150002,56.200001,56.459999,4873500.0,,,,,57.009998,56.959999,56.200001,0.849998,-0.040001,-0.889999
23,2014-02-05,BHI,57.009998,57.130001,56.450001,56.959999,5566700.0,,,,,58.16,57.080002,57.049999,-0.040001,1.150002,1.190003
24,2014-02-06,BHI,58.16,58.369999,57.0,57.080002,6248200.0,,,,,59.509998,58.060001,57.009998,1.150002,1.349998,0.199996
25,2014-02-07,BHI,59.509998,59.700001,58.060001,58.060001,7905500.0,,,,,59.07,59.41,58.16,1.349998,-0.439998,-1.789996
26,2014-02-10,BHI,59.07,59.57,58.900002,59.41,4334500.0,,,,,60.490002,59.18,59.509998,-0.439998,1.420002,1.86
27,2014-02-11,BHI,60.490002,61.060001,59.18,59.18,6015500.0,,,,,59.689999,60.59,59.07,1.420002,-0.800003,-2.220005
28,2014-02-12,BHI,59.689999,61.73,59.580002,60.59,6888600.0,,,,,59.77,59.439999,60.490002,-0.800003,0.080001,0.880004
29,2014-02-13,BHI,59.77,60.25,59.200001,59.439999,6418700.0,,,,,59.68,59.810001,59.689999,0.080001,-0.09,-0.170001
30,2014-02-14,BHI,59.68,60.360001,59.630001,59.810001,5073600.0,,,,,61.169998,59.970001,59.77,-0.09,1.489998,1.579998
