,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,BK,34.560001,35.029999,34.299999,34.299999,3469400.0,,,,,34.959999,34.610001,,,0.399998,
1,2014-01-03,BK,34.959999,35.34,34.580002,34.610001,4000300.0,,,,,34.950001,35.279999,34.560001,0.399998,-0.009998,-0.409996
2,2014-01-06,BK,34.950001,35.66,34.880001,35.279999,6204400.0,,,,,34.540001,35.099998,34.959999,-0.009998,-0.41,-0.400002
3,2014-01-07,BK,34.540001,35.169998,34.330002,35.099998,6967500.0,0.9886,0.009,0.92,0.071,34.66,34.639999,34.950001,-0.41,0.119999,0.529999
4,2014-01-08,BK,34.66,34.84,34.310001,34.639999,4855000.0,,,,,34.700001,34.709999,34.540001,0.119999,0.040001,-0.079998
5,2014-01-09,BK,34.700001,34.830002,34.32,34.709999,3673700.0,,,,,34.23,34.669998,34.66,0.040001,-0.470001,-0.510002
6,2014-01-10,BK,34.23,34.73,34.049999,34.669998,4777200.0,,,,,33.5,34.189999,34.700001,-0.470001,-0.73,-0.259999
7,2014-01-13,BK,33.5,34.279999,33.43,34.189999,6130600.0,,,,,33.82,33.650002,34.23,-0.73,0.32,1.05
8,2014-01-14,BK,33.82,33.860001,33.5,33.650002,5369700.0,,,,,34.16,34.07,33.5,0.32,0.34,0.02
9,2014-01-15,BK,34.16,34.169998,33.790001,34.07,6027600.0,0.9805,0.01,0.92,0.071,33.919998,34.139999,33.82,0.34,-0.240002,-0.580002
10,2014-01-16,BK,33.919998,34.18,33.799999,34.139999,6850700.0,,,,,32.700001,33.450001,34.16,-0.240002,-1.219997,-0.979995
11,2014-01-17,BK,32.700001,33.48,32.630001,33.450001,8525200.0,,,,,33.09,32.990002,33.919998,-1.219997,0.389999,1.609996
12,2014-01-21,BK,33.09,33.119999,32.75,32.990002,7714800.0,,,,,33.41,33.07,32.700001,0.389999,0.32,-0.069999
13,2014-01-22,BK,33.41,33.439999,33.029999,33.07,6127200.0,,,,,33.119999,33.080002,33.09,0.32,-0.290001,-0.610001
14,2014-01-23,BK,33.119999,33.209999,32.84,33.080002,8123400.0,,,,,32.34,32.709999,33.41,-0.290001,-0.779999,-0.489998
15,2014-01-24,BK,32.34,33.0,32.310001,32.709999,7131300.0,,,,,32.040001,32.34,33.119999,-0.779999,-0.299999,0.48
16,2014-01-27,BK,32.040001,32.549999,31.9,32.34,6479600.0,0.9578,0.005,0.932,0.063,32.220001,32.18,32.34,-0.299999,0.18,0.479999
17,2014-01-28,BK,32.220001,32.32,32.009998,32.18,5983300.0,,,,,31.73,31.780001,32.040001,0.18,-0.490001,-0.670001
18,2014-01-29,BK,31.73,32.290001,31.67,31.780001,6445400.0,,,,,32.41,32.049999,32.220001,-0.490001,0.68,1.170001
19,2014-01-30,BK,32.41,32.59,32.040001,32.049999,4798100.0,0.9837,0.018,0.896,0.086,31.959999,31.77,31.73,0.68,-0.450001,-1.130001
20,2014-01-31,BK,31.959999,32.23,31.66,31.77,5236300.0,,,,,30.91,31.889999,32.41,-0.450001,-1.049999,-0.599998
21,2014-02-03,BK,30.91,32.02,30.879999,31.889999,7765000.0,,,,,31.190001,31.17,31.959999,-1.049999,0.280001,1.33
22,2014-02-04,BK,31.190001,31.35,30.940001,31.17,8462300.0,,,,,30.93,31.139999,30.91,0.280001,-0.260001,-0.540002
23,2014-02-05,BK,30.93,31.27,30.84,31.139999,4187800.0,0.9798,0.005,0.917,0.078,31.469999,31.01,31.190001,-0.260001,0.539999,0.8
24,2014-02-06,BK,31.469999,31.49,30.959999,31.01,3671700.0,0.9796,0.0,0.905,0.095,31.790001,31.639999,30.93,0.539999,0.320002,-0.219997
25,2014-02-07,BK,31.790001,31.84,31.389999,31.639999,5264100.0,,,,,31.51,31.75,31.469999,0.320002,-0.280001,-0.600003
26,2014-02-10,BK,31.51,31.77,31.34,31.75,4695200.0,0.9812,0.0,0.914,0.086,31.969999,31.530001,31.790001,-0.280001,0.459999,0.74
27,2014-02-11,BK,31.969999,32.040001,31.33,31.530001,4739400.0,,,,,31.98,32.040001,31.51,0.459999,0.010001,-0.449998
28,2014-02-12,BK,31.98,32.27,31.82,32.040001,2545100.0,,,,,31.98,31.74,31.969999,0.010001,0.0,-0.010001
29,2014-02-13,BK,31.98,32.009998,31.68,31.74,3479700.0,,,,,31.790001,31.91,31.98,0.0,-0.189999,-0.189999
30,2014-02-14,BK,31.790001,32.02,31.709999,31.91,4948800.0,,,,,31.76,31.85,31.98,-0.189999,-0.030001,0.159998
31,2014-02-18,BK,31.76,31.950001,31.690001,31.85,3527900.0,,,,,31.129999,31.629999,31.790001,-0.030001,-0.630001,-0.6
