,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-09-24,CFG,23.08,23.219999,21.35,21.5,60450900.0,,,,,23.049999,22.559999,,,-0.030001,
1,2014-09-25,CFG,23.049999,23.41,22.450001,22.559999,8430000.0,,,,,23.25,23.18,23.08,-0.030001,0.200001,0.230002
2,2014-09-26,CFG,23.25,23.370001,22.91,23.18,2504400.0,,,,,23.23,23.139999,23.049999,0.200001,-0.02,-0.220001
3,2014-09-29,CFG,23.23,23.450001,22.91,23.139999,4832600.0,,,,,23.42,23.110001,23.25,-0.02,0.19,0.21
4,2014-09-30,CFG,23.42,23.57,23.049999,23.110001,4103100.0,,,,,23.440001,23.219999,23.23,0.19,0.020001,-0.169999
5,2014-10-01,CFG,23.440001,23.610001,23.110001,23.219999,3915500.0,,,,,23.34,23.34,23.42,0.020001,-0.100001,-0.120002
6,2014-10-02,CFG,23.34,23.59,23.302999,23.34,3121400.0,,,,,23.23,23.379999,23.440001,-0.100001,-0.11,-0.009999
7,2014-10-03,CFG,23.23,23.469999,23.01,23.379999,1585900.0,,,,,22.639999,23.280001,23.34,-0.11,-0.590001,-0.480001
8,2014-10-06,CFG,22.639999,23.370001,22.610001,23.280001,1208400.0,,,,,22.52,22.559999,23.23,-0.590001,-0.119999,0.470002
9,2014-10-07,CFG,22.52,22.74,22.26,22.559999,1508400.0,,,,,22.75,22.110001,22.639999,-0.119999,0.23,0.349999
10,2014-10-08,CFG,22.75,23.15,22.110001,22.110001,1649200.0,,,,,22.48,23.0,22.52,0.23,-0.27,-0.5
11,2014-10-09,CFG,22.48,23.0,22.24,23.0,1229100.0,,,,,22.280001,22.389999,22.75,-0.27,-0.199999,0.070001
12,2014-10-10,CFG,22.280001,22.559999,22.135,22.389999,924000.0,,,,,22.450001,22.129999,22.48,-0.199999,0.17,0.369999
13,2014-10-13,CFG,22.450001,22.66,22.120001,22.129999,1382800.0,,,,,22.450001,22.5,22.280001,0.17,0.0,-0.17
14,2014-10-14,CFG,22.450001,22.790001,22.299999,22.5,1605800.0,,,,,21.85,22.129999,22.450001,0.0,-0.600001,-0.600001
15,2014-10-15,CFG,21.85,22.200001,21.5,22.129999,3405400.0,,,,,21.799999,21.51,22.450001,-0.600001,-0.050001,0.55
16,2014-10-16,CFG,21.799999,21.950001,21.469999,21.51,3105800.0,,,,,21.92,21.889999,21.85,-0.050001,0.120001,0.170002
