,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,CHRW,57.82,58.48,57.610001,58.209999,1501000.0,,,,,57.279999,58.009998,,,-0.540001,
1,2014-01-03,CHRW,57.279999,58.049999,57.07,58.009998,1319600.0,,,,,56.610001,57.650002,57.82,-0.540001,-0.669998,-0.129997
2,2014-01-06,CHRW,56.610001,57.759998,56.52,57.650002,2063900.0,,,,,56.68,56.639999,57.279999,-0.669998,0.069999,0.739997
3,2014-01-07,CHRW,56.68,57.0,56.389999,56.639999,1309800.0,,,,,56.27,56.689999,56.610001,0.069999,-0.41,-0.479999
4,2014-01-08,CHRW,56.27,56.740002,56.099998,56.689999,1516900.0,,,,,56.549999,56.470001,56.68,-0.41,0.279999,0.689999
5,2014-01-09,CHRW,56.549999,56.700001,56.119999,56.470001,1133300.0,,,,,57.700001,56.619999,56.27,0.279999,1.150002,0.870003
6,2014-01-10,CHRW,57.700001,58.27,56.599998,56.619999,2561500.0,,,,,57.450001,57.450001,56.549999,1.150002,-0.25,-1.400002
7,2014-01-13,CHRW,57.450001,58.139999,57.349998,57.450001,1771000.0,,,,,57.740002,57.669998,57.700001,-0.25,0.290001,0.540001
8,2014-01-14,CHRW,57.740002,57.990002,57.029999,57.669998,1013300.0,,,,,59.34,57.970001,57.450001,0.290001,1.599998,1.309997
9,2014-01-15,CHRW,59.34,59.450001,57.740002,57.970001,3266200.0,,,,,59.52,58.349998,57.740002,1.599998,0.18,-1.419998
10,2014-01-16,CHRW,59.52,59.689999,58.349998,58.349998,1567000.0,,,,,59.130001,59.110001,59.34,0.18,-0.389999,-0.569999
11,2014-01-17,CHRW,59.130001,59.490002,58.740002,59.110001,1448900.0,,,,,59.66,59.490002,59.52,-0.389999,0.529999,0.919998
12,2014-01-21,CHRW,59.66,59.700001,58.799999,59.490002,1728600.0,,,,,60.23,59.84,59.130001,0.529999,0.57,0.040001
13,2014-01-22,CHRW,60.23,60.310001,59.73,59.84,1738200.0,,,,,59.049999,59.27,59.66,0.57,-1.180001,-1.750001
14,2014-01-23,CHRW,59.049999,59.73,58.209999,59.27,2290000.0,,,,,57.209999,58.869999,60.23,-1.180001,-1.84,-0.659999
15,2014-01-24,CHRW,57.209999,58.919998,57.18,58.869999,2039400.0,,,,,57.0,57.360001,59.049999,-1.84,-0.209999,1.630001
16,2014-01-27,CHRW,57.0,57.860001,56.52,57.360001,1431900.0,,,,,57.450001,56.919998,57.209999,-0.209999,0.450001,0.66
17,2014-01-28,CHRW,57.450001,57.490002,56.84,56.919998,1784500.0,,,,,57.630001,56.959999,57.0,0.450001,0.18,-0.270001
18,2014-01-29,CHRW,57.630001,58.43,56.869999,56.959999,2240800.0,,,,,58.279999,57.939999,57.450001,0.18,0.649998,0.469998
19,2014-01-30,CHRW,58.279999,58.68,57.689999,57.939999,1655100.0,,,,,58.540001,57.529999,57.630001,0.649998,0.260002,-0.389996
20,2014-01-31,CHRW,58.540001,58.91,57.529999,57.529999,2069000.0,,,,,57.73,57.91,58.279999,0.260002,-0.810001,-1.070003
21,2014-02-03,CHRW,57.73,58.540001,57.110001,57.91,2807400.0,,,,,58.639999,58.110001,58.540001,-0.810001,0.909999,1.72
22,2014-02-04,CHRW,58.639999,58.880001,57.459999,58.110001,3252400.0,,,,,53.16,53.470001,57.73,0.909999,-5.479999,-6.389998
23,2014-02-05,CHRW,53.16,54.5,52.5,53.470001,10199900.0,,,,,52.48,53.060001,58.639999,-5.479999,-0.68,4.799999
24,2014-02-06,CHRW,52.48,53.150002,52.040001,53.060001,3896100.0,,,,,52.389999,52.91,53.16,-0.68,-0.090001,0.589999
25,2014-02-07,CHRW,52.389999,53.150002,52.009998,52.91,2922600.0,,,,,52.93,52.380001,52.48,-0.090001,0.540001,0.630002
26,2014-02-10,CHRW,52.93,53.43,52.299999,52.380001,2233700.0,,,,,53.869999,52.84,52.389999,0.540001,0.939999,0.399998
27,2014-02-11,CHRW,53.869999,54.009998,52.73,52.84,2225300.0,,,,,53.790001,53.939999,52.93,0.939999,-0.079998,-1.019997
28,2014-02-12,CHRW,53.790001,54.540001,53.669998,53.939999,1666000.0,,,,,54.029999,53.59,53.869999,-0.079998,0.239998,0.319996
29,2014-02-13,CHRW,54.029999,54.080002,53.5,53.59,1572800.0,,,,,54.639999,53.889999,53.790001,0.239998,0.61,0.370002
30,2014-02-14,CHRW,54.639999,54.68,53.84,53.889999,1366400.0,,,,,54.419998,54.720001,54.029999,0.61,-0.220001,-0.830001
31,2014-02-18,CHRW,54.419998,55.169998,54.330002,54.720001,1736000.0,,,,,53.77,54.400002,54.639999,-0.220001,-0.649998,-0.429997
32,2014-02-19,CHRW,53.77,54.860001,53.689999,54.400002,1640400.0,,,,,54.16,53.720001,54.419998,-0.649998,0.39,1.039998
33,2014-02-20,CHRW,54.16,54.360001,53.450001,53.720001,1463600.0,,,,,54.119999,54.27,53.77,0.39,-0.040001,-0.430001
34,2014-02-21,CHRW,54.119999,54.669998,54.099998,54.27,1539300.0,,,,,53.34,54.189999,54.16,-0.040001,-0.779999,-0.739998
35,2014-02-24,CHRW,53.34,54.48,53.330002,54.189999,1957500.0,,,,,52.419998,53.110001,54.119999,-0.779999,-0.920002,-0.140003
36,2014-02-25,CHRW,52.419998,53.529999,52.200001,53.110001,2602900.0,,,,,52.52,52.470001,53.34,-0.920002,0.100002,1.020004
37,2014-02-26,CHRW,52.52,52.77,52.25,52.470001,1460500.0,,,,,52.360001,52.41,52.419998,0.100002,-0.159999,-0.260001
38,2014-02-27,CHRW,52.360001,52.549999,52.040001,52.41,1491300.0,,,,,51.860001,52.369999,52.52,-0.159999,-0.5,-0.340001
39,2014-02-28,CHRW,51.860001,52.400002,51.619999,52.369999,1823100.0,,,,,51.75,51.669998,52.360001,-0.5,-0.110001,0.389999
40,2014-03-03,CHRW,51.75,51.990002,51.32,51.669998,1867700.0,,,,,52.18,52.099998,51.860001,-0.110001,0.43,0.540001
41,2014-03-04,CHRW,52.18,52.43,51.970001,52.099998,1612900.0,,,,,51.759998,51.689999,51.75,0.43,-0.420002,-0.850002
42,2014-03-05,CHRW,51.759998,51.919998,51.389999,51.689999,1620500.0,,,,,52.450001,52.040001,52.18,-0.420002,0.690003,1.110005
43,2014-03-06,CHRW,52.450001,52.540001,51.77,52.040001,1408100.0,,,,,52.27,52.669998,51.759998,0.690003,-0.180001,-0.870004
44,2014-03-07,CHRW,52.27,52.810001,52.080002,52.669998,1244700.0,,,,,52.57,52.349998,52.450001,-0.180001,0.3,0.480001
45,2014-03-10,CHRW,52.57,52.669998,52.040001,52.349998,1005000.0,,,,,52.380001,52.650002,52.27,0.3,-0.189999,-0.489999
46,2014-03-11,CHRW,52.380001,52.740002,52.189999,52.650002,1189000.0,,,,,52.450001,52.240002,52.57,-0.189999,0.07,0.259999
