,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,CHTR,134.759995,137.679993,134.479996,137.149994,1119900.0,,,,,133.369995,134.860001,,,-1.39,
1,2014-01-03,CHTR,133.369995,135.300003,133.020004,134.860001,678500.0,,,,,135.0,133.990005,134.759995,-1.39,1.630005,3.020005
2,2014-01-06,CHTR,135.0,137.020004,133.75,133.990005,660500.0,0.9833,0.02,0.844,0.136,138.080002,135.259995,133.369995,1.630005,3.080002,1.449997
3,2014-01-07,CHTR,138.080002,138.25,135.130005,135.259995,1026300.0,,,,,136.089996,137.919998,135.0,3.080002,-1.990006,-5.070008
4,2014-01-08,CHTR,136.089996,138.279999,135.919998,137.919998,941900.0,,,,,136.009995,136.330002,138.080002,-1.990006,-0.080001,1.910005
5,2014-01-09,CHTR,136.009995,136.990005,135.149994,136.330002,1095200.0,,,,,136.419998,136.339996,136.089996,-0.080001,0.410003,0.490004
6,2014-01-10,CHTR,136.419998,137.25,135.0,136.339996,786600.0,,,,,134.220001,135.929993,136.009995,0.410003,-2.199997,-2.61
7,2014-01-13,CHTR,134.220001,136.380005,133.479996,135.929993,914700.0,0.74095,0.03025,0.88025,0.08975,137.339996,134.839996,136.419998,-2.199997,3.119995,5.319992
8,2014-01-14,CHTR,137.339996,137.630005,134.130005,134.839996,1763500.0,0.890057142857,0.041,0.863142857143,0.0958571428571,136.039993,137.5,134.220001,3.119995,-1.300003,-4.419998
9,2014-01-15,CHTR,136.039993,137.899994,134.949997,137.5,1375600.0,0.726242857143,0.0408571428571,0.890428571429,0.0688571428571,134.960007,136.259995,137.339996,-1.300003,-1.079986,0.220017
10,2014-01-16,CHTR,134.960007,137.399994,132.440002,136.259995,938700.0,0.650266666667,0.038,0.869666666667,0.0923333333333,134.289993,134.559998,136.039993,-1.079986,-0.670014,0.409972
11,2014-01-17,CHTR,134.289993,135.520004,134.0,134.559998,985200.0,0.974366666667,0.0513333333333,0.853333333333,0.0953333333333,133.5,134.289993,134.960007,-0.670014,-0.789993,-0.119979
12,2014-01-21,CHTR,133.5,135.190002,133.190002,134.289993,1161400.0,,,,,135.0,133.539993,134.289993,-0.789993,1.5,2.289993
13,2014-01-22,CHTR,135.0,135.149994,132.600006,133.539993,629400.0,0.9975,0.0395,0.851,0.11,133.460007,134.580002,133.5,1.5,-1.539993,-3.039993
14,2014-01-23,CHTR,133.460007,134.729996,133.110001,134.580002,722200.0,0.4538,0.0336666666667,0.913333333333,0.0526666666667,131.419998,132.410004,135.0,-1.539993,-2.040009,-0.500016
15,2014-01-24,CHTR,131.419998,133.559998,130.580002,132.410004,1314000.0,-0.7509,0.0805,0.8495,0.0705,136.919998,131.309998,133.460007,-2.040009,5.5,7.540009
16,2014-01-27,CHTR,136.919998,140.740005,131.309998,131.309998,4419800.0,0.5326,0.0292,0.8908,0.0798,136.649994,137.850006,131.419998,5.5,-0.270004,-5.770004
17,2014-01-28,CHTR,136.649994,139.460007,136.339996,137.850006,1203900.0,0.9186,0.037,0.845,0.118,138.240005,135.869995,136.919998,-0.270004,1.590011,1.860015
18,2014-01-29,CHTR,138.240005,138.949997,135.270004,135.869995,3020200.0,,,,,138.770004,138.460007,136.649994,1.590011,0.529999,-1.060012
19,2014-01-30,CHTR,138.770004,139.779999,137.429993,138.460007,1301000.0,0.972666666667,0.058,0.839,0.103,137.0,137.100006,138.240005,0.529999,-1.770004,-2.300003
20,2014-01-31,CHTR,137.0,138.720001,136.839996,137.100006,1355000.0,0.979,0.029,0.879,0.093,136.119995,137.729996,138.770004,-1.770004,-0.880005,0.889999
21,2014-02-03,CHTR,136.119995,140.240005,135.020004,137.729996,1477200.0,0.6124,0.042,0.893,0.065,138.860001,136.850006,137.0,-0.880005,2.740006,3.620011
22,2014-02-04,CHTR,138.860001,139.320007,136.149994,136.850006,1860100.0,,,,,137.350006,138.75,136.119995,2.740006,-1.509995,-4.250001
23,2014-02-05,CHTR,137.350006,138.800003,136.949997,138.75,802700.0,,,,,136.5,138.199997,138.860001,-1.509995,-0.850006,0.659989
24,2014-02-06,CHTR,136.5,138.690002,136.410004,138.199997,1443200.0,,,,,137.5,137.130005,137.350006,-0.850006,1.0,1.850006
25,2014-02-07,CHTR,137.5,138.550003,136.820007,137.130005,2632500.0,,,,,137.619995,137.960007,136.5,1.0,0.119995,-0.880005
26,2014-02-10,CHTR,137.619995,138.229996,137.279999,137.960007,1699300.0,-0.365733333333,0.0686666666667,0.888333333333,0.043,137.899994,137.509995,137.5,0.119995,0.279999,0.160004
27,2014-02-11,CHTR,137.899994,139.449997,137.009995,137.509995,1814800.0,0.36638,0.0446,0.9044,0.051,137.570007,138.300003,137.619995,0.279999,-0.329987,-0.609986
28,2014-02-12,CHTR,137.570007,139.130005,137.139999,138.300003,1664900.0,,,,,128.910004,124.940002,137.899994,-0.329987,-8.660003,-8.330016
29,2014-02-13,CHTR,128.910004,130.0,124.760002,124.940002,9910600.0,,,,,129.350006,128.710007,137.570007,-8.660003,0.440002,9.100005
30,2014-02-14,CHTR,129.350006,129.410004,126.75,128.710007,2924000.0,0.994566666667,0.0523333333333,0.853,0.095,131.5,128.339996,128.910004,0.440002,2.149994,1.709992
31,2014-02-18,CHTR,131.5,133.009995,128.339996,128.339996,1617200.0,,,,,130.440002,131.130005,129.350006,2.149994,-1.059998,-3.209992
32,2014-02-19,CHTR,130.440002,131.990005,129.0,131.130005,2774200.0,,,,,131.839996,130.850006,131.5,-1.059998,1.399994,2.459992
33,2014-02-20,CHTR,131.839996,133.179993,130.580002,130.850006,1592500.0,,,,,125.080002,132.020004,130.440002,1.399994,-6.759994,-8.159988
34,2014-02-21,CHTR,125.080002,132.020004,124.0,132.020004,5432300.0,0.865425,0.047,0.86225,0.0905,123.580002,125.0,131.839996,-6.759994,-1.5,5.259994
35,2014-02-24,CHTR,123.580002,127.059998,122.5,125.0,3138200.0,,,,,121.339996,123.370003,125.080002,-1.5,-2.240006,-0.740006
36,2014-02-25,CHTR,121.339996,123.959999,120.5,123.370003,2933900.0,,,,,121.25,121.760002,123.580002,-2.240006,-0.089996,2.15001
37,2014-02-26,CHTR,121.25,122.370003,120.860001,121.760002,2090700.0,,,,,124.139999,121.790001,121.339996,-0.089996,2.889999,2.979995
38,2014-02-27,CHTR,124.139999,124.440002,121.5,121.790001,1335600.0,,,,,126.769997,124.07,121.25,2.889999,2.629998,-0.260001
39,2014-02-28,CHTR,126.769997,127.089996,124.019997,124.07,2532900.0,0.9535,0.0185,0.8775,0.1045,125.690002,125.400002,124.139999,2.629998,-1.079995,-3.709993
40,2014-03-03,CHTR,125.690002,125.690002,122.300003,125.400002,1535400.0,,,,,128.220001,126.190002,126.769997,-1.079995,2.529999,3.609994
41,2014-03-04,CHTR,128.220001,128.330002,125.550003,126.190002,1912500.0,,,,,127.410004,128.399994,125.690002,2.529999,-0.809997,-3.339996
42,2014-03-05,CHTR,127.410004,129.610001,126.860001,128.399994,1858800.0,,,,,126.639999,127.099998,128.220001,-0.809997,-0.770005,0.039992
43,2014-03-06,CHTR,126.639999,128.080002,125.809998,127.099998,1580300.0,,,,,127.0,128.660004,127.410004,-0.770005,0.360001,1.130006
44,2014-03-07,CHTR,127.0,128.990005,125.470001,128.660004,1838600.0,,,,,128.539993,128.270004,126.639999,0.360001,1.539993,1.179992
45,2014-03-10,CHTR,128.539993,129.75,126.18,128.270004,1100900.0,,,,,127.739998,128.199997,127.0,1.539993,-0.799995,-2.339988
46,2014-03-11,CHTR,127.739998,129.149994,127.360001,128.199997,1181700.0,,,,,127.269997,127.220001,128.539993,-0.799995,-0.470001,0.329994
47,2014-03-12,CHTR,127.269997,128.820007,126.0,127.220001,912000.0,,,,,125.720001,127.400002,127.739998,-0.470001,-1.549996,-1.079995
48,2014-03-13,CHTR,125.720001,127.400002,125.050003,127.400002,687400.0,,,,,127.0,126.5,127.269997,-1.549996,1.279999,2.829995
49,2014-03-14,CHTR,127.0,127.68,125.970001,126.5,919200.0,,,,,126.489998,127.800003,125.720001,1.279999,-0.510002,-1.790001
50,2014-03-17,CHTR,126.489998,128.259995,126.0,127.800003,713900.0,,,,,125.989998,126.660004,127.0,-0.510002,-0.5,0.010002
51,2014-03-18,CHTR,125.989998,128.050003,125.800003,126.660004,831200.0,,,,,126.470001,125.599998,126.489998,-0.5,0.480003,0.980003
52,2014-03-19,CHTR,126.470001,126.57,124.870003,125.599998,748100.0,,,,,126.699997,126.019997,125.989998,0.480003,0.229996,-0.250007
53,2014-03-20,CHTR,126.699997,127.330002,125.510002,126.019997,1068600.0,,,,,127.25,127.419998,126.470001,0.229996,0.550003,0.320007
54,2014-03-21,CHTR,127.25,127.970001,126.32,127.419998,1472200.0,,,,,125.75,127.379997,126.699997,0.550003,-1.5,-2.050003
55,2014-03-24,CHTR,125.75,127.529999,124.790001,127.379997,1155500.0,,,,,124.120003,126.169998,127.25,-1.5,-1.629997,-0.129997
56,2014-03-25,CHTR,124.120003,126.720001,123.790001,126.169998,722000.0,,,,,123.110001,124.550003,125.75,-1.629997,-1.010002,0.619995
57,2014-03-26,CHTR,123.110001,125.919998,122.980003,124.550003,1389400.0,,,,,121.260002,122.669998,124.120003,-1.010002,-1.849999,-0.839997
58,2014-03-27,CHTR,121.260002,124.410004,120.75,122.669998,1585800.0,,,,,122.410004,123.209999,123.110001,-1.849999,1.150002,3.000001
59,2014-03-28,CHTR,122.410004,124.510002,122.269997,123.209999,1299800.0,0.9538,0.0695,0.7705,0.16,123.199997,123.379997,121.260002,1.150002,0.789993,-0.360009
60,2014-03-31,CHTR,123.199997,125.080002,121.650002,123.379997,821700.0,0.9964,0.008,0.922,0.07,125.639999,123.709999,122.410004,0.789993,2.440002,1.650009
61,2014-04-01,CHTR,125.639999,125.860001,123.389999,123.709999,867900.0,,,,,126.5,128.100006,123.199997,2.440002,0.860001,-1.580001
62,2014-04-02,CHTR,126.5,128.100006,125.470001,128.100006,549200.0,,,,,124.900002,126.400002,125.639999,0.860001,-1.599998,-2.459999
63,2014-04-03,CHTR,124.900002,127.150002,124.230003,126.400002,980600.0,,,,,122.720001,125.860001,126.5,-1.599998,-2.180001,-0.580003
64,2014-04-04,CHTR,122.720001,125.860001,122.449997,125.860001,895200.0,,,,,118.940002,123.239998,124.900002,-2.180001,-3.779999,-1.599998
65,2014-04-07,CHTR,118.940002,123.910004,118.389999,123.239998,1645400.0,,,,,121.150002,119.010002,122.720001,-3.779999,2.21,5.989999
66,2014-04-08,CHTR,121.150002,121.529999,117.199997,119.010002,1296800.0,,,,,124.040001,121.949997,118.940002,2.21,2.889999,0.679999
67,2014-04-09,CHTR,124.040001,124.150002,121.360001,121.949997,998500.0,,,,,121.989998,123.480003,121.150002,2.889999,-2.050003,-4.940002
68,2014-04-10,CHTR,121.989998,125.0,120.82,123.480003,864500.0,,,,,118.459999,120.660004,124.040001,-2.050003,-3.529999,-1.479996
69,2014-04-11,CHTR,118.459999,121.870003,118.330002,120.660004,1203300.0,,,,,119.410004,119.470001,121.989998,-3.529999,0.950005,4.480004
70,2014-04-14,CHTR,119.410004,120.779999,118.209999,119.470001,1002400.0,,,,,118.07,119.650002,118.459999,0.950005,-1.340004,-2.290009
71,2014-04-15,CHTR,118.07,120.139999,116.779999,119.650002,812700.0,,,,,118.110001,118.860001,119.410004,-1.340004,0.040001,1.380005
72,2014-04-16,CHTR,118.110001,119.709999,117.489998,118.860001,1249800.0,,,,,117.830002,117.099998,118.07,0.040001,-0.279999,-0.32
73,2014-04-17,CHTR,117.830002,118.43,116.900002,117.099998,1726600.0,,,,,123.610001,120.610001,118.110001,-0.279999,5.779999,6.059998
74,2014-04-21,CHTR,123.610001,125.07,120.410004,120.610001,1307500.0,0.9652,0.012,0.908,0.08,126.959999,123.739998,117.830002,5.779999,3.349998,-2.430001
75,2014-04-22,CHTR,126.959999,127.419998,123.43,123.739998,1961700.0,0.962225,0.0165,0.91825,0.06525,128.100006,128.009995,123.610001,3.349998,1.140007,-2.209991
76,2014-04-23,CHTR,128.100006,129.0,126.889999,128.009995,1736300.0,0.5984,0.0376666666667,0.882666666667,0.0793333333333,130.490005,128.970001,126.959999,1.140007,2.389999,1.249992
77,2014-04-24,CHTR,130.490005,130.940002,127.839996,128.970001,2178400.0,,,,,130.009995,129.929993,128.100006,2.389999,-0.48001,-2.870009
78,2014-04-25,CHTR,130.009995,130.389999,128.259995,129.929993,1911700.0,,,,,140.050003,132.339996,130.490005,-0.48001,10.040008,10.520018
79,2014-04-28,CHTR,140.050003,142.699997,132.339996,132.339996,7014400.0,0.55165,0.04025,0.88675,0.07325,137.149994,139.350006,130.009995,10.040008,-2.900009,-12.940017
80,2014-04-29,CHTR,137.149994,139.860001,135.289993,139.350006,2275600.0,,,,,135.529999,135.199997,140.050003,-2.900009,-1.619995,1.280014
81,2014-04-30,CHTR,135.529999,137.820007,134.809998,135.199997,1843200.0,0.7813,0.012,0.936,0.052,136.679993,135.360001,137.149994,-1.619995,1.149994,2.769989
82,2014-05-01,CHTR,136.679993,137.610001,134.309998,135.360001,1386300.0,,,,,137.210007,137.899994,135.529999,1.149994,0.530014,-0.61998
83,2014-05-02,CHTR,137.210007,138.279999,136.139999,137.899994,711900.0,,,,,138.410004,136.770004,136.679993,0.530014,1.199997,0.669983
84,2014-05-05,CHTR,138.410004,138.559998,136.360001,136.770004,665600.0,,,,,138.419998,138.050003,137.210007,1.199997,0.00999399999998,-1.190003
85,2014-05-06,CHTR,138.419998,139.520004,137.610001,138.050003,966500.0,,,,,139.520004,138.830002,138.410004,0.00999399999998,1.100006,1.090012
86,2014-05-07,CHTR,139.520004,139.789993,138.0,138.830002,1290700.0,,,,,137.410004,139.589996,138.419998,1.100006,-2.11,-3.210006
87,2014-05-08,CHTR,137.410004,139.789993,136.119995,139.589996,1236000.0,0.996666666667,0.00733333333333,0.799666666667,0.193333333333,137.949997,137.410004,139.520004,-2.11,0.539993,2.649993
88,2014-05-09,CHTR,137.949997,138.880005,136.410004,137.410004,691400.0,,,,,137.070007,138.869995,137.410004,0.539993,-0.87999,-1.419983
89,2014-05-12,CHTR,137.070007,139.059998,136.199997,138.869995,1147400.0,,,,,136.619995,137.399994,137.949997,-0.87999,-0.450012,0.429978
90,2014-05-13,CHTR,136.619995,137.399994,135.130005,137.399994,1853600.0,,,,,136.149994,136.270004,137.070007,-0.450012,-0.470001,-0.019989
91,2014-05-14,CHTR,136.149994,136.839996,135.110001,136.270004,1461700.0,,,,,136.910004,135.800003,136.619995,-0.470001,0.76001,1.230011
92,2014-05-15,CHTR,136.910004,137.149994,134.139999,135.800003,1005700.0,0.9538,0.021,0.897,0.082,137.460007,137.020004,136.149994,0.76001,0.550003,-0.210007
93,2014-05-16,CHTR,137.460007,138.050003,135.839996,137.020004,508700.0,,,,,138.679993,136.160004,136.910004,0.550003,1.219986,0.669983
94,2014-05-19,CHTR,138.679993,138.949997,136.160004,136.160004,765900.0,,,,,138.960007,138.770004,137.460007,1.219986,0.280014,-0.939972
95,2014-05-20,CHTR,138.960007,140.179993,137.800003,138.770004,759400.0,,,,,138.559998,139.149994,138.679993,0.280014,-0.400009,-0.680023
96,2014-05-21,CHTR,138.559998,139.679993,138.070007,139.149994,621200.0,,,,,138.169998,138.770004,138.960007,-0.400009,-0.39,0.010009
97,2014-05-22,CHTR,138.169998,139.539993,137.639999,138.770004,754100.0,,,,,140.589996,138.759995,138.559998,-0.39,2.419998,2.809998
98,2014-05-23,CHTR,140.589996,141.279999,138.389999,138.759995,663400.0,,,,,142.910004,140.649994,138.169998,2.419998,2.320008,-0.09999
99,2014-05-27,CHTR,142.910004,143.25,140.419998,140.649994,1132600.0,,,,,143.589996,143.330002,140.589996,2.320008,0.679992,-1.640016
