,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,CME,77.959999,78.75,77.32,77.959999,2070900.0,,,,,79.199997,78.120003,,,1.239998,
1,2014-01-03,CME,79.199997,79.550003,77.809998,78.120003,1343300.0,,,,,78.400002,79.0,77.959999,1.239998,-0.799995,-2.039993
2,2014-01-06,CME,78.400002,79.970001,78.389999,79.0,1961200.0,0.1761,0.05,0.896,0.054,77.82,78.550003,79.199997,-0.799995,-0.580002,0.219993
3,2014-01-07,CME,77.82,79.080002,77.290001,78.550003,1598100.0,,,,,77.059998,76.82,78.400002,-0.580002,-0.760002,-0.18
4,2014-01-08,CME,77.059998,78.040001,76.589996,76.82,2578400.0,,,,,77.099998,77.339996,77.82,-0.760002,0.04,0.800002
5,2014-01-09,CME,77.099998,77.800003,76.919998,77.339996,1577700.0,,,,,76.489998,77.199997,77.059998,0.04,-0.61,-0.65
6,2014-01-10,CME,76.489998,77.480003,75.900002,77.199997,1727400.0,,,,,74.019997,76.389999,77.099998,-0.61,-2.470001,-1.860001
7,2014-01-13,CME,74.019997,76.410004,73.849998,76.389999,2558300.0,,,,,75.290001,74.57,76.489998,-2.470001,1.270004,3.740005
8,2014-01-14,CME,75.290001,75.449997,74.190002,74.57,1706000.0,,,,,75.760002,75.379997,74.019997,1.270004,0.470001,-0.800003
9,2014-01-15,CME,75.760002,76.699997,75.220001,75.379997,3598300.0,,,,,75.5,75.32,75.290001,0.470001,-0.260002,-0.730003
10,2014-01-16,CME,75.5,75.900002,75.120003,75.32,1246700.0,,,,,75.489998,75.260002,75.760002,-0.260002,-0.010002,0.25
11,2014-01-17,CME,75.489998,75.82,75.050003,75.260002,1690400.0,,,,,75.730003,75.75,75.5,-0.010002,0.240005,0.250007
12,2014-01-21,CME,75.730003,76.099998,75.57,75.75,1223500.0,,,,,75.849998,75.75,75.489998,0.240005,0.119995,-0.12001
13,2014-01-22,CME,75.849998,76.379997,75.68,75.75,1145900.0,,,,,75.510002,75.370003,75.730003,0.119995,-0.339996,-0.459991
14,2014-01-23,CME,75.510002,75.720001,75.190002,75.370003,2061600.0,,,,,74.419998,75.010002,75.849998,-0.339996,-1.090004,-0.750008
15,2014-01-24,CME,74.419998,75.309998,74.199997,75.010002,2508600.0,,,,,72.93,74.43,75.510002,-1.090004,-1.489998,-0.399994
16,2014-01-27,CME,72.93,75.050003,72.889999,74.43,3849800.0,,,,,73.199997,73.18,74.419998,-1.489998,0.269997,1.759995
17,2014-01-28,CME,73.199997,73.410004,72.779999,73.18,4170300.0,,,,,72.339996,72.709999,72.93,0.269997,-0.860001,-1.129998
18,2014-01-29,CME,72.339996,73.419998,72.110001,72.709999,2589600.0,0.5729,0.0,0.976,0.024,74.32,73.129997,73.199997,-0.860001,1.980004,2.840005
19,2014-01-30,CME,74.32,74.800003,72.629997,73.129997,4651700.0,,,,,74.760002,73.5,72.339996,1.980004,0.440002,-1.540002
20,2014-01-31,CME,74.760002,75.349998,73.230003,73.5,4281100.0,,,,,73.18,74.480003,74.32,0.440002,-1.580002,-2.020004
21,2014-02-03,CME,73.18,75.209999,72.980003,74.480003,2735400.0,,,,,73.610001,70.699997,74.760002,-1.580002,0.430001,2.010003
22,2014-02-04,CME,73.610001,74.199997,70.519997,70.699997,2456900.0,,,,,73.559998,74.050003,73.18,0.430001,-0.050003,-0.480004
23,2014-02-05,CME,73.559998,74.160004,72.400002,74.050003,2180900.0,,,,,75.980003,73.980003,73.610001,-0.050003,2.420005,2.470008
24,2014-02-06,CME,75.980003,76.139999,73.540001,73.980003,1902300.0,,,,,75.690002,76.709999,73.559998,2.420005,-0.290001,-2.710006
25,2014-02-07,CME,75.690002,78.0,75.57,76.709999,1852000.0,,,,,75.559998,75.650002,75.980003,-0.290001,-0.130004,0.159997
26,2014-02-10,CME,75.559998,76.32,75.029999,75.650002,1259400.0,,,,,76.550003,75.639999,75.690002,-0.130004,0.990005,1.120009
27,2014-02-11,CME,76.550003,77.050003,75.5,75.639999,1258500.0,0.5423,0.015,0.955,0.03,76.800003,76.580002,75.559998,0.990005,0.25,-0.740005
28,2014-02-12,CME,76.800003,77.169998,76.370003,76.580002,735900.0,,,,,76.989998,76.43,76.550003,0.25,0.189995,-0.060005
29,2014-02-13,CME,76.989998,77.169998,76.029999,76.43,884500.0,,,,,77.110001,76.760002,76.800003,0.189995,0.120003,-0.069992
30,2014-02-14,CME,77.110001,77.519997,76.699997,76.760002,910900.0,,,,,76.220001,77.139999,76.989998,0.120003,-0.89,-1.010003
31,2014-02-18,CME,76.220001,77.410004,76.129997,77.139999,1776300.0,,,,,74.769997,75.790001,77.110001,-0.89,-1.450004,-0.560004
32,2014-02-19,CME,74.769997,76.690002,74.720001,75.790001,1943100.0,,,,,73.760002,74.68,76.220001,-1.450004,-1.009995,0.440009
33,2014-02-20,CME,73.760002,75.059998,73.540001,74.68,1694400.0,,,,,73.709999,73.900002,74.769997,-1.009995,-0.050003,0.959992
34,2014-02-21,CME,73.709999,74.82,73.57,73.900002,1789100.0,,,,,74.32,73.910004,73.760002,-0.050003,0.610001,0.660004
35,2014-02-24,CME,74.32,74.940002,73.699997,73.910004,2772200.0,,,,,73.260002,74.169998,73.709999,0.610001,-1.059998,-1.669999
36,2014-02-25,CME,73.260002,74.910004,73.099998,74.169998,1421200.0,,,,,72.580002,73.309998,74.32,-1.059998,-0.68,0.379998
37,2014-02-26,CME,72.580002,73.57,71.860001,73.309998,2314000.0,,,,,73.160004,72.410004,73.260002,-0.68,0.580002,1.260002
38,2014-02-27,CME,73.160004,73.239998,72.099998,72.410004,1942300.0,,,,,73.82,73.190002,72.580002,0.580002,0.659996,0.079994
39,2014-02-28,CME,73.82,73.970001,72.910004,73.190002,1654500.0,,,,,74.110001,73.18,73.160004,0.659996,0.290001,-0.369995
40,2014-03-03,CME,74.110001,74.190002,72.769997,73.18,1796100.0,,,,,76.0,75.160004,73.82,0.290001,1.889999,1.599998
41,2014-03-04,CME,76.0,76.230003,75.099998,75.160004,2027600.0,,,,,76.419998,75.769997,74.110001,1.889999,0.419998,-1.470001
42,2014-03-05,CME,76.419998,76.970001,75.709999,75.769997,2588000.0,,,,,76.760002,76.230003,76.0,0.419998,0.340004,-0.079994
43,2014-03-06,CME,76.760002,77.190002,75.889999,76.230003,1849700.0,,,,,76.970001,76.839996,76.419998,0.340004,0.209999,-0.130005
44,2014-03-07,CME,76.970001,77.540001,76.629997,76.839996,1961900.0,,,,,76.730003,77.050003,76.760002,0.209999,-0.239998,-0.449997
45,2014-03-10,CME,76.730003,77.25,76.349998,77.050003,1066900.0,0.9068,0.046,0.882,0.072,75.910004,76.650002,76.970001,-0.239998,-0.819999,-0.580001
46,2014-03-11,CME,75.910004,77.190002,75.669998,76.650002,1332700.0,0.73315,0.0275,0.9055,0.067,76.050003,75.690002,76.730003,-0.819999,0.139999,0.959998
47,2014-03-12,CME,76.050003,76.050003,75.0,75.690002,1299600.0,,,,,74.779999,76.32,75.910004,0.139999,-1.270004,-1.410003
48,2014-03-13,CME,74.779999,76.32,74.730003,76.32,2200800.0,,,,,75.360001,75.059998,76.050003,-1.270004,0.580002,1.850006
49,2014-03-14,CME,75.360001,75.910004,74.459999,75.059998,1506300.0,,,,,76.260002,75.839996,74.779999,0.580002,0.900001,0.319999
50,2014-03-17,CME,76.260002,76.470001,75.839996,75.839996,987500.0,,,,,75.910004,76.120003,75.360001,0.900001,-0.349998,-1.249999
51,2014-03-18,CME,75.910004,76.360001,75.139999,76.120003,1674800.0,0.9727,0.036,0.888,0.076,75.709999,75.760002,76.260002,-0.349998,-0.200005,0.149993
52,2014-03-19,CME,75.709999,75.940002,74.900002,75.760002,2445200.0,0.7917,0.06,0.872,0.068,76.919998,75.529999,75.910004,-0.200005,1.209999,1.410004
53,2014-03-20,CME,76.919998,77.07,75.360001,75.529999,2521300.0,0.949,0.012,0.832,0.156,77.449997,77.75,75.709999,1.209999,0.529999,-0.68
54,2014-03-21,CME,77.449997,77.75,77.0,77.75,2997500.0,,,,,77.040001,77.669998,76.919998,0.529999,-0.409996,-0.939995
55,2014-03-24,CME,77.040001,77.669998,76.800003,77.669998,1526600.0,,,,,76.540001,77.370003,77.449997,-0.409996,-0.5,-0.090004
56,2014-03-25,CME,76.540001,77.410004,76.330002,77.370003,1640100.0,,,,,75.019997,76.879997,77.040001,-0.5,-1.520004,-1.020004
57,2014-03-26,CME,75.019997,76.879997,74.970001,76.879997,1769600.0,,,,,73.919998,74.870003,76.540001,-1.520004,-1.099999,0.420005
58,2014-03-27,CME,73.919998,75.0,73.220001,74.870003,2019100.0,,,,,73.830002,74.18,75.019997,-1.099999,-0.089996,1.010003
59,2014-03-28,CME,73.830002,74.860001,73.580002,74.18,931000.0,0.9383,0.059,0.854,0.087,74.019997,73.889999,73.919998,-0.089996,0.189995,0.279991
60,2014-03-31,CME,74.019997,74.739998,73.75,73.889999,1411600.0,0.8365,0.013,0.907666666667,0.0793333333333,72.660004,74.419998,73.830002,0.189995,-1.359993,-1.549988
61,2014-04-01,CME,72.660004,75.0,72.25,74.419998,3638300.0,,,,,72.269997,72.730003,74.019997,-1.359993,-0.390007,0.969986
