,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,COG,38.169998,39.299999,37.98,38.57,4825100.0,,,,,37.950001,38.169998,,,-0.219997,
1,2014-01-03,COG,37.950001,38.540001,37.630001,38.169998,3461500.0,,,,,38.200001,38.150002,38.169998,-0.219997,0.25,0.469997
2,2014-01-06,COG,38.200001,38.360001,37.810001,38.150002,3309600.0,,,,,38.869999,38.400002,37.950001,0.25,0.669998,0.419998
3,2014-01-07,COG,38.869999,39.23,38.349998,38.400002,4838400.0,,,,,38.75,38.73,38.200001,0.669998,-0.119999,-0.789997
4,2014-01-08,COG,38.75,39.34,38.59,38.73,4964900.0,,,,,37.439999,38.93,38.869999,-0.119999,-1.310001,-1.190002
5,2014-01-09,COG,37.439999,38.98,36.889999,38.93,7391100.0,,,,,37.5,37.43,38.75,-1.310001,0.060001,1.370002
6,2014-01-10,COG,37.5,37.860001,37.259998,37.43,3466800.0,,,,,36.439999,37.57,37.439999,0.060001,-1.060001,-1.120002
7,2014-01-13,COG,36.439999,37.779999,36.380001,37.57,5779500.0,,,,,37.360001,36.549999,37.5,-1.060001,0.920002,1.980003
8,2014-01-14,COG,37.360001,37.389999,36.549999,36.549999,6762500.0,,,,,37.619999,37.389999,36.439999,0.920002,0.259998,-0.660004
9,2014-01-15,COG,37.619999,37.849998,37.259998,37.389999,3897000.0,,,,,38.16,37.869999,37.360001,0.259998,0.540001,0.280003
10,2014-01-16,COG,38.16,38.27,37.310001,37.869999,4536400.0,,,,,37.48,38.279999,37.619999,0.540001,-0.68,-1.220001
11,2014-01-17,COG,37.48,38.380001,37.43,38.279999,3797500.0,,,,,39.09,37.950001,38.16,-0.68,1.61,2.29
12,2014-01-21,COG,39.09,39.130001,37.82,37.950001,6039800.0,,,,,39.91,39.59,37.48,1.61,0.82,-0.79
13,2014-01-22,COG,39.91,40.619999,39.57,39.59,7167500.0,,,,,39.810001,40.060001,39.09,0.82,-0.099999,-0.919999
14,2014-01-23,COG,39.810001,40.439999,39.68,40.060001,6241500.0,,,,,39.549999,39.580002,39.91,-0.099999,-0.260002,-0.160003
15,2014-01-24,COG,39.549999,40.02,39.439999,39.580002,7004800.0,,,,,39.07,39.549999,39.810001,-0.260002,-0.479999,-0.219997
16,2014-01-27,COG,39.07,39.57,38.490002,39.549999,3973900.0,,,,,40.389999,39.540001,39.549999,-0.479999,1.319999,1.799998
17,2014-01-28,COG,40.389999,40.619999,39.540001,39.540001,6614000.0,,,,,40.490002,39.619999,39.07,1.319999,0.100003,-1.219996
18,2014-01-29,COG,40.490002,40.939999,39.259998,39.619999,6470000.0,,,,,39.720001,40.560001,40.389999,0.100003,-0.770001,-0.870004
19,2014-01-30,COG,39.720001,40.59,39.669998,40.560001,4543600.0,,,,,39.98,39.369999,40.490002,-0.770001,0.259999,1.03
20,2014-01-31,COG,39.98,40.380001,39.240002,39.369999,4302400.0,,,,,39.459999,40.549999,39.720001,0.259999,-0.520001,-0.78
21,2014-02-03,COG,39.459999,40.75,39.41,40.549999,5629300.0,,,,,41.610001,40.119999,39.98,-0.520001,2.150002,2.670003
22,2014-02-04,COG,41.610001,41.779999,40.119999,40.119999,8096300.0,,,,,40.419998,41.73,39.459999,2.150002,-1.190003,-3.340005
23,2014-02-05,COG,40.419998,41.779999,40.330002,41.73,5773100.0,,,,,40.259998,40.509998,41.610001,-1.190003,-0.16,1.030003
24,2014-02-06,COG,40.259998,40.919998,40.169998,40.509998,6866000.0,,,,,39.32,40.299999,40.419998,-0.16,-0.939998,-0.779998
25,2014-02-07,COG,39.32,40.490002,38.799999,40.299999,8471500.0,,,,,38.709999,39.130001,40.259998,-0.939998,-0.610001,0.329997
26,2014-02-10,COG,38.709999,39.200001,38.189999,39.130001,7631200.0,,,,,39.25,38.82,39.32,-0.610001,0.540001,1.150002
27,2014-02-11,COG,39.25,39.380001,38.740002,38.82,5497400.0,,,,,38.610001,39.470001,38.709999,0.540001,-0.639999,-1.18
28,2014-02-12,COG,38.610001,39.619999,38.59,39.470001,4969700.0,,,,,38.830002,38.360001,39.25,-0.639999,0.220001,0.86
29,2014-02-13,COG,38.830002,39.169998,38.040001,38.360001,9862000.0,,,,,38.860001,38.91,38.610001,0.220001,0.029999,-0.190002
30,2014-02-14,COG,38.860001,39.080002,38.049999,38.91,6104600.0,,,,,39.66,39.439999,38.830002,0.029999,0.799999,0.77
31,2014-02-18,COG,39.66,39.950001,39.32,39.439999,5652200.0,,,,,40.07,39.549999,38.860001,0.799999,0.41,-0.389999
32,2014-02-19,COG,40.07,40.98,39.549999,39.549999,8361500.0,,,,,39.279999,40.099998,39.66,0.41,-0.790001,-1.200001
33,2014-02-20,COG,39.279999,40.32,38.529999,40.099998,12099400.0,,,,,36.07,38.139999,40.07,-0.790001,-3.209999,-2.419998
34,2014-02-21,COG,36.07,39.279999,35.580002,38.139999,23860400.0,,,,,35.650002,36.049999,39.279999,-3.209999,-0.419998,2.790001
35,2014-02-24,COG,35.650002,36.330002,35.380001,36.049999,14665400.0,,,,,35.529999,35.59,36.07,-0.419998,-0.120003,0.299995
36,2014-02-25,COG,35.529999,35.75,35.110001,35.59,11764200.0,,,,,35.369999,35.43,35.650002,-0.120003,-0.16,-0.039997
37,2014-02-26,COG,35.369999,35.630001,35.209999,35.43,8983300.0,,,,,35.380001,35.459999,35.529999,-0.16,0.010002,0.170002
38,2014-02-27,COG,35.380001,35.98,35.330002,35.459999,6431500.0,,,,,35.0,35.43,35.369999,0.010002,-0.380001,-0.390003
39,2014-02-28,COG,35.0,35.650002,34.700001,35.43,9607300.0,,,,,34.740002,34.880001,35.380001,-0.380001,-0.259998,0.120003
40,2014-03-03,COG,34.740002,35.330002,34.669998,34.880001,6618200.0,,,,,34.810001,35.029999,35.0,-0.259998,0.069999,0.329997
41,2014-03-04,COG,34.810001,35.16,34.560001,35.029999,5428100.0,,,,,34.549999,34.720001,34.740002,0.069999,-0.260002,-0.330001
42,2014-03-05,COG,34.549999,34.900002,34.419998,34.720001,5762100.0,,,,,34.970001,35.0,34.810001,-0.260002,0.420002,0.680004
43,2014-03-06,COG,34.970001,35.080002,34.75,35.0,6976000.0,,,,,35.110001,35.330002,34.549999,0.420002,0.14,-0.280002
44,2014-03-07,COG,35.110001,35.470001,35.009998,35.330002,7381900.0,,,,,35.25,35.0,34.970001,0.14,0.139999,-1.00000000458e-06
45,2014-03-10,COG,35.25,35.290001,34.639999,35.0,4909800.0,,,,,35.259998,35.23,35.110001,0.139999,0.009998,-0.130001
46,2014-03-11,COG,35.259998,35.950001,35.029999,35.23,10703000.0,0.983,0.0355,0.8665,0.0975,35.099998,35.0,35.25,0.009998,-0.16,-0.169998
47,2014-03-12,COG,35.099998,35.560001,34.759998,35.0,5031100.0,,,,,34.66,35.09,35.259998,-0.16,-0.439998,-0.279998
48,2014-03-13,COG,34.66,35.240002,34.650002,35.09,4981300.0,,,,,33.959999,34.619999,35.099998,-0.439998,-0.700001,-0.260003
49,2014-03-14,COG,33.959999,34.709999,33.669998,34.619999,9810200.0,,,,,33.389999,34.130001,34.66,-0.700001,-0.57,0.130001
50,2014-03-17,COG,33.389999,34.130001,33.23,34.130001,9221000.0,,,,,33.57,33.279999,33.959999,-0.57,0.180001,0.750001
51,2014-03-18,COG,33.57,33.610001,33.09,33.279999,6798000.0,,,,,33.459999,33.619999,33.389999,0.180001,-0.110001,-0.290002
52,2014-03-19,COG,33.459999,33.759998,33.32,33.619999,5347500.0,,,,,33.16,33.380001,33.57,-0.110001,-0.299999,-0.189998
53,2014-03-20,COG,33.16,33.619999,33.099998,33.380001,8603000.0,,,,,32.959999,33.32,33.459999,-0.299999,-0.200001,0.099998
54,2014-03-21,COG,32.959999,33.5,32.889999,33.32,8994200.0,,,,,32.650002,32.880001,33.16,-0.200001,-0.309997,-0.109996
55,2014-03-24,COG,32.650002,33.040001,32.299999,32.880001,7197100.0,,,,,32.619999,32.849998,32.959999,-0.309997,-0.030003,0.279994
