,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,CSCO,22.0,22.290001,21.91,22.17,44377000.0,,,,,21.98,22.09,,,-0.02,
1,2014-01-03,CSCO,21.98,22.120001,21.83,22.09,36328200.0,,,,,22.01,21.959999,22.0,-0.02,0.03,0.05
2,2014-01-06,CSCO,22.01,22.23,21.93,21.959999,34150300.0,,,,,22.309999,22.26,21.98,0.03,0.299999,0.269999
3,2014-01-07,CSCO,22.309999,22.41,22.15,22.26,37368800.0,,,,,22.290001,22.290001,22.01,0.299999,-0.019998,-0.319997
4,2014-01-08,CSCO,22.290001,22.360001,22.15,22.290001,38362700.0,0.9756,0.014,0.9145,0.071,22.09,22.290001,22.309999,-0.019998,-0.200001,-0.180003
5,2014-01-09,CSCO,22.09,22.309999,21.92,22.290001,31794000.0,,,,,22.219999,22.23,22.290001,-0.200001,0.129999,0.33
6,2014-01-10,CSCO,22.219999,22.280001,21.99,22.23,30318600.0,,,,,22.190001,22.389999,22.09,0.129999,-0.029998,-0.159997
7,2014-01-13,CSCO,22.190001,22.82,22.139999,22.389999,59600000.0,,,,,22.41,22.33,22.219999,-0.029998,0.219999,0.249997
8,2014-01-14,CSCO,22.41,22.52,22.200001,22.33,44300800.0,,,,,22.780001,22.5,22.190001,0.219999,0.370001,0.150002
9,2014-01-15,CSCO,22.780001,23.0,22.42,22.5,61767800.0,0.989466666667,0.0413333333333,0.853333333333,0.105666666667,22.780001,22.85,22.41,0.370001,0.0,-0.370001
10,2014-01-16,CSCO,22.780001,22.91,22.629999,22.85,38918100.0,,,,,22.74,22.58,22.780001,0.0,-0.040001,-0.040001
11,2014-01-17,CSCO,22.74,22.780001,22.58,22.58,44349100.0,,,,,22.83,22.91,22.780001,-0.040001,0.09,0.130001
12,2014-01-21,CSCO,22.83,22.950001,22.639999,22.91,33423000.0,,,,,22.84,22.91,22.74,0.09,0.01,-0.08
13,2014-01-22,CSCO,22.84,22.950001,22.780001,22.91,30700100.0,,,,,22.559999,22.690001,22.83,0.01,-0.280001,-0.290001
14,2014-01-23,CSCO,22.559999,22.85,22.459999,22.690001,37013600.0,,,,,22.200001,22.4,22.84,-0.280001,-0.359998,-0.079997
15,2014-01-24,CSCO,22.200001,22.540001,22.17,22.4,40917300.0,0.9938,0.009,0.883,0.109,22.0,21.77,22.559999,-0.359998,-0.200001,0.159997
16,2014-01-27,CSCO,22.0,22.110001,21.76,21.77,60510000.0,,,,,21.75,21.879999,22.200001,-0.200001,-0.25,-0.049999
17,2014-01-28,CSCO,21.75,22.0,21.700001,21.879999,41431800.0,,,,,21.65,21.620001,22.0,-0.25,-0.1,0.15
18,2014-01-29,CSCO,21.65,21.84,21.6,21.620001,35406500.0,0.0114,0.143,0.726,0.131,21.98,21.77,21.75,-0.1,0.33,0.43
19,2014-01-30,CSCO,21.98,21.99,21.629999,21.77,42883000.0,,,,,21.91,21.610001,21.65,0.33,-0.07,-0.4
20,2014-01-31,CSCO,21.91,21.99,21.610001,21.610001,43325300.0,,,,,21.549999,21.93,21.98,-0.07,-0.360001,-0.290001
21,2014-02-03,CSCO,21.549999,21.950001,21.459999,21.93,60693300.0,,,,,21.799999,21.58,21.91,-0.360001,0.25,0.610001
22,2014-02-04,CSCO,21.799999,21.82,21.4,21.58,46626500.0,0.977066666667,0.013,0.749666666667,0.237,21.98,21.690001,21.549999,0.25,0.180001,-0.069999
23,2014-02-05,CSCO,21.98,22.07,21.58,21.690001,46291400.0,0.9653,0.023,0.9065,0.0705,22.49,22.040001,21.799999,0.180001,0.51,0.329999
24,2014-02-06,CSCO,22.49,22.58,21.969999,22.040001,49584300.0,,,,,22.67,22.52,21.98,0.51,0.18,-0.33
25,2014-02-07,CSCO,22.67,22.719999,22.299999,22.52,54109200.0,,,,,22.83,22.639999,22.49,0.18,0.16,-0.02
26,2014-02-10,CSCO,22.83,22.879999,22.559999,22.639999,45300500.0,0.9448,0.0415,0.881,0.078,22.709999,22.780001,22.67,0.16,-0.120001,-0.280001
27,2014-02-11,CSCO,22.709999,22.879999,22.67,22.780001,45804800.0,,,,,22.85,22.610001,22.83,-0.120001,0.140001,0.260002
28,2014-02-12,CSCO,22.85,22.92,22.52,22.610001,69832400.0,0.0214857142857,0.0645714285714,0.855857142857,0.0797142857143,22.27,21.99,22.709999,0.140001,-0.58,-0.720001
29,2014-02-13,CSCO,22.27,22.27,21.68,21.99,153739400.0,0.38172,0.0809,0.8265,0.0925,22.559999,22.219999,22.85,-0.58,0.289999,0.869999
30,2014-02-14,CSCO,22.559999,22.77,22.200001,22.219999,64513500.0,,,,,22.41,22.49,22.27,0.289999,-0.149999,-0.439998
31,2014-02-18,CSCO,22.41,22.540001,22.33,22.49,31014400.0,,,,,22.280001,22.33,22.559999,-0.149999,-0.129999,0.02
32,2014-02-19,CSCO,22.280001,22.559999,22.219999,22.33,29309100.0,,,,,22.299999,22.24,22.41,-0.129999,0.019998,0.149997
33,2014-02-20,CSCO,22.299999,22.4,22.16,22.24,26215000.0,,,,,22.129999,22.370001,22.280001,0.019998,-0.17,-0.189998
34,2014-02-21,CSCO,22.129999,22.450001,22.129999,22.370001,31483000.0,,,,,22.120001,22.190001,22.299999,-0.17,-0.009998,0.160002
35,2014-02-24,CSCO,22.120001,22.34,22.0,22.190001,41858000.0,0.854266666667,0.00666666666667,0.912666666667,0.081,21.84,22.15,22.129999,-0.009998,-0.280001,-0.270003
36,2014-02-25,CSCO,21.84,22.219999,21.76,22.15,45303600.0,,,,,21.93,21.84,22.120001,-0.280001,0.09,0.370001
37,2014-02-26,CSCO,21.93,22.02,21.549999,21.84,43574600.0,,,,,21.92,21.879999,21.84,0.09,-0.01,-0.1
38,2014-02-27,CSCO,21.92,22.049999,21.860001,21.879999,25804000.0,,,,,21.799999,21.969999,21.93,-0.01,-0.120001,-0.110001
39,2014-02-28,CSCO,21.799999,22.110001,21.700001,21.969999,40863200.0,,,,,21.57,21.57,21.92,-0.120001,-0.229999,-0.109998
40,2014-03-03,CSCO,21.57,21.82,21.440001,21.57,37292900.0,,,,,21.82,21.780001,21.799999,-0.229999,0.25,0.479999
41,2014-03-04,CSCO,21.82,21.889999,21.700001,21.780001,35673900.0,,,,,21.870001,21.9,21.57,0.25,0.050001,-0.199999
42,2014-03-05,CSCO,21.870001,22.049999,21.809999,21.9,28203400.0,,,,,21.82,21.879999,21.82,0.050001,-0.050001,-0.100002
43,2014-03-06,CSCO,21.82,21.98,21.75,21.879999,23567000.0,,,,,21.73,21.92,21.870001,-0.050001,-0.09,-0.039999
