,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,DAL,27.700001,28.049999,27.26,27.26,11703400.0,,,,,29.23,28.370001,,,1.529999,
1,2014-01-03,DAL,29.23,29.360001,28.24,28.370001,19087100.0,,,,,29.290001,29.43,27.700001,1.529999,0.060001,-1.469998
2,2014-01-06,DAL,29.290001,29.799999,29.049999,29.43,15782700.0,,,,,28.780001,29.440001,29.23,0.060001,-0.51,-0.570001
3,2014-01-07,DAL,28.780001,29.66,28.59,29.440001,13041100.0,,,,,29.799999,28.77,29.290001,-0.51,1.019998,1.529998
4,2014-01-08,DAL,29.799999,30.1,28.610001,28.77,17910500.0,,,,,31.059999,30.540001,28.780001,1.019998,1.26,0.240002
5,2014-01-09,DAL,31.059999,31.58,30.4,30.540001,18690400.0,,,,,31.469999,31.190001,29.799999,1.26,0.41,-0.85
6,2014-01-10,DAL,31.469999,31.48,30.66,31.190001,13196400.0,,,,,30.92,31.77,31.059999,0.41,-0.549999,-0.959999
7,2014-01-13,DAL,30.92,31.780001,30.870001,31.77,15114200.0,,,,,32.009998,31.08,31.469999,-0.549999,1.089998,1.639997
8,2014-01-14,DAL,32.009998,32.07,31.02,31.08,14279900.0,,,,,31.5,32.299999,30.92,1.089998,-0.509998,-1.599996
9,2014-01-15,DAL,31.5,32.299999,31.08,32.299999,18087100.0,,,,,31.58,31.459999,32.009998,-0.509998,0.08,0.589998
10,2014-01-16,DAL,31.58,31.73,31.33,31.459999,7461700.0,,,,,31.07,31.27,31.5,0.08,-0.51,-0.59
11,2014-01-17,DAL,31.07,31.389999,30.879999,31.27,15822000.0,,,,,32.080002,32.389999,31.58,-0.51,1.010002,1.520002
12,2014-01-21,DAL,32.080002,32.650002,31.65,32.389999,17955300.0,0.147471428571,0.044,0.858857142857,0.097,32.84,32.380001,31.07,1.010002,0.759998,-0.250004
13,2014-01-22,DAL,32.84,32.919998,32.279999,32.380001,11534900.0,0.9897,0.041,0.884,0.075,32.5,32.549999,32.080002,0.759998,-0.34,-1.099998
14,2014-01-23,DAL,32.5,32.689999,32.099998,32.549999,13397300.0,,,,,31.110001,32.029999,32.84,-0.34,-1.389999,-1.049999
15,2014-01-24,DAL,31.110001,32.310001,30.959999,32.029999,14874200.0,,,,,30.59,31.219999,32.5,-1.389999,-0.520001,0.869998
16,2014-01-27,DAL,30.59,31.59,29.66,31.219999,19140400.0,,,,,30.9,30.58,31.110001,-0.520001,0.31,0.830001
