,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,DD,63.709997,64.54,63.669997,64.239996,4206600.0,,,,,63.779995,63.779995,,,0.069998,
1,2014-01-03,DD,63.779995,64.190002,63.549997,63.779995,2953000.0,,,,,62.959998,63.939995,63.709997,0.069998,-0.819997,-0.889995
2,2014-01-06,DD,62.959998,63.939995,62.869996,63.939995,3884800.0,,,,,62.329999,63.079998,63.779995,-0.819997,-0.629999,0.189998
3,2014-01-07,DD,62.329999,63.199998,62.099997,63.079998,6426200.0,,,,,63.13,62.459997,62.959998,-0.629999,0.800001,1.43
4,2014-01-08,DD,63.13,63.219998,62.080001,62.459997,5480200.0,,,,,63.939995,63.990001,62.329999,0.800001,0.809995,0.00999399999999
5,2014-01-09,DD,63.939995,64.239996,63.249996,63.990001,6978000.0,0.6908,0.0,0.953,0.047,63.539999,63.819999,63.13,0.809995,-0.399996,-1.209991
6,2014-01-10,DD,63.539999,64.069998,63.099998,63.819999,3949400.0,,,,,62.659998,63.039998,63.939995,-0.399996,-0.880001,-0.480005
7,2014-01-13,DD,62.659998,63.459999,62.499998,63.039998,3757600.0,,,,,63.549997,62.759998,63.539999,-0.880001,0.889999,1.77
8,2014-01-14,DD,63.549997,63.669997,62.669996,62.759998,3260700.0,,,,,63.729997,63.539999,62.659998,0.889999,0.18,-0.709999
9,2014-01-15,DD,63.729997,63.830001,63.419995,63.539999,3504900.0,,,,,63.990001,63.650001,63.549997,0.18,0.260004,0.080004
10,2014-01-16,DD,63.990001,64.199996,63.310001,63.650001,2998200.0,,,,,64.019995,64.129998,63.729997,0.260004,0.029994,-0.23001
11,2014-01-17,DD,64.019995,64.370002,63.650001,64.129998,3894100.0,,,,,63.729997,64.519996,63.990001,0.029994,-0.289998,-0.319992
12,2014-01-21,DD,63.729997,64.999997,63.569997,64.519996,5113600.0,,,,,63.019998,63.999999,64.019995,-0.289998,-0.709999,-0.420001
13,2014-01-22,DD,63.019998,63.999999,62.889996,63.999999,3701000.0,,,,,61.749999,62.389999,63.729997,-0.709999,-1.269999,-0.56
14,2014-01-23,DD,61.749999,62.499998,61.259996,62.389999,6973700.0,,,,,59.97,61.24,63.019998,-1.269999,-1.779999,-0.51
15,2014-01-24,DD,59.97,61.409998,59.95,61.24,6287500.0,,,,,60.239999,59.999998,61.749999,-1.779999,0.269999,2.049998
16,2014-01-27,DD,60.239999,60.899999,59.689996,59.999998,5689000.0,,,,,59.57,60.859999,59.97,0.269999,-0.669999,-0.939998
17,2014-01-28,DD,59.57,61.150002,59.349995,60.859999,6726600.0,0.9763,0.01125,0.86625,0.1225,60.709997,59.73,60.239999,-0.669999,1.139997,1.809996
18,2014-01-29,DD,60.709997,61.369998,59.689996,59.73,8776900.0,,,,,61.54,61.02,59.57,1.139997,0.830003,-0.309994
19,2014-01-30,DD,61.54,61.989999,60.719999,61.02,5142400.0,,,,,61.009998,60.639999,60.709997,0.830003,-0.530002,-1.360005
20,2014-01-31,DD,61.009998,61.589998,60.529997,60.639999,6085600.0,,,,,59.99,61.049998,61.54,-0.530002,-1.019998,-0.489996
21,2014-02-03,DD,59.99,61.52,59.95,61.049998,6242800.0,,,,,61.609998,61.14,61.009998,-1.019998,1.619998,2.639996
22,2014-02-04,DD,61.609998,62.419997,60.359999,61.14,15850500.0,0.982,0.0,0.917,0.083,61.900001,61.150002,59.99,1.619998,0.290003,-1.329995
23,2014-02-05,DD,61.900001,62.220001,60.639999,61.150002,6369700.0,0.08385,0.0605,0.877,0.0625,62.959998,62.139997,61.609998,0.290003,1.059997,0.769994
24,2014-02-06,DD,62.959998,63.199998,61.929999,62.139997,5200000.0,,,,,63.450001,63.059998,61.900001,1.059997,0.490003,-0.569994
25,2014-02-07,DD,63.450001,63.539999,62.65,63.059998,4872400.0,,,,,63.450001,63.169996,62.959998,0.490003,0.0,-0.490003
26,2014-02-10,DD,63.450001,63.859999,62.79,63.169996,4544600.0,,,,,64.289998,63.379999,63.450001,0.0,0.839997,0.839997
27,2014-02-11,DD,64.289998,64.559996,63.349997,63.379999,4776900.0,,,,,63.509997,63.549997,63.450001,0.839997,-0.780001,-1.619998
28,2014-02-12,DD,63.509997,63.959999,63.259999,63.549997,4092100.0,,,,,63.979999,63.199998,64.289998,-0.780001,0.470002,1.250003
29,2014-02-13,DD,63.979999,64.150002,63.049996,63.199998,3121500.0,,,,,64.5,63.929997,63.509997,0.470002,0.520001,0.049999
30,2014-02-14,DD,64.5,64.58,63.659999,63.929997,3753200.0,,,,,64.709998,64.48,63.979999,0.520001,0.209998,-0.310003
31,2014-02-18,DD,64.709998,65.139997,64.08,64.48,5156500.0,,,,,64.26,64.749998,64.5,0.209998,-0.449998,-0.659996
32,2014-02-19,DD,64.26,65.260001,64.209998,64.749998,3978200.0,,,,,65.349995,64.4,64.709998,-0.449998,1.089995,1.539993
33,2014-02-20,DD,65.349995,65.459997,64.109998,64.4,5557100.0,,,,,64.870003,65.400001,64.26,1.089995,-0.479992,-1.569987
34,2014-02-21,DD,64.870003,65.679998,64.870003,65.400001,5146100.0,,,,,64.58,64.809995,65.349995,-0.479992,-0.290003,0.189989
35,2014-02-24,DD,64.58,65.249999,64.58,64.809995,5813700.0,,,,,64.919997,64.559996,64.870003,-0.290003,0.339997,0.63
36,2014-02-25,DD,64.919997,65.249999,64.4,64.559996,3880100.0,0.9894,0.03,0.822,0.148,65.509999,64.819997,64.58,0.339997,0.590002,0.250005
37,2014-02-26,DD,65.509999,65.719998,64.749998,64.819997,4214800.0,,,,,65.999998,65.279997,64.919997,0.590002,0.489999,-0.100003
38,2014-02-27,DD,65.999998,66.059994,65.189999,65.279997,5391300.0,,,,,66.620003,66.019994,65.509999,0.489999,0.620005,0.130006
39,2014-02-28,DD,66.620003,66.719999,65.980002,66.019994,4937800.0,,,,,65.889996,65.779998,65.999998,0.620005,-0.730007,-1.350012
40,2014-03-03,DD,65.889996,66.559995,65.410003,65.779998,4219600.0,,,,,67.26,66.610001,66.620003,-0.730007,1.370004,2.100011
41,2014-03-04,DD,67.26,67.3,66.610001,66.610001,4265200.0,,,,,67.239996,67.169998,65.889996,1.370004,-0.020004,-1.390008
42,2014-03-05,DD,67.239996,67.419996,66.899999,67.169998,3519100.0,-0.723575,0.09925,0.838,0.06275,67.499996,67.330002,67.26,-0.020004,0.26,0.280004
43,2014-03-06,DD,67.499996,67.949999,67.330002,67.330002,3677200.0,0.2419,0.074,0.847,0.079,67.239996,67.789998,67.239996,0.26,-0.26,-0.52
44,2014-03-07,DD,67.239996,67.789998,67.050001,67.789998,3087000.0,0.9177,0.006,0.958,0.036,67.349998,67.160004,67.499996,-0.26,0.110002,0.370002
45,2014-03-10,DD,67.349998,67.579996,66.910001,67.160004,2857300.0,-0.6249,0.093,0.8405,0.066,66.01,66.690001,67.239996,0.110002,-1.339998,-1.45
46,2014-03-11,DD,66.01,66.999999,65.949996,66.690001,6194900.0,,,,,66.429997,65.760002,67.349998,-1.339998,0.419997,1.759995
47,2014-03-12,DD,66.429997,66.660003,65.519993,65.760002,5903500.0,,,,,65.709996,66.949993,66.01,0.419997,-0.720001,-1.139998
48,2014-03-13,DD,65.709996,67.32,65.379997,66.949993,5999300.0,,,,,65.769996,65.919998,66.429997,-0.720001,0.06,0.780001
49,2014-03-14,DD,65.769996,66.470001,65.679998,65.919998,4572100.0,,,,,66.379995,66.339995,65.709996,0.06,0.609999,0.549999
50,2014-03-17,DD,66.379995,66.929997,66.069996,66.339995,4186800.0,,,,,66.800003,66.440003,65.769996,0.609999,0.420008,-0.189991
51,2014-03-18,DD,66.800003,67.050001,66.440003,66.440003,2843400.0,,,,,66.069996,66.879995,66.379995,0.420008,-0.730007,-1.150015
52,2014-03-19,DD,66.069996,67.079999,65.660002,66.879995,3403500.0,,,,,66.579999,65.779998,66.800003,-0.730007,0.510003,1.24001
53,2014-03-20,DD,66.579999,66.650001,65.73,65.779998,2383900.0,,,,,66.980003,67.489994,66.069996,0.510003,0.400004,-0.109999
54,2014-03-21,DD,66.980003,67.519992,66.870001,67.489994,7189400.0,,,,,66.489997,67.150002,66.579999,0.400004,-0.490006,-0.89001
55,2014-03-24,DD,66.489997,67.44,65.999998,67.150002,3855700.0,-0.8936,0.06,0.889,0.051,67.230002,66.679999,66.980003,-0.490006,0.740005,1.230011
56,2014-03-25,DD,67.230002,67.489994,66.679999,66.679999,3953300.0,,,,,66.510001,67.469998,66.489997,0.740005,-0.720001,-1.460006
57,2014-03-26,DD,66.510001,67.739996,66.489997,67.469998,4621200.0,,,,,66.569997,66.599995,67.230002,-0.720001,0.059996,0.779997
58,2014-03-27,DD,66.569997,66.800003,65.899998,66.599995,3646500.0,,,,,66.620003,66.709997,66.510001,0.059996,0.050006,-0.00999
59,2014-03-28,DD,66.620003,67.3,66.300002,66.709997,3071900.0,,,,,67.099995,66.970001,66.569997,0.050006,0.479992,0.429986
60,2014-03-31,DD,67.099995,67.379996,66.809997,66.970001,2981900.0,,,,,67.76,67.14,66.620003,0.479992,0.660005,0.180013
61,2014-04-01,DD,67.76,67.960001,67.010001,67.14,3875400.0,,,,,68.120001,67.699996,67.099995,0.660005,0.360001,-0.300004
62,2014-04-02,DD,68.120001,68.249995,67.529994,67.699996,4476100.0,,,,,68.010003,68.229999,67.76,0.360001,-0.109998,-0.469999
63,2014-04-03,DD,68.010003,68.680002,67.660004,68.229999,3074200.0,-0.4728,0.078,0.8575,0.0645,67.339996,68.440001,68.120001,-0.109998,-0.670007,-0.560009
64,2014-04-04,DD,67.339996,68.819998,66.999999,68.440001,3951200.0,0.9408,0.006,0.954,0.039,66.759999,67.26,68.010003,-0.670007,-0.579997,0.09001
65,2014-04-07,DD,66.759999,67.690002,66.399999,67.26,5730200.0,,,,,66.790001,66.730001,67.339996,-0.579997,0.030002,0.609999
66,2014-04-08,DD,66.790001,67.249998,66.179998,66.730001,3945900.0,,,,,67.519992,67.010001,66.759999,0.030002,0.729991,0.699989
67,2014-04-09,DD,67.519992,67.730002,66.870001,67.010001,4118300.0,,,,,66.470001,67.48,66.790001,0.729991,-1.049991,-1.779982
68,2014-04-10,DD,66.470001,67.8,66.389997,67.48,5558500.0,,,,,66.089996,65.999998,67.519992,-1.049991,-0.380005,0.669986
69,2014-04-11,DD,66.089996,66.589993,65.910004,65.999998,4651000.0,,,,,66.589993,66.440003,66.470001,-0.380005,0.499997,0.880002
70,2014-04-14,DD,66.589993,66.849997,66.069996,66.440003,4186900.0,,,,,66.899999,66.639999,66.089996,0.499997,0.310006,-0.189991
71,2014-04-15,DD,66.899999,67.14,65.980002,66.639999,5142000.0,,,,,67.72,67.32,66.589993,0.310006,0.820001,0.509995
72,2014-04-16,DD,67.72,67.949999,67.199996,67.32,5269300.0,,,,,66.980003,67.160004,66.899999,0.820001,-0.739997,-1.559998
73,2014-04-17,DD,66.980003,67.709998,66.579999,67.160004,6970100.0,0.820733333333,0.0153333333333,0.924333333333,0.0603333333333,67.029997,67.379996,67.72,-0.739997,0.049994,0.789991
74,2014-04-21,DD,67.029997,67.579996,66.889997,67.379996,3852300.0,,,,,67.349998,67.029997,66.980003,0.049994,0.320001,0.270007
75,2014-04-22,DD,67.349998,67.549998,66.779995,67.029997,3978000.0,,,,,67.339996,67.099995,67.029997,0.320001,-0.010002,-0.330003
76,2014-04-23,DD,67.339996,67.730002,67.099995,67.099995,2765300.0,,,,,67.109998,67.32,67.349998,-0.010002,-0.229998,-0.219996
77,2014-04-24,DD,67.109998,67.499996,66.730001,67.32,2810500.0,,,,,66.660003,67.230002,67.339996,-0.229998,-0.449995,-0.219997
78,2014-04-25,DD,66.660003,67.269994,66.449997,67.230002,3013900.0,,,,,66.769993,67.129998,67.109998,-0.449995,0.10999,0.559985
79,2014-04-28,DD,66.769993,67.4,66.23,67.129998,3559400.0,,,,,67.18,67.069997,66.660003,0.10999,0.410007,0.300017
80,2014-04-29,DD,67.18,67.559992,66.839995,67.069997,2488200.0,0.836033333333,0.00333333333333,0.902,0.0943333333333,67.32,66.730001,66.769993,0.410007,0.14,-0.270007
81,2014-04-30,DD,67.32,67.469998,66.699995,66.730001,3265000.0,,,,,66.759999,66.859999,67.18,0.14,-0.560001,-0.700001
82,2014-05-01,DD,66.759999,67.209998,66.359999,66.859999,3743000.0,,,,,66.849997,66.639999,67.32,-0.560001,0.089998,0.649999
83,2014-05-02,DD,66.849997,67.3,66.620003,66.639999,2894900.0,,,,,67.389998,66.730001,66.759999,0.089998,0.540001,0.450003
84,2014-05-05,DD,67.389998,67.6,66.629997,66.730001,3267000.0,,,,,67.190002,67.150002,66.849997,0.540001,-0.199996,-0.739997
85,2014-05-06,DD,67.190002,67.489994,66.910001,67.150002,2739100.0,,,,,68.050003,67.559992,67.389998,-0.199996,0.860001,1.059997
86,2014-05-07,DD,68.050003,68.109999,67.069997,67.559992,3507100.0,,,,,68.099997,68.000001,67.190002,0.860001,0.049994,-0.810007
87,2014-05-08,DD,68.099997,68.720002,67.809994,68.000001,3145200.0,,,,,67.779996,68.050003,68.050003,0.049994,-0.320001,-0.369995
88,2014-05-09,DD,67.779996,68.219997,67.489994,68.050003,3918600.0,,,,,68.189999,68.099997,68.099997,-0.320001,0.410003,0.730004
89,2014-05-12,DD,68.189999,68.320001,68.019997,68.099997,2753500.0,,,,,67.690002,67.849994,67.779996,0.410003,-0.499997,-0.91
90,2014-05-13,DD,67.690002,68.069999,67.410002,67.849994,3086900.0,,,,,67.72,67.849994,68.189999,-0.499997,0.029998,0.529995
91,2014-05-14,DD,67.72,68.149999,67.589998,67.849994,2681300.0,,,,,66.830001,67.449994,67.690002,0.029998,-0.889999,-0.919997
92,2014-05-15,DD,66.830001,67.72,66.339995,67.449994,4580100.0,0.8509,0.052,0.88,0.068,67.019995,66.970001,67.72,-0.889999,0.189994,1.079993
93,2014-05-16,DD,67.019995,67.099995,66.319998,66.970001,3270300.0,,,,,67.029997,66.849997,66.830001,0.189994,0.010002,-0.179992
94,2014-05-19,DD,67.029997,67.660004,66.849997,66.849997,2303600.0,0.9364,0.077,0.823,0.1,66.690001,67.109998,67.019995,0.010002,-0.339996,-0.349998
95,2014-05-20,DD,66.690001,67.160004,66.429997,67.109998,2805500.0,,,,,67.22,67.010001,67.029997,-0.339996,0.529999,0.869995
96,2014-05-21,DD,67.22,67.389998,66.879995,67.010001,2780400.0,,,,,67.509998,67.269994,66.690001,0.529999,0.289998,-0.240001
97,2014-05-22,DD,67.509998,67.769994,67.12,67.269994,3915400.0,,,,,68.099997,67.499996,67.22,0.289998,0.589999,0.300001
98,2014-05-23,DD,68.099997,68.199993,67.499996,67.499996,3128000.0,,,,,68.160001,68.280001,67.509998,0.589999,0.060004,-0.529995
99,2014-05-27,DD,68.160001,68.519993,67.919993,68.280001,3738700.0,,,,,68.410003,68.229999,68.099997,0.060004,0.250002,0.189998
100,2014-05-28,DD,68.410003,68.690004,68.129995,68.229999,3691100.0,,,,,68.969996,68.579997,68.160001,0.250002,0.559993,0.309991
101,2014-05-29,DD,68.969996,69.000002,68.050003,68.579997,2570800.0,,,,,69.309992,68.849996,68.410003,0.559993,0.339996,-0.219997
102,2014-05-30,DD,69.309992,69.379998,68.63,68.849996,3323100.0,,,,,69.259998,69.329996,68.969996,0.339996,-0.049994,-0.38999
103,2014-06-02,DD,69.259998,69.499999,69.050004,69.329996,1820400.0,,,,,68.87,68.83,69.309992,-0.049994,-0.389998,-0.340004
104,2014-06-03,DD,68.87,69.370004,68.730004,68.83,3409200.0,,,,,69.319994,68.779998,69.259998,-0.389998,0.449994,0.839992
105,2014-06-04,DD,69.319994,69.639995,68.549999,68.779998,3787000.0,,,,,69.339998,69.319994,68.87,0.449994,0.020004,-0.42999
106,2014-06-05,DD,69.339998,69.499999,68.539997,69.319994,2890600.0,,,,,69.669993,69.400003,69.319994,0.020004,0.329995,0.309991
107,2014-06-06,DD,69.669993,69.710001,69.360002,69.400003,2519100.0,,,,,69.430001,69.669993,69.339998,0.329995,-0.239992,-0.569987
108,2014-06-09,DD,69.430001,69.750001,69.299998,69.669993,3516500.0,,,,,69.470001,69.299998,69.669993,-0.239992,0.04,0.279992
109,2014-06-10,DD,69.470001,69.499999,68.849996,69.299998,3177300.0,,,,,68.969996,69.219998,69.430001,0.04,-0.500005,-0.540005
110,2014-06-11,DD,68.969996,69.470001,68.83,69.219998,1941700.0,,,,,68.080001,68.929996,69.470001,-0.500005,-0.889995,-0.38999
111,2014-06-12,DD,68.080001,69.000002,67.839992,68.929996,3946200.0,,,,,68.300005,68.209995,68.969996,-0.889995,0.220004,1.109999
112,2014-06-13,DD,68.300005,68.529995,67.859996,68.209995,2711300.0,,,,,68.109999,68.099997,68.080001,0.220004,-0.190006,-0.41001
113,2014-06-16,DD,68.109999,68.309999,67.730002,68.099997,2400300.0,,,,,67.789998,67.909999,68.300005,-0.190006,-0.320001,-0.129995
114,2014-06-17,DD,67.789998,68.109999,67.589998,67.909999,4644000.0,,,,,67.889995,67.869999,68.109999,-0.320001,0.099997,0.419998
115,2014-06-18,DD,67.889995,68.149999,67.269994,67.869999,4405400.0,,,,,67.4,67.8,67.789998,0.099997,-0.489995,-0.589992
116,2014-06-19,DD,67.4,67.849994,67.279996,67.8,3808300.0,,,,,68.429999,67.709998,67.889995,-0.489995,1.029999,1.519994
117,2014-06-20,DD,68.429999,68.509999,67.579996,67.709998,8283800.0,,,,,67.980005,68.330003,67.4,1.029999,-0.449994,-1.479993
118,2014-06-23,DD,67.980005,68.330003,67.829998,68.330003,3588500.0,,,,,67.339996,67.929995,68.429999,-0.449994,-0.640009,-0.190015
119,2014-06-24,DD,67.339996,68.229999,67.22,67.929995,3043200.0,,,,,67.819996,67.579996,67.980005,-0.640009,0.48,1.120009
120,2014-06-25,DD,67.819996,68.199993,67.339996,67.579996,3492500.0,,,,,67.699996,67.970003,67.339996,0.48,-0.12,-0.6
121,2014-06-26,DD,67.699996,67.989999,67.3,67.970003,3048900.0,,,,,65.440001,65.73,67.819996,-0.12,-2.259995,-2.139995
122,2014-06-27,DD,65.440001,66.19,64.349998,65.73,17007500.0,0.18832,0.0492,0.899,0.0518,65.440001,65.139997,67.699996,-2.259995,0.0,2.259995
123,2014-06-30,DD,65.440001,65.449995,64.870003,65.139997,7993100.0,,,,,65.410003,64.989995,65.440001,0.0,-0.029998,-0.029998
124,2014-07-01,DD,65.410003,65.75,64.68,64.989995,5344800.0,,,,,65.359997,65.050003,65.440001,-0.029998,-0.050006,-0.020008
125,2014-07-02,DD,65.359997,65.400001,64.749998,65.050003,4114300.0,,,,,65.800002,65.400001,65.410003,-0.050006,0.440005,0.490011
126,2014-07-03,DD,65.800002,65.980002,65.289999,65.400001,3037300.0,,,,,65.639998,65.559997,65.359997,0.440005,-0.160004,-0.600009
127,2014-07-07,DD,65.639998,65.75,65.099997,65.559997,3751000.0,,,,,65.329999,65.65,65.800002,-0.160004,-0.309999,-0.149995
128,2014-07-08,DD,65.329999,65.65,64.949995,65.65,3514700.0,,,,,65.040001,65.349995,65.639998,-0.309999,-0.289998,0.020001
129,2014-07-09,DD,65.040001,65.489995,64.980001,65.349995,3855000.0,,,,,64.940001,64.599996,65.329999,-0.289998,-0.1,0.189998
130,2014-07-10,DD,64.940001,65.109999,64.529998,64.599996,3272800.0,-0.9864,0.138,0.791,0.07,64.889999,64.929999,65.040001,-0.1,-0.050002,0.049998
131,2014-07-11,DD,64.889999,65.199997,64.690002,64.929999,3018200.0,,,,,65.009999,65.319997,64.940001,-0.050002,0.12,0.170002
132,2014-07-14,DD,65.009999,65.509999,64.969999,65.319997,2751800.0,,,,,64.58,65.019997,64.889999,0.12,-0.429999,-0.549999
133,2014-07-15,DD,64.58,65.359997,64.5,65.019997,5109400.0,,,,,65.029999,64.879997,65.009999,-0.429999,0.449999,0.879998
134,2014-07-16,DD,65.029999,65.050003,64.639996,64.879997,3130300.0,,,,,64.889999,64.910003,64.58,0.449999,-0.14,-0.589999
135,2014-07-17,DD,64.889999,65.329999,64.809995,64.910003,4642000.0,,,,,65.549999,65.009999,65.029999,-0.14,0.66,0.8
136,2014-07-18,DD,65.549999,65.61,64.889999,65.009999,4232400.0,,,,,65.539997,65.230003,64.889999,0.66,-0.010002,-0.670002
137,2014-07-21,DD,65.539997,65.75,65.069999,65.230003,3549600.0,,,,,64.949995,65.849996,65.549999,-0.010002,-0.590002,-0.58
138,2014-07-22,DD,64.949995,65.849996,64.609998,65.849996,6425000.0,-0.305566666667,0.0433333333333,0.903,0.0533333333333,65.369999,64.5,65.539997,-0.590002,0.420004,1.010006
139,2014-07-23,DD,65.369999,65.69,64.449994,64.5,6922100.0,,,,,65.199997,65.379997,64.949995,0.420004,-0.170002,-0.590006
140,2014-07-24,DD,65.199997,65.69,65.069999,65.379997,5958600.0,,,,,64.929999,65.149999,65.369999,-0.170002,-0.269998,-0.099996
141,2014-07-25,DD,64.929999,65.499997,64.849999,65.149999,3957500.0,,,,,65.319997,65.050003,65.199997,-0.269998,0.389998,0.659996
142,2014-07-28,DD,65.319997,65.57,64.969999,65.050003,5142700.0,,,,,66.199994,65.449995,64.929999,0.389998,0.879997,0.489999
143,2014-07-29,DD,66.199994,66.949993,65.369999,65.449995,6568400.0,,,,,65.389999,66.309996,65.319997,0.879997,-0.809995,-1.689992
144,2014-07-30,DD,65.389999,66.539999,65.239997,66.309996,3879100.0,,,,,64.309998,64.949995,66.199994,-0.809995,-1.080001,-0.270006
145,2014-07-31,DD,64.309998,65.099997,64.169998,64.949995,5101200.0,,,,,64.209998,63.979999,65.389999,-1.080001,-0.1,0.980001
146,2014-08-01,DD,64.209998,64.44,63.699999,63.979999,3971200.0,,,,,64.629994,64.169998,64.309998,-0.1,0.419996,0.519996
147,2014-08-04,DD,64.629994,64.739996,63.779995,64.169998,3474300.0,,,,,64.029998,64.230002,64.209998,0.419996,-0.599996,-1.019992
148,2014-08-05,DD,64.029998,64.559996,63.810001,64.230002,3453300.0,,,,,64.769994,63.889997,64.629994,-0.599996,0.739996,1.339992
149,2014-08-06,DD,64.769994,64.849999,63.889997,63.889997,3053100.0,,,,,64.4,65.029999,64.029998,0.739996,-0.369994,-1.10999
150,2014-08-07,DD,64.4,65.139997,64.22,65.029999,3632100.0,,,,,65.040001,64.48,64.769994,-0.369994,0.640001,1.009995
151,2014-08-08,DD,65.040001,65.059997,64.129998,64.48,2965600.0,,,,,65.029999,65.189999,64.4,0.640001,-0.010002,-0.650003
152,2014-08-11,DD,65.029999,65.499997,64.889999,65.189999,3170500.0,,,,,65.489995,64.749998,65.040001,-0.010002,0.459996,0.469998
153,2014-08-12,DD,65.489995,65.61,64.730002,64.749998,4079400.0,,,,,65.109999,65.089995,65.029999,0.459996,-0.379996,-0.839992
154,2014-08-13,DD,65.109999,65.349995,64.779996,65.089995,2397400.0,0.9468,0.0,0.9425,0.0575,65.199997,64.709998,65.489995,-0.379996,0.089998,0.469994
155,2014-08-14,DD,65.199997,65.300001,64.709998,64.709998,1800900.0,,,,,65.249999,65.400001,65.109999,0.089998,0.050002,-0.039996
156,2014-08-15,DD,65.249999,65.75,64.639996,65.400001,4593400.0,,,,,65.87,65.529995,65.199997,0.050002,0.620001,0.569999
