,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,DGX,52.849998,53.5,52.75,53.450001,2856300.0,,,,,52.720001,52.220001,,,-0.129997,
1,2014-01-03,DGX,52.720001,53.16,52.110001,52.220001,6175400.0,,,,,52.189999,53.060001,52.849998,-0.129997,-0.530002,-0.400005
2,2014-01-06,DGX,52.189999,53.209999,51.900002,53.060001,4481300.0,,,,,53.470001,52.360001,52.720001,-0.530002,1.280002,1.810004
3,2014-01-07,DGX,53.470001,53.720001,52.32,52.360001,2918900.0,,,,,53.189999,53.360001,52.189999,1.280002,-0.280002,-1.560004
4,2014-01-08,DGX,53.189999,53.75,53.0,53.360001,1995100.0,,,,,53.73,53.080002,53.470001,-0.280002,0.540001,0.820003
5,2014-01-09,DGX,53.73,53.810001,53.080002,53.080002,1929000.0,,,,,53.869999,53.560001,53.189999,0.540001,0.139999,-0.400002
6,2014-01-10,DGX,53.869999,54.040001,53.41,53.560001,1953300.0,,,,,53.75,53.740002,53.73,0.139999,-0.119999,-0.259998
7,2014-01-13,DGX,53.75,54.240002,53.400002,53.740002,3013000.0,,,,,53.93,53.889999,53.869999,-0.119999,0.18,0.299999
8,2014-01-14,DGX,53.93,54.130001,53.669998,53.889999,1971800.0,,,,,54.490002,54.040001,53.75,0.18,0.560002,0.380002
9,2014-01-15,DGX,54.490002,54.720001,53.900002,54.040001,1904900.0,,,,,54.630001,54.330002,53.93,0.560002,0.139999,-0.420003
10,2014-01-16,DGX,54.630001,54.779999,54.119999,54.330002,1219100.0,,,,,54.68,54.630001,54.490002,0.139999,0.049999,-0.09
11,2014-01-17,DGX,54.68,54.959999,54.330002,54.630001,1059600.0,,,,,54.529999,55.0,54.630001,0.049999,-0.150001,-0.2
12,2014-01-21,DGX,54.529999,55.060001,54.490002,55.0,1576800.0,,,,,55.09,54.709999,54.68,-0.150001,0.560001,0.710002
13,2014-01-22,DGX,55.09,55.240002,54.330002,54.709999,1802400.0,0.8314,0.0115,0.92,0.0685,54.450001,54.810001,54.529999,0.560001,-0.639999,-1.2
14,2014-01-23,DGX,54.450001,54.919998,54.119999,54.810001,1476200.0,,,,,53.709999,54.450001,55.09,-0.639999,-0.740002,-0.100003
15,2014-01-24,DGX,53.709999,54.59,53.639999,54.450001,1972600.0,,,,,53.759998,53.849998,54.450001,-0.740002,0.049999,0.790001
16,2014-01-27,DGX,53.759998,54.099998,53.66,53.849998,2163800.0,,,,,53.360001,53.610001,53.709999,0.049999,-0.399997,-0.449996
17,2014-01-28,DGX,53.360001,53.720001,53.009998,53.610001,3703200.0,,,,,53.82,53.0,53.759998,-0.399997,0.459999,0.859996
18,2014-01-29,DGX,53.82,53.869999,52.77,53.0,3368800.0,,,,,52.380001,54.689999,53.360001,0.459999,-1.439999,-1.899998
19,2014-01-30,DGX,52.380001,55.68,51.799999,54.689999,6957600.0,,,,,52.5,51.990002,53.82,-1.439999,0.119999,1.559998
20,2014-01-31,DGX,52.5,52.860001,51.919998,51.990002,3884900.0,,,,,51.080002,52.200001,52.380001,0.119999,-1.419998,-1.539997
21,2014-02-03,DGX,51.080002,53.360001,51.060001,52.200001,3070000.0,,,,,51.220001,51.040001,52.5,-1.419998,0.139999,1.559997
22,2014-02-04,DGX,51.220001,51.549999,50.509998,51.040001,3906200.0,,,,,51.099998,50.950001,51.080002,0.139999,-0.120003,-0.260002
23,2014-02-05,DGX,51.099998,51.389999,50.84,50.950001,3168900.0,,,,,51.060001,51.290001,51.220001,-0.120003,-0.039997,0.080006
24,2014-02-06,DGX,51.060001,51.299999,50.59,51.290001,2008800.0,,,,,50.799999,50.98,51.099998,-0.039997,-0.260002,-0.220005
25,2014-02-07,DGX,50.799999,51.310001,50.459999,50.98,1967400.0,,,,,51.740002,51.0,51.060001,-0.260002,0.940003,1.200005
26,2014-02-10,DGX,51.740002,51.830002,50.98,51.0,4051300.0,,,,,52.34,51.939999,50.799999,0.940003,0.599998,-0.340005
27,2014-02-11,DGX,52.34,52.610001,51.860001,51.939999,2751500.0,,,,,52.060001,52.439999,51.740002,0.599998,-0.279999,-0.879997
28,2014-02-12,DGX,52.060001,52.450001,51.849998,52.439999,2649900.0,,,,,52.200001,51.77,52.34,-0.279999,0.14,0.419999
29,2014-02-13,DGX,52.200001,52.560001,51.77,51.77,3066600.0,,,,,52.599998,52.200001,52.060001,0.14,0.399997,0.259997
30,2014-02-14,DGX,52.599998,52.970001,52.139999,52.200001,1917700.0,,,,,52.91,52.490002,52.200001,0.399997,0.310002,-0.089995
31,2014-02-18,DGX,52.91,53.25,52.450001,52.490002,1635800.0,,,,,52.77,52.709999,52.599998,0.310002,-0.14,-0.450002
32,2014-02-19,DGX,52.77,52.950001,52.119999,52.709999,2324600.0,,,,,52.970001,52.84,52.91,-0.14,0.200001,0.340001
33,2014-02-20,DGX,52.970001,53.07,52.610001,52.84,1161900.0,,,,,53.049999,52.970001,52.77,0.200001,0.079998,-0.120003
34,2014-02-21,DGX,53.049999,53.09,52.799999,52.970001,2007200.0,,,,,53.810001,53.049999,52.970001,0.079998,0.760002,0.680004
35,2014-02-24,DGX,53.810001,54.009998,53.009998,53.049999,2032000.0,,,,,53.16,53.59,53.049999,0.760002,-0.650001,-1.410003
36,2014-02-25,DGX,53.16,53.669998,53.009998,53.59,2338000.0,,,,,53.040001,53.09,53.810001,-0.650001,-0.119999,0.530002
37,2014-02-26,DGX,53.040001,53.419998,52.860001,53.09,1441300.0,,,,,52.759998,53.049999,53.16,-0.119999,-0.280003,-0.160004
