,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,DISCK,82.519997,83.669998,82.129997,83.220001,369000.0,,,,,82.120003,82.830002,,,-0.399994,
1,2014-01-03,DISCK,82.120003,83.300003,81.940002,82.830002,320200.0,,,,,80.730003,82.199997,82.519997,-0.399994,-1.39,-0.990006
2,2014-01-06,DISCK,80.730003,82.699997,80.489998,82.199997,572800.0,,,,,79.980003,80.769997,82.120003,-1.39,-0.75,0.64
3,2014-01-07,DISCK,79.980003,80.769997,79.800003,80.769997,587800.0,,,,,78.139999,80.129997,80.730003,-0.75,-1.840004,-1.090004
4,2014-01-08,DISCK,78.139999,80.720001,77.639999,80.129997,1163200.0,,,,,78.440002,78.32,79.980003,-1.840004,0.300003,2.140007
5,2014-01-09,DISCK,78.440002,78.580002,77.419998,78.32,960200.0,,,,,77.550003,78.419998,78.139999,0.300003,-0.889999,-1.190002
6,2014-01-10,DISCK,77.550003,78.889999,77.330002,78.419998,603200.0,,,,,75.209999,77.169998,78.440002,-0.889999,-2.340004,-1.450005
7,2014-01-13,DISCK,75.209999,77.580002,74.970001,77.169998,660600.0,0.1002,0.0295,0.9395,0.0315,75.720001,75.209999,77.550003,-2.340004,0.510002,2.850006
8,2014-01-14,DISCK,75.720001,76.209999,75.129997,75.209999,696800.0,,,,,75.849998,76.0,75.209999,0.510002,0.129997,-0.380005
9,2014-01-15,DISCK,75.849998,76.160004,75.220001,76.0,543800.0,,,,,75.32,75.540001,75.720001,0.129997,-0.529998,-0.659995
10,2014-01-16,DISCK,75.32,76.400002,75.050003,75.540001,443800.0,,,,,74.529999,75.110001,75.849998,-0.529998,-0.790001,-0.260003
11,2014-01-17,DISCK,74.529999,75.519997,74.010002,75.110001,521400.0,,,,,74.129997,74.75,75.32,-0.790001,-0.400002,0.389999
12,2014-01-21,DISCK,74.129997,74.82,73.339996,74.75,842400.0,0.9509,0.0,0.881,0.119,74.300003,74.139999,74.529999,-0.400002,0.170006,0.570008
13,2014-01-22,DISCK,74.300003,74.419998,73.720001,74.139999,790600.0,,,,,73.980003,73.739998,74.129997,0.170006,-0.32,-0.490006
14,2014-01-23,DISCK,73.980003,74.25,73.43,73.739998,1527000.0,,,,,73.589996,74.300003,74.300003,-0.32,-0.390007,-0.070007
15,2014-01-24,DISCK,73.589996,74.300003,73.370003,74.300003,1394000.0,,,,,71.769997,73.779999,73.980003,-0.390007,-1.819999,-1.429992
16,2014-01-27,DISCK,71.769997,73.919998,71.260002,73.779999,750400.0,,,,,72.110001,72.010002,73.589996,-1.819999,0.340004,2.160003
17,2014-01-28,DISCK,72.110001,72.519997,71.360001,72.010002,788200.0,,,,,72.599998,71.209999,71.769997,0.340004,0.489997,0.149993
18,2014-01-29,DISCK,72.599998,72.849998,70.879997,71.209999,1066600.0,0.9859,0.014,0.864,0.122,73.980003,73.029999,72.110001,0.489997,1.380005,0.890008
19,2014-01-30,DISCK,73.980003,75.540001,72.809998,73.029999,1386000.0,,,,,73.720001,73.019997,72.599998,1.380005,-0.260002,-1.640007
20,2014-01-31,DISCK,73.720001,74.559998,72.769997,73.019997,547200.0,,,,,72.309998,73.830002,73.980003,-0.260002,-1.410003,-1.150001
21,2014-02-03,DISCK,72.309998,73.830002,72.059998,73.830002,697000.0,0.9676,0.0,0.8925,0.1075,72.519997,72.639999,73.720001,-1.410003,0.209999,1.620002
22,2014-02-04,DISCK,72.519997,73.029999,71.860001,72.639999,540800.0,,,,,73.389999,72.290001,72.309998,0.209999,0.870002,0.660003
23,2014-02-05,DISCK,73.389999,74.0,71.809998,72.290001,467200.0,,,,,75.349998,73.5,72.519997,0.870002,1.959999,1.089997
24,2014-02-06,DISCK,75.349998,75.730003,73.18,73.5,898600.0,,,,,76.019997,75.82,73.389999,1.959999,0.669999,-1.29
25,2014-02-07,DISCK,76.019997,76.400002,75.32,75.82,566600.0,,,,,75.800003,76.029999,75.349998,0.669999,-0.219994,-0.889993
26,2014-02-10,DISCK,75.800003,76.029999,75.559998,76.029999,255800.0,,,,,76.050003,75.629997,76.019997,-0.219994,0.25,0.469994
27,2014-02-11,DISCK,76.050003,77.099998,75.629997,75.629997,574000.0,,,,,76.07,76.139999,75.800003,0.25,0.019997,-0.230003
28,2014-02-12,DISCK,76.07,76.519997,75.599998,76.139999,529400.0,,,,,72.849998,73.849998,76.050003,0.019997,-3.220002,-3.239999
29,2014-02-13,DISCK,72.849998,74.709999,72.540001,73.849998,849000.0,0.8126,0.0,0.962,0.038,74.779999,73.300003,76.07,-3.220002,1.930001,5.150003
30,2014-02-14,DISCK,74.779999,75.169998,72.800003,73.300003,799200.0,,,,,74.629997,75.199997,72.849998,1.930001,-0.150002,-2.080003
31,2014-02-18,DISCK,74.629997,75.669998,74.110001,75.199997,608800.0,,,,,75.410004,74.449997,74.779999,-0.150002,0.780007,0.930009
32,2014-02-19,DISCK,75.410004,76.300003,74.449997,74.449997,623600.0,0.9913,0.008,0.818,0.174,76.559998,75.639999,74.629997,0.780007,1.149994,0.369987
33,2014-02-20,DISCK,76.559998,76.599998,75.559998,75.639999,720800.0,,,,,77.330002,76.580002,75.410004,1.149994,0.770004,-0.37999
34,2014-02-21,DISCK,77.330002,77.57,75.910004,76.580002,1053400.0,,,,,77.169998,77.620003,76.559998,0.770004,-0.160004,-0.930008
35,2014-02-24,DISCK,77.169998,77.889999,77.139999,77.620003,899000.0,,,,,76.5,77.050003,77.330002,-0.160004,-0.669998,-0.509994
36,2014-02-25,DISCK,76.5,77.459999,76.25,77.050003,636800.0,,,,,76.059998,76.540001,77.169998,-0.669998,-0.440002,0.229996
37,2014-02-26,DISCK,76.059998,77.779999,75.849998,76.540001,799400.0,,,,,76.32,76.220001,76.5,-0.440002,0.260002,0.700004
38,2014-02-27,DISCK,76.32,76.910004,75.199997,76.220001,627200.0,,,,,77.129997,76.5,76.059998,0.260002,0.809997,0.549995
39,2014-02-28,DISCK,77.129997,77.970001,76.5,76.5,1199600.0,,,,,76.43,76.660004,76.32,0.809997,-0.699997,-1.509994
40,2014-03-03,DISCK,76.43,76.940002,75.870003,76.660004,655200.0,,,,,78.199997,76.849998,77.129997,-0.699997,1.769997,2.469994
41,2014-03-04,DISCK,78.199997,78.620003,76.849998,76.849998,555200.0,,,,,78.410004,78.360001,76.43,1.769997,0.210007,-1.55999
42,2014-03-05,DISCK,78.410004,79.0,78.18,78.360001,1160200.0,,,,,79.75,78.269997,78.199997,0.210007,1.339996,1.129989
43,2014-03-06,DISCK,79.75,80.360001,78.0,78.269997,1695600.0,,,,,79.300003,79.919998,78.410004,1.339996,-0.449997,-1.789993
44,2014-03-07,DISCK,79.300003,80.339996,79.209999,79.919998,918200.0,,,,,80.0,78.910004,79.75,-0.449997,0.699997,1.149994
45,2014-03-10,DISCK,80.0,80.559998,78.910004,78.910004,1179200.0,,,,,78.860001,80.220001,79.300003,0.699997,-1.139999,-1.839996
46,2014-03-11,DISCK,78.860001,80.230003,78.510002,80.220001,860800.0,,,,,79.260002,78.410004,80.0,-1.139999,0.400001,1.54
47,2014-03-12,DISCK,79.260002,79.400002,78.339996,78.410004,1326600.0,,,,,78.160004,79.650002,78.860001,0.400001,-1.099998,-1.499999
48,2014-03-13,DISCK,78.160004,79.970001,78.07,79.650002,1170800.0,,,,,77.730003,78.18,79.260002,-1.099998,-0.430001,0.669997
49,2014-03-14,DISCK,77.730003,78.82,76.910004,78.18,1030600.0,,,,,77.349998,78.0,78.160004,-0.430001,-0.380005,0.049996
50,2014-03-17,DISCK,77.349998,78.0,77.160004,78.0,1164000.0,0.7188,0.017,0.943,0.04,77.650002,77.300003,77.730003,-0.380005,0.300004,0.680009
51,2014-03-18,DISCK,77.650002,78.07,77.080002,77.300003,1405000.0,,,,,77.389999,77.510002,77.349998,0.300004,-0.260003,-0.560007
52,2014-03-19,DISCK,77.389999,78.019997,77.360001,77.510002,1400600.0,,,,,77.019997,77.07,77.650002,-0.260003,-0.370002,-0.109999
53,2014-03-20,DISCK,77.019997,77.769997,76.830002,77.07,1095800.0,0.42685,0.006,0.96075,0.03325,77.790001,77.529999,77.389999,-0.370002,0.770004,1.140006
54,2014-03-21,DISCK,77.790001,78.559998,76.93,77.529999,1078400.0,,,,,76.879997,77.989998,77.019997,0.770004,-0.910004,-1.680008
55,2014-03-24,DISCK,76.879997,77.989998,76.519997,77.989998,852200.0,,,,,76.57,77.029999,77.790001,-0.910004,-0.309997,0.600007
56,2014-03-25,DISCK,76.57,77.480003,76.339996,77.029999,638000.0,,,,,76.139999,77.019997,76.879997,-0.309997,-0.430001,-0.120004
57,2014-03-26,DISCK,76.139999,77.440002,76.120003,77.019997,757200.0,,,,,75.720001,75.879997,76.57,-0.430001,-0.419998,0.010003
58,2014-03-27,DISCK,75.720001,76.269997,75.279999,75.879997,701600.0,,,,,76.5,76.050003,76.139999,-0.419998,0.779999,1.199997
59,2014-03-28,DISCK,76.5,76.639999,75.709999,76.050003,660000.0,0.9565,0.003,0.954,0.042,77.059998,76.690002,75.720001,0.779999,0.559998,-0.220001
60,2014-03-31,DISCK,77.059998,77.580002,76.559998,76.690002,513200.0,,,,,78.389999,77.480003,76.5,0.559998,1.330001,0.770003
61,2014-04-01,DISCK,78.389999,78.449997,77.260002,77.480003,582200.0,,,,,78.720001,78.580002,77.059998,1.330001,0.330002,-0.999999
62,2014-04-02,DISCK,78.720001,79.309998,78.360001,78.580002,518400.0,,,,,78.57,78.68,78.389999,0.330002,-0.150001,-0.480003
63,2014-04-03,DISCK,78.57,79.239998,78.370003,78.68,466600.0,0.2023,0.0425,0.904,0.0535,77.620003,79.440002,78.720001,-0.150001,-0.949997,-0.799996
64,2014-04-04,DISCK,77.620003,79.440002,77.620003,79.440002,882600.0,,,,,75.449997,77.550003,78.57,-0.949997,-2.170006,-1.220009
65,2014-04-07,DISCK,75.449997,77.620003,74.709999,77.550003,1094400.0,,,,,74.900002,75.440002,77.620003,-2.170006,-0.549995,1.620011
66,2014-04-08,DISCK,74.900002,75.589996,74.239998,75.440002,1024400.0,0.9387,0.008,0.956,0.036,75.550003,75.220001,75.449997,-0.549995,0.650001,1.199996
67,2014-04-09,DISCK,75.550003,75.900002,75.0,75.220001,884800.0,,,,,74.32,75.5,74.900002,0.650001,-1.230003,-1.880004
68,2014-04-10,DISCK,74.32,75.510002,74.190002,75.5,1050000.0,,,,,72.830002,73.910004,75.550003,-1.230003,-1.489998,-0.259995
69,2014-04-11,DISCK,72.830002,74.389999,72.669998,73.910004,890000.0,,,,,72.260002,73.190002,74.32,-1.489998,-0.57,0.919998
70,2014-04-14,DISCK,72.260002,73.25,72.129997,73.190002,1105800.0,,,,,71.769997,72.269997,72.830002,-0.57,-0.490005,0.079995
71,2014-04-15,DISCK,71.769997,72.639999,70.370003,72.269997,1714800.0,,,,,72.699997,71.910004,72.260002,-0.490005,0.93,1.420005
72,2014-04-16,DISCK,72.699997,72.779999,71.910004,71.910004,1009200.0,-0.0505,0.0425,0.927,0.0305,72.75,72.519997,71.769997,0.93,0.050003,-0.879997
73,2014-04-17,DISCK,72.75,72.970001,72.400002,72.519997,910000.0,,,,,72.440002,72.75,72.699997,0.050003,-0.309998,-0.360001
74,2014-04-21,DISCK,72.440002,73.260002,72.160004,72.75,818200.0,,,,,72.589996,72.5,72.75,-0.309998,0.149994,0.459992
75,2014-04-22,DISCK,72.589996,73.339996,72.379997,72.5,1529400.0,,,,,72.160004,72.68,72.440002,0.149994,-0.429992,-0.579986
76,2014-04-23,DISCK,72.160004,73.099998,72.110001,72.68,1113200.0,,,,,71.980003,72.559998,72.589996,-0.429992,-0.180001,0.249991
77,2014-04-24,DISCK,71.980003,72.68,71.949997,72.559998,1119000.0,,,,,71.540001,71.949997,72.160004,-0.180001,-0.440002,-0.260001
78,2014-04-25,DISCK,71.540001,71.949997,71.419998,71.949997,699400.0,,,,,70.129997,71.669998,71.980003,-0.440002,-1.410004,-0.970002
79,2014-04-28,DISCK,70.129997,71.989998,69.580002,71.669998,1628400.0,,,,,69.949997,70.199997,71.540001,-1.410004,-0.18,1.230004
80,2014-04-29,DISCK,69.949997,70.32,69.800003,70.199997,1588800.0,,,,,70.129997,70.0,70.129997,-0.18,0.18,0.36
81,2014-04-30,DISCK,70.129997,70.550003,69.419998,70.0,1361200.0,,,,,70.610001,70.480003,69.949997,0.18,0.480004,0.300004
82,2014-05-01,DISCK,70.610001,71.080002,70.050003,70.480003,1682000.0,0.9753,0.021,0.898,0.081,70.739998,70.769997,70.129997,0.480004,0.129997,-0.350007
83,2014-05-02,DISCK,70.739998,71.099998,70.580002,70.769997,1732200.0,,,,,71.510002,70.480003,70.610001,0.129997,0.770004,0.640007
84,2014-05-05,DISCK,71.510002,71.709999,70.290001,70.480003,2786600.0,,,,,68.290001,72.0,70.739998,0.770004,-3.220001,-3.990005
85,2014-05-06,DISCK,68.290001,72.0,67.739998,72.0,4826200.0,0.888433333333,0.00933333333333,0.901333333333,0.0893333333333,66.949997,68.18,71.510002,-3.220001,-1.340004,1.879997
86,2014-05-07,DISCK,66.949997,68.5,66.800003,68.18,1991000.0,,,,,68.199997,67.190002,68.290001,-1.340004,1.25,2.590004
87,2014-05-08,DISCK,68.199997,69.190002,66.739998,67.190002,2351200.0,0.8477,0.0253333333333,0.896666666667,0.0776666666667,66.980003,68.150002,66.949997,1.25,-1.219994,-2.469994
88,2014-05-09,DISCK,66.980003,68.150002,66.919998,68.150002,1615200.0,,,,,67.779999,67.099998,68.199997,-1.219994,0.799996,2.01999
89,2014-05-12,DISCK,67.779999,68.139999,67.099998,67.099998,1054000.0,0.9337,0.023,0.887,0.09,67.290001,68.150002,66.980003,0.799996,-0.489998,-1.289994
90,2014-05-13,DISCK,67.290001,68.379997,67.25,68.150002,1108800.0,,,,,67.129997,67.360001,67.779999,-0.489998,-0.160004,0.329994
91,2014-05-14,DISCK,67.129997,67.519997,66.370003,67.360001,3113600.0,,,,,67.199997,67.18,67.290001,-0.160004,0.07,0.230004
92,2014-05-15,DISCK,67.199997,67.669998,66.589996,67.18,1909200.0,,,,,67.889999,67.010002,67.129997,0.07,0.690002,0.620002
93,2014-05-16,DISCK,67.889999,67.980003,66.870003,67.010002,1387000.0,,,,,68.669998,67.349998,67.199997,0.690002,0.779999,0.089997
94,2014-05-19,DISCK,68.669998,69.160004,67.349998,67.349998,2099000.0,,,,,68.5,68.830002,67.889999,0.779999,-0.169998,-0.949997
95,2014-05-20,DISCK,68.5,69.279999,68.120003,68.830002,1750800.0,,,,,72.010002,69.330002,68.669998,-0.169998,3.510002,3.68
96,2014-05-21,DISCK,72.010002,73.080002,69.139999,69.330002,6767200.0,,,,,72.879997,71.959999,68.5,3.510002,0.869995,-2.640007
97,2014-05-22,DISCK,72.879997,73.120003,71.489998,71.959999,1202000.0,,,,,75.110001,72.889999,72.010002,0.869995,2.230004,1.360009
98,2014-05-23,DISCK,75.110001,75.169998,72.889999,72.889999,1632400.0,,,,,75.849998,75.260002,72.879997,2.230004,0.739997,-1.490007
99,2014-05-27,DISCK,75.849998,76.239998,74.639999,75.260002,1177800.0,,,,,76.790001,75.769997,75.110001,0.739997,0.940003,0.200006
100,2014-05-28,DISCK,76.790001,77.169998,75.419998,75.769997,1040800.0,,,,,75.68,76.779999,75.849998,0.940003,-1.110001,-2.050004
101,2014-05-29,DISCK,75.68,76.980003,75.349998,76.779999,829600.0,,,,,74.949997,75.25,76.790001,-1.110001,-0.730003,0.379998
102,2014-05-30,DISCK,74.949997,75.849998,74.800003,75.25,3072600.0,,,,,76.599998,75.040001,75.68,-0.730003,1.650001,2.380004
103,2014-06-02,DISCK,76.599998,76.900002,75.040001,75.040001,1387800.0,,,,,77.230003,76.059998,74.949997,1.650001,0.630005,-1.019996
104,2014-06-03,DISCK,77.230003,77.360001,76.059998,76.059998,1699000.0,,,,,77.589996,77.25,76.599998,0.630005,0.359993,-0.270012
105,2014-06-04,DISCK,77.589996,78.290001,76.889999,77.25,1358000.0,,,,,78.480003,77.449997,77.230003,0.359993,0.890007,0.530014
106,2014-06-05,DISCK,78.480003,79.370003,77.440002,77.449997,1417600.0,,,,,78.760002,78.089996,77.589996,0.890007,0.279999,-0.610008
107,2014-06-06,DISCK,78.760002,79.07,78.040001,78.089996,1191400.0,,,,,78.82,78.559998,78.480003,0.279999,0.059998,-0.220001
108,2014-06-09,DISCK,78.82,79.910004,78.559998,78.559998,836200.0,,,,,78.68,78.629997,78.760002,0.059998,-0.14,-0.199998
109,2014-06-10,DISCK,78.68,78.879997,77.900002,78.629997,1165600.0,,,,,77.440002,78.360001,78.82,-0.14,-1.239998,-1.099998
110,2014-06-11,DISCK,77.440002,78.82,77.160004,78.360001,932800.0,,,,,77.300003,77.510002,78.68,-1.239998,-0.139999,1.099999
111,2014-06-12,DISCK,77.300003,77.790001,77.010002,77.510002,466400.0,,,,,76.5,77.400002,77.440002,-0.139999,-0.800003,-0.660004
112,2014-06-13,DISCK,76.5,77.650002,76.330002,77.400002,780600.0,0.8517,0.0065,0.943,0.05025,76.269997,76.580002,77.300003,-0.800003,-0.230003,0.57
113,2014-06-16,DISCK,76.269997,76.580002,75.650002,76.580002,885200.0,,,,,76.370003,76.010002,76.5,-0.230003,0.100006,0.330009
114,2014-06-17,DISCK,76.370003,76.470001,75.650002,76.010002,1376400.0,,,,,76.010002,76.489998,76.269997,0.100006,-0.360001,-0.460007
115,2014-06-18,DISCK,76.010002,76.489998,75.010002,76.489998,505200.0,,,,,74.900002,76.220001,76.370003,-0.360001,-1.11,-0.749999
116,2014-06-19,DISCK,74.900002,76.220001,74.809998,76.220001,930200.0,,,,,73.290001,74.940002,76.010002,-1.11,-1.610001,-0.500001
117,2014-06-20,DISCK,73.290001,74.940002,72.93,74.940002,1603000.0,,,,,73.599998,73.239998,74.900002,-1.610001,0.309997,1.919998
118,2014-06-23,DISCK,73.599998,74.660004,72.779999,73.239998,431200.0,,,,,73.57,73.650002,73.290001,0.309997,-0.029998,-0.339995
119,2014-06-24,DISCK,73.57,74.160004,73.43,73.650002,341800.0,,,,,73.410004,72.639999,73.599998,-0.029998,-0.159996,-0.129998
120,2014-06-25,DISCK,73.410004,73.93,72.519997,72.639999,492600.0,,,,,72.080002,73.330002,73.57,-0.159996,-1.330002,-1.170006
121,2014-06-26,DISCK,72.080002,73.330002,70.910004,73.330002,1048800.0,,,,,72.290001,71.959999,73.410004,-1.330002,0.209999,1.540001
122,2014-06-27,DISCK,72.290001,72.470001,71.860001,71.959999,1296000.0,,,,,72.589996,72.199997,72.080002,0.209999,0.299995,0.089996
123,2014-06-30,DISCK,72.589996,73.669998,72.199997,72.199997,795600.0,,,,,74.389999,72.809998,72.290001,0.299995,1.800003,1.500008
124,2014-07-01,DISCK,74.389999,74.57,72.800003,72.809998,737200.0,,,,,75.120003,74.029999,72.589996,1.800003,0.730004,-1.069999
125,2014-07-02,DISCK,75.120003,75.25,74.029999,74.029999,747400.0,,,,,75.800003,75.099998,74.389999,0.730004,0.68,-0.050004
126,2014-07-03,DISCK,75.800003,76.540001,75.099998,75.099998,694400.0,,,,,75.419998,75.470001,75.120003,0.68,-0.380005,-1.060005
127,2014-07-07,DISCK,75.419998,75.669998,74.949997,75.470001,481600.0,,,,,75.300003,75.129997,75.800003,-0.380005,-0.119995,0.26001
128,2014-07-08,DISCK,75.300003,75.440002,74.860001,75.129997,496800.0,,,,,77.120003,75.489998,75.419998,-0.119995,1.82,1.939995
129,2014-07-09,DISCK,77.120003,77.480003,75.489998,75.489998,856600.0,,,,,77.080002,76.349998,75.300003,1.82,-0.040001,-1.860001
