,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,DOW,43.869999,44.380001,43.759998,44.200001,6494900.0,,,,,43.669998,44.029999,,,-0.200001,
1,2014-01-03,DOW,43.669998,44.18,43.619999,44.029999,5593500.0,,,,,43.59,43.799999,43.869999,-0.200001,-0.079998,0.120003
2,2014-01-06,DOW,43.59,44.0,43.279999,43.799999,7373800.0,,,,,43.110001,43.759998,43.669998,-0.079998,-0.479999,-0.400001
3,2014-01-07,DOW,43.110001,43.790001,42.77,43.759998,9947300.0,,,,,43.16,43.110001,43.59,-0.479999,0.049999,0.529998
4,2014-01-08,DOW,43.16,43.349998,42.830002,43.110001,7588000.0,,,,,42.599998,43.349998,43.110001,0.049999,-0.560002,-0.610001
5,2014-01-09,DOW,42.599998,43.619999,42.580002,43.349998,10495600.0,,,,,42.709999,42.52,43.16,-0.560002,0.110001,0.670003
6,2014-01-10,DOW,42.709999,42.959999,42.470001,42.52,5728800.0,,,,,41.889999,42.470001,42.599998,0.110001,-0.82,-0.930001
7,2014-01-13,DOW,41.889999,42.759998,41.82,42.470001,6486600.0,0.9952,0.038,0.845,0.117,42.650002,42.009998,42.709999,-0.82,0.760003,1.580003
8,2014-01-14,DOW,42.650002,42.82,41.990002,42.009998,9335000.0,0.9647,0.0555,0.819,0.126,43.049999,42.669998,41.889999,0.760003,0.399997,-0.360006
9,2014-01-15,DOW,43.049999,43.259998,42.669998,42.669998,12243200.0,,,,,43.09,42.880001,42.650002,0.399997,0.040001,-0.359996
10,2014-01-16,DOW,43.09,43.169998,42.82,42.880001,13246700.0,,,,,43.07,43.02,43.049999,0.040001,-0.02,-0.060001
11,2014-01-17,DOW,43.07,43.470001,43.0,43.02,12767100.0,,,,,45.93,45.860001,43.09,-0.02,2.86,2.88
12,2014-01-21,DOW,45.93,46.700001,44.98,45.860001,35484800.0,0.97762,0.0359,0.8675,0.0965,45.68,46.16,43.07,2.86,-0.25,-3.11
13,2014-01-22,DOW,45.68,46.849998,45.529999,46.16,20033500.0,,,,,44.720001,45.200001,45.93,-0.25,-0.959999,-0.709999
