,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,EA,22.83,22.959999,22.43,22.9,3550700.0,,,,,22.68,22.879999,,,-0.15,
1,2014-01-03,EA,22.68,23.1,22.5,22.879999,3112600.0,,,,,22.530001,22.809999,22.83,-0.15,-0.149999,1.00000000103e-06
2,2014-01-06,EA,22.530001,23.030001,22.09,22.809999,4300900.0,,,,,23.1,22.68,22.68,-0.149999,0.569999,0.719998
3,2014-01-07,EA,23.1,23.379999,22.530001,22.68,3963000.0,,,,,23.309999,23.139999,22.530001,0.569999,0.209999,-0.36
4,2014-01-08,EA,23.309999,23.450001,23.110001,23.139999,3022200.0,,,,,22.75,23.42,23.1,0.209999,-0.559999,-0.769998
5,2014-01-09,EA,22.75,23.690001,22.620001,23.42,2788700.0,,,,,23.01,22.790001,23.309999,-0.559999,0.26,0.819999
6,2014-01-10,EA,23.01,23.030001,22.709999,22.790001,2026700.0,,,,,22.379999,23.01,22.75,0.26,-0.630001,-0.890001
7,2014-01-13,EA,22.379999,23.02,22.33,23.01,4041200.0,,,,,22.459999,22.6,23.01,-0.630001,0.08,0.710001
8,2014-01-14,EA,22.459999,22.6,21.58,22.6,9022600.0,,,,,21.93,22.6,22.379999,0.08,-0.529999,-0.609999
9,2014-01-15,EA,21.93,22.85,21.889999,22.6,5948900.0,,,,,21.540001,21.860001,22.459999,-0.529999,-0.389999,0.14
10,2014-01-16,EA,21.540001,22.040001,21.25,21.860001,9347800.0,,,,,24.1,23.030001,21.93,-0.389999,2.559999,2.949998
11,2014-01-17,EA,24.1,24.290001,22.969999,23.030001,13893900.0,0.9902,0.0,0.818,0.182,24.32,24.24,21.540001,2.559999,0.22,-2.339999
12,2014-01-21,EA,24.32,24.59,24.01,24.24,7515100.0,,,,,24.17,24.27,24.1,0.22,-0.15,-0.37
13,2014-01-22,EA,24.17,24.389999,24.02,24.27,4097900.0,,,,,23.870001,23.950001,24.32,-0.15,-0.299999,-0.149999
14,2014-01-23,EA,23.870001,24.27,23.629999,23.950001,2630800.0,,,,,23.84,23.639999,24.17,-0.299999,-0.030001,0.269998
15,2014-01-24,EA,23.84,23.959999,23.389999,23.639999,5559800.0,,,,,24.469999,23.98,23.870001,-0.030001,0.629999,0.66
16,2014-01-27,EA,24.469999,24.59,23.73,23.98,8220300.0,,,,,24.870001,24.549999,23.84,0.629999,0.400002,-0.229997
17,2014-01-28,EA,24.870001,25.01,24.440001,24.549999,14116500.0,0.9036,0.0123333333333,0.898333333333,0.0893333333333,25.219999,25.030001,24.469999,0.400002,0.349998,-0.050004
18,2014-01-29,EA,25.219999,26.059999,24.66,25.030001,14164800.0,,,,,26.030001,25.34,24.870001,0.349998,0.810002,0.460004
19,2014-01-30,EA,26.030001,26.219999,25.299999,25.34,6994800.0,,,,,26.4,25.93,25.219999,0.810002,0.369999,-0.440003
20,2014-01-31,EA,26.4,26.860001,25.620001,25.93,8244600.0,,,,,26.08,26.360001,26.030001,0.369999,-0.32,-0.689999
21,2014-02-03,EA,26.08,26.65,25.57,26.360001,7050400.0,,,,,26.18,26.49,26.4,-0.32,0.1,0.42
22,2014-02-04,EA,26.18,26.790001,26.16,26.49,9151300.0,,,,,26.16,26.049999,26.08,0.1,-0.02,-0.12
23,2014-02-05,EA,26.16,26.48,25.809999,26.049999,6565200.0,,,,,26.459999,25.700001,26.18,-0.02,0.299999,0.319999
24,2014-02-06,EA,26.459999,26.65,25.559999,25.700001,6423300.0,,,,,27.200001,26.620001,26.16,0.299999,0.740002,0.440003
25,2014-02-07,EA,27.200001,27.700001,26.459999,26.620001,9164600.0,,,,,26.879999,26.76,26.459999,0.740002,-0.320002,-1.060004
26,2014-02-10,EA,26.879999,27.4,26.620001,26.76,4858000.0,,,,,27.41,26.93,27.200001,-0.320002,0.530001,0.850003
27,2014-02-11,EA,27.41,27.549999,26.450001,26.93,4909700.0,,,,,27.860001,27.370001,26.879999,0.530001,0.450001,-0.08
28,2014-02-12,EA,27.860001,27.879999,27.34,27.370001,3272900.0,,,,,27.559999,27.52,27.41,0.450001,-0.300002,-0.750003
29,2014-02-13,EA,27.559999,27.74,27.200001,27.52,2957800.0,0.98555,0.0335,0.8525,0.114,27.58,27.620001,27.860001,-0.300002,0.020001,0.320003
30,2014-02-14,EA,27.58,27.799999,27.450001,27.620001,3606300.0,,,,,28.4,27.610001,27.559999,0.020001,0.82,0.799999
31,2014-02-18,EA,28.4,28.5,27.57,27.610001,3535600.0,,,,,27.91,28.18,27.58,0.82,-0.49,-1.31
32,2014-02-19,EA,27.91,28.440001,27.889999,28.18,3398400.0,,,,,27.790001,28.0,28.4,-0.49,-0.119999,0.370001
33,2014-02-20,EA,27.790001,28.139999,27.67,28.0,4224800.0,,,,,28.0,27.799999,27.91,-0.119999,0.209999,0.329998
34,2014-02-21,EA,28.0,28.209999,27.799999,27.799999,3743800.0,,,,,27.959999,28.030001,27.790001,0.209999,-0.040001,-0.25
35,2014-02-24,EA,27.959999,28.33,27.950001,28.030001,2294100.0,,,,,28.1,28.040001,28.0,-0.040001,0.140001,0.180002
36,2014-02-25,EA,28.1,28.16,27.67,28.040001,3410200.0,,,,,28.27,28.190001,27.959999,0.140001,0.17,0.029999
37,2014-02-26,EA,28.27,28.73,28.0,28.190001,4889500.0,,,,,28.540001,28.15,28.1,0.17,0.270001,0.100001
38,2014-02-27,EA,28.540001,28.629999,27.82,28.15,2909500.0,,,,,28.59,28.32,28.27,0.270001,0.049999,-0.220002
39,2014-02-28,EA,28.59,28.709999,28.290001,28.32,4761800.0,,,,,28.09,28.469999,28.540001,0.049999,-0.5,-0.549999
40,2014-03-03,EA,28.09,28.5,27.959999,28.469999,2885400.0,,,,,28.809999,28.43,28.59,-0.5,0.719999,1.219999
41,2014-03-04,EA,28.809999,28.860001,28.370001,28.43,5976000.0,,,,,29.09,28.9,28.09,0.719999,0.280001,-0.439998
42,2014-03-05,EA,29.09,29.110001,28.66,28.9,3993400.0,,,,,29.209999,29.290001,28.809999,0.280001,0.119999,-0.160002
43,2014-03-06,EA,29.209999,29.65,29.17,29.290001,3344400.0,,,,,29.379999,29.440001,29.09,0.119999,0.17,0.050001
44,2014-03-07,EA,29.379999,29.49,28.940001,29.440001,3493900.0,,,,,29.209999,29.299999,29.209999,0.17,-0.17,-0.34
45,2014-03-10,EA,29.209999,29.48,29.02,29.299999,4452000.0,,,,,29.799999,29.18,29.379999,-0.17,0.59,0.76
46,2014-03-11,EA,29.799999,29.9,29.17,29.18,7184800.0,,,,,29.98,29.440001,29.209999,0.59,0.180001,-0.409999
47,2014-03-12,EA,29.98,30.1,29.299999,29.440001,5355300.0,,,,,29.709999,29.360001,29.799999,0.180001,-0.270001,-0.450002
48,2014-03-13,EA,29.709999,29.92,29.309999,29.360001,11987900.0,,,,,29.6,29.85,29.98,-0.270001,-0.109999,0.160002
49,2014-03-14,EA,29.6,30.469999,29.42,29.85,7353900.0,,,,,30.1,29.66,29.709999,-0.109999,0.5,0.609999
50,2014-03-17,EA,30.1,30.43,29.66,29.66,3341800.0,,,,,30.24,30.059999,29.6,0.5,0.14,-0.36
51,2014-03-18,EA,30.24,30.370001,30.059999,30.059999,1996000.0,,,,,30.23,30.190001,30.1,0.14,-0.01,-0.15
52,2014-03-19,EA,30.23,30.469999,29.879999,30.190001,2502800.0,,,,,30.25,30.139999,30.24,-0.01,0.02,0.03
