,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,EBAY,53.939999,54.999997,53.899997,54.969996,23698600.0,,,,,53.259998,54.089999,,,-0.680001,
1,2014-01-03,EBAY,53.259998,54.189999,53.189999,54.089999,22783900.0,,,,,51.779997,52.399996,53.939999,-0.680001,-1.480001,-0.8
2,2014-01-06,EBAY,51.779997,52.459998,51.209998,52.399996,42542200.0,,,,,52.87,52.389999,53.259998,-1.480001,1.090003,2.570004
3,2014-01-07,EBAY,52.87,53.029997,51.979997,52.389999,33442200.0,,,,,52.37,52.959998,51.779997,1.090003,-0.5,-1.590003
4,2014-01-08,EBAY,52.37,53.62,52.17,52.959998,30967500.0,,,,,52.07,52.749996,52.87,-0.5,-0.3,0.2
5,2014-01-09,EBAY,52.07,52.809998,51.829997,52.749996,25015000.0,,,,,52.159998,51.900001,52.37,-0.3,0.089998,0.389998
6,2014-01-10,EBAY,52.159998,52.199996,51.109998,51.900001,47645400.0,,,,,52.539999,52.12,52.07,0.089998,0.380001,0.290003
7,2014-01-13,EBAY,52.539999,52.909998,51.789999,52.12,45269600.0,,,,,52.959998,52.649996,52.159998,0.380001,0.419999,0.039998
8,2014-01-14,EBAY,52.959998,53.089999,52.339999,52.649996,30514900.0,,,,,53.789999,53.22,52.539999,0.419999,0.830001,0.410002
9,2014-01-15,EBAY,53.789999,54.159999,53.109998,53.22,32937700.0,,,,,53.739999,53.779998,52.959998,0.830001,-0.05,-0.880001
10,2014-01-16,EBAY,53.739999,54.159999,53.599997,53.779998,26769600.0,,,,,53.199996,53.409998,53.789999,-0.05,-0.540003,-0.490003
11,2014-01-17,EBAY,53.199996,53.929998,52.979997,53.409998,53988400.0,,,,,54.149997,53.999997,53.739999,-0.540003,0.950001,1.490004
12,2014-01-21,EBAY,54.149997,54.199997,53.509998,53.999997,37900000.0,,,,,54.409999,53.839999,53.199996,0.950001,0.260002,-0.689999
13,2014-01-22,EBAY,54.409999,54.509999,53.779998,53.839999,84250300.0,0.849616666667,0.0308333333333,0.835333333333,0.133666666667,54.94,55.719996,54.149997,0.260002,0.530001,0.269999
14,2014-01-23,EBAY,54.94,55.899997,53.999997,55.719996,147062000.0,0.2456,0.021875,0.93675,0.041375,54.37,54.549997,54.409999,0.530001,-0.57,-1.100001
15,2014-01-24,EBAY,54.37,54.949997,53.859998,54.549997,58213600.0,0.9968,0.037,0.816,0.147,52.879997,53.799997,54.94,-0.57,-1.490003,-0.920003
16,2014-01-27,EBAY,52.879997,54.309999,52.77,53.799997,53315300.0,,,,,53.159998,53.089999,54.37,-1.490003,0.280001,1.770004
17,2014-01-28,EBAY,53.159998,53.62,52.859998,53.089999,30691900.0,,,,,52.189999,52.809998,52.879997,0.280001,-0.969999,-1.25
18,2014-01-29,EBAY,52.189999,52.949996,52.049996,52.809998,39362900.0,,,,,53.179997,52.609998,53.159998,-0.969999,0.989998,1.959997
19,2014-01-30,EBAY,53.179997,53.349997,52.439999,52.609998,39527600.0,,,,,53.199996,52.589999,52.189999,0.989998,0.019999,-0.969999
20,2014-01-31,EBAY,53.199996,53.62,52.299996,52.589999,29364500.0,,,,,52.389999,53.139999,53.179997,0.019999,-0.809997,-0.829996
21,2014-02-03,EBAY,52.389999,53.339999,52.109998,53.139999,40047400.0,,,,,52.909998,52.559998,53.199996,-0.809997,0.519999,1.329996
22,2014-02-04,EBAY,52.909998,53.139999,52.479997,52.559998,26067300.0,,,,,53.52,52.289999,52.389999,0.519999,0.610002,0.090003
23,2014-02-05,EBAY,53.52,54.039999,52.039999,52.289999,39837900.0,,,,,54.37,53.659998,52.909998,0.610002,0.85,0.239998
