,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ED,53.959999,55.150002,53.900002,55.150002,3332700.0,,,,,53.450001,53.580002,,,-0.509998,
1,2014-01-03,ED,53.450001,53.790001,52.849998,53.580002,3774100.0,,,,,53.369999,53.400002,53.959999,-0.509998,-0.080002,0.429996
2,2014-01-06,ED,53.369999,53.540001,53.110001,53.400002,2207800.0,,,,,53.950001,53.349998,53.450001,-0.080002,0.580002,0.660004
3,2014-01-07,ED,53.950001,54.040001,53.189999,53.349998,3040800.0,,,,,53.41,54.0,53.369999,0.580002,-0.540001,-1.120003
4,2014-01-08,ED,53.41,54.02,53.299999,54.0,2233800.0,,,,,53.580002,53.41,53.950001,-0.540001,0.170002,0.710003
5,2014-01-09,ED,53.580002,53.779999,53.130001,53.41,2035900.0,,,,,54.330002,53.900002,53.41,0.170002,0.75,0.579998
6,2014-01-10,ED,54.330002,54.759998,53.82,53.900002,1908600.0,,,,,53.919998,54.200001,53.580002,0.75,-0.410004,-1.160004
7,2014-01-13,ED,53.919998,54.330002,53.77,54.200001,1595900.0,,,,,53.779999,53.880001,54.330002,-0.410004,-0.139999,0.270005
8,2014-01-14,ED,53.779999,54.110001,53.709999,53.880001,1352500.0,,,,,53.830002,53.880001,53.919998,-0.139999,0.050003,0.190002
9,2014-01-15,ED,53.830002,54.099998,53.73,53.880001,1477300.0,,,,,53.939999,53.82,53.779999,0.050003,0.109997,0.059994
10,2014-01-16,ED,53.939999,53.939999,53.540001,53.82,1828900.0,,,,,53.959999,54.209999,53.830002,0.109997,0.02,-0.089997
11,2014-01-17,ED,53.959999,54.220001,53.880001,54.209999,2127800.0,,,,,54.389999,54.0,53.939999,0.02,0.43,0.41
12,2014-01-21,ED,54.389999,54.400002,54.0,54.0,2159900.0,,,,,54.16,54.43,53.959999,0.43,-0.229999,-0.659999
13,2014-01-22,ED,54.16,54.619999,54.09,54.43,1733900.0,,,,,53.939999,53.970001,54.389999,-0.229999,-0.220001,0.009998
14,2014-01-23,ED,53.939999,54.150002,53.689999,53.970001,2407500.0,,,,,53.650002,53.84,54.16,-0.220001,-0.289997,-0.069996
15,2014-01-24,ED,53.650002,54.450001,53.599998,53.84,2614400.0,,,,,53.41,53.970001,53.939999,-0.289997,-0.240002,0.049995
16,2014-01-27,ED,53.41,53.970001,53.349998,53.970001,2905400.0,,,,,53.130001,53.5,53.650002,-0.240002,-0.279999,-0.039997
17,2014-01-28,ED,53.130001,53.599998,53.099998,53.5,2444400.0,,,,,53.25,53.080002,53.41,-0.279999,0.119999,0.399998
18,2014-01-29,ED,53.25,53.509998,53.009998,53.080002,2292600.0,,,,,53.900002,53.57,53.130001,0.119999,0.650002,0.530003
19,2014-01-30,ED,53.900002,53.990002,53.34,53.57,1504900.0,,,,,54.41,53.48,53.25,0.650002,0.509998,-0.140004
20,2014-01-31,ED,54.41,54.5,53.389999,53.48,3256400.0,,,,,53.740002,54.450001,53.900002,0.509998,-0.669998,-1.179996
21,2014-02-03,ED,53.740002,55.220001,53.619999,54.450001,3375400.0,,,,,53.59,53.799999,54.41,-0.669998,-0.150002,0.519996
22,2014-02-04,ED,53.59,53.950001,53.25,53.799999,2278100.0,,,,,53.389999,53.419998,53.740002,-0.150002,-0.200001,-0.049999
23,2014-02-05,ED,53.389999,53.59,53.25,53.419998,2475300.0,,,,,53.799999,53.470001,53.59,-0.200001,0.41,0.610001
24,2014-02-06,ED,53.799999,53.900002,53.400002,53.470001,1390900.0,,,,,54.02,54.009998,53.389999,0.41,0.220001,-0.189999
25,2014-02-07,ED,54.02,54.200001,53.689999,54.009998,2206200.0,,,,,53.700001,53.27,53.799999,0.220001,-0.319999,-0.54
