,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,EQT,88.730003,90.190002,88.120003,89.879997,807800.0,,,,,87.580002,88.529999,,,-1.150001,
1,2014-01-03,EQT,87.580002,88.839996,86.970001,88.529999,724200.0,,,,,87.790001,87.809998,88.730003,-1.150001,0.209999,1.36
2,2014-01-06,EQT,87.790001,88.489998,86.849998,87.809998,1085300.0,,,,,87.849998,88.019997,87.580002,0.209999,0.059997,-0.150002
3,2014-01-07,EQT,87.849998,90.18,87.720001,88.019997,1334000.0,,,,,88.419998,87.43,87.790001,0.059997,0.57,0.510003
4,2014-01-08,EQT,88.419998,88.489998,87.209999,87.43,1499200.0,,,,,86.0,88.510002,87.849998,0.57,-2.419998,-2.989998
5,2014-01-09,EQT,86.0,88.989998,85.699997,88.510002,1400700.0,0.9382,0.0,0.927,0.073,86.019997,86.260002,88.419998,-2.419998,0.019997,2.439995
6,2014-01-10,EQT,86.019997,86.400002,85.300003,86.260002,930000.0,,,,,84.349998,86.040001,86.0,0.019997,-1.669999,-1.689996
7,2014-01-13,EQT,84.349998,86.75,84.25,86.040001,1222400.0,,,,,86.449997,84.82,86.019997,-1.669999,2.099999,3.769998
8,2014-01-14,EQT,86.449997,86.459999,84.82,84.82,1139600.0,,,,,87.080002,86.769997,84.349998,2.099999,0.630005,-1.469994
9,2014-01-15,EQT,87.080002,87.339996,86.150002,86.769997,1050000.0,,,,,89.07,87.32,86.449997,0.630005,1.989998,1.359993
10,2014-01-16,EQT,89.07,89.239998,86.93,87.32,1926200.0,,,,,87.620003,90.370003,87.080002,1.989998,-1.449997,-3.439995
11,2014-01-17,EQT,87.620003,90.370003,87.389999,90.370003,1244400.0,0.9081,0.029,0.881,0.091,90.57,87.830002,89.07,-1.449997,2.949997,4.399994
12,2014-01-21,EQT,90.57,90.629997,87.830002,87.830002,1012900.0,0.5574,0.0,0.962,0.038,92.239998,92.019997,87.620003,2.949997,1.669998,-1.279999
13,2014-01-22,EQT,92.239998,93.610001,91.410004,92.019997,1486700.0,,,,,91.870003,92.139999,90.57,1.669998,-0.369995,-2.039993
14,2014-01-23,EQT,91.870003,93.110001,91.089996,92.139999,1267800.0,,,,,90.699997,91.68,92.239998,-0.369995,-1.170006,-0.800011
15,2014-01-24,EQT,90.699997,91.790001,90.160004,91.68,1010700.0,,,,,89.370003,90.349998,91.870003,-1.170006,-1.329994,-0.159988
16,2014-01-27,EQT,89.370003,90.589996,88.169998,90.349998,901600.0,,,,,91.089996,89.540001,90.699997,-1.329994,1.719993,3.049987
17,2014-01-28,EQT,91.089996,91.400002,89.529999,89.540001,909500.0,,,,,90.260002,90.75,89.370003,1.719993,-0.829994,-2.549987
18,2014-01-29,EQT,90.260002,91.610001,89.379997,90.75,1511500.0,,,,,90.0,90.18,91.089996,-0.829994,-0.260002,0.569992
19,2014-01-30,EQT,90.0,90.779999,89.32,90.18,1044100.0,,,,,92.809998,89.699997,90.260002,-0.260002,2.809998,3.07
20,2014-01-31,EQT,92.809998,92.949997,89.410004,89.699997,2415300.0,,,,,92.129997,92.800003,90.0,2.809998,-0.680001,-3.489999
21,2014-02-03,EQT,92.129997,93.510002,91.620003,92.800003,1799800.0,0.0,0.0,1.0,0.0,95.629997,92.800003,92.809998,-0.680001,3.5,4.180001
22,2014-02-04,EQT,95.629997,96.489998,92.639999,92.800003,2511800.0,,,,,94.110001,95.650002,92.129997,3.5,-1.519996,-5.019996
23,2014-02-05,EQT,94.110001,95.870003,92.589996,95.650002,3267400.0,,,,,94.209999,94.580002,95.629997,-1.519996,0.099998,1.619994
24,2014-02-06,EQT,94.209999,95.019997,93.349998,94.580002,1734700.0,,,,,94.25,94.25,94.110001,0.099998,0.040001,-0.059997
