,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,EXPD,43.490002,44.48,43.34,44.310001,782900.0,,,,,43.25,43.389999,,,-0.240002,
1,2014-01-03,EXPD,43.25,43.650002,43.119999,43.389999,753200.0,,,,,42.82,43.470001,43.490002,-0.240002,-0.43,-0.189998
2,2014-01-06,EXPD,42.82,43.639999,42.810001,43.470001,1004500.0,,,,,43.279999,43.0,43.25,-0.43,0.459999,0.889999
3,2014-01-07,EXPD,43.279999,43.57,42.959999,43.0,1065600.0,,,,,42.990002,43.240002,42.82,0.459999,-0.289997,-0.749996
4,2014-01-08,EXPD,42.990002,43.290001,42.82,43.240002,882400.0,,,,,43.009998,43.209999,43.279999,-0.289997,0.019996,0.309993
5,2014-01-09,EXPD,43.009998,43.209999,42.41,43.209999,981300.0,,,,,43.610001,43.130001,42.990002,0.019996,0.600003,0.580007
6,2014-01-10,EXPD,43.610001,43.82,42.860001,43.130001,1093000.0,,,,,44.220001,44.189999,43.009998,0.600003,0.61,0.00999699999999
7,2014-01-13,EXPD,44.220001,45.689999,43.98,44.189999,2833500.0,,,,,43.790001,43.400002,43.610001,0.61,-0.43,-1.04
8,2014-01-14,EXPD,43.790001,43.98,43.029999,43.400002,1919200.0,,,,,43.939999,43.799999,44.220001,-0.43,0.149998,0.579998
9,2014-01-15,EXPD,43.939999,44.16,43.450001,43.799999,1272500.0,,,,,44.0,43.93,43.790001,0.149998,0.060001,-0.089997
10,2014-01-16,EXPD,44.0,44.029999,43.529999,43.93,889600.0,,,,,43.77,43.790001,43.939999,0.060001,-0.23,-0.290001
11,2014-01-17,EXPD,43.77,44.049999,43.639999,43.790001,1403400.0,,,,,44.0,44.07,44.0,-0.23,0.23,0.46
12,2014-01-21,EXPD,44.0,44.27,43.560001,44.07,843600.0,,,,,44.150002,44.0,43.77,0.23,0.150002,-0.079998
13,2014-01-22,EXPD,44.150002,44.25,43.810001,44.0,537600.0,,,,,43.59,43.82,44.0,0.150002,-0.560002,-0.710004
14,2014-01-23,EXPD,43.59,44.09,43.34,43.82,544700.0,,,,,42.0,43.310001,44.150002,-0.560002,-1.59,-1.029998
15,2014-01-24,EXPD,42.0,43.310001,42.0,43.310001,1191300.0,,,,,41.490002,42.099998,43.59,-1.59,-0.509998,1.080002
16,2014-01-27,EXPD,41.490002,42.200001,41.09,42.099998,1576000.0,,,,,41.52,41.5,42.0,-0.509998,0.029998,0.539996
17,2014-01-28,EXPD,41.52,41.959999,41.380001,41.5,760000.0,,,,,41.0,41.32,41.490002,0.029998,-0.52,-0.549998
18,2014-01-29,EXPD,41.0,41.68,40.970001,41.32,991600.0,,,,,41.220001,41.240002,41.52,-0.52,0.220001,0.740001
19,2014-01-30,EXPD,41.220001,41.650002,41.0,41.240002,1022900.0,,,,,40.860001,40.560001,41.0,0.220001,-0.36,-0.580001
20,2014-01-31,EXPD,40.860001,41.360001,40.540001,40.560001,1356100.0,,,,,40.290001,40.84,41.220001,-0.36,-0.57,-0.21
21,2014-02-03,EXPD,40.290001,41.259998,40.27,40.84,1881000.0,,,,,40.540001,40.549999,40.860001,-0.57,0.25,0.82
22,2014-02-04,EXPD,40.540001,40.830002,39.880001,40.549999,1944100.0,,,,,40.400002,40.150002,40.290001,0.25,-0.139999,-0.389999
23,2014-02-05,EXPD,40.400002,40.490002,39.91,40.150002,1638400.0,,,,,40.119999,40.400002,40.540001,-0.139999,-0.280003,-0.140004
24,2014-02-06,EXPD,40.119999,40.48,40.02,40.400002,1467500.0,,,,,40.66,40.389999,40.400002,-0.280003,0.540001,0.820004
25,2014-02-07,EXPD,40.66,40.689999,40.200001,40.389999,1337200.0,,,,,40.919998,40.57,40.119999,0.540001,0.259998,-0.280003
26,2014-02-10,EXPD,40.919998,40.939999,40.400002,40.57,1061600.0,,,,,41.599998,40.91,40.66,0.259998,0.68,0.420002
27,2014-02-11,EXPD,41.599998,41.91,40.799999,40.91,1480300.0,,,,,41.610001,41.73,40.919998,0.68,0.010003,-0.669997
28,2014-02-12,EXPD,41.610001,41.959999,41.41,41.73,922000.0,,,,,41.77,41.380001,41.599998,0.010003,0.159999,0.149996
29,2014-02-13,EXPD,41.77,41.900002,41.330002,41.380001,816300.0,,,,,41.860001,41.57,41.610001,0.159999,0.090001,-0.069998
