,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,FITB,20.870001,21.059999,20.83,20.940001,6971200.0,,,,,20.92,20.91,,,0.049999,
1,2014-01-03,FITB,20.92,21.059999,20.85,20.91,4436600.0,,,,,20.950001,21.01,20.870001,0.049999,0.030001,-0.019998
2,2014-01-06,FITB,20.950001,21.33,20.940001,21.01,7209400.0,,,,,21.030001,21.09,20.92,0.030001,0.08,0.049999
3,2014-01-07,FITB,21.030001,21.200001,20.93,21.09,6549200.0,,,,,21.129999,21.02,20.950001,0.08,0.099998,0.019998
4,2014-01-08,FITB,21.129999,21.23,21.0,21.02,7551400.0,,,,,21.32,21.139999,21.030001,0.099998,0.190001,0.090003
5,2014-01-09,FITB,21.32,21.450001,21.139999,21.139999,8873100.0,,,,,21.530001,21.25,21.129999,0.190001,0.210001,0.02
6,2014-01-10,FITB,21.530001,21.549999,21.25,21.25,8715300.0,,,,,21.25,21.5,21.32,0.210001,-0.280001,-0.490002
7,2014-01-13,FITB,21.25,21.620001,21.209999,21.5,8250700.0,,,,,21.360001,21.309999,21.530001,-0.280001,0.110001,0.390002
8,2014-01-14,FITB,21.360001,21.530001,21.209999,21.309999,7441300.0,,,,,21.57,21.41,21.25,0.110001,0.209999,0.099998
9,2014-01-15,FITB,21.57,21.639999,21.4,21.41,5218400.0,,,,,21.370001,21.49,21.360001,0.209999,-0.199999,-0.409998
10,2014-01-16,FITB,21.370001,21.549999,21.309999,21.49,5595100.0,,,,,21.549999,21.459999,21.57,-0.199999,0.179998,0.379997
11,2014-01-17,FITB,21.549999,21.83,21.41,21.459999,6725800.0,,,,,21.82,21.629999,21.370001,0.179998,0.270001,0.090003
12,2014-01-21,FITB,21.82,21.889999,21.629999,21.629999,6866600.0,,,,,21.92,21.959999,21.549999,0.270001,0.1,-0.170001
13,2014-01-22,FITB,21.92,21.959999,21.780001,21.959999,7739800.0,,,,,21.52,21.65,21.82,0.1,-0.4,-0.5
14,2014-01-23,FITB,21.52,21.91,21.35,21.65,11224700.0,,,,,21.32,21.35,21.92,-0.4,-0.2,0.2
15,2014-01-24,FITB,21.32,21.540001,21.280001,21.35,9504500.0,,,,,21.129999,21.9,21.52,-0.2,-0.190001,0.009999
16,2014-01-27,FITB,21.129999,21.91,21.09,21.9,9455800.0,,,,,21.299999,21.16,21.32,-0.190001,0.17,0.360001
17,2014-01-28,FITB,21.299999,21.43,21.139999,21.16,9397900.0,,,,,20.950001,21.139999,21.129999,0.17,-0.349998,-0.519998
18,2014-01-29,FITB,20.950001,21.34,20.9,21.139999,12290000.0,,,,,21.24,21.09,21.299999,-0.349998,0.289999,0.639997
19,2014-01-30,FITB,21.24,21.32,21.049999,21.09,5822300.0,,,,,21.02,20.98,20.950001,0.289999,-0.22,-0.509999
20,2014-01-31,FITB,21.02,21.27,20.809999,20.98,7693400.0,,,,,20.5,20.940001,21.24,-0.22,-0.52,-0.3
21,2014-02-03,FITB,20.5,21.129999,20.42,20.940001,18238600.0,,,,,20.59,20.549999,21.02,-0.52,0.09,0.61
22,2014-02-04,FITB,20.59,20.870001,20.370001,20.549999,10596700.0,,,,,20.65,20.6,20.5,0.09,0.06,-0.03
23,2014-02-05,FITB,20.65,20.799999,20.459999,20.6,7677500.0,,,,,21.08,20.98,20.59,0.06,0.43,0.37
24,2014-02-06,FITB,21.08,21.110001,20.84,20.98,7596800.0,,,,,21.1,21.120001,20.65,0.43,0.02,-0.41
25,2014-02-07,FITB,21.1,21.25,20.91,21.120001,6795500.0,,,,,21.27,21.5,21.08,0.02,0.17,0.15
26,2014-02-10,FITB,21.27,21.5,21.139999,21.5,8595300.0,,,,,21.370001,21.23,21.1,0.17,0.100001,-0.069999
27,2014-02-11,FITB,21.370001,21.440001,20.940001,21.23,9048400.0,,,,,21.360001,21.459999,21.27,0.100001,-0.01,-0.110001
28,2014-02-12,FITB,21.360001,21.67,21.280001,21.459999,9049400.0,,,,,21.540001,21.290001,21.370001,-0.01,0.18,0.19
29,2014-02-13,FITB,21.540001,21.540001,21.190001,21.290001,6968200.0,,,,,21.629999,21.459999,21.360001,0.18,0.089998,-0.090002
30,2014-02-14,FITB,21.629999,21.719999,21.42,21.459999,5524400.0,,,,,21.66,21.68,21.540001,0.089998,0.030001,-0.059997
31,2014-02-18,FITB,21.66,21.799999,21.58,21.68,6896100.0,,,,,21.309999,21.629999,21.629999,0.030001,-0.350001,-0.380002
32,2014-02-19,FITB,21.309999,21.66,21.26,21.629999,10907400.0,,,,,21.34,21.290001,21.66,-0.350001,0.030001,0.380002
33,2014-02-20,FITB,21.34,21.4,21.120001,21.290001,7189700.0,,,,,21.440001,21.389999,21.309999,0.030001,0.100001,0.07
34,2014-02-21,FITB,21.440001,21.610001,21.34,21.389999,8206400.0,,,,,21.610001,21.450001,21.34,0.100001,0.17,0.069999
35,2014-02-24,FITB,21.610001,21.700001,21.450001,21.450001,9382800.0,,,,,21.610001,21.66,21.440001,0.17,0.0,-0.17
