,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,FOX,35.040001,35.18,34.450001,34.580002,1978500.0,,,,,34.66,35.080002,,,-0.380001,
1,2014-01-03,FOX,34.66,35.119999,34.630001,35.080002,1066700.0,,,,,34.27,34.470001,35.040001,-0.380001,-0.39,-0.00999899999999
2,2014-01-06,FOX,34.27,34.740002,34.259998,34.470001,1660900.0,,,,,34.369999,34.290001,34.66,-0.39,0.099999,0.489999
3,2014-01-07,FOX,34.369999,34.650002,34.259998,34.290001,1465600.0,,,,,33.799999,34.490002,34.27,0.099999,-0.57,-0.669999
4,2014-01-08,FOX,33.799999,34.490002,33.73,34.490002,1549200.0,,,,,32.59,32.57,34.369999,-0.57,-1.209999,-0.639999
5,2014-01-09,FOX,32.59,33.049999,32.450001,32.57,16683000.0,0.8779,0.0,0.915,0.085,32.84,32.5,33.799999,-1.209999,0.25,1.459999
6,2014-01-10,FOX,32.84,32.889999,32.240002,32.5,9104700.0,,,,,31.93,32.509998,32.59,0.25,-0.91,-1.16
7,2014-01-13,FOX,31.93,32.830002,31.82,32.509998,8806600.0,,,,,31.83,31.879999,32.84,-0.91,-0.1,0.81
8,2014-01-14,FOX,31.83,31.940001,31.4,31.879999,4435400.0,,,,,31.98,31.790001,31.93,-0.1,0.15,0.25
9,2014-01-15,FOX,31.98,32.330002,31.629999,31.790001,6884200.0,,,,,31.82,31.85,31.83,0.15,-0.16,-0.31
10,2014-01-16,FOX,31.82,32.049999,31.690001,31.85,3888000.0,,,,,31.459999,31.639999,31.98,-0.16,-0.360001,-0.200001
11,2014-01-17,FOX,31.459999,31.83,31.4,31.639999,4310000.0,0.9939,0.031,0.8275,0.142,31.24,31.360001,31.82,-0.360001,-0.219999,0.140002
12,2014-01-21,FOX,31.24,31.459999,31.09,31.360001,6552400.0,,,,,31.360001,31.15,31.459999,-0.219999,0.120001,0.34
13,2014-01-22,FOX,31.360001,31.67,31.1,31.15,5141600.0,,,,,31.030001,31.040001,31.24,0.120001,-0.33,-0.450001
14,2014-01-23,FOX,31.030001,31.309999,30.940001,31.040001,4869900.0,,,,,30.690001,30.719999,31.360001,-0.33,-0.34,-0.01
15,2014-01-24,FOX,30.690001,30.92,30.540001,30.719999,4141000.0,0.9443,0.012,0.872,0.116,30.549999,30.6,31.030001,-0.34,-0.140002,0.199998
16,2014-01-27,FOX,30.549999,30.83,30.32,30.6,3327700.0,,,,,30.67,30.290001,30.690001,-0.140002,0.120001,0.260003
17,2014-01-28,FOX,30.67,30.92,30.26,30.290001,5160800.0,,,,,30.209999,30.17,30.549999,0.120001,-0.460001,-0.580002
18,2014-01-29,FOX,30.209999,30.73,30.02,30.17,5524300.0,,,,,31.309999,30.389999,30.67,-0.460001,1.1,1.560001
19,2014-01-30,FOX,31.309999,31.700001,30.389999,30.389999,8396000.0,,,,,31.24,30.76,30.209999,1.1,-0.069999,-1.169999
20,2014-01-31,FOX,31.24,31.51,30.75,30.76,7007600.0,,,,,30.459999,31.23,31.309999,-0.069999,-0.780001,-0.710002
21,2014-02-03,FOX,30.459999,31.32,30.23,31.23,6073700.0,,,,,31.040001,30.59,31.24,-0.780001,0.580002,1.360003
22,2014-02-04,FOX,31.040001,31.309999,30.530001,30.59,5847000.0,,,,,31.15,30.5,30.459999,0.580002,0.109999,-0.470003
23,2014-02-05,FOX,31.15,31.26,30.35,30.5,5213800.0,,,,,31.57,30.870001,31.040001,0.109999,0.42,0.310001
24,2014-02-06,FOX,31.57,32.119999,30.629999,30.870001,5960000.0,0.9945,0.0365,0.829,0.1345,31.57,31.51,31.15,0.42,0.0,-0.42
25,2014-02-07,FOX,31.57,31.76,31.26,31.51,4940100.0,,,,,31.440001,31.74,31.57,0.0,-0.129999,-0.129999
26,2014-02-10,FOX,31.440001,31.74,31.280001,31.74,2695500.0,,,,,31.51,31.23,31.57,-0.129999,0.069999,0.199998
27,2014-02-11,FOX,31.51,31.68,31.16,31.23,3112700.0,,,,,31.809999,31.27,31.440001,0.069999,0.299999,0.23
28,2014-02-12,FOX,31.809999,31.91,31.27,31.27,6823200.0,,,,,31.58,31.66,31.51,0.299999,-0.229999,-0.529998
29,2014-02-13,FOX,31.58,32.029999,31.440001,31.66,4912100.0,,,,,31.83,31.67,31.809999,-0.229999,0.25,0.479999
30,2014-02-14,FOX,31.83,32.040001,31.530001,31.67,2598500.0,,,,,32.139999,32.119999,31.58,0.25,0.309999,0.059999
31,2014-02-18,FOX,32.139999,32.349998,31.91,32.119999,4655700.0,,,,,31.889999,31.950001,31.83,0.309999,-0.25,-0.559999
32,2014-02-19,FOX,31.889999,32.189999,31.879999,31.950001,3972800.0,,,,,31.799999,31.85,32.139999,-0.25,-0.09,0.16
33,2014-02-20,FOX,31.799999,31.98,31.450001,31.85,4463000.0,,,,,32.130001,32.0,31.889999,-0.09,0.330002,0.420002
34,2014-02-21,FOX,32.130001,32.290001,31.780001,32.0,3184900.0,,,,,32.299999,32.049999,31.799999,0.330002,0.169998,-0.160004
