,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,FOXA,35.630001,35.75,35.27,35.470001,11035500.0,,,,,35.200001,35.5,,,-0.43,
1,2014-01-03,FOXA,35.200001,35.75,35.16,35.5,6138500.0,,,,,34.799999,35.310001,35.630001,-0.43,-0.400002,0.029998
2,2014-01-06,FOXA,34.799999,35.419998,34.790001,35.310001,10612200.0,,,,,34.970001,34.970001,35.200001,-0.400002,0.170002,0.570004
3,2014-01-07,FOXA,34.970001,35.25,34.84,34.970001,5887700.0,,,,,34.389999,34.860001,34.799999,0.170002,-0.580002,-0.750004
4,2014-01-08,FOXA,34.389999,34.91,34.299999,34.860001,7901700.0,,,,,33.5,33.970001,34.970001,-0.580002,-0.889999,-0.309997
5,2014-01-09,FOXA,33.5,34.09,33.189999,33.970001,25197900.0,0.8779,0.0,0.915,0.085,33.459999,33.400002,34.389999,-0.889999,-0.040001,0.849998
6,2014-01-10,FOXA,33.459999,33.52,32.939999,33.400002,19534600.0,,,,,32.349998,33.220001,33.5,-0.040001,-1.110001,-1.07
7,2014-01-13,FOXA,32.349998,33.419998,32.25,33.220001,22378800.0,,,,,32.299999,32.349998,33.459999,-1.110001,-0.049999,1.060002
8,2014-01-14,FOXA,32.299999,32.41,31.76,32.349998,30085500.0,,,,,32.610001,32.349998,32.349998,-0.049999,0.310002,0.360001
9,2014-01-15,FOXA,32.610001,32.970001,32.150002,32.349998,15744900.0,,,,,32.470001,32.610001,32.299999,0.310002,-0.14,-0.450002
10,2014-01-16,FOXA,32.470001,32.740002,32.380001,32.610001,7975700.0,,,,,32.040001,32.23,32.610001,-0.14,-0.43,-0.29
11,2014-01-17,FOXA,32.040001,32.419998,31.950001,32.23,17798000.0,0.9939,0.031,0.8275,0.142,31.92,32.060001,32.470001,-0.43,-0.120001,0.309999
12,2014-01-21,FOXA,31.92,32.099998,31.68,32.060001,17228000.0,,,,,32.07,31.93,32.040001,-0.120001,0.15,0.270001
13,2014-01-22,FOXA,32.07,32.32,31.75,31.93,13263000.0,,,,,31.74,31.870001,31.92,0.15,-0.33,-0.48
14,2014-01-23,FOXA,31.74,32.02,31.559999,31.870001,15457200.0,,,,,31.27,31.51,32.07,-0.33,-0.47,-0.14
15,2014-01-24,FOXA,31.27,31.59,31.18,31.51,14916500.0,0.9443,0.012,0.872,0.116,31.049999,31.17,31.74,-0.47,-0.220001,0.249999
16,2014-01-27,FOXA,31.049999,31.450001,30.860001,31.17,15223800.0,,,,,31.27,31.139999,31.27,-0.220001,0.220001,0.440002
17,2014-01-28,FOXA,31.27,31.530001,31.02,31.139999,12628100.0,,,,,30.73,30.98,31.049999,0.220001,-0.54,-0.760001
18,2014-01-29,FOXA,30.73,31.33,30.67,30.98,19159900.0,,,,,32.02,31.059999,31.27,-0.54,1.29,1.83
19,2014-01-30,FOXA,32.02,32.349998,30.92,31.059999,16954400.0,,,,,31.82,31.41,30.73,1.29,-0.2,-1.49
20,2014-01-31,FOXA,31.82,32.16,31.389999,31.41,15747300.0,,,,,30.879999,31.799999,32.02,-0.2,-0.940001,-0.740001
