,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,FTR,4.67,4.73,4.62,4.65,15471800.0,,,,,4.7,4.7,,,0.03,
1,2014-01-03,FTR,4.7,4.76,4.67,4.7,13889000.0,,,,,4.75,4.75,4.67,0.03,0.05,0.02
2,2014-01-06,FTR,4.75,4.76,4.68,4.75,7896400.0,,,,,4.72,4.74,4.7,0.05,-0.03,-0.08
3,2014-01-07,FTR,4.72,4.78,4.71,4.74,5767000.0,,,,,4.75,4.7,4.75,-0.03,0.03,0.06
4,2014-01-08,FTR,4.75,4.76,4.7,4.7,5615400.0,,,,,4.67,4.75,4.72,0.03,-0.08,-0.11
5,2014-01-09,FTR,4.67,4.76,4.65,4.75,6345500.0,,,,,4.73,4.67,4.75,-0.08,0.06,0.14
6,2014-01-10,FTR,4.73,4.78,4.67,4.67,6496000.0,,,,,4.7,4.73,4.67,0.06,-0.03,-0.09
7,2014-01-13,FTR,4.7,4.77,4.7,4.73,4112100.0,,,,,4.77,4.74,4.73,-0.03,0.07,0.1
8,2014-01-14,FTR,4.77,4.77,4.71,4.74,4446400.0,,,,,4.76,4.77,4.7,0.07,-0.01,-0.08
9,2014-01-15,FTR,4.76,4.82,4.74,4.77,4404800.0,,,,,4.88,4.81,4.77,-0.01,0.12,0.13
10,2014-01-16,FTR,4.88,4.97,4.77,4.81,11252900.0,,,,,4.83,4.84,4.76,0.12,-0.05,-0.17
11,2014-01-17,FTR,4.83,4.87,4.78,4.84,7857200.0,,,,,4.86,4.88,4.88,-0.05,0.03,0.08
12,2014-01-21,FTR,4.86,4.91,4.81,4.88,9620000.0,,,,,4.93,4.89,4.83,0.03,0.07,0.04
13,2014-01-22,FTR,4.93,4.95,4.86,4.89,10919300.0,,,,,4.92,4.9,4.86,0.07,-0.01,-0.08
14,2014-01-23,FTR,4.92,4.94,4.81,4.9,11534500.0,,,,,4.8,4.89,4.93,-0.01,-0.12,-0.11
15,2014-01-24,FTR,4.8,4.91,4.8,4.89,9176300.0,,,,,4.88,4.82,4.92,-0.12,0.08,0.2
16,2014-01-27,FTR,4.88,4.91,4.79,4.82,8338400.0,,,,,4.91,4.79,4.8,0.08,0.03,-0.05
17,2014-01-28,FTR,4.91,4.94,4.79,4.79,11714800.0,,,,,4.82,4.89,4.88,0.03,-0.09,-0.12
18,2014-01-29,FTR,4.82,4.89,4.81,4.89,13433200.0,,,,,4.79,4.87,4.91,-0.09,-0.03,0.06
19,2014-01-30,FTR,4.79,4.87,4.77,4.87,5911600.0,0.9382,0.049,0.869,0.081,4.68,4.77,4.82,-0.03,-0.11,-0.08
20,2014-01-31,FTR,4.68,4.8,4.66,4.77,8900800.0,,,,,4.42,4.7,4.79,-0.11,-0.26,-0.15
21,2014-02-03,FTR,4.42,4.72,4.4,4.7,17379300.0,,,,,4.53,4.5,4.68,-0.26,0.11,0.37
22,2014-02-04,FTR,4.53,4.57,4.41,4.5,10513400.0,,,,,4.46,4.52,4.42,0.11,-0.07,-0.18
23,2014-02-05,FTR,4.46,4.53,4.42,4.52,18894000.0,,,,,4.56,4.5,4.53,-0.07,0.1,0.17
24,2014-02-06,FTR,4.56,4.56,4.46,4.5,6407200.0,,,,,4.54,4.6,4.46,0.1,-0.02,-0.12
25,2014-02-07,FTR,4.54,4.63,4.5,4.6,8916400.0,,,,,4.53,4.52,4.56,-0.02,-0.01,0.01
26,2014-02-10,FTR,4.53,4.6,4.51,4.52,7909200.0,,,,,4.58,4.55,4.54,-0.01,0.05,0.06
27,2014-02-11,FTR,4.58,4.59,4.53,4.55,8623500.0,,,,,4.6,4.6,4.53,0.05,0.02,-0.03
28,2014-02-12,FTR,4.6,4.63,4.59,4.6,6731200.0,,,,,4.61,4.6,4.58,0.02,0.01,-0.01
29,2014-02-13,FTR,4.61,4.61,4.56,4.6,6265900.0,,,,,4.68,4.62,4.6,0.01,0.07,0.06
30,2014-02-14,FTR,4.68,4.7,4.6,4.62,8234400.0,,,,,4.69,4.71,4.61,0.07,0.01,-0.06
31,2014-02-18,FTR,4.69,4.75,4.66,4.71,10400400.0,,,,,4.68,4.72,4.68,0.01,-0.01,-0.02
32,2014-02-19,FTR,4.68,4.75,4.63,4.72,8501400.0,,,,,4.73,4.72,4.69,-0.01,0.05,0.06
33,2014-02-20,FTR,4.73,4.74,4.67,4.72,6062900.0,,,,,4.63,4.7,4.68,0.05,-0.1,-0.15
34,2014-02-21,FTR,4.63,4.72,4.61,4.7,10328000.0,,,,,4.59,4.64,4.73,-0.1,-0.04,0.06
35,2014-02-24,FTR,4.59,4.71,4.59,4.64,11200600.0,,,,,5.08,4.71,4.63,-0.04,0.49,0.53
36,2014-02-25,FTR,5.08,5.15,4.7,4.71,37112000.0,,,,,4.94,5.03,4.59,0.49,-0.14,-0.63
37,2014-02-26,FTR,4.94,5.08,4.91,5.03,12302300.0,,,,,4.99,4.95,5.08,-0.14,0.05,0.19
38,2014-02-27,FTR,4.99,5.01,4.92,4.95,11829400.0,,,,,4.88,5.0,4.94,0.05,-0.11,-0.16
39,2014-02-28,FTR,4.88,5.0,4.88,5.0,8810500.0,,,,,4.9,4.83,4.99,-0.11,0.02,0.13
40,2014-03-03,FTR,4.9,4.9,4.82,4.83,11443700.0,,,,,4.91,4.95,4.88,0.02,0.01,-0.01
41,2014-03-04,FTR,4.91,4.95,4.9,4.95,11786200.0,,,,,4.82,4.81,4.9,0.01,-0.09,-0.1
42,2014-03-05,FTR,4.82,4.85,4.72,4.81,10116700.0,,,,,4.87,4.81,4.91,-0.09,0.05,0.14
43,2014-03-06,FTR,4.87,4.92,4.79,4.81,8950400.0,,,,,4.91,4.9,4.82,0.05,0.04,-0.01
44,2014-03-07,FTR,4.91,4.94,4.87,4.9,8469000.0,,,,,4.82,4.95,4.87,0.04,-0.09,-0.13
45,2014-03-10,FTR,4.82,4.95,4.67,4.95,13533200.0,,,,,4.9,4.84,4.91,-0.09,0.08,0.17
46,2014-03-11,FTR,4.9,4.94,4.76,4.84,9233800.0,,,,,4.81,4.88,4.82,0.08,-0.09,-0.17
47,2014-03-12,FTR,4.81,4.89,4.76,4.88,10353000.0,,,,,4.94,4.86,4.9,-0.09,0.13,0.22
48,2014-03-13,FTR,4.94,4.94,4.84,4.86,9454400.0,,,,,4.99,4.92,4.81,0.13,0.05,-0.08
49,2014-03-14,FTR,4.99,5.03,4.92,4.92,10090100.0,,,,,5.04,4.99,4.94,0.05,0.05,0.0
50,2014-03-17,FTR,5.04,5.05,4.98,4.99,7413100.0,,,,,5.18,5.05,4.99,0.05,0.14,0.09
51,2014-03-18,FTR,5.18,5.2,5.02,5.05,14706400.0,,,,,5.23,5.17,5.04,0.14,0.05,-0.09
52,2014-03-19,FTR,5.23,5.29,5.17,5.17,19808300.0,,,,,5.37,5.28,5.18,0.05,0.14,0.09
53,2014-03-20,FTR,5.37,5.44,5.26,5.28,24534600.0,,,,,5.41,5.37,5.23,0.14,0.04,-0.1
54,2014-03-21,FTR,5.41,5.47,5.36,5.37,16550900.0,,,,,5.43,5.43,5.37,0.04,0.02,-0.02
55,2014-03-24,FTR,5.43,5.45,5.37,5.43,7948200.0,,,,,5.41,5.45,5.41,0.02,-0.02,-0.04
56,2014-03-25,FTR,5.41,5.45,5.32,5.45,12082400.0,,,,,5.42,5.44,5.43,-0.02,0.01,0.03
57,2014-03-26,FTR,5.42,5.45,5.39,5.44,11582200.0,,,,,5.54,5.47,5.41,0.01,0.12,0.11
58,2014-03-27,FTR,5.54,5.59,5.4,5.47,13738200.0,,,,,5.62,5.6,5.42,0.12,0.08,-0.04
59,2014-03-28,FTR,5.62,5.68,5.55,5.6,12225600.0,,,,,5.71,5.67,5.54,0.08,0.09,0.01
60,2014-03-31,FTR,5.71,5.74,5.58,5.67,13727100.0,,,,,5.6,5.7,5.62,0.09,-0.11,-0.2
61,2014-04-01,FTR,5.6,5.71,5.55,5.7,21933900.0,,,,,5.59,5.63,5.71,-0.11,-0.01,0.1
62,2014-04-02,FTR,5.59,5.7,5.54,5.63,11663500.0,,,,,5.69,5.6,5.6,-0.01,0.1,0.11
63,2014-04-03,FTR,5.69,5.72,5.57,5.6,12038900.0,,,,,5.55,5.7,5.59,0.1,-0.14,-0.24
64,2014-04-04,FTR,5.55,5.7,5.53,5.7,12013600.0,,,,,5.53,5.51,5.69,-0.14,-0.02,0.12
65,2014-04-07,FTR,5.53,5.59,5.48,5.51,10028700.0,,,,,5.55,5.53,5.55,-0.02,0.02,0.04
66,2014-04-08,FTR,5.55,5.6,5.48,5.53,8957600.0,,,,,5.49,5.56,5.53,0.02,-0.06,-0.08
67,2014-04-09,FTR,5.49,5.6,5.49,5.56,7705700.0,,,,,5.44,5.51,5.55,-0.06,-0.05,0.01
