,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,GGP,20.040001,20.120001,19.860001,20.08,4861800.0,,,,,20.209999,20.049999,,,0.169998,
1,2014-01-03,GGP,20.209999,20.309999,20.0,20.049999,2783200.0,,,,,20.23,20.299999,20.040001,0.169998,0.020001,-0.149997
2,2014-01-06,GGP,20.23,20.33,20.139999,20.299999,5142400.0,,,,,20.32,20.290001,20.209999,0.020001,0.09,0.069999
3,2014-01-07,GGP,20.32,20.440001,20.08,20.290001,4325400.0,,,,,20.18,20.129999,20.23,0.09,-0.14,-0.23
4,2014-01-08,GGP,20.18,20.370001,20.0,20.129999,5522500.0,,,,,20.120001,20.280001,20.32,-0.14,-0.059999,0.080001
5,2014-01-09,GGP,20.120001,20.280001,19.959999,20.280001,6419100.0,,,,,20.530001,20.370001,20.18,-0.059999,0.41,0.469999
6,2014-01-10,GGP,20.530001,20.540001,20.209999,20.370001,3539500.0,,,,,20.370001,20.459999,20.120001,0.41,-0.16,-0.57
7,2014-01-13,GGP,20.370001,20.67,20.33,20.459999,3202200.0,,,,,20.5,20.370001,20.530001,-0.16,0.129999,0.289999
8,2014-01-14,GGP,20.5,20.629999,20.370001,20.370001,8584000.0,,,,,20.690001,20.51,20.370001,0.129999,0.190001,0.060002
9,2014-01-15,GGP,20.690001,20.76,20.49,20.51,3686900.0,,,,,20.52,20.73,20.5,0.190001,-0.170001,-0.360002
10,2014-01-16,GGP,20.52,20.790001,20.459999,20.73,4322900.0,,,,,20.41,20.59,20.690001,-0.170001,-0.11,0.060001
11,2014-01-17,GGP,20.41,20.59,20.35,20.59,4254900.0,,,,,20.43,20.450001,20.52,-0.11,0.02,0.13
12,2014-01-21,GGP,20.43,20.58,20.35,20.450001,5150800.0,,,,,20.379999,20.48,20.41,0.02,-0.050001,-0.070001
13,2014-01-22,GGP,20.379999,20.629999,20.370001,20.48,3268500.0,,,,,20.15,20.18,20.43,-0.050001,-0.229999,-0.179998
14,2014-01-23,GGP,20.15,20.4,20.08,20.18,4653400.0,,,,,19.610001,20.049999,20.379999,-0.229999,-0.539999,-0.31
15,2014-01-24,GGP,19.610001,20.209999,19.6,20.049999,6025500.0,,,,,19.540001,19.59,20.15,-0.539999,-0.07,0.469999
16,2014-01-27,GGP,19.540001,19.799999,19.379999,19.59,5433300.0,,,,,19.65,19.57,19.610001,-0.07,0.109999,0.179999
17,2014-01-28,GGP,19.65,19.82,19.559999,19.57,3950200.0,,,,,19.58,19.469999,19.540001,0.109999,-0.07,-0.179999
18,2014-01-29,GGP,19.58,19.620001,19.389999,19.469999,2995000.0,,,,,19.99,19.719999,19.65,-0.07,0.41,0.48
