,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,GILD,75.209999,75.589996,74.389999,75.209999,8279300.0,,,,,74.32,75.209999,,,-0.889999,
1,2014-01-03,GILD,74.32,75.25,74.230003,75.209999,6561500.0,,,,,73.239998,74.580002,75.209999,-0.889999,-1.080002,-0.190003
2,2014-01-06,GILD,73.239998,74.690002,72.730003,74.580002,8346000.0,0.9004,0.006,0.9275,0.066,72.779999,73.5,74.32,-1.080002,-0.459999,0.620003
3,2014-01-07,GILD,72.779999,73.870003,72.709999,73.5,8513000.0,,,,,73.459999,73.169998,73.239998,-0.459999,0.68,1.139999
4,2014-01-08,GILD,73.459999,74.379997,72.529999,73.169998,11063200.0,,,,,74.300003,74.230003,72.779999,0.68,0.840004,0.160004
5,2014-01-09,GILD,74.300003,75.059998,73.769997,74.230003,8825500.0,,,,,74.870003,75.0,73.459999,0.840004,0.57,-0.270004
6,2014-01-10,GILD,74.870003,75.040001,73.519997,75.0,8471300.0,,,,,73.139999,75.150002,74.300003,0.57,-1.730004,-2.300004
7,2014-01-13,GILD,73.139999,75.279999,72.599998,75.150002,9130400.0,,,,,74.989998,73.550003,74.870003,-1.730004,1.849999,3.580003
8,2014-01-14,GILD,74.989998,75.169998,72.82,73.550003,11265200.0,,,,,75.230003,75.220001,73.139999,1.849999,0.240005,-1.609994
9,2014-01-15,GILD,75.230003,75.410004,74.43,75.220001,10223900.0,,,,,77.900002,75.389999,74.989998,0.240005,2.669999,2.429994
10,2014-01-16,GILD,77.900002,79.019997,75.300003,75.389999,20728500.0,,,,,78.400002,77.889999,75.230003,2.669999,0.5,-2.169999
11,2014-01-17,GILD,78.400002,79.059998,77.440002,77.889999,11843300.0,0.9371,0.027,0.785,0.188,81.580002,79.75,77.900002,0.5,3.18,2.68
12,2014-01-21,GILD,81.580002,81.580002,79.419998,79.75,13026200.0,,,,,82.18,83.720001,78.400002,3.18,0.599998,-2.580002
13,2014-01-22,GILD,82.18,84.400002,81.889999,83.720001,17385400.0,,,,,82.150002,81.800003,81.580002,0.599998,-0.029998,-0.629996
14,2014-01-23,GILD,82.150002,82.279999,80.910004,81.800003,10756500.0,,,,,80.620003,81.760002,82.18,-0.029998,-1.529999,-1.500001
15,2014-01-24,GILD,80.620003,82.68,79.75,81.760002,13269300.0,,,,,78.860001,80.760002,82.150002,-1.529999,-1.760002,-0.230003
16,2014-01-27,GILD,78.860001,80.760002,77.589996,80.760002,13638100.0,,,,,80.669998,80.599998,80.620003,-1.760002,1.809997,3.569999
17,2014-01-28,GILD,80.669998,81.169998,79.82,80.599998,10284700.0,,,,,79.849998,80.010002,78.860001,1.809997,-0.82,-2.629997
18,2014-01-29,GILD,79.849998,81.089996,78.959999,80.010002,10140000.0,,,,,81.519997,80.699997,80.669998,-0.82,1.669999,2.489999
19,2014-01-30,GILD,81.519997,82.199997,80.650002,80.699997,10162700.0,,,,,80.650002,79.970001,79.849998,1.669999,-0.869995,-2.539994
20,2014-01-31,GILD,80.650002,81.75,79.349998,79.970001,10819500.0,,,,,78.830002,81.769997,81.519997,-0.869995,-1.82,-0.950005
21,2014-02-03,GILD,78.830002,81.860001,78.589996,81.769997,14336700.0,,,,,82.019997,80.18,80.650002,-1.82,3.189995,5.009995
22,2014-02-04,GILD,82.019997,82.059998,79.849998,80.18,15478300.0,0.191533333333,0.037,0.891666666667,0.0706666666667,78.150002,81.980003,78.830002,3.189995,-3.869995,-7.05999
23,2014-02-05,GILD,78.150002,82.0,76.709999,81.980003,23469100.0,0.777625,0.04725,0.88675,0.065875,76.5,78.5,82.019997,-3.869995,-1.650002,2.219993
24,2014-02-06,GILD,76.5,79.5,76.260002,78.5,17193800.0,,,,,78.75,77.650002,78.150002,-1.650002,2.25,3.900002
25,2014-02-07,GILD,78.75,78.809998,75.699997,77.650002,16074200.0,,,,,80.980003,79.339996,76.5,2.25,2.230003,-0.019997
26,2014-02-10,GILD,80.980003,81.129997,78.800003,79.339996,10487600.0,,,,,81.800003,81.120003,78.75,2.230003,0.82,-1.410003
27,2014-02-11,GILD,81.800003,82.040001,80.889999,81.120003,12608600.0,0.9835,0.041,0.865,0.094,82.0,82.25,80.980003,0.82,0.199997,-0.620003
28,2014-02-12,GILD,82.0,82.93,81.610001,82.25,9490300.0,0.9835,0.041,0.865,0.094,82.550003,81.099998,81.800003,0.199997,0.550003,0.350006
29,2014-02-13,GILD,82.550003,82.620003,80.900002,81.099998,8964800.0,,,,,81.209999,82.809998,82.0,0.550003,-1.340004,-1.890007
30,2014-02-14,GILD,81.209999,82.849998,80.629997,82.809998,10425700.0,,,,,83.809998,81.919998,82.550003,-1.340004,2.599999,3.940003
31,2014-02-18,GILD,83.809998,83.980003,81.669998,81.919998,15019700.0,,,,,82.699997,83.650002,81.209999,2.599999,-1.110001,-3.71
32,2014-02-19,GILD,82.699997,83.800003,82.300003,83.650002,9752400.0,,,,,82.809998,82.699997,83.809998,-1.110001,0.110001,1.220002
33,2014-02-20,GILD,82.809998,83.199997,81.879997,82.699997,8962700.0,,,,,82.589996,83.540001,82.699997,0.110001,-0.220002,-0.330003
34,2014-02-21,GILD,82.589996,83.620003,82.580002,83.540001,11015000.0,,,,,83.57,82.989998,82.809998,-0.220002,0.980004,1.200006
35,2014-02-24,GILD,83.57,84.059998,82.800003,82.989998,9098200.0,,,,,83.949997,84.139999,82.589996,0.980004,0.379997,-0.600007
36,2014-02-25,GILD,83.949997,84.879997,83.07,84.139999,8351300.0,,,,,83.809998,84.050003,83.57,0.379997,-0.139999,-0.519996
37,2014-02-26,GILD,83.809998,84.5,83.309998,84.050003,11908500.0,,,,,83.650002,83.650002,83.949997,-0.139999,-0.159996,-0.019997
38,2014-02-27,GILD,83.650002,84.0,82.5,83.650002,11003900.0,,,,,82.790001,83.790001,83.809998,-0.159996,-0.860001,-0.700005
39,2014-02-28,GILD,82.790001,84.199997,81.800003,83.790001,12503600.0,,,,,81.449997,82.790001,83.650002,-0.860001,-1.340004,-0.480003
40,2014-03-03,GILD,81.449997,82.900002,81.0,82.790001,12024000.0,,,,,82.940002,82.860001,82.790001,-1.340004,1.490005,2.830009
41,2014-03-04,GILD,82.940002,83.360001,82.559998,82.860001,8220800.0,,,,,82.870003,83.019997,81.449997,1.490005,-0.069999,-1.560004
42,2014-03-05,GILD,82.870003,83.440002,82.730003,83.019997,6590400.0,,,,,79.919998,83.220001,82.940002,-0.069999,-2.950005,-2.880006
43,2014-03-06,GILD,79.919998,83.419998,78.5,83.220001,21950000.0,,,,,79.580002,81.209999,82.870003,-2.950005,-0.339996,2.610009
44,2014-03-07,GILD,79.580002,81.349998,77.809998,81.209999,20459900.0,,,,,80.230003,79.400002,79.919998,-0.339996,0.650001,0.989997
45,2014-03-10,GILD,80.230003,80.300003,78.349998,79.400002,8661900.0,,,,,79.839996,80.349998,79.580002,0.650001,-0.390007,-1.040008
46,2014-03-11,GILD,79.839996,80.57,79.32,80.349998,10569900.0,,,,,79.720001,79.360001,80.230003,-0.390007,-0.119995,0.270012
47,2014-03-12,GILD,79.720001,80.300003,78.620003,79.360001,9671400.0,,,,,78.010002,80.260002,79.839996,-0.119995,-1.709999,-1.590004
48,2014-03-13,GILD,78.010002,80.470001,77.559998,80.260002,10600700.0,,,,,75.050003,76.989998,79.720001,-1.709999,-2.959999,-1.25
49,2014-03-14,GILD,75.050003,77.099998,74.550003,76.989998,18775000.0,,,,,75.449997,75.959999,78.010002,-2.959999,0.399994,3.359993
50,2014-03-17,GILD,75.449997,76.860001,75.080002,75.959999,14099000.0,,,,,77.769997,75.540001,75.050003,0.399994,2.32,1.920006
51,2014-03-18,GILD,77.769997,78.059998,75.510002,75.540001,10327000.0,,,,,76.540001,78.199997,75.449997,2.32,-1.229996,-3.549996
52,2014-03-19,GILD,76.540001,78.599998,76.010002,78.199997,11155700.0,,,,,75.529999,76.5,77.769997,-1.229996,-1.010002,0.219994
53,2014-03-20,GILD,75.529999,76.650002,74.860001,76.5,12148300.0,,,,,72.07,75.669998,76.540001,-1.010002,-3.459999,-2.449997
54,2014-03-21,GILD,72.07,76.199997,70.849998,75.669998,36979700.0,-0.194628571429,0.0354285714286,0.913571428571,0.0508571428571,72.129997,72.540001,75.529999,-3.459999,0.059997,3.519996
55,2014-03-24,GILD,72.129997,72.889999,68.809998,72.540001,29285300.0,,,,,73.029999,72.599998,72.07,0.059997,0.900002,0.840005
56,2014-03-25,GILD,73.029999,74.300003,71.900002,72.599998,19176900.0,,,,,72.779999,73.720001,72.129997,0.900002,-0.25,-1.150002
57,2014-03-26,GILD,72.779999,75.010002,72.769997,73.720001,15708700.0,,,,,71.410004,72.379997,73.029999,-0.25,-1.369995,-1.119995
58,2014-03-27,GILD,71.410004,73.339996,70.589996,72.379997,17749700.0,,,,,68.550003,70.620003,72.779999,-1.369995,-2.860001,-1.490006
59,2014-03-28,GILD,68.550003,71.110001,67.629997,70.620003,29246100.0,,,,,70.860001,69.169998,71.410004,-2.860001,2.309998,5.169999
60,2014-03-31,GILD,70.860001,71.0,69.169998,69.169998,18594900.0,,,,,73.639999,73.339996,68.550003,2.309998,2.779998,0.47
61,2014-04-01,GILD,73.639999,73.879997,72.139999,73.339996,19497100.0,,,,,73.959999,75.160004,70.860001,2.779998,0.32,-2.459998
62,2014-04-02,GILD,73.959999,75.25,73.339996,75.160004,15992800.0,0.6705,0.037,0.896,0.068,74.0,75.160004,73.639999,0.32,0.040001,-0.279999
63,2014-04-03,GILD,74.0,75.18,72.290001,75.160004,15989400.0,,,,,72.199997,74.910004,73.959999,0.040001,-1.800003,-1.840004
64,2014-04-04,GILD,72.199997,75.25,71.519997,74.910004,19387500.0,,,,,72.230003,71.919998,74.0,-1.800003,0.030006,1.830009
65,2014-04-07,GILD,72.230003,73.730003,70.720001,71.919998,16037200.0,,,,,70.010002,71.709999,72.199997,0.030006,-2.220001,-2.250007
66,2014-04-08,GILD,70.010002,71.709999,69.279999,71.709999,25269000.0,-0.3182,0.041,0.925,0.034,70.650002,70.5,72.230003,-2.220001,0.64,2.860001
67,2014-04-09,GILD,70.650002,71.290001,69.860001,70.5,20688600.0,0.9931,0.079,0.789,0.132,65.480003,70.800003,70.010002,0.64,-5.169999,-5.809999
68,2014-04-10,GILD,65.480003,71.230003,64.809998,70.800003,43152600.0,0.409542857143,0.0491428571429,0.886285714286,0.0644285714286,66.029999,64.190002,70.650002,-5.169999,0.549996,5.719995
69,2014-04-11,GILD,66.029999,68.940002,63.5,64.190002,35988700.0,0.942866666667,0.0403333333333,0.886,0.0736666666667,66.790001,67.790001,65.480003,0.549996,0.760002,0.210006
70,2014-04-14,GILD,66.790001,68.389999,65.739998,67.790001,17988000.0,,,,,68.169998,67.550003,66.029999,0.760002,1.379997,0.619995
71,2014-04-15,GILD,68.169998,69.139999,65.589996,67.550003,21802600.0,,,,,69.279999,69.32,66.790001,1.379997,1.110001,-0.269996
72,2014-04-16,GILD,69.279999,69.889999,68.339996,69.32,17266400.0,,,,,70.0,69.370003,68.169998,1.110001,0.720001,-0.39
73,2014-04-17,GILD,70.0,70.639999,69.089996,69.370003,17548400.0,0.5503,0.0566666666667,0.866666666667,0.0766666666667,71.599998,70.379997,69.279999,0.720001,1.599998,0.879997
74,2014-04-21,GILD,71.599998,71.989998,69.400002,70.379997,17973500.0,,,,,72.860001,72.860001,70.0,1.599998,1.260003,-0.339995
75,2014-04-22,GILD,72.860001,73.260002,71.849998,72.860001,29207300.0,-0.0801,0.05375,0.86225,0.08425,73.860001,75.730003,71.599998,1.260003,1.0,-0.260003
76,2014-04-23,GILD,73.860001,75.879997,73.760002,75.730003,35411800.0,0.990433333333,0.0463333333333,0.8315,0.122333333333,74.080002,74.93,72.860001,1.0,0.220001,-0.779999
77,2014-04-24,GILD,74.080002,75.0,71.629997,74.93,22098100.0,0.5859,0.011,0.946,0.042,73.900002,74.019997,73.860001,0.220001,-0.18,-0.400001
78,2014-04-25,GILD,73.900002,74.879997,73.43,74.019997,22726800.0,,,,,74.080002,74.849998,74.080002,-0.18,0.18,0.36
79,2014-04-28,GILD,74.080002,76.800003,72.769997,74.849998,22497800.0,,,,,76.239998,74.669998,73.900002,0.18,2.159996,1.979996
80,2014-04-29,GILD,76.239998,76.379997,74.0,74.669998,15865700.0,,,,,78.489998,76.150002,74.080002,2.159996,2.25,0.090004
81,2014-04-30,GILD,78.489998,78.669998,75.489998,76.150002,20165300.0,,,,,79.019997,78.620003,76.239998,2.25,0.529999,-1.720001
82,2014-05-01,GILD,79.019997,79.889999,77.830002,78.620003,15970200.0,0.9702,0.023,0.897,0.08,77.709999,79.300003,78.489998,0.529999,-1.309998,-1.839997
83,2014-05-02,GILD,77.709999,79.5,76.650002,79.300003,16772700.0,,,,,79.830002,76.730003,79.019997,-1.309998,2.120003,3.430001
84,2014-05-05,GILD,79.830002,79.910004,76.629997,76.730003,14085700.0,,,,,78.32,79.739998,77.709999,2.120003,-1.510002,-3.630005
85,2014-05-06,GILD,78.32,79.919998,78.230003,79.739998,10990500.0,,,,,78.769997,79.0,79.830002,-1.510002,0.449997,1.959999
86,2014-05-07,GILD,78.769997,79.230003,76.800003,79.0,14664700.0,0.5267,0.0,0.961,0.039,78.730003,78.879997,78.32,0.449997,-0.039994,-0.489991
87,2014-05-08,GILD,78.730003,80.279999,78.199997,78.879997,13777000.0,,,,,79.760002,78.809998,78.769997,-0.039994,1.029999,1.069993
