,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,GIS,49.400002,49.68,49.27,49.599998,2205500.0,,,,,49.259998,49.41,,,-0.140004,
1,2014-01-03,GIS,49.259998,49.560001,49.099998,49.41,2309700.0,0.598,0.0795,0.831,0.0895,49.34,49.380001,49.400002,-0.140004,0.080002,0.220006
2,2014-01-06,GIS,49.34,49.599998,49.080002,49.380001,3260200.0,,,,,49.849998,49.639999,49.259998,0.080002,0.509998,0.429996
3,2014-01-07,GIS,49.849998,49.939999,49.259998,49.639999,4606800.0,,,,,48.57,49.34,49.34,0.509998,-1.279998,-1.789996
4,2014-01-08,GIS,48.57,49.419998,48.400002,49.34,5747800.0,,,,,49.0,48.639999,49.849998,-1.279998,0.43,1.709998
5,2014-01-09,GIS,49.0,49.07,48.599998,48.639999,4565600.0,,,,,49.290001,49.169998,48.57,0.43,0.290001,-0.139999
6,2014-01-10,GIS,49.290001,49.310001,49.040001,49.169998,2797700.0,,,,,48.810001,49.130001,49.0,0.290001,-0.48,-0.770001
7,2014-01-13,GIS,48.810001,49.470001,48.73,49.130001,2674600.0,,,,,48.799999,48.27,49.290001,-0.48,-0.010002,0.469998
8,2014-01-14,GIS,48.799999,49.02,48.25,48.27,4311800.0,,,,,48.400002,48.93,48.810001,-0.010002,-0.399997,-0.389995
9,2014-01-15,GIS,48.400002,48.950001,48.349998,48.93,3929400.0,,,,,48.52,48.299999,48.799999,-0.399997,0.119998,0.519995
10,2014-01-16,GIS,48.52,48.73,48.259998,48.299999,3255100.0,,,,,48.279999,48.439999,48.400002,0.119998,-0.240001,-0.359999
11,2014-01-17,GIS,48.279999,48.599998,48.220001,48.439999,3790700.0,,,,,48.540001,48.549999,48.52,-0.240001,0.260002,0.500003
12,2014-01-21,GIS,48.540001,48.799999,48.290001,48.549999,3473800.0,,,,,48.77,48.540001,48.279999,0.260002,0.229999,-0.030003
13,2014-01-22,GIS,48.77,48.98,48.5,48.540001,2986500.0,,,,,48.709999,48.5,48.540001,0.229999,-0.060001,-0.29
14,2014-01-23,GIS,48.709999,48.830002,48.209999,48.5,3504100.0,,,,,48.279999,48.450001,48.77,-0.060001,-0.43,-0.369999
15,2014-01-24,GIS,48.279999,49.110001,48.279999,48.450001,4033200.0,,,,,48.529999,48.34,48.709999,-0.43,0.25,0.68
16,2014-01-27,GIS,48.529999,48.790001,48.279999,48.34,3413400.0,,,,,48.959999,48.529999,48.279999,0.25,0.43,0.18
17,2014-01-28,GIS,48.959999,49.130001,48.5,48.529999,3129000.0,,,,,47.939999,48.669998,48.529999,0.43,-1.02,-1.45
