,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,GM,40.950001,41.060001,40.34,40.68,14763300.0,0.98945,0.05,0.834,0.116,39.57,40.919998,,,-1.380001,
1,2014-01-03,GM,39.57,40.950001,39.0,40.919998,41426900.0,0.3774,0.031,0.853,0.116,40.400002,39.900002,40.950001,-1.380001,0.830002,2.210003
2,2014-01-06,GM,40.400002,40.59,39.639999,39.900002,25063500.0,-0.112,0.0515,0.8925,0.056,40.200001,40.700001,39.57,0.830002,-0.200001,-1.030003
3,2014-01-07,GM,40.200001,40.939999,40.099998,40.700001,14156900.0,0.876833333333,0.0153333333333,0.899,0.0856666666667,40.419998,40.330002,40.400002,-0.200001,0.219997,0.419998
4,2014-01-08,GM,40.419998,40.84,40.200001,40.330002,11342400.0,,,,,40.490002,40.880001,40.200001,0.219997,0.070004,-0.149993
5,2014-01-09,GM,40.490002,40.939999,40.279999,40.880001,9790600.0,,,,,40.029999,40.599998,40.419998,0.070004,-0.460003,-0.530007
6,2014-01-10,GM,40.029999,40.68,39.84,40.599998,14596000.0,0.2732,0.0,0.976,0.024,39.580002,40.16,40.490002,-0.460003,-0.449997,0.010006
7,2014-01-13,GM,39.580002,40.639999,39.439999,40.16,20993200.0,0.6603,0.027,0.8967,0.0768,40.02,39.77,40.029999,-0.449997,0.439998,0.889995
8,2014-01-14,GM,40.02,40.16,39.57,39.77,17389100.0,0.63841,0.0406,0.8694,0.09,39.380001,39.630001,39.580002,0.439998,-0.639999,-1.079997
9,2014-01-15,GM,39.380001,39.77,38.959999,39.630001,89207600.0,0.81876,0.0235,0.8742,0.1021,39.0,39.310001,40.02,-0.639999,-0.380001,0.259998
10,2014-01-16,GM,39.0,39.549999,38.759998,39.310001,36091300.0,0.58485,0.043875,0.883625,0.07275,38.599998,39.07,39.380001,-0.380001,-0.400002,-0.020001
11,2014-01-17,GM,38.599998,39.099998,38.330002,39.07,28003300.0,0.89025,0.02025,0.91125,0.06825,38.34,38.889999,39.0,-0.400002,-0.259998,0.140004
12,2014-01-21,GM,38.34,39.0,37.900002,38.889999,30786600.0,,,,,38.799999,38.400002,38.599998,-0.259998,0.459999,0.719997
