,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,HBAN,9.54,9.66,9.53,9.6,7039100.0,,,,,9.6,9.59,,,0.06,
1,2014-01-03,HBAN,9.6,9.68,9.58,9.59,6096500.0,,,,,9.58,9.65,9.54,0.06,-0.02,-0.08
2,2014-01-06,HBAN,9.58,9.8,9.58,9.65,9729600.0,,,,,9.72,9.62,9.6,-0.02,0.14,0.16
3,2014-01-07,HBAN,9.72,9.8,9.62,9.62,11770300.0,,,,,9.75,9.75,9.58,0.14,0.03,-0.11
4,2014-01-08,HBAN,9.75,9.79,9.68,9.75,9013700.0,,,,,9.77,9.8,9.72,0.03,0.02,-0.01
5,2014-01-09,HBAN,9.77,9.87,9.73,9.8,10238300.0,,,,,9.79,9.74,9.75,0.02,0.02,0.0
6,2014-01-10,HBAN,9.79,9.81,9.68,9.74,9661800.0,,,,,9.67,9.8,9.77,0.02,-0.12,-0.14
7,2014-01-13,HBAN,9.67,9.83,9.64,9.8,6751200.0,,,,,9.77,9.68,9.79,-0.12,0.1,0.22
8,2014-01-14,HBAN,9.77,9.78,9.63,9.68,8115700.0,,,,,9.9,9.8,9.67,0.1,0.13,0.03
9,2014-01-15,HBAN,9.9,9.91,9.73,9.8,13932200.0,,,,,9.63,9.64,9.77,0.13,-0.27,-0.4
10,2014-01-16,HBAN,9.63,9.7,9.43,9.64,23518000.0,,,,,9.63,9.68,9.9,-0.27,0.0,0.27
11,2014-01-17,HBAN,9.63,9.72,9.52,9.68,11801900.0,,,,,9.87,9.69,9.63,0.0,0.24,0.24
12,2014-01-21,HBAN,9.87,9.87,9.66,9.69,10448400.0,,,,,9.89,9.86,9.63,0.24,0.02,-0.22
13,2014-01-22,HBAN,9.89,9.91,9.78,9.86,7914700.0,,,,,9.75,9.85,9.87,0.02,-0.14,-0.16
14,2014-01-23,HBAN,9.75,9.85,9.67,9.85,9554600.0,,,,,9.42,9.67,9.89,-0.14,-0.33,-0.19
15,2014-01-24,HBAN,9.42,9.69,9.42,9.67,9801100.0,,,,,9.34,9.43,9.75,-0.33,-0.08,0.25
16,2014-01-27,HBAN,9.34,9.51,9.28,9.43,10298100.0,,,,,9.35,9.37,9.42,-0.08,0.01,0.09
17,2014-01-28,HBAN,9.35,9.44,9.32,9.37,9215600.0,,,,,9.2,9.29,9.34,0.01,-0.15,-0.16
18,2014-01-29,HBAN,9.2,9.43,9.18,9.29,16892500.0,,,,,9.26,9.27,9.35,-0.15,0.06,0.21
19,2014-01-30,HBAN,9.26,9.31,9.13,9.27,14176400.0,,,,,9.07,9.14,9.2,0.06,-0.19,-0.25
20,2014-01-31,HBAN,9.07,9.2,9.07,9.14,11000500.0,,,,,8.72,9.02,9.26,-0.19,-0.35,-0.16
21,2014-02-03,HBAN,8.72,9.07,8.66,9.02,31464000.0,,,,,8.86,8.74,9.07,-0.35,0.14,0.49
22,2014-02-04,HBAN,8.86,8.96,8.73,8.74,16996400.0,,,,,8.84,8.78,8.72,0.14,-0.02,-0.16
23,2014-02-05,HBAN,8.84,8.92,8.75,8.78,13264600.0,,,,,9.03,8.85,8.86,-0.02,0.19,0.21
24,2014-02-06,HBAN,9.03,9.05,8.83,8.85,11014100.0,,,,,9.03,9.09,8.84,0.19,0.0,-0.19
25,2014-02-07,HBAN,9.03,9.16,8.96,9.09,10808400.0,,,,,9.03,9.01,9.03,0.0,0.0,0.0
26,2014-02-10,HBAN,9.03,9.08,8.94,9.01,7357100.0,,,,,9.13,9.04,9.03,0.0,0.1,0.1
27,2014-02-11,HBAN,9.13,9.15,9.01,9.04,5712100.0,,,,,9.12,9.14,9.03,0.1,-0.01,-0.11
28,2014-02-12,HBAN,9.12,9.27,9.09,9.14,7096700.0,,,,,9.09,9.08,9.13,-0.01,-0.03,-0.02
29,2014-02-13,HBAN,9.09,9.12,9.0,9.08,6460600.0,,,,,9.12,9.09,9.12,-0.03,0.03,0.06
30,2014-02-14,HBAN,9.12,9.2,9.07,9.09,4511500.0,,,,,9.06,9.12,9.09,0.03,-0.06,-0.09
31,2014-02-18,HBAN,9.06,9.15,9.05,9.12,9712800.0,,,,,8.85,9.0,9.12,-0.06,-0.21,-0.15
32,2014-02-19,HBAN,8.85,9.05,8.82,9.0,11170500.0,,,,,8.95,8.85,9.06,-0.21,0.1,0.31
33,2014-02-20,HBAN,8.95,8.99,8.77,8.85,12283500.0,,,,,9.11,8.97,8.85,0.1,0.16,0.06
34,2014-02-21,HBAN,9.11,9.15,8.97,8.97,10825300.0,,,,,9.27,9.1,8.95,0.16,0.16,0.0
35,2014-02-24,HBAN,9.27,9.33,9.09,9.1,11593200.0,,,,,9.29,9.26,9.11,0.16,0.02,-0.14
36,2014-02-25,HBAN,9.29,9.32,9.2,9.26,8376800.0,,,,,9.35,9.34,9.27,0.02,0.06,0.04
37,2014-02-26,HBAN,9.35,9.4,9.24,9.34,9565200.0,,,,,9.42,9.36,9.29,0.06,0.07,0.01
38,2014-02-27,HBAN,9.42,9.48,9.31,9.36,10420500.0,,,,,9.53,9.42,9.35,0.07,0.11,0.04
