,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,HCN,53.540001,53.689999,53.080002,53.150002,2575100.0,,,,,53.049999,53.279999,,,-0.490002,
1,2014-01-03,HCN,53.049999,53.380001,52.900002,53.279999,2160600.0,,,,,54.290001,53.290001,53.540001,-0.490002,1.240002,1.730004
2,2014-01-06,HCN,54.290001,54.799999,53.139999,53.290001,3218400.0,,,,,54.259998,54.419998,53.049999,1.240002,-0.030003,-1.270005
3,2014-01-07,HCN,54.259998,54.639999,53.849998,54.419998,2185700.0,,,,,53.900002,54.189999,54.290001,-0.030003,-0.359996,-0.329993
4,2014-01-08,HCN,53.900002,54.32,53.700001,54.189999,1648100.0,,,,,54.02,54.07,54.259998,-0.359996,0.119998,0.479994
5,2014-01-09,HCN,54.02,54.220001,53.5,54.07,1558300.0,,,,,55.48,54.310001,53.900002,0.119998,1.46,1.340002
6,2014-01-10,HCN,55.48,55.509998,54.299999,54.310001,2889400.0,,,,,55.950001,55.360001,54.02,1.46,0.470001,-0.989999
7,2014-01-13,HCN,55.950001,56.16,55.18,55.360001,4426300.0,,,,,55.139999,55.919998,55.48,0.470001,-0.810002,-1.280003
8,2014-01-14,HCN,55.139999,55.950001,54.959999,55.919998,3374200.0,,,,,55.549999,55.259998,55.950001,-0.810002,0.41,1.220002
9,2014-01-15,HCN,55.549999,55.869999,55.25,55.259998,2596200.0,,,,,56.060001,55.799999,55.139999,0.41,0.510002,0.100002
10,2014-01-16,HCN,56.060001,56.169998,55.650002,55.799999,2183400.0,,,,,55.59,56.200001,55.549999,0.510002,-0.470001,-0.980003
11,2014-01-17,HCN,55.59,56.240002,55.549999,56.200001,2001300.0,,,,,56.439999,55.959999,56.060001,-0.470001,0.849999,1.32
12,2014-01-21,HCN,56.439999,56.470001,55.869999,55.959999,2055000.0,,,,,56.540001,56.43,55.59,0.849999,0.100002,-0.749997
13,2014-01-22,HCN,56.540001,56.790001,56.290001,56.43,1541600.0,,,,,56.029999,56.599998,56.439999,0.100002,-0.510002,-0.610004
14,2014-01-23,HCN,56.029999,56.619999,55.950001,56.599998,2188600.0,,,,,55.919998,56.009998,56.540001,-0.510002,-0.110001,0.400001
15,2014-01-24,HCN,55.919998,56.209999,55.669998,56.009998,2931600.0,,,,,56.25,55.939999,56.029999,-0.110001,0.330002,0.440003
16,2014-01-27,HCN,56.25,56.639999,55.919998,55.939999,2531800.0,,,,,56.790001,56.41,55.919998,0.330002,0.540001,0.209999
