,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,HOG,68.559998,69.25,68.419998,69.190002,1022500.0,,,,,68.910004,68.629997,,,0.350006,
1,2014-01-03,HOG,68.910004,69.239998,68.489998,68.629997,656400.0,,,,,68.629997,69.279999,68.559998,0.350006,-0.280007,-0.630013
2,2014-01-06,HOG,68.629997,69.75,68.449997,69.279999,650600.0,,,,,69.019997,68.779999,68.910004,-0.280007,0.39,0.670007
3,2014-01-07,HOG,69.019997,69.230003,68.699997,68.779999,482100.0,,,,,69.849998,69.019997,68.629997,0.39,0.830001,0.440001
4,2014-01-08,HOG,69.849998,69.860001,68.970001,69.019997,758700.0,,,,,69.190002,69.849998,69.019997,0.830001,-0.659996,-1.489997
5,2014-01-09,HOG,69.190002,70.040001,68.809998,69.849998,842900.0,,,,,69.620003,69.379997,69.849998,-0.659996,0.430001,1.089997
6,2014-01-10,HOG,69.620003,69.629997,69.110001,69.379997,611800.0,,,,,67.190002,69.07,69.190002,0.430001,-2.430001,-2.860002
7,2014-01-13,HOG,67.190002,69.07,67.010002,69.07,1548900.0,0.8138,0.038,0.895,0.0665,68.0,67.5,69.620003,-2.430001,0.809998,3.239999
8,2014-01-14,HOG,68.0,68.050003,67.32,67.5,1969900.0,,,,,68.650002,68.190002,67.190002,0.809998,0.650002,-0.159996
9,2014-01-15,HOG,68.650002,68.730003,67.93,68.190002,1015300.0,,,,,68.099998,68.599998,68.0,0.650002,-0.550004,-1.200006
10,2014-01-16,HOG,68.099998,68.739998,67.989998,68.599998,849500.0,,,,,67.580002,68.18,68.650002,-0.550004,-0.519996,0.030008
11,2014-01-17,HOG,67.580002,68.440002,67.519997,68.18,989500.0,,,,,67.510002,67.860001,68.099998,-0.519996,-0.07,0.449996
12,2014-01-21,HOG,67.510002,68.419998,67.32,67.860001,1034700.0,,,,,66.870003,67.43,67.580002,-0.07,-0.639999,-0.569999
13,2014-01-22,HOG,66.870003,67.639999,66.480003,67.43,1809900.0,,,,,65.889999,66.599998,67.510002,-0.639999,-0.980004,-0.340005
14,2014-01-23,HOG,65.889999,66.599998,65.699997,66.599998,1657800.0,,,,,64.019997,65.290001,66.870003,-0.980004,-1.870002,-0.889998
15,2014-01-24,HOG,64.019997,65.660004,63.880001,65.290001,1488700.0,,,,,64.220001,64.269997,65.889999,-1.870002,0.200004,2.070006
16,2014-01-27,HOG,64.220001,65.019997,63.27,64.269997,1637100.0,,,,,64.910004,64.43,64.019997,0.200004,0.690003,0.489999
17,2014-01-28,HOG,64.910004,65.230003,64.209999,64.43,1022100.0,,,,,64.040001,64.099998,64.220001,0.690003,-0.870003,-1.560006
18,2014-01-29,HOG,64.040001,65.050003,63.740002,64.099998,2142200.0,,,,,63.189999,66.309998,64.910004,-0.870003,-0.850002,0.020001
19,2014-01-30,HOG,63.189999,66.690002,62.209999,66.309998,2822000.0,0.9927,0.0185,0.883,0.099,61.689999,62.34,64.040001,-0.850002,-1.5,-0.649998
20,2014-01-31,HOG,61.689999,62.650002,61.57,62.34,2548400.0,,,,,61.23,61.810001,63.189999,-1.5,-0.459999,1.040001
21,2014-02-03,HOG,61.23,62.02,60.549999,61.810001,2374000.0,0.9991,0.065,0.818,0.118,62.330002,61.439999,61.689999,-0.459999,1.100002,1.560001
22,2014-02-04,HOG,62.330002,62.470001,61.169998,61.439999,2030000.0,,,,,62.150002,61.869999,61.23,1.100002,-0.18,-1.280002
23,2014-02-05,HOG,62.150002,62.490002,61.27,61.869999,1473200.0,,,,,64.519997,62.700001,62.330002,-0.18,2.369995,2.549995
24,2014-02-06,HOG,64.519997,64.800003,62.700001,62.700001,2247700.0,0.8779,0.0165,0.9095,0.0745,64.980003,64.720001,62.150002,2.369995,0.460006,-1.909989
25,2014-02-07,HOG,64.980003,65.139999,64.220001,64.720001,1238700.0,,,,,64.589996,64.989998,64.519997,0.460006,-0.390007,-0.850013
26,2014-02-10,HOG,64.589996,65.309998,64.150002,64.989998,993400.0,,,,,64.690002,64.709999,64.980003,-0.390007,0.100006,0.490013
27,2014-02-11,HOG,64.690002,64.93,64.129997,64.709999,1037900.0,,,,,65.169998,64.669998,64.589996,0.100006,0.479996,0.37999
28,2014-02-12,HOG,65.169998,65.620003,64.620003,64.669998,1910600.0,,,,,64.760002,64.809998,64.690002,0.479996,-0.409996,-0.889992
29,2014-02-13,HOG,64.760002,64.970001,64.330002,64.809998,1115300.0,,,,,64.980003,64.639999,65.169998,-0.409996,0.220001,0.629997
30,2014-02-14,HOG,64.980003,65.0,64.209999,64.639999,1011800.0,,,,,63.759998,64.610001,64.760002,0.220001,-1.220005,-1.440006
31,2014-02-18,HOG,63.759998,64.699997,63.349998,64.610001,1415900.0,,,,,63.099998,63.650002,64.980003,-1.220005,-0.66,0.560005
32,2014-02-19,HOG,63.099998,64.139999,63.049999,63.650002,954200.0,,,,,64.309998,63.189999,63.759998,-0.66,1.21,1.87
33,2014-02-20,HOG,64.309998,64.370003,62.740002,63.189999,1544500.0,,,,,64.32,64.150002,63.099998,1.21,0.010002,-1.199998
34,2014-02-21,HOG,64.32,64.779999,64.07,64.150002,1137100.0,,,,,64.779999,64.349998,64.309998,0.010002,0.459999,0.449997
35,2014-02-24,HOG,64.779999,65.07,64.279999,64.349998,1139000.0,,,,,63.990002,64.419998,64.32,0.459999,-0.789997,-1.249996
36,2014-02-25,HOG,63.990002,64.510002,63.400002,64.419998,1496900.0,,,,,64.349998,64.190002,64.779999,-0.789997,0.359996,1.149993
37,2014-02-26,HOG,64.349998,64.5,63.82,64.190002,1547500.0,,,,,65.400002,64.330002,63.990002,0.359996,1.050004,0.690008
38,2014-02-27,HOG,65.400002,65.410004,64.330002,64.330002,1047300.0,,,,,66.059998,65.260002,64.349998,1.050004,0.659996,-0.390008
39,2014-02-28,HOG,66.059998,66.720001,65.019997,65.260002,1613400.0,,,,,65.040001,65.379997,65.400002,0.659996,-1.019997,-1.679993
40,2014-03-03,HOG,65.040001,65.660004,64.290001,65.379997,1283000.0,,,,,66.449997,65.769997,66.059998,-1.019997,1.409996,2.429993
41,2014-03-04,HOG,66.449997,66.660004,65.730003,65.769997,1074900.0,,,,,66.970001,66.449997,65.040001,1.409996,0.520004,-0.889992
42,2014-03-05,HOG,66.970001,67.209999,66.209999,66.449997,1322900.0,,,,,67.779999,67.110001,66.449997,0.520004,0.809998,0.289994
43,2014-03-06,HOG,67.779999,68.120003,67.080002,67.110001,1418700.0,,,,,68.110001,68.019997,66.970001,0.809998,0.330002,-0.479996
44,2014-03-07,HOG,68.110001,68.5,67.93,68.019997,1099400.0,,,,,67.410004,67.599998,67.779999,0.330002,-0.699997,-1.029999
45,2014-03-10,HOG,67.410004,67.599998,66.529999,67.599998,1254600.0,,,,,68.099998,67.610001,68.110001,-0.699997,0.689994,1.389991
46,2014-03-11,HOG,68.099998,68.260002,67.239998,67.610001,1321400.0,,,,,67.989998,67.669998,67.410004,0.689994,-0.11,-0.799994
47,2014-03-12,HOG,67.989998,68.199997,67.610001,67.669998,787500.0,,,,,67.209999,68.239998,68.099998,-0.11,-0.779999,-0.669999
48,2014-03-13,HOG,67.209999,68.480003,67.029999,68.239998,850300.0,,,,,67.220001,67.129997,67.989998,-0.779999,0.010002,0.790001
49,2014-03-14,HOG,67.220001,67.580002,66.75,67.129997,735900.0,,,,,67.639999,67.5,67.209999,0.010002,0.419998,0.409996
50,2014-03-17,HOG,67.639999,67.949997,67.260002,67.5,658700.0,,,,,68.18,67.860001,67.220001,0.419998,0.540001,0.120003
