,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,HPQ,27.659999,28.219999,27.45,27.879998,28688000.0,,,,,28.339999,27.71,,,0.68,
1,2014-01-03,HPQ,28.339999,28.499999,27.699999,27.71,27911000.0,,,,,28.289998,28.299998,27.659999,0.68,-0.050001,-0.730001
2,2014-01-06,HPQ,28.289998,28.499999,27.899998,28.299998,22550600.0,,,,,28.179998,28.429998,28.339999,-0.050001,-0.11,-0.059999
3,2014-01-07,HPQ,28.179998,28.549998,27.869998,28.429998,31535700.0,,,,,27.45,28.179998,28.289998,-0.11,-0.729998,-0.619998
4,2014-01-08,HPQ,27.45,28.199999,27.359998,28.179998,33498500.0,,,,,27.609998,27.569999,28.179998,-0.729998,0.159998,0.889996
5,2014-01-09,HPQ,27.609998,27.879998,27.349998,27.569999,39702500.0,0.9961,0.038,0.815,0.146,27.699999,27.729998,27.45,0.159998,0.090001,-0.069997
6,2014-01-10,HPQ,27.699999,27.769998,27.269999,27.729998,31545400.0,,,,,28.12,27.71,27.609998,0.090001,0.420001,0.33
7,2014-01-13,HPQ,28.12,28.79,27.699999,27.71,43408900.0,,,,,28.849998,28.12,27.699999,0.420001,0.729998,0.309997
8,2014-01-14,HPQ,28.849998,28.849998,28.089999,28.12,32705400.0,,,,,28.839998,28.899999,28.12,0.729998,-0.01,-0.739998
9,2014-01-15,HPQ,28.839998,29.069998,28.539998,28.899999,36064100.0,0.634,0.035,0.9075,0.057,29.559999,29.499998,28.849998,-0.01,0.720001,0.730001
10,2014-01-16,HPQ,29.559999,29.819999,29.119998,29.499998,48586200.0,0.0,0.0,1.0,0.0,29.799999,29.749998,28.839998,0.720001,0.24,-0.480001
11,2014-01-17,HPQ,29.799999,30.049998,29.669999,29.749998,35356100.0,,,,,29.899998,29.799999,29.559999,0.24,0.099999,-0.140001
12,2014-01-21,HPQ,29.899998,29.959999,29.449999,29.799999,26614400.0,,,,,29.839999,29.629998,29.799999,0.099999,-0.059999,-0.159998
13,2014-01-22,HPQ,29.839999,30.13,29.46,29.629998,22542900.0,,,,,29.369998,29.419999,29.899998,-0.059999,-0.470001,-0.410002
14,2014-01-23,HPQ,29.369998,29.73,29.06,29.419999,21811400.0,0.843233333333,0.015,0.913,0.0716666666667,28.489999,29.039999,29.839999,-0.470001,-0.879999,-0.409998
15,2014-01-24,HPQ,28.489999,29.2,28.39,29.039999,37470500.0,,,,,28.599999,28.53,29.369998,-0.879999,0.11,0.989999
16,2014-01-27,HPQ,28.599999,29.089998,28.38,28.53,35066400.0,,,,,28.999999,28.569998,28.489999,0.11,0.4,0.29
17,2014-01-28,HPQ,28.999999,29.079998,28.489999,28.569998,27320200.0,,,,,29.019999,28.92,28.599999,0.4,0.02,-0.38
18,2014-01-29,HPQ,29.019999,29.149999,28.749999,28.92,30642300.0,,,,,29.249998,29.149999,28.999999,0.02,0.229999,0.209999
19,2014-01-30,HPQ,29.249998,29.419999,29.079998,29.149999,20028700.0,,,,,28.999999,28.939998,29.019999,0.229999,-0.249999,-0.479998
20,2014-01-31,HPQ,28.999999,29.19,28.739999,28.939998,28481300.0,,,,,28.039998,29.06,29.249998,-0.249999,-0.960001,-0.710002
21,2014-02-03,HPQ,28.039998,29.289999,27.959999,29.06,32271100.0,,,,,28.329999,28.139998,28.999999,-0.960001,0.290001,1.250002
22,2014-02-04,HPQ,28.329999,28.409998,27.889998,28.139998,21098000.0,-0.5439,0.0685,0.88,0.0515,28.009998,28.169998,28.039998,0.290001,-0.320001,-0.610002
23,2014-02-05,HPQ,28.009998,28.439998,27.899998,28.169998,22632100.0,,,,,28.489999,28.229999,28.329999,-0.320001,0.480001,0.800002
24,2014-02-06,HPQ,28.489999,28.66,28.199999,28.229999,14739500.0,0.7717,0.007,0.951,0.042,29.069998,28.699998,28.009998,0.480001,0.579999,0.099998
25,2014-02-07,HPQ,29.069998,29.159999,28.689998,28.699998,16597100.0,,,,,28.809998,29.009999,28.489999,0.579999,-0.26,-0.839999
26,2014-02-10,HPQ,28.809998,29.229998,28.639999,29.009999,17205700.0,,,,,29.359998,28.879999,29.069998,-0.26,0.55,0.81
27,2014-02-11,HPQ,29.359998,29.489998,28.8,28.879999,18967100.0,,,,,29.419999,29.359998,28.809998,0.55,0.060001,-0.489999
28,2014-02-12,HPQ,29.419999,29.789998,29.359998,29.359998,21415500.0,,,,,29.829999,29.309999,29.359998,0.060001,0.41,0.349999
29,2014-02-13,HPQ,29.829999,29.919998,29.179999,29.309999,20902700.0,,,,,30.019998,29.86,29.419999,0.41,0.189999,-0.220001
30,2014-02-14,HPQ,30.019998,30.119999,29.719999,29.86,20949800.0,,,,,29.579999,30.0,29.829999,0.189999,-0.439999,-0.629998
31,2014-02-18,HPQ,29.579999,30.049998,29.569999,30.0,24774200.0,-0.474875,0.0455,0.93275,0.02175,29.449999,29.429999,30.019998,-0.439999,-0.13,0.309999
32,2014-02-19,HPQ,29.449999,29.769998,29.259999,29.429999,32786000.0,,,,,30.189998,29.319999,29.579999,-0.13,0.739999,0.869999
33,2014-02-20,HPQ,30.189998,30.279998,29.099998,29.319999,58859600.0,0.875266666667,0.0303333333333,0.84,0.13,29.789998,30.619999,29.449999,0.739999,-0.4,-1.139999
34,2014-02-21,HPQ,29.789998,30.709998,29.499998,30.619999,65633600.0,0.982675,0.0255,0.88525,0.0895,29.919998,29.659998,30.189998,-0.4,0.13,0.53
35,2014-02-24,HPQ,29.919998,30.169998,29.449999,29.659998,31748400.0,,,,,29.879998,29.819999,29.789998,0.13,-0.04,-0.17
36,2014-02-25,HPQ,29.879998,30.0,29.569999,29.819999,20270200.0,,,,,29.899998,29.909998,29.919998,-0.04,0.02,0.06
37,2014-02-26,HPQ,29.899998,30.199999,29.809999,29.909998,19833400.0,,,,,29.749998,29.719999,29.879998,0.02,-0.15,-0.17
38,2014-02-27,HPQ,29.749998,29.889998,29.629998,29.719999,24490600.0,,,,,29.879998,29.839999,29.899998,-0.15,0.13,0.28
39,2014-02-28,HPQ,29.879998,30.359999,29.649998,29.839999,28953600.0,,,,,29.73,29.259999,29.749998,0.13,-0.149998,-0.279998
40,2014-03-03,HPQ,29.73,29.849999,28.819998,29.259999,27428100.0,,,,,30.119999,29.929998,29.879998,-0.149998,0.389999,0.539997
41,2014-03-04,HPQ,30.119999,30.239999,29.86,29.929998,29367400.0,,,,,29.939999,30.119999,29.73,0.389999,-0.18,-0.569999
