,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,HRL,44.630001,45.169998,44.630001,45.110001,1372000.0,,,,,44.91,44.990002,,,0.279999,
1,2014-01-03,HRL,44.91,45.119999,44.639999,44.990002,1358200.0,,,,,44.790001,45.09,44.630001,0.279999,-0.119999,-0.399998
2,2014-01-06,HRL,44.790001,45.09,44.610001,45.09,2499000.0,,,,,45.290001,44.860001,44.91,-0.119999,0.5,0.619999
3,2014-01-07,HRL,45.290001,45.490002,44.860001,44.860001,1192600.0,,,,,44.799999,45.150002,44.790001,0.5,-0.490002,-0.990002
4,2014-01-08,HRL,44.799999,45.16,44.610001,45.150002,1320400.0,,,,,45.110001,44.82,45.290001,-0.490002,0.310002,0.800004
5,2014-01-09,HRL,45.110001,45.139999,44.59,44.82,840400.0,,,,,45.580002,45.27,44.799999,0.310002,0.470001,0.159999
6,2014-01-10,HRL,45.580002,45.650002,45.130001,45.27,1234200.0,,,,,45.110001,45.5,45.110001,0.470001,-0.470001,-0.940002
7,2014-01-13,HRL,45.110001,45.68,44.990002,45.5,1142400.0,,,,,46.43,45.119999,45.580002,-0.470001,1.319999,1.79
8,2014-01-14,HRL,46.43,46.52,45.119999,45.119999,2164200.0,,,,,46.369999,46.610001,45.110001,1.319999,-0.060001,-1.38
9,2014-01-15,HRL,46.369999,46.75,46.279999,46.610001,1715600.0,,,,,46.639999,46.299999,46.43,-0.060001,0.27,0.330001
10,2014-01-16,HRL,46.639999,46.650002,46.099998,46.299999,1479200.0,,,,,45.849998,45.93,46.369999,0.27,-0.790001,-1.060001
11,2014-01-17,HRL,45.849998,46.689999,45.689999,45.93,2118400.0,,,,,45.93,46.200001,46.639999,-0.790001,0.080002,0.870003
12,2014-01-21,HRL,45.93,46.220001,45.66,46.200001,1748400.0,,,,,45.939999,45.970001,45.849998,0.080002,0.009999,-0.070003
13,2014-01-22,HRL,45.939999,46.27,45.830002,45.970001,1465600.0,,,,,45.59,45.779999,45.93,0.009999,-0.349999,-0.359998
14,2014-01-23,HRL,45.59,45.869999,45.240002,45.779999,1352800.0,,,,,45.139999,45.369999,45.939999,-0.349999,-0.450001,-0.100002
15,2014-01-24,HRL,45.139999,45.720001,45.110001,45.369999,1601600.0,,,,,45.52,45.130001,45.59,-0.450001,0.380001,0.830002
16,2014-01-27,HRL,45.52,45.77,45.049999,45.130001,1799000.0,,,,,45.740002,45.52,45.139999,0.380001,0.220002,-0.159999
17,2014-01-28,HRL,45.740002,45.889999,45.360001,45.52,1561600.0,,,,,44.360001,45.59,45.52,0.220002,-1.380001,-1.600003
18,2014-01-29,HRL,44.360001,45.619999,44.27,45.59,2075600.0,,,,,45.07,44.619999,45.740002,-1.380001,0.709999,2.09
19,2014-01-30,HRL,45.07,45.150002,44.400002,44.619999,1732400.0,,,,,45.439999,44.689999,44.360001,0.709999,0.369999,-0.34
20,2014-01-31,HRL,45.439999,45.77,44.439999,44.689999,2226000.0,,,,,43.459999,45.450001,45.07,0.369999,-1.98,-2.349999
21,2014-02-03,HRL,43.459999,45.450001,43.43,45.450001,2641400.0,,,,,43.139999,43.57,45.439999,-1.98,-0.32,1.66
22,2014-02-04,HRL,43.139999,43.73,43.02,43.57,2470200.0,,,,,43.099998,43.009998,43.459999,-0.32,-0.040001,0.279999
23,2014-02-05,HRL,43.099998,43.369999,42.810001,43.009998,2678800.0,,,,,43.400002,43.310001,43.139999,-0.040001,0.300004,0.340005
24,2014-02-06,HRL,43.400002,43.560001,43.139999,43.310001,1641400.0,,,,,43.77,43.669998,43.099998,0.300004,0.369998,0.069994
25,2014-02-07,HRL,43.77,43.959999,43.48,43.669998,1149000.0,,,,,43.669998,43.639999,43.400002,0.369998,-0.100002,-0.47
26,2014-02-10,HRL,43.669998,43.779999,43.48,43.639999,1316600.0,,,,,44.389999,43.439999,43.77,-0.100002,0.720001,0.820003
27,2014-02-11,HRL,44.389999,44.419998,43.389999,43.439999,1570200.0,,,,,44.310001,44.330002,43.669998,0.720001,-0.079998,-0.799999
28,2014-02-12,HRL,44.310001,44.580002,44.25,44.330002,1327800.0,,,,,44.779999,44.080002,44.389999,-0.079998,0.469998,0.549996
