,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,IPG,17.6,17.67,17.469999,17.6,3238000.0,,,,,17.620001,17.66,,,0.020001,
1,2014-01-03,IPG,17.620001,17.700001,17.6,17.66,2434600.0,,,,,17.370001,17.709999,17.6,0.020001,-0.25,-0.270001
2,2014-01-06,IPG,17.370001,17.709999,17.309999,17.709999,3587500.0,,,,,17.5,17.450001,17.620001,-0.25,0.129999,0.379999
3,2014-01-07,IPG,17.5,17.57,17.379999,17.450001,3100900.0,,,,,17.52,17.459999,17.370001,0.129999,0.02,-0.109999
4,2014-01-08,IPG,17.52,17.540001,17.299999,17.459999,4618000.0,,,,,17.4,17.530001,17.5,0.02,-0.12,-0.14
5,2014-01-09,IPG,17.4,17.58,17.26,17.530001,5339600.0,,,,,17.629999,17.450001,17.52,-0.12,0.229999,0.349999
6,2014-01-10,IPG,17.629999,17.639999,17.379999,17.450001,3907300.0,,,,,17.41,17.559999,17.4,0.229999,-0.219999,-0.449998
7,2014-01-13,IPG,17.41,17.610001,17.370001,17.559999,4878800.0,,,,,17.74,17.440001,17.629999,-0.219999,0.33,0.549999
8,2014-01-14,IPG,17.74,17.75,17.379999,17.440001,3866800.0,,,,,17.719999,17.719999,17.41,0.33,-0.020001,-0.350001
9,2014-01-15,IPG,17.719999,17.85,17.66,17.719999,2567400.0,,,,,17.540001,17.67,17.74,-0.020001,-0.179998,-0.159997
10,2014-01-16,IPG,17.540001,17.700001,17.49,17.67,3146500.0,,,,,17.459999,17.549999,17.719999,-0.179998,-0.080002,0.099996
11,2014-01-17,IPG,17.459999,17.610001,17.41,17.549999,1582900.0,,,,,17.530001,17.559999,17.540001,-0.080002,0.070002,0.150004
12,2014-01-21,IPG,17.530001,17.73,17.450001,17.559999,2716300.0,,,,,17.559999,17.530001,17.459999,0.070002,0.029998,-0.040004
13,2014-01-22,IPG,17.559999,17.6,17.41,17.530001,2548400.0,,,,,17.209999,17.42,17.530001,0.029998,-0.35,-0.379998
14,2014-01-23,IPG,17.209999,17.42,17.18,17.42,2734300.0,,,,,16.790001,17.049999,17.559999,-0.35,-0.419998,-0.069998
15,2014-01-24,IPG,16.790001,17.08,16.67,17.049999,4154300.0,,,,,16.469999,16.77,17.209999,-0.419998,-0.320002,0.099996
16,2014-01-27,IPG,16.469999,16.82,16.32,16.77,5045900.0,,,,,16.780001,16.559999,16.790001,-0.320002,0.310002,0.630004
17,2014-01-28,IPG,16.780001,16.790001,16.549999,16.559999,3355400.0,,,,,16.440001,16.629999,16.469999,0.310002,-0.34,-0.650002
18,2014-01-29,IPG,16.440001,16.68,16.43,16.629999,3526200.0,,,,,16.57,16.6,16.780001,-0.34,0.129999,0.469999
19,2014-01-30,IPG,16.57,16.700001,16.49,16.6,2757000.0,,,,,16.32,16.290001,16.440001,0.129999,-0.25,-0.379999
20,2014-01-31,IPG,16.32,16.49,16.209999,16.290001,3920900.0,,,,,16.049999,16.34,16.57,-0.25,-0.270001,-0.020001
21,2014-02-03,IPG,16.049999,16.41,15.9,16.34,5977800.0,,,,,16.370001,16.08,16.32,-0.270001,0.320002,0.590003
22,2014-02-04,IPG,16.370001,16.530001,16.08,16.08,5824900.0,,,,,16.27,16.280001,16.049999,0.320002,-0.100001,-0.420003
23,2014-02-05,IPG,16.27,16.370001,16.120001,16.280001,4887900.0,,,,,16.700001,16.360001,16.370001,-0.100001,0.430001,0.530002
24,2014-02-06,IPG,16.700001,16.700001,16.32,16.360001,5406500.0,,,,,16.6,16.74,16.27,0.430001,-0.100001,-0.530002
25,2014-02-07,IPG,16.6,16.809999,16.51,16.74,3535400.0,,,,,16.6,16.559999,16.700001,-0.100001,0.0,0.100001
26,2014-02-10,IPG,16.6,16.73,16.4,16.559999,3746800.0,,,,,16.549999,16.690001,16.6,0.0,-0.050001,-0.050001
27,2014-02-11,IPG,16.549999,16.719999,16.49,16.690001,5358300.0,,,,,16.959999,16.549999,16.6,-0.050001,0.41,0.460001
28,2014-02-12,IPG,16.959999,16.969999,16.530001,16.549999,3212600.0,,,,,17.129999,16.889999,16.549999,0.41,0.17,-0.24
29,2014-02-13,IPG,17.129999,17.139999,16.82,16.889999,3569300.0,,,,,16.48,17.0,16.959999,0.17,-0.649999,-0.819999
30,2014-02-14,IPG,16.48,17.049999,16.360001,17.0,9602000.0,0.9475,0.041,0.854,0.1045,16.42,16.540001,17.129999,-0.649999,-0.06,0.589999
31,2014-02-18,IPG,16.42,16.559999,16.290001,16.540001,7921600.0,,,,,16.700001,16.43,16.48,-0.06,0.280001,0.340001
32,2014-02-19,IPG,16.700001,16.950001,16.4,16.43,5617100.0,,,,,17.02,16.77,16.42,0.280001,0.319999,0.039998
33,2014-02-20,IPG,17.02,17.049999,16.719999,16.77,3963300.0,,,,,16.84,17.049999,16.700001,0.319999,-0.18,-0.499999
34,2014-02-21,IPG,16.84,17.08,16.83,17.049999,2709700.0,,,,,17.17,16.889999,17.02,-0.18,0.33,0.51
35,2014-02-24,IPG,17.17,17.290001,16.85,16.889999,3741600.0,,,,,17.190001,17.139999,16.84,0.33,0.020001,-0.309999
36,2014-02-25,IPG,17.190001,17.200001,16.98,17.139999,4005900.0,,,,,17.110001,17.190001,17.17,0.020001,-0.08,-0.100001
37,2014-02-26,IPG,17.110001,17.23,17.040001,17.190001,3657100.0,,,,,17.49,17.059999,17.190001,-0.08,0.379999,0.459999
38,2014-02-27,IPG,17.49,17.49,16.98,17.059999,5977200.0,,,,,17.719999,17.5,17.110001,0.379999,0.229999,-0.15
39,2014-02-28,IPG,17.719999,17.83,17.5,17.5,4856200.0,,,,,17.219999,17.5,17.49,0.229999,-0.5,-0.729999
40,2014-03-03,IPG,17.219999,17.5,17.049999,17.5,4167300.0,,,,,17.33,17.450001,17.719999,-0.5,0.110001,0.610001
41,2014-03-04,IPG,17.33,17.51,17.32,17.450001,3017100.0,,,,,17.32,17.379999,17.219999,0.110001,-0.01,-0.120001
42,2014-03-05,IPG,17.32,17.43,17.200001,17.379999,3566500.0,,,,,17.59,17.370001,17.33,-0.01,0.27,0.28
43,2014-03-06,IPG,17.59,17.65,17.35,17.370001,4671600.0,,,,,17.75,17.639999,17.32,0.27,0.16,-0.11
44,2014-03-07,IPG,17.75,17.77,17.530001,17.639999,2958500.0,,,,,17.459999,17.700001,17.59,0.16,-0.290001,-0.450001
45,2014-03-10,IPG,17.459999,17.76,17.379999,17.700001,6234500.0,,,,,17.49,17.459999,17.75,-0.290001,0.030001,0.320002
46,2014-03-11,IPG,17.49,17.6,17.309999,17.459999,2962500.0,,,,,17.459999,17.43,17.459999,0.030001,-0.030001,-0.060002
47,2014-03-12,IPG,17.459999,18.0,17.280001,17.43,3058600.0,,,,,17.389999,17.51,17.49,-0.030001,-0.07,-0.039999
48,2014-03-13,IPG,17.389999,17.57,17.309999,17.51,5290800.0,,,,,17.1,17.35,17.459999,-0.07,-0.289999,-0.219999
49,2014-03-14,IPG,17.1,17.42,17.049999,17.35,3072400.0,,,,,17.120001,17.17,17.389999,-0.289999,0.020001,0.31
50,2014-03-17,IPG,17.120001,17.299999,17.049999,17.17,3806100.0,,,,,17.34,17.15,17.1,0.020001,0.219999,0.199998
51,2014-03-18,IPG,17.34,17.370001,16.99,17.15,2706200.0,,,,,17.110001,17.309999,17.120001,0.219999,-0.229999,-0.449998
52,2014-03-19,IPG,17.110001,17.379999,16.969999,17.309999,2690300.0,,,,,17.15,17.059999,17.34,-0.229999,0.039999,0.269998
53,2014-03-20,IPG,17.15,17.290001,17.01,17.059999,3095200.0,,,,,17.01,17.209999,17.110001,0.039999,-0.14,-0.179999
54,2014-03-21,IPG,17.01,17.27,16.99,17.209999,5353100.0,,,,,16.959999,17.02,17.15,-0.14,-0.050001,0.089999
55,2014-03-24,IPG,16.959999,17.16,16.860001,17.02,4218300.0,,,,,16.93,17.059999,17.01,-0.050001,-0.029999,0.020002
56,2014-03-25,IPG,16.93,17.16,16.9,17.059999,2436200.0,,,,,16.620001,16.99,16.959999,-0.029999,-0.309999,-0.28
57,2014-03-26,IPG,16.620001,17.040001,16.610001,16.99,3368400.0,,,,,16.76,16.610001,16.93,-0.309999,0.139999,0.449998
58,2014-03-27,IPG,16.76,16.780001,16.559999,16.610001,4002000.0,,,,,17.040001,16.799999,16.620001,0.139999,0.280001,0.140002
59,2014-03-28,IPG,17.040001,17.27,16.780001,16.799999,3668300.0,,,,,17.139999,17.17,16.76,0.280001,0.099998,-0.180003
60,2014-03-31,IPG,17.139999,17.200001,17.0,17.17,4146400.0,,,,,17.299999,17.23,17.040001,0.099998,0.16,0.060002
61,2014-04-01,IPG,17.299999,17.34,17.07,17.23,5755700.0,,,,,17.23,17.299999,17.139999,0.16,-0.069999,-0.229999
62,2014-04-02,IPG,17.23,17.33,17.209999,17.299999,5078300.0,,,,,17.09,17.299999,17.299999,-0.069999,-0.14,-0.070001
63,2014-04-03,IPG,17.09,17.43,17.07,17.299999,3981900.0,,,,,16.92,17.17,17.23,-0.14,-0.17,-0.03
64,2014-04-04,IPG,16.92,17.209999,16.889999,17.17,5471700.0,,,,,16.49,16.870001,17.09,-0.17,-0.43,-0.26
65,2014-04-07,IPG,16.49,16.9,16.379999,16.870001,4430600.0,,,,,16.49,16.5,16.92,-0.43,0.0,0.43
66,2014-04-08,IPG,16.49,16.76,16.459999,16.5,5142400.0,,,,,16.74,16.58,16.49,0.0,0.25,0.25
67,2014-04-09,IPG,16.74,16.85,16.530001,16.58,3452800.0,,,,,16.48,16.719999,16.49,0.25,-0.26,-0.51
68,2014-04-10,IPG,16.48,16.860001,16.440001,16.719999,4138200.0,,,,,16.280001,16.389999,16.74,-0.26,-0.199999,0.060001
69,2014-04-11,IPG,16.280001,16.43,16.200001,16.389999,5482600.0,,,,,16.33,16.370001,16.48,-0.199999,0.049999,0.249998
70,2014-04-14,IPG,16.33,16.440001,16.219999,16.370001,3094400.0,,,,,16.299999,16.389999,16.280001,0.049999,-0.030001,-0.08
71,2014-04-15,IPG,16.299999,16.51,16.139999,16.389999,5141800.0,,,,,16.98,16.450001,16.33,-0.030001,0.680001,0.710002
72,2014-04-16,IPG,16.98,17.0,16.4,16.450001,4802700.0,,,,,16.93,17.0,16.299999,0.680001,-0.05,-0.730001
73,2014-04-17,IPG,16.93,17.1,16.889999,17.0,3303100.0,,,,,16.870001,16.940001,16.98,-0.05,-0.059999,-0.009999
74,2014-04-21,IPG,16.870001,17.01,16.83,16.940001,4406500.0,,,,,17.360001,17.52,16.93,-0.059999,0.49,0.549999
