,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,ISRG,380.01001,383.640015,378.269989,383.640015,460900.0,,,,,373.459991,380.350006,,,-6.550019,
1,2014-01-03,ISRG,373.459991,382.670013,372.73999,380.350006,345000.0,,,,,370.940002,372.959991,380.01001,-6.550019,-2.519989,4.03003
2,2014-01-06,ISRG,370.940002,377.26001,370.029999,372.959991,394600.0,,,,,373.76001,371.390015,373.459991,-2.519989,2.820008,5.339997
3,2014-01-07,ISRG,373.76001,376.890015,370.75,371.390015,388100.0,,,,,380.459991,374.410004,370.940002,2.820008,6.699981,3.879973
4,2014-01-08,ISRG,380.459991,380.630005,374.070007,374.410004,498400.0,,,,,386.779999,380.869995,373.76001,6.699981,6.320008,-0.379973
5,2014-01-09,ISRG,386.779999,389.850006,379.709991,380.869995,558800.0,,,,,420.149994,386.470001,380.459991,6.320008,33.369995,27.049987
6,2014-01-10,ISRG,420.149994,424.579987,385.269989,386.470001,1496200.0,,,,,393.070007,412.070007,386.779999,33.369995,-27.079987,-60.449982
7,2014-01-13,ISRG,393.070007,414.75,392.019989,412.070007,1090800.0,,,,,419.880005,440.529999,420.149994,-27.079987,26.809998,53.889985
8,2014-01-14,ISRG,419.880005,443.98999,415.940002,440.529999,1979000.0,0.296,0.0,0.937,0.063,412.799988,420.559998,393.070007,26.809998,-7.080017,-33.890015
9,2014-01-15,ISRG,412.799988,421.079987,402.179993,420.559998,972800.0,,,,,414.390015,414.480011,419.880005,-7.080017,1.590027,8.670044
10,2014-01-16,ISRG,414.390015,418.309998,408.48999,414.480011,284000.0,,,,,430.140015,415.779999,412.799988,1.590027,15.75,14.159973
11,2014-01-17,ISRG,430.140015,431.23999,413.98999,415.779999,937000.0,,,,,439.380005,444.940002,414.390015,15.75,9.23999,-6.51001
12,2014-01-21,ISRG,439.380005,447.5,433.0,444.940002,783400.0,,,,,439.119995,438.160004,430.140015,9.23999,-0.26001,-9.5
13,2014-01-22,ISRG,439.119995,439.5,433.0,438.160004,393600.0,,,,,439.0,439.0,439.380005,-0.26001,-0.119995,0.140015
14,2014-01-23,ISRG,439.0,443.390015,434.549988,439.0,794000.0,0.71624,0.0056,0.8736,0.1208,410.76001,412.350006,439.119995,-0.119995,-28.23999,-28.119995
15,2014-01-24,ISRG,410.76001,426.519989,406.25,412.350006,1495400.0,0.9955,0.059,0.839,0.102,408.630005,411.200012,439.0,-28.23999,-2.130005,26.109985
16,2014-01-27,ISRG,408.630005,416.399994,408.23999,411.200012,542200.0,,,,,409.540009,406.869995,410.76001,-2.130005,0.910004,3.040009
17,2014-01-28,ISRG,409.540009,414.869995,406.429993,406.869995,404800.0,,,,,415.200012,405.019989,408.630005,0.910004,5.660003,4.749999
18,2014-01-29,ISRG,415.200012,419.559998,405.019989,405.019989,612200.0,,,,,416.350006,416.48999,409.540009,5.660003,1.149994,-4.510009
19,2014-01-30,ISRG,416.350006,422.029999,415.390015,416.48999,422600.0,,,,,407.579987,409.920013,415.200012,1.149994,-8.770019,-9.920013
