,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,JEC,62.880001,64.099998,62.66,63.669998,1545700.0,,,,,62.290001,62.84,,,-0.59,
1,2014-01-03,JEC,62.290001,62.990002,62.029999,62.84,1265800.0,,,,,62.369999,62.599998,62.880001,-0.59,0.079998,0.669998
2,2014-01-06,JEC,62.369999,62.73,61.709999,62.599998,1107800.0,,,,,62.919998,62.5,62.290001,0.079998,0.549999,0.470001
3,2014-01-07,JEC,62.919998,63.200001,62.360001,62.5,914300.0,,,,,63.09,62.919998,62.369999,0.549999,0.170002,-0.379997
4,2014-01-08,JEC,63.09,63.59,62.450001,62.919998,681000.0,,,,,63.25,63.330002,62.919998,0.170002,0.16,-0.010002
5,2014-01-09,JEC,63.25,63.779999,62.830002,63.330002,720000.0,,,,,63.73,63.25,63.09,0.16,0.48,0.32
6,2014-01-10,JEC,63.73,63.799999,62.849998,63.25,863400.0,,,,,64.339996,64.589996,63.25,0.48,0.609996,0.129996
7,2014-01-13,JEC,64.339996,65.300003,64.190002,64.589996,1453300.0,,,,,64.540001,64.169998,63.73,0.609996,0.200005,-0.409991
8,2014-01-14,JEC,64.540001,64.760002,63.799999,64.169998,851100.0,,,,,65.290001,64.760002,64.339996,0.200005,0.75,0.549995
9,2014-01-15,JEC,65.290001,65.620003,64.760002,64.760002,732300.0,,,,,65.449997,65.290001,64.540001,0.75,0.159996,-0.590004
10,2014-01-16,JEC,65.449997,65.589996,65.029999,65.290001,534400.0,,,,,65.730003,65.589996,65.290001,0.159996,0.280006,0.12001
11,2014-01-17,JEC,65.730003,65.879997,65.150002,65.589996,639500.0,,,,,66.059998,65.730003,65.449997,0.280006,0.329995,0.049989
12,2014-01-21,JEC,66.059998,66.25,65.43,65.730003,689200.0,,,,,66.809998,66.360001,65.730003,0.329995,0.75,0.420005
13,2014-01-22,JEC,66.809998,66.879997,65.889999,66.360001,1036800.0,,,,,64.599998,61.5,66.059998,0.75,-2.21,-2.96
14,2014-01-23,JEC,64.599998,65.620003,60.459999,61.5,2128300.0,,,,,63.0,64.739998,66.809998,-2.21,-1.599998,0.610002
15,2014-01-24,JEC,63.0,65.07,62.75,64.739998,1703200.0,,,,,62.27,62.5,64.599998,-1.599998,-0.73,0.869998
16,2014-01-27,JEC,62.27,63.23,61.509998,62.5,1034700.0,,,,,62.709999,62.599998,63.0,-0.73,0.439999,1.169999
17,2014-01-28,JEC,62.709999,63.150002,61.82,62.599998,811600.0,,,,,61.779999,62.040001,62.27,0.439999,-0.93,-1.369999
18,2014-01-29,JEC,61.779999,62.57,61.48,62.040001,958900.0,,,,,61.73,62.209999,62.709999,-0.93,-0.049999,0.880001
19,2014-01-30,JEC,61.73,62.240002,61.330002,62.209999,747000.0,,,,,60.709999,60.900002,61.779999,-0.049999,-1.020001,-0.970002
20,2014-01-31,JEC,60.709999,61.310001,60.52,60.900002,829000.0,,,,,58.490002,60.73,61.73,-1.020001,-2.219997,-1.199996
21,2014-02-03,JEC,58.490002,61.02,58.290001,60.73,1792100.0,,,,,59.290001,59.0,60.709999,-2.219997,0.799999,3.019996
22,2014-02-04,JEC,59.290001,59.73,58.349998,59.0,770900.0,,,,,58.650002,59.07,58.490002,0.799999,-0.639999,-1.439998
23,2014-02-05,JEC,58.650002,59.169998,58.200001,59.07,603800.0,,,,,59.0,58.720001,59.290001,-0.639999,0.349998,0.989997
24,2014-02-06,JEC,59.0,59.52,58.720001,58.720001,531700.0,,,,,59.84,59.459999,58.650002,0.349998,0.84,0.490002
25,2014-02-07,JEC,59.84,59.860001,59.060001,59.459999,714200.0,,,,,59.360001,59.650002,59.0,0.84,-0.479999,-1.319999
26,2014-02-10,JEC,59.360001,59.869999,59.18,59.650002,823400.0,,,,,59.93,59.52,59.84,-0.479999,0.569999,1.049998
27,2014-02-11,JEC,59.93,60.209999,59.049999,59.52,736100.0,,,,,60.810001,59.98,59.360001,0.569999,0.880001,0.310002
28,2014-02-12,JEC,60.810001,60.900002,59.720001,59.98,713700.0,,,,,60.25,60.240002,59.93,0.880001,-0.560001,-1.440002
29,2014-02-13,JEC,60.25,60.439999,59.509998,60.240002,929600.0,,,,,60.470001,60.509998,60.810001,-0.560001,0.220001,0.780002
30,2014-02-14,JEC,60.470001,60.689999,59.900002,60.509998,1106700.0,,,,,60.959999,60.470001,60.25,0.220001,0.489998,0.269997
31,2014-02-18,JEC,60.959999,61.16,59.740002,60.470001,1103200.0,,,,,60.27,60.82,60.470001,0.489998,-0.689999,-1.179997
32,2014-02-19,JEC,60.27,62.02,60.139999,60.82,1158600.0,,,,,61.040001,60.689999,60.959999,-0.689999,0.770001,1.46
33,2014-02-20,JEC,61.040001,61.509998,60.360001,60.689999,989100.0,,,,,60.099998,61.200001,60.27,0.770001,-0.940003,-1.710004
34,2014-02-21,JEC,60.099998,61.200001,60.049999,61.200001,810100.0,,,,,60.029999,60.209999,61.040001,-0.940003,-0.069999,0.870004
35,2014-02-24,JEC,60.029999,60.880001,60.02,60.209999,805700.0,,,,,60.0,60.080002,60.099998,-0.069999,-0.029999,0.04
36,2014-02-25,JEC,60.0,60.310001,59.619999,60.080002,922600.0,,,,,60.32,60.189999,60.029999,-0.029999,0.32,0.349999
37,2014-02-26,JEC,60.32,60.689999,59.919998,60.189999,1456700.0,,,,,60.560001,60.310001,60.0,0.32,0.240001,-0.079999
38,2014-02-27,JEC,60.560001,61.169998,60.209999,60.310001,906200.0,,,,,60.650002,60.82,60.32,0.240001,0.090001,-0.15
39,2014-02-28,JEC,60.650002,61.189999,60.34,60.82,1157200.0,,,,,60.400002,59.900002,60.560001,0.090001,-0.25,-0.340001
40,2014-03-03,JEC,60.400002,60.549999,59.360001,59.900002,1177300.0,,,,,61.599998,60.98,60.650002,-0.25,1.199996,1.449996
41,2014-03-04,JEC,61.599998,61.650002,60.970001,60.98,1348900.0,,,,,61.810001,61.57,60.400002,1.199996,0.210003,-0.989993
42,2014-03-05,JEC,61.810001,61.939999,61.330002,61.57,711400.0,,,,,63.07,61.810001,61.599998,0.210003,1.259999,1.049996
43,2014-03-06,JEC,63.07,63.389999,61.77,61.810001,1158200.0,,,,,63.09,63.450001,61.810001,1.259999,0.02,-1.239999
44,2014-03-07,JEC,63.09,63.52,62.77,63.450001,556300.0,,,,,62.849998,62.799999,63.07,0.02,-0.240002,-0.260002
45,2014-03-10,JEC,62.849998,63.139999,62.41,62.799999,941000.0,,,,,62.860001,62.84,63.09,-0.240002,0.010003,0.250005
46,2014-03-11,JEC,62.860001,63.189999,62.639999,62.84,863900.0,,,,,62.810001,62.630001,62.849998,0.010003,-0.05,-0.060003
47,2014-03-12,JEC,62.810001,62.970001,62.470001,62.630001,1040500.0,,,,,61.93,62.869999,62.860001,-0.05,-0.880001,-0.830001
48,2014-03-13,JEC,61.93,63.040001,61.740002,62.869999,905000.0,,,,,62.59,61.75,62.810001,-0.880001,0.66,1.540001
49,2014-03-14,JEC,62.59,62.619999,61.75,61.75,759100.0,,,,,63.27,62.82,61.93,0.66,0.68,0.02
50,2014-03-17,JEC,63.27,63.779999,62.799999,62.82,1028800.0,,,,,63.990002,63.41,62.59,0.68,0.720002,0.040002
51,2014-03-18,JEC,63.990002,64.029999,63.25,63.41,596600.0,,,,,63.779999,64.0,63.27,0.720002,-0.210003,-0.930005
52,2014-03-19,JEC,63.779999,64.139999,63.43,64.0,775500.0,,,,,64.139999,63.639999,63.990002,-0.210003,0.36,0.570003
53,2014-03-20,JEC,64.139999,64.169998,63.43,63.639999,515700.0,,,,,64.82,64.639999,63.779999,0.36,0.680001,0.320001
54,2014-03-21,JEC,64.82,65.580002,64.510002,64.639999,1803000.0,,,,,63.689999,64.959999,64.139999,0.680001,-1.130001,-1.810002
55,2014-03-24,JEC,63.689999,65.010002,63.669998,64.959999,1122200.0,,,,,63.830002,63.939999,64.82,-1.130001,0.140003,1.270004
56,2014-03-25,JEC,63.830002,64.120003,63.66,63.939999,807700.0,,,,,63.16,64.050003,63.689999,0.140003,-0.670002,-0.810005
57,2014-03-26,JEC,63.16,64.25,63.150002,64.050003,983500.0,,,,,62.84,62.919998,63.830002,-0.670002,-0.32,0.350002
58,2014-03-27,JEC,62.84,63.169998,62.68,62.919998,842900.0,,,,,63.119999,63.0,63.16,-0.32,0.279999,0.599999
59,2014-03-28,JEC,63.119999,63.720001,63.0,63.0,703400.0,,,,,63.5,63.689999,62.84,0.279999,0.380001,0.100002
