,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,KEY,13.29,13.44,13.26,13.43,6353900.0,,,,,13.32,13.32,,,0.03,
1,2014-01-03,KEY,13.32,13.44,13.26,13.32,5570800.0,,,,,13.44,13.4,13.29,0.03,0.12,0.09
2,2014-01-06,KEY,13.44,13.62,13.4,13.4,12965900.0,,,,,13.54,13.54,13.32,0.12,0.1,-0.02
3,2014-01-07,KEY,13.54,13.67,13.45,13.54,11581100.0,,,,,13.63,13.49,13.44,0.1,0.09,-0.01
4,2014-01-08,KEY,13.63,13.68,13.41,13.49,12565700.0,,,,,13.76,13.64,13.54,0.09,0.13,0.04
5,2014-01-09,KEY,13.76,13.84,13.64,13.64,16899600.0,,,,,13.63,13.74,13.63,0.13,-0.13,-0.26
6,2014-01-10,KEY,13.63,13.75,13.53,13.74,9479500.0,,,,,13.47,13.64,13.76,-0.13,-0.16,-0.03
7,2014-01-13,KEY,13.47,13.65,13.41,13.64,6563800.0,,,,,13.57,13.56,13.63,-0.16,0.1,0.26
8,2014-01-14,KEY,13.57,13.65,13.51,13.56,11503900.0,,,,,13.68,13.63,13.47,0.1,0.11,0.01
9,2014-01-15,KEY,13.68,13.75,13.61,13.63,7548500.0,,,,,13.53,13.68,13.57,0.11,-0.15,-0.26
10,2014-01-16,KEY,13.53,13.69,13.47,13.68,7824800.0,,,,,13.54,13.56,13.68,-0.15,0.01,0.16
11,2014-01-17,KEY,13.54,13.73,13.52,13.56,7584700.0,,,,,14.01,13.68,13.53,0.01,0.47,0.46
12,2014-01-21,KEY,14.01,14.01,13.66,13.68,16871000.0,,,,,14.14,14.06,13.54,0.47,0.13,-0.34
13,2014-01-22,KEY,14.14,14.14,13.91,14.06,13922600.0,,,,,13.68,13.85,14.01,0.13,-0.46,-0.59
14,2014-01-23,KEY,13.68,14.0,13.39,13.85,25810600.0,,,,,12.93,13.61,14.14,-0.46,-0.75,-0.29
15,2014-01-24,KEY,12.93,13.61,12.9,13.61,29808300.0,,,,,12.86,12.98,13.68,-0.75,-0.07,0.68
16,2014-01-27,KEY,12.86,13.1,12.76,12.98,18336900.0,,,,,12.96,12.85,12.93,-0.07,0.1,0.17
17,2014-01-28,KEY,12.96,13.03,12.81,12.85,13179200.0,,,,,12.87,12.85,12.86,0.1,-0.09,-0.19
18,2014-01-29,KEY,12.87,13.02,12.79,12.85,13728100.0,,,,,12.97,12.97,12.96,-0.09,0.1,0.19
19,2014-01-30,KEY,12.97,13.0,12.73,12.97,11891500.0,,,,,12.76,12.75,12.87,0.1,-0.21,-0.31
20,2014-01-31,KEY,12.76,12.9,12.71,12.75,11633200.0,,,,,12.31,12.75,12.97,-0.21,-0.45,-0.24
21,2014-02-03,KEY,12.31,12.78,12.28,12.75,12920300.0,,,,,12.48,12.39,12.76,-0.45,0.17,0.62
22,2014-02-04,KEY,12.48,12.57,12.25,12.39,9689600.0,,,,,12.38,12.4,12.31,0.17,-0.1,-0.27
23,2014-02-05,KEY,12.38,12.47,12.28,12.4,13708300.0,,,,,12.65,12.41,12.48,-0.1,0.27,0.37
24,2014-02-06,KEY,12.65,12.66,12.41,12.41,7244400.0,,,,,12.74,12.72,12.38,0.27,0.09,-0.18
25,2014-02-07,KEY,12.74,12.87,12.62,12.72,9321200.0,,,,,12.67,12.76,12.65,0.09,-0.07,-0.16
26,2014-02-10,KEY,12.67,12.81,12.56,12.76,8234000.0,,,,,12.81,12.69,12.74,-0.07,0.14,0.21
27,2014-02-11,KEY,12.81,12.84,12.56,12.69,11112100.0,,,,,12.91,12.8,12.67,0.14,0.1,-0.04
28,2014-02-12,KEY,12.91,13.18,12.8,12.8,9327600.0,,,,,12.88,12.78,12.81,0.1,-0.03,-0.13
29,2014-02-13,KEY,12.88,12.9,12.66,12.78,8505300.0,,,,,12.92,12.89,12.91,-0.03,0.04,0.07
30,2014-02-14,KEY,12.92,13.04,12.86,12.89,8688300.0,,,,,12.92,12.95,12.88,0.04,0.0,-0.04
31,2014-02-18,KEY,12.92,12.99,12.79,12.95,9199900.0,,,,,12.64,12.84,12.92,0.0,-0.28,-0.28
32,2014-02-19,KEY,12.64,12.88,12.6,12.84,11036700.0,,,,,12.76,12.64,12.92,-0.28,0.12,0.4
33,2014-02-20,KEY,12.76,12.79,12.51,12.64,9387900.0,,,,,12.85,12.77,12.64,0.12,0.09,-0.03
34,2014-02-21,KEY,12.85,12.93,12.77,12.77,7328400.0,,,,,12.97,12.87,12.76,0.09,0.12,0.03
35,2014-02-24,KEY,12.97,13.1,12.84,12.87,8096100.0,,,,,12.9,12.98,12.85,0.12,-0.07,-0.19
36,2014-02-25,KEY,12.9,12.98,12.85,12.98,9095300.0,,,,,13.01,12.95,12.97,-0.07,0.11,0.18
37,2014-02-26,KEY,13.01,13.05,12.9,12.95,8020900.0,,,,,13.01,12.99,12.9,0.11,0.0,-0.11
38,2014-02-27,KEY,13.01,13.07,12.94,12.99,7004300.0,,,,,13.17,12.97,13.01,0.0,0.16,0.16
39,2014-02-28,KEY,13.17,13.22,12.95,12.97,10416500.0,,,,,13.04,13.06,13.01,0.16,-0.13,-0.29
40,2014-03-03,KEY,13.04,13.11,12.93,13.06,10157700.0,,,,,13.41,13.19,13.17,-0.13,0.37,0.5
41,2014-03-04,KEY,13.41,13.43,13.17,13.19,8153000.0,,,,,13.36,13.4,13.04,0.37,-0.05,-0.42
42,2014-03-05,KEY,13.36,13.42,13.31,13.4,8694600.0,,,,,13.64,13.41,13.41,-0.05,0.28,0.33
43,2014-03-06,KEY,13.64,13.66,13.34,13.41,14969700.0,,,,,13.9,13.78,13.36,0.28,0.26,-0.02
44,2014-03-07,KEY,13.9,14.04,13.76,13.78,17784900.0,,,,,13.98,13.88,13.64,0.26,0.08,-0.18
45,2014-03-10,KEY,13.98,14.01,13.81,13.88,14354800.0,,,,,13.78,13.98,13.9,0.08,-0.2,-0.28
46,2014-03-11,KEY,13.78,14.01,13.74,13.98,13018600.0,,,,,13.77,13.72,13.98,-0.2,-0.01,0.19
47,2014-03-12,KEY,13.77,13.79,13.63,13.72,8601500.0,,,,,13.74,13.81,13.78,-0.01,-0.03,-0.02
48,2014-03-13,KEY,13.74,13.92,13.7,13.81,12366700.0,,,,,13.79,13.71,13.77,-0.03,0.05,0.08
49,2014-03-14,KEY,13.79,13.92,13.69,13.71,12983100.0,,,,,13.95,13.85,13.74,0.05,0.16,0.11
50,2014-03-17,KEY,13.95,13.98,13.81,13.85,9095500.0,,,,,13.97,13.96,13.79,0.16,0.02,-0.14
51,2014-03-18,KEY,13.97,14.04,13.89,13.96,9411600.0,,,,,14.2,14.0,13.95,0.02,0.23,0.21
52,2014-03-19,KEY,14.2,14.3,13.96,14.0,18783600.0,,,,,14.43,14.13,13.97,0.23,0.23,1.7763568394e-15
53,2014-03-20,KEY,14.43,14.58,14.13,14.13,21757800.0,,,,,14.36,14.57,14.2,0.23,-0.07,-0.3
54,2014-03-21,KEY,14.36,14.7,14.34,14.57,18388700.0,,,,,14.26,14.46,14.43,-0.07,-0.1,-0.03
55,2014-03-24,KEY,14.26,14.58,14.17,14.46,11701700.0,,,,,14.4,14.31,14.36,-0.1,0.14,0.24
56,2014-03-25,KEY,14.4,14.43,14.2,14.31,10055400.0,,,,,14.21,14.46,14.26,0.14,-0.19,-0.33
57,2014-03-26,KEY,14.21,14.5,14.2,14.46,18218400.0,,,,,13.98,14.29,14.4,-0.19,-0.23,-0.04
58,2014-03-27,KEY,13.98,14.41,13.93,14.29,13122500.0,,,,,14.14,14.04,14.21,-0.23,0.16,0.39
59,2014-03-28,KEY,14.14,14.26,13.94,14.04,8081700.0,,,,,14.24,14.21,13.98,0.16,0.1,-0.06
60,2014-03-31,KEY,14.24,14.37,14.21,14.21,9541200.0,,,,,14.37,14.32,14.14,0.1,0.13,0.03
61,2014-04-01,KEY,14.37,14.41,14.25,14.32,8621700.0,,,,,14.34,14.41,14.24,0.13,-0.03,-0.16
62,2014-04-02,KEY,14.34,14.42,14.24,14.41,9774500.0,,,,,14.45,14.36,14.37,-0.03,0.11,0.14
63,2014-04-03,KEY,14.45,14.48,14.3,14.36,7090300.0,,,,,14.21,14.52,14.34,0.11,-0.24,-0.35
64,2014-04-04,KEY,14.21,14.59,14.19,14.52,8336800.0,,,,,13.88,14.18,14.45,-0.24,-0.33,-0.09
65,2014-04-07,KEY,13.88,14.2,13.76,14.18,12414100.0,,,,,13.94,13.89,14.21,-0.33,0.06,0.39
66,2014-04-08,KEY,13.94,14.01,13.77,13.89,8002100.0,,,,,14.01,13.98,13.88,0.06,0.07,0.01
67,2014-04-09,KEY,14.01,14.02,13.79,13.98,9032500.0,,,,,13.5,13.99,13.94,0.07,-0.51,-0.58
68,2014-04-10,KEY,13.5,14.0,13.48,13.99,10742500.0,,,,,13.18,13.28,14.01,-0.51,-0.32,0.19
69,2014-04-11,KEY,13.18,13.43,12.94,13.28,19746600.0,,,,,13.31,13.35,13.5,-0.32,0.13,0.45
70,2014-04-14,KEY,13.31,13.45,13.14,13.35,8385900.0,,,,,13.45,13.33,13.18,0.13,0.14,0.01
71,2014-04-15,KEY,13.45,13.55,13.25,13.33,10567500.0,,,,,13.51,13.59,13.31,0.14,0.06,-0.08
72,2014-04-16,KEY,13.51,13.61,13.39,13.59,12356500.0,,,,,13.56,13.7,13.45,0.06,0.05,-0.01
73,2014-04-17,KEY,13.56,13.9,13.42,13.7,13772500.0,,,,,13.63,13.59,13.51,0.05,0.07,0.02
74,2014-04-21,KEY,13.63,13.78,13.57,13.59,7114800.0,,,,,13.91,13.56,13.56,0.07,0.28,0.21
75,2014-04-22,KEY,13.91,13.96,13.55,13.56,10105200.0,,,,,13.89,13.9,13.63,0.28,-0.02,-0.3
76,2014-04-23,KEY,13.89,13.92,13.65,13.9,12317200.0,,,,,13.62,13.91,13.91,-0.02,-0.27,-0.25
77,2014-04-24,KEY,13.62,13.92,13.58,13.91,10516300.0,,,,,13.54,13.6,13.89,-0.27,-0.08,0.19
78,2014-04-25,KEY,13.54,13.67,13.51,13.6,9184400.0,,,,,13.34,13.51,13.62,-0.08,-0.2,-0.12
79,2014-04-28,KEY,13.34,13.57,13.19,13.51,13506700.0,,,,,13.48,13.43,13.54,-0.2,0.14,0.34
80,2014-04-29,KEY,13.48,13.54,13.36,13.43,10465100.0,,,,,13.64,13.48,13.34,0.14,0.16,0.02
81,2014-04-30,KEY,13.64,13.66,13.42,13.48,8594900.0,,,,,13.53,13.62,13.48,0.16,-0.11,-0.27
82,2014-05-01,KEY,13.53,13.71,13.46,13.62,8826900.0,,,,,13.67,13.57,13.64,-0.11,0.14,0.25
83,2014-05-02,KEY,13.67,13.94,13.56,13.57,7998000.0,,,,,13.67,13.58,13.53,0.14,0.0,-0.14
84,2014-05-05,KEY,13.67,13.69,13.48,13.58,6154800.0,,,,,13.39,13.63,13.67,0.0,-0.28,-0.28
85,2014-05-06,KEY,13.39,13.65,13.38,13.63,10035400.0,,,,,13.62,13.46,13.67,-0.28,0.23,0.51
86,2014-05-07,KEY,13.62,13.63,13.34,13.46,8684600.0,,,,,13.58,13.59,13.39,0.23,-0.04,-0.27
87,2014-05-08,KEY,13.58,13.75,13.48,13.59,12192700.0,,,,,13.6,13.55,13.62,-0.04,0.02,0.06
88,2014-05-09,KEY,13.6,13.61,13.36,13.55,7475000.0,,,,,13.86,13.66,13.58,0.02,0.26,0.24
89,2014-05-12,KEY,13.86,13.89,13.6,13.66,6402000.0,,,,,13.81,13.88,13.6,0.26,-0.05,-0.31
90,2014-05-13,KEY,13.81,13.94,13.79,13.88,7842000.0,,,,,13.35,13.76,13.86,-0.05,-0.46,-0.41
91,2014-05-14,KEY,13.35,13.78,13.3,13.76,11579700.0,,,,,13.17,13.23,13.81,-0.46,-0.18,0.28
92,2014-05-15,KEY,13.17,13.28,12.9,13.23,12387100.0,,,,,13.11,13.16,13.35,-0.18,-0.06,0.12
93,2014-05-16,KEY,13.11,13.17,12.95,13.16,9778900.0,,,,,13.3,13.08,13.17,-0.06,0.19,0.25
94,2014-05-19,KEY,13.3,13.31,13.08,13.08,8590000.0,,,,,13.23,13.33,13.11,0.19,-0.07,-0.26
