,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2015-07-06,KHC,72.959999,74.290001,71.0,71.0,3809700.0,,,,,74.629997,73.730003,,,1.669998,
1,2015-07-07,KHC,74.629997,74.709999,72.959999,73.730003,5794300.0,,,,,75.400002,74.300003,72.959999,1.669998,0.770005,-0.899993
2,2015-07-08,KHC,75.400002,75.5,74.040001,74.300003,4276600.0,,,,,74.800003,76.470001,74.629997,0.770005,-0.599999,-1.370004
3,2015-07-09,KHC,74.800003,77.066002,74.5,76.470001,3829800.0,,,,,77.309998,75.050003,75.400002,-0.599999,2.509995,3.109994
4,2015-07-10,KHC,77.309998,77.800003,75.0,75.050003,4983000.0,,,,,78.830002,79.5,74.800003,2.509995,1.520004,-0.989991
5,2015-07-13,KHC,78.830002,79.699997,77.910004,79.5,9078900.0,,,,,78.0,79.449997,77.309998,1.520004,-0.830002,-2.350006
6,2015-07-14,KHC,78.0,79.5,77.650002,79.449997,18746100.0,,,,,76.709999,77.650002,78.830002,-0.830002,-1.290001,-0.459999
7,2015-07-15,KHC,76.709999,78.169998,76.400002,77.650002,6330500.0,,,,,78.75,76.970001,78.0,-1.290001,2.040001,3.330002
8,2015-07-16,KHC,78.75,78.839996,76.949997,76.970001,5634100.0,,,,,79.629997,79.43,76.709999,2.040001,0.879997,-1.160004
9,2015-07-17,KHC,79.629997,79.690002,77.260002,79.43,6100900.0,,,,,80.110001,79.949997,78.75,0.879997,0.480004,-0.399993
10,2015-07-20,KHC,80.110001,81.199997,79.129997,79.949997,10284500.0,,,,,80.220001,79.970001,79.629997,0.480004,0.11,-0.370004
11,2015-07-21,KHC,80.220001,80.68,79.400002,79.970001,6088600.0,,,,,78.639999,80.830002,80.110001,0.11,-1.580002,-1.690002
12,2015-07-22,KHC,78.639999,80.900002,78.580002,80.830002,5201200.0,,,,,76.739998,78.419998,80.220001,-1.580002,-1.900001,-0.319999
13,2015-07-23,KHC,76.739998,78.57,76.639999,78.419998,2975400.0,,,,,76.410004,76.919998,78.639999,-1.900001,-0.329994,1.570007
14,2015-07-24,KHC,76.410004,77.43,75.949997,76.919998,3116000.0,,,,,77.379997,76.629997,76.739998,-0.329994,0.969993,1.299987
15,2015-07-27,KHC,77.379997,77.980003,76.290001,76.629997,5774300.0,,,,,78.32,78.440002,76.410004,0.969993,0.940003,-0.02999
16,2015-07-28,KHC,78.32,78.650002,77.5,78.440002,1895900.0,,,,,77.910004,78.260002,77.379997,0.940003,-0.409996,-1.349999
17,2015-07-29,KHC,77.910004,78.300003,77.0,78.260002,2278600.0,,,,,79.209999,78.209999,78.32,-0.409996,1.299995,1.709991
18,2015-07-30,KHC,79.209999,79.690002,77.599998,78.209999,3247000.0,,,,,79.470001,79.940002,77.910004,1.299995,0.260002,-1.039993
19,2015-07-31,KHC,79.470001,79.940002,78.864998,79.940002,2685500.0,,,,,80.370003,80.0,79.209999,0.260002,0.900002,0.64
20,2015-08-03,KHC,80.370003,81.029999,79.910004,80.0,2681800.0,,,,,79.809998,80.57,79.470001,0.900002,-0.560005,-1.460007
21,2015-08-04,KHC,79.809998,81.0,79.669998,80.57,2429600.0,,,,,80.480003,80.010002,80.370003,-0.560005,0.670005,1.23001
22,2015-08-05,KHC,80.480003,81.0,79.849998,80.010002,4324300.0,,,,,79.760002,81.050003,79.809998,0.670005,-0.720001,-1.390006
23,2015-08-06,KHC,79.760002,81.190002,79.510002,81.050003,3708600.0,,,,,78.459999,79.139999,80.480003,-0.720001,-1.300003,-0.580002
24,2015-08-07,KHC,78.459999,79.379997,77.290001,79.139999,3274100.0,,,,,78.809998,79.43,79.760002,-1.300003,0.349999,1.650002
25,2015-08-10,KHC,78.809998,79.800003,78.57,79.43,3252300.0,,,,,77.970001,77.629997,78.459999,0.349999,-0.839997,-1.189996
26,2015-08-11,KHC,77.970001,80.480003,77.07,77.629997,3889100.0,,,,,76.690002,77.830002,78.809998,-0.839997,-1.279999,-0.440002
27,2015-08-12,KHC,76.690002,78.309998,76.089996,77.830002,3688800.0,,,,,75.989998,77.010002,77.970001,-1.279999,-0.700004,0.579995
28,2015-08-13,KHC,75.989998,77.07,75.800003,77.010002,2917500.0,,,,,76.419998,76.07,76.690002,-0.700004,0.43,1.130004
29,2015-08-14,KHC,76.419998,76.739998,75.116997,76.07,2572800.0,,,,,75.800003,75.860001,75.989998,0.43,-0.619995,-1.049995
30,2015-08-17,KHC,75.800003,76.410004,75.510002,75.860001,2260300.0,,,,,75.190002,75.720001,76.419998,-0.619995,-0.610001,0.00999399999999
31,2015-08-18,KHC,75.190002,75.953003,75.059998,75.720001,2009700.0,,,,,74.779999,75.0,75.800003,-0.610001,-0.410003,0.199998
32,2015-08-19,KHC,74.779999,75.290001,73.919998,75.0,3025700.0,,,,,74.25,74.019997,75.190002,-0.410003,-0.529999,-0.119996
33,2015-08-20,KHC,74.25,74.764,73.779999,74.019997,2207000.0,,,,,72.269997,73.309998,74.779999,-0.529999,-1.980003,-1.450004
34,2015-08-21,KHC,72.269997,74.25,72.260002,73.309998,5564500.0,,,,,70.870003,68.239998,74.25,-1.980003,-1.399994,0.580009
35,2015-08-24,KHC,70.870003,72.239998,61.419998,68.239998,9844600.0,,,,,70.209999,71.540001,72.269997,-1.399994,-0.660004,0.73999
36,2015-08-25,KHC,70.209999,72.400002,70.0,71.540001,4423400.0,,,,,73.910004,71.720001,70.870003,-0.660004,3.700005,4.360009
37,2015-08-26,KHC,73.910004,74.110001,69.529999,71.720001,5356300.0,,,,,75.18,73.169998,70.209999,3.700005,1.269996,-2.430009
38,2015-08-27,KHC,75.18,75.25,73.120003,73.169998,5937800.0,,,,,74.690002,74.400002,73.910004,1.269996,-0.489998,-1.759994
39,2015-08-28,KHC,74.690002,75.190002,73.82,74.400002,2150100.0,,,,,72.660004,74.209999,75.18,-0.489998,-2.029998,-1.54
40,2015-08-31,KHC,72.660004,74.43,72.57,74.209999,2688400.0,,,,,70.120003,71.230003,74.690002,-2.029998,-2.540001,-0.510003
41,2015-09-01,KHC,70.120003,72.540001,69.639999,71.230003,4671400.0,,,,,72.07,70.839996,72.660004,-2.540001,1.949997,4.489998
42,2015-09-02,KHC,72.07,72.07,70.309998,70.839996,2986500.0,,,,,72.160004,72.559998,70.120003,1.949997,0.090004,-1.859993
43,2015-09-03,KHC,72.160004,73.889999,71.790001,72.559998,2595300.0,,,,,70.57,71.139999,72.07,0.090004,-1.590004,-1.680008
44,2015-09-04,KHC,70.57,71.690002,70.128998,71.139999,2997000.0,,,,,74.07,71.849998,72.160004,-1.590004,3.5,5.090004
45,2015-09-08,KHC,74.07,74.330002,70.809998,71.849998,4450700.0,,,,,72.169998,74.449997,70.57,3.5,-1.900002,-5.400002
46,2015-09-09,KHC,72.169998,74.5,71.980003,74.449997,2936400.0,,,,,72.160004,72.129997,74.07,-1.900002,-0.00999399999999,1.890008
47,2015-09-10,KHC,72.160004,73.050003,71.779999,72.129997,3619700.0,,,,,73.760002,72.25,72.169998,-0.00999399999999,1.599998,1.609992
48,2015-09-11,KHC,73.760002,73.93,71.599998,72.25,2146700.0,,,,,74.550003,73.5,72.160004,1.599998,0.790001,-0.809997
49,2015-09-14,KHC,74.550003,74.709999,72.555,73.5,2927400.0,,,,,75.389999,74.940002,73.760002,0.790001,0.839996,0.049995
50,2015-09-15,KHC,75.389999,75.519997,73.754997,74.940002,3393300.0,,,,,76.370003,75.199997,74.550003,0.839996,0.980004,0.140008
51,2015-09-16,KHC,76.370003,76.709999,74.300003,75.199997,2302800.0,,,,,76.43,76.580002,75.389999,0.980004,0.059997,-0.920007
52,2015-09-17,KHC,76.43,77.760002,76.0,76.580002,3142600.0,,,,,75.440002,75.550003,76.370003,0.059997,-0.989998,-1.049995
53,2015-09-18,KHC,75.440002,76.5,75.010002,75.550003,7231700.0,,,,,75.199997,75.690002,76.43,-0.989998,-0.240005,0.749993
54,2015-09-21,KHC,75.199997,76.190002,74.959999,75.690002,3256300.0,,,,,74.309998,74.150002,75.440002,-0.240005,-0.889999,-0.649994
55,2015-09-22,KHC,74.309998,74.870003,73.660004,74.150002,2628700.0,,,,,73.309998,74.169998,75.199997,-0.889999,-1.0,-0.110001
56,2015-09-23,KHC,73.309998,74.598,73.254997,74.169998,3713200.0,,,,,72.919998,73.0,74.309998,-1.0,-0.39,0.61
57,2015-09-24,KHC,72.919998,73.139999,71.699997,73.0,4416100.0,,,,,73.349998,73.800003,73.309998,-0.39,0.43,0.82
58,2015-09-25,KHC,73.349998,73.849998,72.779999,73.800003,3517000.0,,,,,69.989998,72.809998,72.919998,0.43,-3.36,-3.79
59,2015-09-28,KHC,69.989998,73.269997,69.989998,72.809998,5006600.0,,,,,69.199997,70.160004,73.349998,-3.36,-0.790001,2.569999
60,2015-09-29,KHC,69.199997,70.980003,68.650002,70.160004,3870900.0,,,,,70.580002,69.669998,69.989998,-0.790001,1.380005,2.170006
61,2015-09-30,KHC,70.580002,70.800003,69.459999,69.669998,3132800.0,,,,,70.830002,71.269997,69.199997,1.380005,0.25,-1.130005
62,2015-10-01,KHC,70.830002,71.970001,69.769997,71.269997,2519700.0,,,,,71.410004,70.190002,70.580002,0.25,0.580002,0.330002
63,2015-10-02,KHC,71.410004,71.459999,69.370003,70.190002,2593100.0,,,,,72.239998,72.0,70.830002,0.580002,0.829994,0.249992
64,2015-10-05,KHC,72.239998,73.25,71.349998,72.0,6323500.0,,,,,72.470001,72.290001,71.410004,0.829994,0.230003,-0.599991
65,2015-10-06,KHC,72.470001,73.050003,71.889999,72.290001,2760200.0,,,,,73.150002,72.739998,72.239998,0.230003,0.680001,0.449998
66,2015-10-07,KHC,73.150002,73.739998,72.480003,72.739998,2325200.0,,,,,74.43,73.160004,72.470001,0.680001,1.279998,0.599997
67,2015-10-08,KHC,74.43,74.470001,72.739998,73.160004,2239700.0,,,,,74.389999,74.410004,73.150002,1.279998,-0.040001,-1.319999
68,2015-10-09,KHC,74.389999,75.220001,73.989998,74.410004,2938100.0,,,,,73.720001,74.410004,74.43,-0.040001,-0.669998,-0.629997
69,2015-10-12,KHC,73.720001,74.410004,73.309998,74.410004,2081100.0,,,,,73.379997,73.610001,74.389999,-0.669998,-0.340004,0.329994
70,2015-10-13,KHC,73.379997,73.93,73.18,73.610001,2147500.0,,,,,73.769997,73.120003,73.720001,-0.340004,0.39,0.730004
71,2015-10-14,KHC,73.769997,74.300003,73.0,73.120003,1956800.0,,,,,75.220001,74.150002,73.379997,0.39,1.450004,1.060004
72,2015-10-15,KHC,75.220001,75.220001,73.921997,74.150002,2135700.0,,,,,77.389999,75.68,73.769997,1.450004,2.169998,0.719994
73,2015-10-16,KHC,77.389999,78.0,74.870003,75.68,3435200.0,,,,,76.800003,76.889999,75.220001,2.169998,-0.589996,-2.759994
74,2015-10-19,KHC,76.800003,77.199997,76.290001,76.889999,1951900.0,,,,,76.870003,76.199997,77.389999,-0.589996,0.07,0.659996
75,2015-10-20,KHC,76.870003,77.160004,76.110001,76.199997,1902900.0,,,,,77.050003,77.0,76.800003,0.07,0.18,0.11
76,2015-10-21,KHC,77.050003,77.739998,76.629997,77.0,2370100.0,,,,,79.940002,77.220001,76.870003,0.18,2.889999,2.709999
