,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,KMI,35.91,36.25,35.75,35.990002,4214300.0,,,,,35.970001,35.91,,,0.060001,
1,2014-01-03,KMI,35.970001,36.110001,35.75,35.91,2736300.0,,,,,35.950001,36.060001,35.91,0.060001,-0.02,-0.080001
2,2014-01-06,KMI,35.950001,36.099998,35.580002,36.060001,3853300.0,,,,,36.189999,36.040001,35.970001,-0.02,0.239998,0.259998
3,2014-01-07,KMI,36.189999,36.259998,35.939999,36.040001,3167700.0,,,,,36.0,36.310001,35.950001,0.239998,-0.189999,-0.429997
4,2014-01-08,KMI,36.0,36.34,35.849998,36.310001,2977200.0,,,,,35.91,36.18,36.189999,-0.189999,-0.09,0.099999
5,2014-01-09,KMI,35.91,36.27,35.77,36.18,5884200.0,,,,,35.900002,36.07,36.0,-0.09,-0.009998,0.080002
6,2014-01-10,KMI,35.900002,36.200001,35.799999,36.07,3981200.0,,,,,35.459999,35.889999,35.91,-0.009998,-0.440003,-0.430005
7,2014-01-13,KMI,35.459999,35.959999,35.450001,35.889999,4100200.0,,,,,35.5,35.73,35.900002,-0.440003,0.040001,0.480004
8,2014-01-14,KMI,35.5,35.779999,35.43,35.73,8893100.0,,,,,35.490002,35.5,35.459999,0.040001,-0.009998,-0.049999
9,2014-01-15,KMI,35.490002,35.68,35.439999,35.5,6331200.0,0.88355,0.02275,0.8045,0.17275,35.549999,35.610001,35.5,-0.009998,0.059997,0.069995
10,2014-01-16,KMI,35.549999,35.880001,35.439999,35.610001,8401500.0,,,,,35.57,35.599998,35.490002,0.059997,0.020001,-0.039996
11,2014-01-17,KMI,35.57,35.669998,35.5,35.599998,8486400.0,,,,,35.740002,35.959999,35.549999,0.020001,0.170002,0.150001
12,2014-01-21,KMI,35.740002,35.959999,35.68,35.959999,6741400.0,,,,,36.389999,35.91,35.57,0.170002,0.649997,0.479995
13,2014-01-22,KMI,36.389999,36.450001,35.75,35.91,7546200.0,,,,,36.040001,36.23,35.740002,0.649997,-0.349998,-0.999995
14,2014-01-23,KMI,36.040001,36.299999,35.810001,36.23,5692600.0,,,,,35.470001,35.830002,36.389999,-0.349998,-0.57,-0.220002
15,2014-01-24,KMI,35.470001,35.900002,35.419998,35.830002,5971300.0,,,,,35.66,35.759998,36.040001,-0.57,0.189999,0.759999
16,2014-01-27,KMI,35.66,35.84,35.380001,35.759998,6743300.0,,,,,35.889999,35.57,35.470001,0.189999,0.229999,0.04
