,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,KMX,46.900002,47.25,46.57,47.02,1325100.0,,,,,46.439999,46.84,,,-0.460003,
1,2014-01-03,KMX,46.439999,46.91,46.110001,46.84,1457800.0,,,,,45.810001,46.549999,46.900002,-0.460003,-0.629998,-0.169995
2,2014-01-06,KMX,45.810001,46.630001,45.560001,46.549999,2399400.0,,,,,45.34,46.439999,46.439999,-0.629998,-0.470001,0.159997
3,2014-01-07,KMX,45.34,46.450001,44.630001,46.439999,4122700.0,,,,,45.25,45.220001,45.810001,-0.470001,-0.09,0.380001
4,2014-01-08,KMX,45.25,45.389999,44.700001,45.220001,2674600.0,,,,,45.099998,45.349998,45.34,-0.09,-0.150002,-0.060002
5,2014-01-09,KMX,45.099998,45.700001,44.970001,45.349998,2434300.0,,,,,45.970001,45.099998,45.25,-0.150002,0.870003,1.020005
6,2014-01-10,KMX,45.970001,46.099998,44.630001,45.099998,4279700.0,,,,,45.220001,45.700001,45.099998,0.870003,-0.75,-1.620003
7,2014-01-13,KMX,45.220001,45.970001,45.119999,45.700001,2312100.0,,,,,45.669998,45.459999,45.970001,-0.75,0.449997,1.199997
8,2014-01-14,KMX,45.669998,46.049999,45.389999,45.459999,1579000.0,,,,,44.860001,45.700001,45.220001,0.449997,-0.809997,-1.259994
9,2014-01-15,KMX,44.860001,45.77,44.77,45.700001,2185800.0,,,,,44.66,44.740002,45.669998,-0.809997,-0.200001,0.609996
10,2014-01-16,KMX,44.66,44.939999,43.900002,44.740002,3553300.0,,,,,45.189999,44.779999,44.860001,-0.200001,0.529999,0.73
11,2014-01-17,KMX,45.189999,45.310001,44.68,44.779999,2448600.0,,,,,45.029999,45.25,44.66,0.529999,-0.16,-0.689999
12,2014-01-21,KMX,45.029999,45.470001,44.82,45.25,1445200.0,,,,,44.93,45.029999,45.189999,-0.16,-0.099999,0.060001
13,2014-01-22,KMX,44.93,45.200001,44.650002,45.029999,1668000.0,,,,,44.77,44.75,45.029999,-0.099999,-0.16,-0.060001
14,2014-01-23,KMX,44.77,45.009998,44.57,44.75,3030700.0,,,,,44.57,44.439999,44.93,-0.16,-0.2,-0.04
15,2014-01-24,KMX,44.57,44.759998,44.330002,44.439999,2866100.0,,,,,44.810001,44.580002,44.77,-0.2,0.240001,0.440001
16,2014-01-27,KMX,44.810001,44.970001,44.380001,44.580002,2505200.0,,,,,44.950001,44.720001,44.57,0.240001,0.14,-0.100001
17,2014-01-28,KMX,44.950001,45.060001,44.66,44.720001,1921300.0,,,,,44.73,44.759998,44.810001,0.14,-0.220001,-0.360001
18,2014-01-29,KMX,44.73,45.119999,44.68,44.759998,3499900.0,,,,,45.049999,44.970001,44.950001,-0.220001,0.319999,0.54
19,2014-01-30,KMX,45.049999,45.189999,44.77,44.970001,1998900.0,,,,,45.110001,44.509998,44.73,0.319999,0.060002,-0.259997
20,2014-01-31,KMX,45.110001,45.360001,44.5,44.509998,1896900.0,,,,,45.759998,45.369999,45.049999,0.060002,0.649997,0.589995
21,2014-02-03,KMX,45.759998,46.900002,45.290001,45.369999,5083600.0,,,,,45.700001,45.830002,45.110001,0.649997,-0.059997,-0.709994
22,2014-02-04,KMX,45.700001,46.099998,45.43,45.830002,1943300.0,,,,,46.200001,45.380001,45.759998,-0.059997,0.5,0.559997
23,2014-02-05,KMX,46.200001,46.32,45.099998,45.380001,1903000.0,,,,,47.150002,46.09,45.700001,0.5,0.950001,0.450001
24,2014-02-06,KMX,47.150002,47.23,45.93,46.09,2010700.0,,,,,47.540001,47.220001,46.200001,0.950001,0.389999,-0.560002
25,2014-02-07,KMX,47.540001,47.549999,47.07,47.220001,1763100.0,,,,,47.220001,47.419998,47.150002,0.389999,-0.32,-0.709999
26,2014-02-10,KMX,47.220001,47.540001,46.91,47.419998,1419800.0,,,,,47.52,47.040001,47.540001,-0.32,0.299999,0.619999
27,2014-02-11,KMX,47.52,47.650002,47.02,47.040001,1313000.0,,,,,47.02,47.52,47.220001,0.299999,-0.5,-0.799999
28,2014-02-12,KMX,47.02,47.720001,46.900002,47.52,958200.0,,,,,47.360001,46.790001,47.52,-0.5,0.340001,0.840001
29,2014-02-13,KMX,47.360001,47.439999,46.43,46.790001,1189400.0,,,,,47.290001,47.220001,47.02,0.340001,-0.07,-0.410001
30,2014-02-14,KMX,47.290001,47.610001,47.169998,47.220001,917900.0,,,,,47.23,47.290001,47.360001,-0.07,-0.060001,0.00999899999999
31,2014-02-18,KMX,47.23,47.639999,47.080002,47.290001,1203300.0,,,,,47.369999,47.380001,47.290001,-0.060001,0.139999,0.2
32,2014-02-19,KMX,47.369999,48.0,47.34,47.380001,1279800.0,,,,,47.330002,47.389999,47.23,0.139999,-0.039997,-0.179996
33,2014-02-20,KMX,47.330002,47.709999,46.900002,47.389999,1632300.0,,,,,47.049999,47.240002,47.369999,-0.039997,-0.280003,-0.240006
34,2014-02-21,KMX,47.049999,47.369999,46.889999,47.240002,1993600.0,,,,,47.889999,47.049999,47.330002,-0.280003,0.84,1.120003
35,2014-02-24,KMX,47.889999,48.080002,47.049999,47.049999,1481500.0,,,,,48.18,47.900002,47.049999,0.84,0.290001,-0.549999
36,2014-02-25,KMX,48.18,48.41,47.790001,47.900002,1022800.0,,,,,48.290001,48.259998,47.889999,0.290001,0.110001,-0.18
37,2014-02-26,KMX,48.290001,48.580002,47.900002,48.259998,1549600.0,,,,,48.68,47.990002,48.18,0.110001,0.389999,0.279998
38,2014-02-27,KMX,48.68,48.689999,47.860001,47.990002,1300700.0,,,,,48.43,48.630001,48.290001,0.389999,-0.25,-0.639999
39,2014-02-28,KMX,48.43,48.75,48.099998,48.630001,919900.0,,,,,48.130001,47.959999,48.68,-0.25,-0.299999,-0.049999
40,2014-03-03,KMX,48.130001,48.32,47.689999,47.959999,821100.0,,,,,49.43,48.639999,48.43,-0.299999,1.299999,1.599998
41,2014-03-04,KMX,49.43,49.439999,48.639999,48.639999,1423900.0,,,,,49.099998,49.310001,48.130001,1.299999,-0.330002,-1.630001
42,2014-03-05,KMX,49.099998,49.68,48.950001,49.310001,1308500.0,,,,,48.950001,49.150002,49.43,-0.330002,-0.149997,0.180005
43,2014-03-06,KMX,48.950001,49.240002,48.650002,49.150002,1818700.0,,,,,48.599998,49.110001,49.099998,-0.149997,-0.350003,-0.200006
44,2014-03-07,KMX,48.599998,49.43,48.389999,49.110001,1796800.0,,,,,48.84,48.599998,48.950001,-0.350003,0.240002,0.590005
45,2014-03-10,KMX,48.84,49.049999,48.310001,48.599998,1879100.0,,,,,48.529999,48.889999,48.599998,0.240002,-0.310001,-0.550003
46,2014-03-11,KMX,48.529999,49.040001,48.48,48.889999,1779700.0,,,,,47.639999,47.740002,48.84,-0.310001,-0.89,-0.579999
47,2014-03-12,KMX,47.639999,48.25,47.360001,47.740002,2333800.0,,,,,47.139999,47.869999,48.529999,-0.89,-0.5,0.39
48,2014-03-13,KMX,47.139999,48.150002,46.939999,47.869999,1183300.0,,,,,47.209999,47.09,47.639999,-0.5,0.07,0.57
49,2014-03-14,KMX,47.209999,47.389999,46.889999,47.09,1544400.0,,,,,47.560001,47.48,47.139999,0.07,0.350002,0.280002
50,2014-03-17,KMX,47.560001,47.790001,47.360001,47.48,941500.0,,,,,47.91,47.549999,47.209999,0.350002,0.349999,-3.00000000664e-06
