,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,LB,61.59,62.52,61.41,61.68,745300.0,,,,,61.48,61.630001,,,-0.11,
1,2014-01-03,LB,61.48,62.25,61.349998,61.630001,798600.0,,,,,61.060001,61.84,61.59,-0.11,-0.419999,-0.309999
2,2014-01-06,LB,61.060001,62.0,61.060001,61.84,1239500.0,,,,,61.799999,61.439999,61.48,-0.419999,0.739998,1.159997
3,2014-01-07,LB,61.799999,62.139999,61.439999,61.439999,1022100.0,,,,,60.189999,60.799999,61.060001,0.739998,-1.61,-2.349998
4,2014-01-08,LB,60.189999,61.299999,60.0,60.799999,2264300.0,,,,,57.75,58.0,61.799999,-1.61,-2.439999,-0.829999
5,2014-01-09,LB,57.75,58.5,56.759998,58.0,5286200.0,0.6561,0.0356666666667,0.554,0.077,57.860001,57.650002,60.189999,-2.439999,0.110001,2.55
6,2014-01-10,LB,57.860001,58.220001,57.049999,57.650002,2216100.0,,,,,56.610001,57.75,57.75,0.110001,-1.25,-1.360001
7,2014-01-13,LB,56.610001,57.939999,56.470001,57.75,1986800.0,,,,,56.419998,56.610001,57.860001,-1.25,-0.190003,1.059997
8,2014-01-14,LB,56.419998,57.029999,56.279999,56.610001,3322800.0,,,,,56.790001,56.560001,56.610001,-0.190003,0.370003,0.560006
9,2014-01-15,LB,56.790001,57.77,55.849998,56.560001,2671300.0,,,,,55.84,57.130001,56.419998,0.370003,-0.950001,-1.320004
10,2014-01-16,LB,55.84,57.459999,55.799999,57.130001,3000900.0,,,,,55.169998,56.259998,56.790001,-0.950001,-0.670002,0.279999
11,2014-01-17,LB,55.169998,56.259998,55.07,56.259998,2177500.0,,,,,54.529999,55.360001,55.84,-0.670002,-0.639999,0.030003
12,2014-01-21,LB,54.529999,55.509998,54.240002,55.360001,3177900.0,,,,,54.310001,54.68,55.169998,-0.639999,-0.219998,0.420001
13,2014-01-22,LB,54.310001,54.900002,54.110001,54.68,2199500.0,,,,,53.669998,53.939999,54.529999,-0.219998,-0.640003,-0.420005
14,2014-01-23,LB,53.669998,54.380001,53.549999,53.939999,2750900.0,,,,,52.639999,53.509998,54.310001,-0.640003,-1.029999,-0.389996
15,2014-01-24,LB,52.639999,53.82,52.560001,53.509998,2960000.0,,,,,52.700001,52.93,53.669998,-1.029999,0.060002,1.090001
16,2014-01-27,LB,52.700001,53.619999,52.59,52.93,3039000.0,,,,,53.07,52.889999,52.639999,0.060002,0.369999,0.309997
17,2014-01-28,LB,53.07,53.5,52.810001,52.889999,2335900.0,,,,,52.119999,52.849998,52.700001,0.369999,-0.950001,-1.32
18,2014-01-29,LB,52.119999,53.09,51.790001,52.849998,4470200.0,,,,,52.66,52.82,53.07,-0.950001,0.540001,1.490002
19,2014-01-30,LB,52.66,52.970001,52.41,52.82,1790900.0,,,,,52.360001,51.970001,52.119999,0.540001,-0.299999,-0.84
20,2014-01-31,LB,52.360001,52.68,51.720001,51.970001,1726000.0,,,,,50.869999,52.549999,52.66,-0.299999,-1.490002,-1.190003
21,2014-02-03,LB,50.869999,52.73,50.779999,52.549999,2834800.0,,,,,51.310001,52.119999,52.360001,-1.490002,0.440002,1.930004
22,2014-02-04,LB,51.310001,52.34,51.200001,52.119999,3297600.0,,,,,51.790001,52.16,50.869999,0.440002,0.48,0.039998
23,2014-02-05,LB,51.790001,55.0,51.279999,52.16,3503700.0,,,,,53.98,52.82,51.310001,0.48,2.189999,1.709999
24,2014-02-06,LB,53.98,54.509998,52.68,52.82,5481200.0,-0.2732,0.139,0.861,0.0,54.580002,54.259998,51.790001,2.189999,0.600002,-1.589997
25,2014-02-07,LB,54.580002,54.68,53.790001,54.259998,2613500.0,,,,,55.07,54.5,53.98,0.600002,0.489998,-0.110004
26,2014-02-10,LB,55.07,55.27,54.139999,54.5,3182500.0,,,,,55.709999,55.0,54.580002,0.489998,0.639999,0.150001
27,2014-02-11,LB,55.709999,55.84,54.959999,55.0,2687700.0,,,,,54.470001,55.889999,55.07,0.639999,-1.239998,-1.879997
28,2014-02-12,LB,54.470001,55.939999,54.139999,55.889999,2702600.0,,,,,54.77,54.23,55.709999,-1.239998,0.299999,1.539997
29,2014-02-13,LB,54.77,55.009998,54.009998,54.23,1613100.0,,,,,55.029999,54.599998,54.470001,0.299999,0.259999,-0.04
30,2014-02-14,LB,55.029999,55.330002,54.290001,54.599998,1564600.0,,,,,55.389999,55.259998,54.77,0.259999,0.36,0.100001
31,2014-02-18,LB,55.389999,55.93,54.970001,55.259998,2122800.0,,,,,53.66,54.139999,55.029999,0.36,-1.729999,-2.089999
32,2014-02-19,LB,53.66,54.299999,53.630001,54.139999,1595600.0,,,,,53.310001,53.669998,55.389999,-1.729999,-0.349999,1.38
33,2014-02-20,LB,53.310001,53.93,53.07,53.669998,1683600.0,,,,,53.529999,53.349998,53.66,-0.349999,0.219998,0.569997
34,2014-02-21,LB,53.529999,53.959999,53.259998,53.349998,1515600.0,,,,,53.779999,53.77,53.310001,0.219998,0.25,0.030002
35,2014-02-24,LB,53.779999,54.529999,53.59,53.77,1823500.0,,,,,54.389999,53.77,53.529999,0.25,0.61,0.36
36,2014-02-25,LB,54.389999,54.459999,53.299999,53.77,2110100.0,,,,,56.57,54.720001,53.779999,0.61,2.180001,1.570001
37,2014-02-26,LB,56.57,56.950001,54.509998,54.720001,3815800.0,,,,,56.049999,55.509998,54.389999,2.180001,-0.520001,-2.700002
38,2014-02-27,LB,56.049999,57.27,55.509998,55.509998,2437300.0,,,,,56.330002,57.080002,56.57,-0.520001,0.280003,0.800004
39,2014-02-28,LB,56.330002,57.439999,55.869999,57.080002,1933500.0,,,,,55.650002,55.700001,56.049999,0.280003,-0.68,-0.960003
40,2014-03-03,LB,55.650002,56.09,55.509998,55.700001,1233300.0,,,,,56.650002,56.029999,56.330002,-0.68,1.0,1.68
41,2014-03-04,LB,56.650002,56.75,55.950001,56.029999,1587500.0,,,,,57.509998,56.650002,55.650002,1.0,0.859996,-0.140004
42,2014-03-05,LB,57.509998,57.529999,56.650002,56.650002,2346700.0,,,,,57.080002,58.150002,56.650002,0.859996,-0.429996,-1.289992
43,2014-03-06,LB,57.080002,58.18,56.349998,58.150002,2598100.0,,,,,57.369999,57.360001,57.509998,-0.429996,0.289997,0.719993
44,2014-03-07,LB,57.369999,57.759998,56.98,57.360001,2303600.0,,,,,57.880001,57.200001,57.080002,0.289997,0.510002,0.220005
45,2014-03-10,LB,57.880001,57.939999,56.860001,57.200001,2152300.0,,,,,57.189999,58.119999,57.369999,0.510002,-0.690002,-1.200004
46,2014-03-11,LB,57.189999,58.18,56.549999,58.119999,2001500.0,,,,,57.07,56.799999,57.880001,-0.690002,-0.119999,0.570003
47,2014-03-12,LB,57.07,57.099998,56.16,56.799999,3043700.0,,,,,56.73,57.380001,57.189999,-0.119999,-0.34,-0.220001
48,2014-03-13,LB,56.73,57.400002,56.529999,57.380001,1216500.0,,,,,56.93,56.5,57.07,-0.34,0.2,0.54
49,2014-03-14,LB,56.93,57.349998,56.369999,56.5,1199900.0,,,,,57.369999,57.07,56.73,0.2,0.439999,0.239999
50,2014-03-17,LB,57.369999,57.490002,56.790001,57.07,932000.0,,,,,57.290001,57.349998,56.93,0.439999,-0.079998,-0.519997
51,2014-03-18,LB,57.290001,57.68,57.099998,57.349998,812400.0,,,,,57.310001,57.27,57.369999,-0.079998,0.02,0.099998
52,2014-03-19,LB,57.310001,57.869999,56.990002,57.27,1029500.0,,,,,57.240002,57.049999,57.290001,0.02,-0.069999,-0.089999
53,2014-03-20,LB,57.240002,57.560001,56.91,57.049999,2963500.0,,,,,58.630001,57.959999,57.310001,-0.069999,1.389999,1.459998
54,2014-03-21,LB,58.630001,59.110001,57.73,57.959999,2715700.0,,,,,57.91,58.860001,57.240002,1.389999,-0.720001,-2.11
55,2014-03-24,LB,57.91,59.169998,57.459999,58.860001,1621600.0,,,,,57.400002,58.130001,58.630001,-0.720001,-0.509998,0.210003
56,2014-03-25,LB,57.400002,58.189999,56.900002,58.130001,1405200.0,,,,,56.16,57.610001,57.91,-0.509998,-1.240002,-0.730004
57,2014-03-26,LB,56.16,57.610001,56.119999,57.610001,2194400.0,,,,,56.0,56.200001,57.400002,-1.240002,-0.16,1.080002
58,2014-03-27,LB,56.0,56.509998,55.650002,56.200001,1533900.0,,,,,56.549999,56.119999,56.16,-0.16,0.549999,0.709999
59,2014-03-28,LB,56.549999,56.66,55.860001,56.119999,947400.0,,,,,56.77,57.049999,56.0,0.549999,0.220001,-0.329998
60,2014-03-31,LB,56.77,57.049999,56.48,57.049999,1090100.0,,,,,57.439999,56.830002,56.549999,0.220001,0.669999,0.449998
61,2014-04-01,LB,57.439999,57.560001,56.509998,56.830002,1133000.0,,,,,58.779999,57.529999,56.77,0.669999,1.34,0.670001
62,2014-04-02,LB,58.779999,58.810001,57.529999,57.529999,1553000.0,,,,,58.93,58.919998,57.439999,1.34,0.150001,-1.189999
63,2014-04-03,LB,58.93,59.259998,58.48,58.919998,1215800.0,,,,,58.209999,59.59,58.779999,0.150001,-0.720001,-0.870002
64,2014-04-04,LB,58.209999,59.950001,57.970001,59.59,1461200.0,,,,,56.98,57.860001,58.93,-0.720001,-1.229999,-0.509998
65,2014-04-07,LB,56.98,57.950001,56.709999,57.860001,3184300.0,,,,,57.889999,56.84,58.209999,-1.229999,0.909999,2.139998
66,2014-04-08,LB,57.889999,58.07,56.189999,56.84,2353200.0,,,,,58.880001,58.02,56.98,0.909999,0.990002,0.080003
67,2014-04-09,LB,58.880001,58.889999,57.490002,58.02,1715700.0,,,,,55.830002,58.880001,57.889999,0.990002,-3.049999,-4.040001
68,2014-04-10,LB,55.830002,58.93,55.740002,58.880001,3265000.0,,,,,54.049999,54.82,58.880001,-3.049999,-1.780003,1.269996
69,2014-04-11,LB,54.049999,54.939999,53.580002,54.82,3743200.0,,,,,54.07,54.389999,55.830002,-1.780003,0.020001,1.800004
70,2014-04-14,LB,54.07,54.529999,53.540001,54.389999,2051300.0,,,,,54.139999,54.110001,54.049999,0.020001,0.069999,0.049998
71,2014-04-15,LB,54.139999,54.639999,53.240002,54.110001,1810200.0,,,,,54.84,54.549999,54.07,0.069999,0.700001,0.630002
72,2014-04-16,LB,54.84,55.490002,54.34,54.549999,1255000.0,,,,,53.959999,54.619999,54.139999,0.700001,-0.880001,-1.580002
73,2014-04-17,LB,53.959999,54.84,53.959999,54.619999,1266300.0,,,,,53.900002,54.060001,54.84,-0.880001,-0.059997,0.820004
74,2014-04-21,LB,53.900002,54.5,53.869999,54.060001,1547700.0,,,,,54.299999,54.0,53.959999,-0.059997,0.399997,0.459994
75,2014-04-22,LB,54.299999,54.529999,53.709999,54.0,1376800.0,,,,,54.16,54.27,53.900002,0.399997,-0.139999,-0.539996
76,2014-04-23,LB,54.16,54.830002,54.119999,54.27,1241800.0,,,,,54.25,54.41,54.299999,-0.139999,0.09,0.229999
77,2014-04-24,LB,54.25,54.41,53.84,54.41,1041800.0,,,,,53.84,54.259998,54.16,0.09,-0.41,-0.5
78,2014-04-25,LB,53.84,54.259998,53.700001,54.259998,899200.0,,,,,54.169998,53.939999,54.25,-0.41,0.329998,0.739998
79,2014-04-28,LB,54.169998,54.900002,53.529999,53.939999,1416700.0,,,,,54.450001,54.380001,53.84,0.329998,0.280003,-0.049995
80,2014-04-29,LB,54.450001,54.860001,54.220001,54.380001,1207900.0,,,,,54.200001,54.43,54.169998,0.280003,-0.25,-0.530003
81,2014-04-30,LB,54.200001,54.57,53.57,54.43,1801400.0,,,,,54.240002,54.330002,54.450001,-0.25,0.040001,0.290001
82,2014-05-01,LB,54.240002,54.580002,54.060001,54.330002,1196000.0,,,,,54.599998,54.369999,54.200001,0.040001,0.359996,0.319995
83,2014-05-02,LB,54.599998,55.0,54.200001,54.369999,1048000.0,,,,,54.610001,54.450001,54.240002,0.359996,0.010003,-0.349993
84,2014-05-05,LB,54.610001,54.66,54.009998,54.450001,891100.0,,,,,53.799999,54.200001,54.599998,0.010003,-0.810002,-0.820005
85,2014-05-06,LB,53.799999,54.240002,53.330002,54.200001,2106800.0,,,,,53.389999,53.84,54.610001,-0.810002,-0.41,0.400002
86,2014-05-07,LB,53.389999,54.040001,53.029999,53.84,2160100.0,,,,,55.93,54.950001,53.799999,-0.41,2.540001,2.950001
87,2014-05-08,LB,55.93,56.66,54.919998,54.950001,3820500.0,,,,,56.279999,56.080002,53.389999,2.540001,0.349999,-2.190002
88,2014-05-09,LB,56.279999,56.439999,55.799999,56.080002,1566100.0,,,,,57.189999,56.57,55.93,0.349999,0.91,0.560001
89,2014-05-12,LB,57.189999,57.669998,56.330002,56.57,1478200.0,,,,,57.540001,57.16,56.279999,0.91,0.350002,-0.559998
90,2014-05-13,LB,57.540001,57.91,56.990002,57.16,1234900.0,,,,,57.580002,57.540001,57.189999,0.350002,0.040001,-0.310001
91,2014-05-14,LB,57.580002,57.77,57.200001,57.540001,1239600.0,,,,,56.849998,57.139999,57.540001,0.040001,-0.730004,-0.770005
92,2014-05-15,LB,56.849998,57.25,56.299999,57.139999,1621600.0,,,,,58.0,57.07,57.580002,-0.730004,1.150002,1.880006
93,2014-05-16,LB,58.0,58.009998,57.02,57.07,1557600.0,,,,,57.959999,57.650002,56.849998,1.150002,-0.040001,-1.190003
94,2014-05-19,LB,57.959999,58.07,57.560001,57.650002,988700.0,,,,,55.5,57.669998,58.0,-0.040001,-2.459999,-2.419998
95,2014-05-20,LB,55.5,57.669998,55.439999,57.669998,2452200.0,,,,,55.860001,56.110001,57.959999,-2.459999,0.360001,2.82
96,2014-05-21,LB,55.860001,56.630001,55.330002,56.110001,1992200.0,,,,,56.689999,56.509998,55.5,0.360001,0.829998,0.469997
97,2014-05-22,LB,56.689999,57.990002,55.52,56.509998,2368300.0,,,,,57.32,57.150002,55.860001,0.829998,0.630001,-0.199997
98,2014-05-23,LB,57.32,57.599998,56.639999,57.150002,1355300.0,,,,,56.459999,57.34,56.689999,0.630001,-0.860001,-1.490002
99,2014-05-27,LB,56.459999,57.580002,56.419998,57.34,1235900.0,,,,,56.360001,56.34,57.32,-0.860001,-0.099998,0.760003
100,2014-05-28,LB,56.360001,56.5,55.709999,56.34,1456700.0,,,,,56.830002,56.950001,56.459999,-0.099998,0.470001,0.569999
101,2014-05-29,LB,56.830002,57.139999,56.25,56.950001,977900.0,,,,,57.389999,56.82,56.360001,0.470001,0.559997,0.089996
102,2014-05-30,LB,57.389999,57.470001,56.790001,56.82,1220100.0,,,,,57.759998,57.459999,56.830002,0.559997,0.369999,-0.189998
103,2014-06-02,LB,57.759998,58.080002,57.040001,57.459999,1259100.0,,,,,58.0,57.529999,57.389999,0.369999,0.240002,-0.129997
104,2014-06-03,LB,58.0,58.23,57.439999,57.529999,1210500.0,,,,,58.490002,57.41,57.759998,0.240002,0.490002,0.25
105,2014-06-04,LB,58.490002,58.5,57.41,57.41,1603300.0,,,,,58.93,58.689999,58.0,0.490002,0.439998,-0.050004
106,2014-06-05,LB,58.93,58.990002,57.959999,58.689999,1238900.0,,,,,59.5,59.200001,58.490002,0.439998,0.57,0.130002
107,2014-06-06,LB,59.5,59.950001,59.02,59.200001,970500.0,,,,,59.349998,59.779999,58.93,0.57,-0.150002,-0.720002
108,2014-06-09,LB,59.349998,60.610001,59.09,59.779999,1205200.0,,,,,58.610001,58.939999,59.5,-0.150002,-0.739997,-0.589995
109,2014-06-10,LB,58.610001,59.169998,58.369999,58.939999,971300.0,,,,,57.790001,58.419998,59.349998,-0.739997,-0.82,-0.080003
110,2014-06-11,LB,57.790001,58.709999,57.68,58.419998,1203900.0,,,,,57.099998,57.57,58.610001,-0.82,-0.690003,0.129997
111,2014-06-12,LB,57.099998,57.689999,56.57,57.57,1208700.0,,,,,57.349998,57.25,57.790001,-0.690003,0.25,0.940003
112,2014-06-13,LB,57.349998,57.490002,56.700001,57.25,691200.0,,,,,57.700001,57.18,57.099998,0.25,0.350003,0.100003
113,2014-06-16,LB,57.700001,57.73,57.099998,57.18,699100.0,,,,,58.02,57.619999,57.349998,0.350003,0.319999,-0.030004
114,2014-06-17,LB,58.02,58.18,57.419998,57.619999,771900.0,,,,,57.91,57.91,57.700001,0.319999,-0.11,-0.429999
115,2014-06-18,LB,57.91,58.189999,57.48,57.91,1063000.0,,,,,57.669998,58.040001,58.02,-0.11,-0.240002,-0.130002
116,2014-06-19,LB,57.669998,58.240002,57.450001,58.040001,983500.0,,,,,57.700001,57.849998,57.91,-0.240002,0.030003,0.270005
117,2014-06-20,LB,57.700001,57.939999,57.310001,57.849998,1700900.0,,,,,58.029999,57.75,57.669998,0.030003,0.329998,0.299995
118,2014-06-23,LB,58.029999,58.049999,57.59,57.75,877700.0,,,,,58.0,57.75,57.700001,0.329998,-0.029999,-0.359997
119,2014-06-24,LB,58.0,58.349998,57.380001,57.75,1019800.0,,,,,57.799999,57.82,58.029999,-0.029999,-0.200001,-0.170002
120,2014-06-25,LB,57.799999,58.259998,57.52,57.82,1288900.0,,,,,57.290001,57.880001,58.0,-0.200001,-0.509998,-0.309997
