,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,LUV,18.879999,19.09,18.780001,18.85,4556500.0,,,,,19.42,18.950001,,,0.540001,
1,2014-01-03,LUV,19.42,19.51,18.950001,18.950001,8708100.0,,,,,19.15,19.48,18.879999,0.540001,-0.27,-0.810001
2,2014-01-06,LUV,19.15,19.629999,19.07,19.48,8125400.0,-0.7717,0.176,0.824,0.0,19.530001,19.24,19.42,-0.27,0.380001,0.650001
3,2014-01-07,LUV,19.530001,19.67,19.24,19.24,7228000.0,,,,,20.18,19.540001,19.15,0.380001,0.649999,0.269998
4,2014-01-08,LUV,20.18,20.209999,19.41,19.540001,11519400.0,,,,,20.76,20.41,19.530001,0.649999,0.58,-0.069999
5,2014-01-09,LUV,20.76,20.870001,20.34,20.41,12104500.0,,,,,21.030001,20.77,20.18,0.58,0.270001,-0.309999
6,2014-01-10,LUV,21.030001,21.15,20.6,20.77,6997000.0,,,,,20.719999,21.17,20.76,0.270001,-0.310002,-0.580003
7,2014-01-13,LUV,20.719999,21.200001,20.639999,21.17,6694600.0,-0.4767,0.0705,0.8745,0.0555,21.43,20.799999,21.030001,-0.310002,0.710001,1.020003
8,2014-01-14,LUV,21.43,21.450001,20.799999,20.799999,11579500.0,,,,,21.16,21.92,20.719999,0.710001,-0.27,-0.980001
9,2014-01-15,LUV,21.16,21.98,20.92,21.92,9842100.0,,,,,21.459999,21.18,21.43,-0.27,0.299999,0.569999
10,2014-01-16,LUV,21.459999,21.49,21.139999,21.18,8010200.0,,,,,21.219999,21.57,21.16,0.299999,-0.24,-0.539999
11,2014-01-17,LUV,21.219999,21.74,21.17,21.57,6087400.0,,,,,21.299999,21.67,21.459999,-0.24,0.08,0.32
12,2014-01-21,LUV,21.299999,21.84,21.25,21.67,8165800.0,,,,,21.77,21.67,21.219999,0.08,0.470001,0.390001
13,2014-01-22,LUV,21.77,21.799999,21.42,21.67,8148800.0,,,,,21.24,21.969999,21.299999,0.470001,-0.53,-1.000001
14,2014-01-23,LUV,21.24,22.1,20.82,21.969999,15070700.0,0.85975,0.0196666666667,0.8245,0.155666666667,20.84,21.299999,21.77,-0.53,-0.4,0.13
15,2014-01-24,LUV,20.84,21.42,20.719999,21.299999,11234300.0,,,,,20.610001,20.84,21.24,-0.4,-0.229999,0.170001
16,2014-01-27,LUV,20.610001,20.99,20.219999,20.84,8326500.0,0.64805,0.0,0.94325,0.05675,21.309999,20.93,20.84,-0.229999,0.699998,0.929997
17,2014-01-28,LUV,21.309999,21.440001,20.84,20.93,9879500.0,,,,,20.610001,21.08,20.610001,0.699998,-0.699998,-1.399996
18,2014-01-29,LUV,20.610001,21.57,20.51,21.08,12385000.0,,,,,21.219999,20.799999,21.309999,-0.699998,0.609998,1.309996
19,2014-01-30,LUV,21.219999,21.33,20.790001,20.799999,11463100.0,0.9297,0.00425,0.86875,0.127,20.950001,20.969999,20.610001,0.609998,-0.269998,-0.879996
20,2014-01-31,LUV,20.950001,21.26,20.879999,20.969999,9510000.0,,,,,20.43,20.98,21.219999,-0.269998,-0.520001,-0.250003
21,2014-02-03,LUV,20.43,21.02,20.34,20.98,11373800.0,0.9679,0.018,0.87325,0.10875,20.65,20.629999,20.950001,-0.520001,0.22,0.740001
22,2014-02-04,LUV,20.65,20.76,20.290001,20.629999,7685500.0,,,,,20.610001,20.6,20.43,0.22,-0.039999,-0.259999
23,2014-02-05,LUV,20.610001,20.67,20.23,20.6,9161000.0,,,,,20.959999,20.6,20.65,-0.039999,0.349998,0.389997
24,2014-02-06,LUV,20.959999,21.1,20.559999,20.6,7159300.0,,,,,21.43,20.99,20.610001,0.349998,0.470001,0.120003
25,2014-02-07,LUV,21.43,21.530001,20.92,20.99,10395300.0,,,,,21.02,21.42,20.959999,0.470001,-0.41,-0.880001
26,2014-02-10,LUV,21.02,21.530001,20.940001,21.42,8428600.0,0.8978,0.00666666666667,0.888666666667,0.104333333333,21.32,21.129999,21.43,-0.41,0.3,0.71
27,2014-02-11,LUV,21.32,21.4,20.959999,21.129999,8624800.0,,,,,21.209999,21.34,21.02,0.3,-0.110001,-0.410001
28,2014-02-12,LUV,21.209999,21.379999,20.959999,21.34,7781400.0,,,,,21.200001,21.08,21.32,-0.110001,-0.009998,0.100003
29,2014-02-13,LUV,21.200001,21.32,21.0,21.08,7051700.0,,,,,21.299999,21.16,21.209999,-0.009998,0.099998,0.109996
30,2014-02-14,LUV,21.299999,21.43,21.09,21.16,5357900.0,,,,,21.030001,21.42,21.200001,0.099998,-0.269998,-0.369996
31,2014-02-18,LUV,21.030001,21.57,20.969999,21.42,7443400.0,,,,,20.950001,21.01,21.299999,-0.269998,-0.08,0.189998
32,2014-02-19,LUV,20.950001,21.17,20.879999,21.01,7691400.0,,,,,21.700001,21.040001,21.030001,-0.08,0.75,0.83
33,2014-02-20,LUV,21.700001,21.76,20.969999,21.040001,8849600.0,,,,,21.76,21.700001,20.950001,0.75,0.059999,-0.690001
34,2014-02-21,LUV,21.76,21.92,21.610001,21.700001,8896900.0,0.9894,0.013,0.8085,0.1785,22.16,21.76,21.700001,0.059999,0.4,0.340001
35,2014-02-24,LUV,22.16,22.280001,21.73,21.76,9630200.0,,,,,22.299999,22.18,21.76,0.4,0.139999,-0.260001
36,2014-02-25,LUV,22.299999,22.549999,22.15,22.18,8942200.0,,,,,22.42,22.48,22.16,0.139999,0.120001,-0.019998
37,2014-02-26,LUV,22.42,22.629999,22.25,22.48,7267200.0,,,,,22.459999,22.370001,22.299999,0.120001,0.039999,-0.080002
38,2014-02-27,LUV,22.459999,22.620001,22.299999,22.370001,5728200.0,,,,,22.440001,22.33,22.42,0.039999,-0.019998,-0.059997
39,2014-02-28,LUV,22.440001,22.559999,22.16,22.33,6993500.0,0.9994,0.022,0.852,0.126,22.299999,22.15,22.459999,-0.019998,-0.140002,-0.120004
40,2014-03-03,LUV,22.299999,22.389999,21.82,22.15,7918600.0,,,,,22.83,22.700001,22.440001,-0.140002,0.530001,0.670003
41,2014-03-04,LUV,22.83,23.0,22.58,22.700001,10436600.0,,,,,23.030001,22.92,22.299999,0.530001,0.200001,-0.33
