,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MAT,47.389999,47.720001,46.939999,47.57,2335700.0,,,,,46.869999,47.369999,,,-0.52,
1,2014-01-03,MAT,46.869999,47.5,46.66,47.369999,3743500.0,,,,,46.619999,46.790001,47.389999,-0.52,-0.25,0.27
2,2014-01-06,MAT,46.619999,47.07,46.509998,46.790001,3568000.0,,,,,46.040001,45.650002,46.869999,-0.25,-0.579998,-0.329998
3,2014-01-07,MAT,46.040001,46.310001,45.259998,45.650002,4120100.0,,,,,45.689999,46.09,46.619999,-0.579998,-0.350002,0.229996
4,2014-01-08,MAT,45.689999,46.09,45.400002,46.09,3653300.0,,,,,45.490002,45.860001,46.040001,-0.350002,-0.199997,0.150005
5,2014-01-09,MAT,45.490002,46.099998,45.450001,45.860001,3631900.0,,,,,45.259998,45.459999,45.689999,-0.199997,-0.230004,-0.030007
6,2014-01-10,MAT,45.259998,46.099998,45.049999,45.459999,2494400.0,,,,,44.66,45.049999,45.490002,-0.230004,-0.599998,-0.369994
7,2014-01-13,MAT,44.66,45.400002,44.560001,45.049999,3170600.0,,,,,44.400002,44.66,45.259998,-0.599998,-0.259998,0.34
8,2014-01-14,MAT,44.400002,44.810001,44.389999,44.66,3169700.0,,,,,44.25,44.459999,44.66,-0.259998,-0.150002,0.109996
9,2014-01-15,MAT,44.25,44.509998,44.240002,44.459999,2950300.0,0.9934,0.045,0.852,0.103,44.349998,44.240002,44.400002,-0.150002,0.099998,0.25
10,2014-01-16,MAT,44.349998,44.419998,43.91,44.240002,2693700.0,,,,,44.0,44.259998,44.25,0.099998,-0.349998,-0.449996
11,2014-01-17,MAT,44.0,44.48,43.959999,44.259998,2497600.0,,,,,43.400002,44.23,44.349998,-0.349998,-0.599998,-0.25
12,2014-01-21,MAT,43.400002,44.380001,43.360001,44.23,3417900.0,,,,,43.709999,43.400002,44.0,-0.599998,0.309997,0.909995
13,2014-01-22,MAT,43.709999,43.77,43.34,43.400002,3993100.0,,,,,42.959999,43.450001,43.400002,0.309997,-0.75,-1.059997
14,2014-01-23,MAT,42.959999,43.650002,42.529999,43.450001,4681200.0,,,,,43.0,42.639999,43.709999,-0.75,0.040001,0.790001
15,2014-01-24,MAT,43.0,43.369999,42.560001,42.639999,4037900.0,,,,,43.040001,43.040001,42.959999,0.040001,0.040001,0.0
16,2014-01-27,MAT,43.040001,43.43,42.799999,43.040001,3667600.0,,,,,42.990002,43.150002,43.0,0.040001,-0.049999,-0.09
17,2014-01-28,MAT,42.990002,43.419998,42.950001,43.150002,2821400.0,,,,,42.360001,42.220001,43.040001,-0.049999,-0.630001,-0.580002
18,2014-01-29,MAT,42.360001,42.990002,42.130001,42.220001,4237800.0,,,,,43.009998,42.709999,42.990002,-0.630001,0.649997,1.279998
19,2014-01-30,MAT,43.009998,43.290001,42.41,42.709999,3492200.0,,,,,37.84,38.5,42.360001,0.649997,-5.169998,-5.819995
20,2014-01-31,MAT,37.84,39.450001,37.189999,38.5,20174600.0,-0.208866666667,0.0911666666667,0.812333333333,0.0965,36.049999,37.41,43.009998,-5.169998,-1.790001,3.379997
21,2014-02-03,MAT,36.049999,37.41,35.849998,37.41,11242500.0,,,,,36.75,36.389999,37.84,-1.790001,0.700001,2.490002
22,2014-02-04,MAT,36.75,37.060001,36.259998,36.389999,7072500.0,,,,,36.459999,36.639999,36.049999,0.700001,-0.290001,-0.990002
23,2014-02-05,MAT,36.459999,36.98,36.380001,36.639999,6477400.0,,,,,36.73,36.669998,36.75,-0.290001,0.270001,0.560002
24,2014-02-06,MAT,36.73,36.91,36.34,36.669998,4403600.0,0.9865,0.025,0.843,0.132,36.939999,36.93,36.459999,0.270001,0.209999,-0.060002
25,2014-02-07,MAT,36.939999,36.990002,36.52,36.93,2797200.0,,,,,36.779999,37.18,36.73,0.209999,-0.16,-0.369999
26,2014-02-10,MAT,36.779999,37.349998,36.459999,37.18,4067100.0,0.8779,0.088,0.799,0.113,37.110001,36.709999,36.939999,-0.16,0.330002,0.490002
27,2014-02-11,MAT,37.110001,37.389999,36.599998,36.709999,3972700.0,,,,,36.790001,37.27,36.779999,0.330002,-0.32,-0.650002
28,2014-02-12,MAT,36.790001,37.470001,36.720001,37.27,3224400.0,,,,,37.060001,36.619999,37.110001,-0.32,0.27,0.59
29,2014-02-13,MAT,37.060001,37.119999,36.619999,36.619999,4114000.0,,,,,36.650002,36.619999,36.790001,0.27,-0.409999,-0.679999
30,2014-02-14,MAT,36.650002,36.810001,36.509998,36.619999,4544800.0,,,,,35.470001,36.650002,37.060001,-0.409999,-1.180001,-0.770002
31,2014-02-18,MAT,35.470001,36.650002,35.470001,36.650002,8184100.0,,,,,35.240002,35.5,36.650002,-1.180001,-0.229999,0.950002
32,2014-02-19,MAT,35.240002,35.59,34.98,35.5,9270900.0,,,,,35.549999,35.27,35.470001,-0.229999,0.309997,0.539996
33,2014-02-20,MAT,35.549999,35.630001,35.18,35.27,4617600.0,,,,,35.549999,35.599998,35.240002,0.309997,0.0,-0.309997
