,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MCD,96.410004,97.029999,96.260002,96.809998,2925800.0,,,,,96.540001,96.900002,,,0.129997,
1,2014-01-03,MCD,96.540001,97.029999,96.5,96.900002,2965300.0,,,,,95.849998,96.620003,96.410004,0.129997,-0.690003,-0.82
2,2014-01-06,MCD,95.849998,96.620003,95.519997,96.620003,5022700.0,,,,,96.379997,96.379997,96.540001,-0.690003,0.529999,1.220002
3,2014-01-07,MCD,96.379997,97.080002,96.129997,96.379997,4881800.0,,,,,95.410004,95.550003,95.849998,0.529999,-0.969993,-1.499992
4,2014-01-08,MCD,95.410004,95.709999,95.0,95.550003,7669800.0,,,,,95.459999,96.239998,96.379997,-0.969993,0.049995,1.019988
5,2014-01-09,MCD,95.459999,96.349998,95.25,96.239998,7709000.0,,,,,95.800003,95.830002,95.410004,0.049995,0.340004,0.290009
6,2014-01-10,MCD,95.800003,96.220001,95.639999,95.830002,5512200.0,,,,,94.830002,95.830002,95.459999,0.340004,-0.970001,-1.310005
7,2014-01-13,MCD,94.830002,95.830002,94.589996,95.830002,5753200.0,,,,,95.220001,94.809998,95.800003,-0.970001,0.389999,1.36
8,2014-01-14,MCD,95.220001,95.400002,94.800003,94.809998,3842200.0,,,,,95.459999,95.489998,94.830002,0.389999,0.239998,-0.150001
9,2014-01-15,MCD,95.459999,95.669998,95.150002,95.489998,3560600.0,,,,,96.059998,95.400002,95.220001,0.239998,0.599999,0.360001
10,2014-01-16,MCD,96.059998,96.300003,95.190002,95.400002,5058000.0,,,,,94.93,96.019997,95.459999,0.599999,-1.129998,-1.729997
11,2014-01-17,MCD,94.93,96.129997,94.769997,96.019997,5975300.0,,,,,95.080002,95.360001,96.059998,-1.129998,0.150002,1.28
12,2014-01-21,MCD,95.080002,95.959999,95.010002,95.360001,6462700.0,,,,,94.879997,95.07,94.93,0.150002,-0.200005,-0.350007
13,2014-01-22,MCD,94.879997,95.32,94.690002,95.07,4976400.0,,,,,95.32,94.550003,95.080002,-0.200005,0.440003,0.640008
14,2014-01-23,MCD,95.32,95.949997,94.5,94.550003,7146000.0,0.66956,0.0346,0.8776,0.0876,94.43,94.730003,94.879997,0.440003,-0.89,-1.330003
15,2014-01-24,MCD,94.43,95.959999,94.389999,94.730003,6944800.0,-0.0153,0.072,0.8565,0.0715,94.07,94.290001,95.32,-0.89,-0.36,0.53
16,2014-01-27,MCD,94.07,94.68,93.919998,94.290001,6607600.0,,,,,94.18,94.330002,94.43,-0.36,0.11,0.47
17,2014-01-28,MCD,94.18,94.639999,94.099998,94.330002,3682800.0,,,,,93.150002,93.959999,94.07,0.11,-1.029998,-1.139998
18,2014-01-29,MCD,93.150002,94.300003,92.870003,93.959999,8013500.0,,,,,93.800003,93.389999,94.18,-1.029998,0.650001,1.679999
19,2014-01-30,MCD,93.800003,94.0,92.93,93.389999,4987400.0,-0.7351,0.097,0.842,0.0605,94.169998,93.050003,93.150002,0.650001,0.369995,-0.280006
20,2014-01-31,MCD,94.169998,94.550003,92.949997,93.050003,5972500.0,,,,,93.019997,94.540001,93.800003,0.369995,-1.150001,-1.519996
21,2014-02-03,MCD,93.019997,94.739998,92.910004,94.540001,6904700.0,,,,,93.089996,92.860001,94.169998,-1.150001,0.069999,1.22
22,2014-02-04,MCD,93.089996,93.470001,92.589996,92.860001,6300400.0,,,,,93.580002,92.800003,93.019997,0.069999,0.490006,0.420007
23,2014-02-05,MCD,93.580002,93.839996,92.220001,92.800003,4958900.0,,,,,94.940002,93.870003,93.089996,0.490006,1.36,0.869994
24,2014-02-06,MCD,94.940002,95.190002,93.690002,93.870003,5356900.0,,,,,95.919998,95.089996,93.580002,1.36,0.979996,-0.380004
25,2014-02-07,MCD,95.919998,95.949997,94.620003,95.089996,6591200.0,,,,,94.860001,95.75,94.940002,0.979996,-1.059997,-2.039993
26,2014-02-10,MCD,94.860001,95.93,94.519997,95.75,6968200.0,0.6642,0.0381428571429,0.880142857143,0.0818571428571,95.339996,95.059998,95.919998,-1.059997,0.479995,1.539992
27,2014-02-11,MCD,95.339996,95.839996,94.830002,95.059998,5343500.0,0.9771,0.038,0.893,0.068,94.889999,95.440002,94.860001,0.479995,-0.449997,-0.929992
