,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MCHP,44.169998,44.560001,44.009998,44.560001,1150300.0,,,,,44.540001,44.330002,,,0.370003,
1,2014-01-03,MCHP,44.540001,44.650002,44.189999,44.330002,1133100.0,,,,,44.450001,44.509998,44.169998,0.370003,-0.09,-0.460003
2,2014-01-06,MCHP,44.450001,44.689999,44.330002,44.509998,1362700.0,,,,,44.700001,44.700001,44.540001,-0.09,0.25,0.34
3,2014-01-07,MCHP,44.700001,45.060001,44.459999,44.700001,1518100.0,,,,,45.290001,44.75,44.450001,0.25,0.59,0.34
4,2014-01-08,MCHP,45.290001,45.369999,44.540001,44.75,1950900.0,,,,,45.220001,45.279999,44.700001,0.59,-0.07,-0.66
5,2014-01-09,MCHP,45.220001,45.5,44.869999,45.279999,1431700.0,,,,,45.07,45.380001,45.290001,-0.07,-0.150001,-0.080001
6,2014-01-10,MCHP,45.07,45.470001,44.889999,45.380001,1569900.0,,,,,45.150002,44.970001,45.220001,-0.150001,0.080002,0.230003
7,2014-01-13,MCHP,45.150002,45.84,44.950001,44.970001,2230500.0,,,,,46.110001,45.41,45.07,0.080002,0.959999,0.879997
8,2014-01-14,MCHP,46.110001,46.130001,45.259998,45.41,1888900.0,,,,,46.34,46.099998,45.150002,0.959999,0.229999,-0.73
9,2014-01-15,MCHP,46.34,46.400002,45.970001,46.099998,1222800.0,,,,,46.27,46.310001,46.110001,0.229999,-0.07,-0.299999
10,2014-01-16,MCHP,46.27,46.360001,46.0,46.310001,5882300.0,,,,,46.200001,46.0,46.34,-0.07,-0.069999,9.99999997475e-07
11,2014-01-17,MCHP,46.200001,46.73,45.950001,46.0,2411300.0,,,,,46.25,46.599998,46.27,-0.069999,0.049999,0.119998
12,2014-01-21,MCHP,46.25,46.630001,46.0,46.599998,1415200.0,,,,,46.060001,46.299999,46.200001,0.049999,-0.189999,-0.239998
13,2014-01-22,MCHP,46.060001,46.5,46.02,46.299999,2314400.0,,,,,44.990002,45.98,46.25,-0.189999,-1.069999,-0.88
14,2014-01-23,MCHP,44.990002,46.110001,44.91,45.98,3572300.0,,,,,44.080002,44.77,46.060001,-1.069999,-0.91,0.159999
15,2014-01-24,MCHP,44.080002,44.900002,44.040001,44.77,2037800.0,,,,,44.060001,44.18,44.990002,-0.91,-0.020001,0.889999
16,2014-01-27,MCHP,44.060001,44.470001,43.869999,44.18,1340200.0,,,,,45.049999,44.16,44.080002,-0.020001,0.989998,1.009999
17,2014-01-28,MCHP,45.049999,45.060001,44.02,44.16,2297600.0,,,,,44.610001,44.669998,44.060001,0.989998,-0.439998,-1.429996
18,2014-01-29,MCHP,44.610001,45.369999,44.509998,44.669998,2010100.0,,,,,45.360001,45.029999,45.049999,-0.439998,0.75,1.189998
19,2014-01-30,MCHP,45.360001,45.639999,44.759998,45.029999,2927000.0,,,,,44.860001,44.869999,44.610001,0.75,-0.5,-1.25
20,2014-01-31,MCHP,44.860001,45.27,44.080002,44.869999,2880000.0,,,,,43.619999,44.950001,45.360001,-0.5,-1.240002,-0.740002
21,2014-02-03,MCHP,43.619999,44.990002,43.419998,44.950001,6134500.0,,,,,43.610001,43.720001,44.860001,-1.240002,-0.009998,1.230004
22,2014-02-04,MCHP,43.610001,43.790001,43.18,43.720001,6545100.0,,,,,43.700001,43.48,43.619999,-0.009998,0.09,0.099998
23,2014-02-05,MCHP,43.700001,43.869999,43.139999,43.48,1405700.0,,,,,43.709999,43.759998,43.610001,0.09,0.009998,-0.080002
24,2014-02-06,MCHP,43.709999,44.07,43.549999,43.759998,6459900.0,,,,,44.439999,44.040001,43.700001,0.009998,0.73,0.720002
25,2014-02-07,MCHP,44.439999,44.470001,43.810001,44.040001,7034300.0,,,,,44.759998,44.610001,43.709999,0.73,0.319999,-0.410001
26,2014-02-10,MCHP,44.759998,44.880001,44.439999,44.610001,1269300.0,0.9175,0.0015,0.9215,0.077,44.849998,44.459999,44.439999,0.319999,0.09,-0.229999
27,2014-02-11,MCHP,44.849998,44.93,44.169998,44.459999,1878800.0,,,,,45.549999,46.990002,44.759998,0.09,0.700001,0.610001
