,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MET,53.189999,53.57,52.889999,53.549999,3879800.0,,,,,53.810001,53.860001,,,0.620002,
1,2014-01-03,MET,53.810001,54.040001,53.380001,53.860001,3682400.0,,,,,53.580002,53.490002,53.189999,0.620002,-0.229999,-0.850001
2,2014-01-06,MET,53.580002,54.02,53.25,53.490002,5739200.0,,,,,53.369999,54.040001,53.810001,-0.229999,-0.210003,0.019996
3,2014-01-07,MET,53.369999,54.23,53.209999,54.040001,4130400.0,,,,,54.189999,53.830002,53.580002,-0.210003,0.82,1.030003
4,2014-01-08,MET,54.189999,54.490002,53.52,53.830002,5091800.0,,,,,54.549999,54.240002,53.369999,0.82,0.36,-0.46
5,2014-01-09,MET,54.549999,54.669998,54.110001,54.240002,5320300.0,,,,,54.099998,54.549999,54.189999,0.36,-0.450001,-0.810001
6,2014-01-10,MET,54.099998,54.700001,53.610001,54.549999,4679800.0,,,,,52.970001,53.900002,54.549999,-0.450001,-1.129997,-0.679996
7,2014-01-13,MET,52.970001,54.389999,52.889999,53.900002,5989000.0,0.8658,0.0,0.891,0.109,53.59,53.529999,54.099998,-1.129997,0.619999,1.749996
8,2014-01-14,MET,53.59,53.75,52.880001,53.529999,4152300.0,,,,,54.32,53.73,52.970001,0.619999,0.73,0.110001
9,2014-01-15,MET,54.32,54.400002,53.689999,53.73,5015300.0,,,,,53.459999,54.220001,53.59,0.73,-0.860001,-1.590001
10,2014-01-16,MET,53.459999,54.220001,53.349998,54.220001,3905600.0,0.81,0.009,0.953,0.039,52.959999,53.48,54.32,-0.860001,-0.5,0.360001
11,2014-01-17,MET,52.959999,53.560001,52.799999,53.48,4832300.0,,,,,52.669998,53.43,53.459999,-0.5,-0.290001,0.209999
12,2014-01-21,MET,52.669998,53.459999,52.580002,53.43,6464600.0,,,,,52.490002,52.73,52.959999,-0.290001,-0.179996,0.110005
13,2014-01-22,MET,52.490002,52.98,52.330002,52.73,3500900.0,,,,,51.43,52.119999,52.669998,-0.179996,-1.060002,-0.880006
14,2014-01-23,MET,51.43,52.119999,51.150002,52.119999,5816300.0,,,,,49.509998,50.98,52.490002,-1.060002,-1.920002,-0.86
15,2014-01-24,MET,49.509998,51.029999,49.459999,50.98,9341800.0,,,,,48.919998,49.509998,51.43,-1.920002,-0.59,1.330002
16,2014-01-27,MET,48.919998,49.75,48.34,49.509998,11092200.0,,,,,49.630001,49.34,49.509998,-0.59,0.710003,1.300003
17,2014-01-28,MET,49.630001,49.939999,49.290001,49.34,5046000.0,,,,,48.849998,49.049999,48.919998,0.710003,-0.780003,-1.490006
18,2014-01-29,MET,48.849998,49.630001,48.740002,49.049999,4644600.0,,,,,49.779999,49.299999,49.630001,-0.780003,0.930001,1.710004
19,2014-01-30,MET,49.779999,49.98,49.220001,49.299999,3928600.0,,,,,49.049999,48.810001,48.849998,0.930001,-0.73,-1.660001
20,2014-01-31,MET,49.049999,49.689999,48.540001,48.810001,6094700.0,,,,,47.060001,49.060001,49.779999,-0.73,-1.989998,-1.259998
21,2014-02-03,MET,47.060001,49.169998,46.98,49.060001,9609800.0,,,,,47.779999,47.25,49.049999,-1.989998,0.719998,2.709996
22,2014-02-04,MET,47.779999,48.110001,47.119999,47.25,6260800.0,,,,,47.68,47.66,47.060001,0.719998,-0.099999,-0.819997
23,2014-02-05,MET,47.68,47.849998,47.060001,47.66,5686300.0,,,,,48.59,47.880001,47.779999,-0.099999,0.91,1.009999
24,2014-02-06,MET,48.59,48.599998,47.41,47.880001,6688600.0,,,,,49.110001,48.91,47.68,0.91,0.520001,-0.389999
25,2014-02-07,MET,49.110001,49.16,48.360001,48.91,5634200.0,,,,,48.560001,49.080002,48.59,0.520001,-0.55,-1.070001
26,2014-02-10,MET,48.560001,49.130001,48.279999,49.080002,4560100.0,,,,,49.759998,48.52,49.110001,-0.55,1.199997,1.749997
27,2014-02-11,MET,49.759998,49.93,48.509998,48.52,7974800.0,,,,,49.880001,49.939999,48.560001,1.199997,0.120003,-1.079994
28,2014-02-12,MET,49.880001,50.650002,49.5,49.939999,6567200.0,0.7727,0.04475,0.8075,0.14775,50.009998,49.880001,49.759998,0.120003,0.129997,0.00999399999999
29,2014-02-13,MET,50.009998,50.049999,48.849998,49.880001,6625300.0,,,,,50.389999,49.869999,49.880001,0.129997,0.380001,0.250004
30,2014-02-14,MET,50.389999,50.549999,49.639999,49.869999,4435400.0,,,,,51.07,50.380001,50.009998,0.380001,0.680001,0.3
31,2014-02-18,MET,51.07,51.18,50.32,50.380001,7237700.0,,,,,50.759998,51.02,50.389999,0.680001,-0.310002,-0.990003
32,2014-02-19,MET,50.759998,51.759998,50.610001,51.02,7386400.0,,,,,50.709999,50.84,51.07,-0.310002,-0.049999,0.260003
33,2014-02-20,MET,50.709999,50.990002,50.080002,50.84,5504000.0,,,,,50.52,50.709999,50.759998,-0.049999,-0.189999,-0.14
34,2014-02-21,MET,50.52,51.009998,50.509998,50.709999,4559600.0,,,,,50.869999,50.52,50.709999,-0.189999,0.349999,0.539998
35,2014-02-24,MET,50.869999,51.150002,50.470001,50.52,5561300.0,,,,,50.529999,50.82,50.52,0.349999,-0.34,-0.689999
36,2014-02-25,MET,50.529999,50.84,50.279999,50.82,4211400.0,,,,,49.970001,49.34,50.869999,-0.34,-0.559998,-0.219998
37,2014-02-26,MET,49.970001,50.529999,49.34,49.34,6605500.0,,,,,50.529999,49.900002,50.529999,-0.559998,0.559998,1.119996
38,2014-02-27,MET,50.529999,50.529999,49.310001,49.900002,7669400.0,,,,,50.669998,50.5,49.970001,0.559998,0.139999,-0.419999
39,2014-02-28,MET,50.669998,51.389999,50.299999,50.5,9911600.0,,,,,50.07,49.900002,50.529999,0.139999,-0.599998,-0.739997
40,2014-03-03,MET,50.07,50.32,49.66,49.900002,6089600.0,,,,,51.189999,51.0,50.669998,-0.599998,1.119999,1.719997
41,2014-03-04,MET,51.189999,51.369999,50.779999,51.0,5973100.0,,,,,52.09,51.139999,50.07,1.119999,0.900001,-0.219998
42,2014-03-05,MET,52.09,52.299999,51.029999,51.139999,6144900.0,,,,,52.369999,52.389999,51.189999,0.900001,0.279999,-0.620002
43,2014-03-06,MET,52.369999,52.77,52.349998,52.389999,5461800.0,,,,,53.150002,52.91,52.09,0.279999,0.780003,0.500004
44,2014-03-07,MET,53.150002,53.610001,52.849998,52.91,5703900.0,,,,,53.360001,53.57,52.369999,0.780003,0.209999,-0.570004
45,2014-03-10,MET,53.360001,53.740002,53.0,53.57,6684100.0,,,,,52.98,53.470001,53.150002,0.209999,-0.380001,-0.59
46,2014-03-11,MET,52.98,53.52,52.799999,53.470001,5552900.0,,,,,52.689999,52.580002,53.360001,-0.380001,-0.290001,0.09
47,2014-03-12,MET,52.689999,52.689999,52.16,52.580002,7268900.0,,,,,51.740002,52.900002,52.98,-0.290001,-0.949997,-0.659996
48,2014-03-13,MET,51.740002,53.080002,51.669998,52.900002,5467900.0,,,,,51.709999,51.599998,52.689999,-0.949997,-0.030003,0.919994
49,2014-03-14,MET,51.709999,52.02,51.389999,51.599998,4147500.0,,,,,51.830002,52.290001,51.740002,-0.030003,0.120003,0.150006
50,2014-03-17,MET,51.830002,52.560001,51.650002,52.290001,4976000.0,,,,,52.349998,51.919998,51.709999,0.120003,0.519996,0.399993
51,2014-03-18,MET,52.349998,52.419998,51.799999,51.919998,4342000.0,,,,,53.099998,52.400002,51.830002,0.519996,0.75,0.230004
52,2014-03-19,MET,53.099998,53.380001,52.32,52.400002,8141300.0,,,,,53.650002,53.029999,52.349998,0.75,0.550004,-0.199996
53,2014-03-20,MET,53.650002,53.970001,52.990002,53.029999,5553100.0,,,,,53.419998,54.189999,53.099998,0.550004,-0.230004,-0.780008
54,2014-03-21,MET,53.419998,54.349998,53.360001,54.189999,8233600.0,,,,,53.509998,53.73,53.650002,-0.230004,0.09,0.320004
55,2014-03-24,MET,53.509998,54.040001,53.119999,53.73,5162400.0,,,,,54.27,54.32,53.419998,0.09,0.760002,0.670002
56,2014-03-25,MET,54.27,54.5,53.459999,54.32,7699600.0,,,,,53.580002,54.57,53.509998,0.760002,-0.689998,-1.45
57,2014-03-26,MET,53.580002,54.799999,53.450001,54.57,7311000.0,,,,,52.360001,53.369999,54.27,-0.689998,-1.220001,-0.530003
58,2014-03-27,MET,52.360001,53.439999,52.16,53.369999,5926500.0,,,,,52.560001,52.5,53.580002,-1.220001,0.2,1.420001
59,2014-03-28,MET,52.560001,52.950001,52.099998,52.5,4738900.0,,,,,52.799999,52.93,52.360001,0.2,0.239998,0.039998
60,2014-03-31,MET,52.799999,53.310001,52.66,52.93,5258700.0,0.10895,0.0543333333333,0.895,0.051,53.439999,54.43,52.560001,0.239998,0.64,0.400002
61,2014-04-01,MET,53.439999,54.43,53.209999,54.43,5932800.0,,,,,53.639999,53.509998,52.799999,0.64,0.2,-0.44
62,2014-04-02,MET,53.639999,54.029999,53.27,53.509998,5839600.0,,,,,53.919998,53.68,53.439999,0.2,0.279999,0.079999
63,2014-04-03,MET,53.919998,54.02,53.400002,53.68,5557700.0,-0.9255,0.104,0.858,0.039,52.84,54.310001,53.639999,0.279999,-1.079998,-1.359997
