,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MOS,47.0,47.650002,46.959999,47.25,1648800.0,,,,,46.830002,47.130001,,,-0.169998,
1,2014-01-03,MOS,46.830002,47.209999,46.790001,47.130001,1689500.0,,,,,46.580002,47.099998,47.0,-0.169998,-0.25,-0.080002
2,2014-01-06,MOS,46.580002,47.18,46.470001,47.099998,2203800.0,,,,,46.349998,46.619999,46.830002,-0.25,-0.230004,0.019996
3,2014-01-07,MOS,46.349998,46.68,46.0,46.619999,2489700.0,,,,,46.939999,46.360001,46.580002,-0.230004,0.590001,0.820005
4,2014-01-08,MOS,46.939999,47.59,46.360001,46.360001,4079200.0,,,,,46.130001,47.279999,46.349998,0.590001,-0.809998,-1.399999
5,2014-01-09,MOS,46.130001,47.310001,46.029999,47.279999,3352700.0,,,,,46.549999,46.25,46.939999,-0.809998,0.419998,1.229996
6,2014-01-10,MOS,46.549999,46.740002,45.900002,46.25,2904300.0,,,,,46.150002,46.509998,46.130001,0.419998,-0.399997,-0.819995
7,2014-01-13,MOS,46.150002,46.810001,46.110001,46.509998,1506500.0,,,,,48.029999,46.259998,46.549999,-0.399997,1.879997,2.279994
8,2014-01-14,MOS,48.029999,48.169998,46.240002,46.259998,5179300.0,,,,,49.310001,48.849998,46.150002,1.879997,1.280002,-0.599995
9,2014-01-15,MOS,49.310001,49.669998,48.59,48.849998,8269900.0,0.891,0.0,0.917,0.083,49.32,49.32,48.029999,1.280002,0.009999,-1.270003
10,2014-01-16,MOS,49.32,49.599998,49.049999,49.32,3573600.0,,,,,48.540001,49.23,49.310001,0.009999,-0.779999,-0.789998
11,2014-01-17,MOS,48.540001,49.27,48.34,49.23,4044500.0,,,,,48.32,48.639999,49.32,-0.779999,-0.220001,0.559998
12,2014-01-21,MOS,48.32,48.779999,48.049999,48.639999,2580600.0,,,,,47.77,47.27,48.540001,-0.220001,-0.55,-0.329999
13,2014-01-22,MOS,47.77,47.810001,46.799999,47.27,4189500.0,,,,,47.02,47.32,48.32,-0.55,-0.75,-0.2
14,2014-01-23,MOS,47.02,47.529999,46.509998,47.32,3881800.0,,,,,45.380001,46.740002,47.77,-0.75,-1.639999,-0.889999
