,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MRO,34.91,35.330002,34.720001,35.25,3675600.0,,,,,34.52,34.849998,,,-0.39,
1,2014-01-03,MRO,34.52,35.040001,34.43,34.849998,3491800.0,,,,,34.43,34.619999,34.91,-0.39,-0.09,0.3
2,2014-01-06,MRO,34.43,34.779999,34.400002,34.619999,4318400.0,,,,,34.880001,34.450001,34.52,-0.09,0.450001,0.540001
3,2014-01-07,MRO,34.880001,34.889999,34.27,34.450001,3868600.0,,,,,34.400002,34.720001,34.43,0.450001,-0.479999,-0.93
4,2014-01-08,MRO,34.400002,34.75,34.080002,34.720001,5510000.0,,,,,34.5,34.389999,34.880001,-0.479999,0.099998,0.579997
5,2014-01-09,MRO,34.5,34.93,34.18,34.389999,4373200.0,,,,,34.639999,34.540001,34.400002,0.099998,0.139999,0.040001
6,2014-01-10,MRO,34.639999,34.68,34.27,34.540001,5967000.0,,,,,34.110001,34.669998,34.5,0.139999,-0.529998,-0.669997
7,2014-01-13,MRO,34.110001,34.740002,34.02,34.669998,4569800.0,,,,,34.560001,34.189999,34.639999,-0.529998,0.45,0.979998
8,2014-01-14,MRO,34.560001,34.599998,34.0,34.189999,5981600.0,,,,,34.009998,34.560001,34.110001,0.45,-0.550003,-1.000003
9,2014-01-15,MRO,34.009998,34.700001,34.0,34.560001,6921000.0,,,,,34.169998,34.009998,34.560001,-0.550003,0.16,0.710003
10,2014-01-16,MRO,34.169998,34.299999,33.98,34.009998,3725200.0,,,,,33.959999,34.34,34.009998,0.16,-0.209999,-0.369999
11,2014-01-17,MRO,33.959999,34.400002,33.950001,34.34,3687400.0,,,,,34.279999,34.330002,34.169998,-0.209999,0.32,0.529999
12,2014-01-21,MRO,34.279999,34.400002,33.919998,34.330002,3846600.0,,,,,34.400002,34.360001,33.959999,0.32,0.120003,-0.199997
13,2014-01-22,MRO,34.400002,34.490002,34.139999,34.360001,4198800.0,,,,,33.709999,34.060001,34.279999,0.120003,-0.690003,-0.810006
14,2014-01-23,MRO,33.709999,34.360001,33.650002,34.060001,4603600.0,,,,,33.0,33.509998,34.400002,-0.690003,-0.709999,-0.019996
15,2014-01-24,MRO,33.0,33.529999,32.970001,33.509998,4768300.0,,,,,32.919998,33.0,33.709999,-0.709999,-0.080002,0.629997
16,2014-01-27,MRO,32.919998,33.16,32.650002,33.0,3429200.0,,,,,33.360001,32.970001,33.0,-0.080002,0.440003,0.520005
17,2014-01-28,MRO,33.360001,33.439999,32.939999,32.970001,3856900.0,0.1471,0.065,0.873,0.0615,33.040001,33.16,32.919998,0.440003,-0.32,-0.760003
18,2014-01-29,MRO,33.040001,33.389999,32.93,33.16,4636100.0,,,,,33.040001,33.18,33.360001,-0.32,0.0,0.32
19,2014-01-30,MRO,33.040001,33.360001,32.919998,33.18,2969400.0,,,,,32.790001,32.68,33.040001,0.0,-0.25,-0.25
20,2014-01-31,MRO,32.790001,32.880001,32.400002,32.68,6707400.0,,,,,32.060001,32.779999,33.040001,-0.25,-0.73,-0.48
21,2014-02-03,MRO,32.060001,32.849998,31.969999,32.779999,8983000.0,,,,,32.34,32.23,32.790001,-0.73,0.279999,1.009999
22,2014-02-04,MRO,32.34,32.41,31.879999,32.23,10932900.0,,,,,32.099998,32.349998,32.060001,0.279999,-0.240002,-0.520001
23,2014-02-05,MRO,32.099998,32.419998,31.59,32.349998,6534500.0,0.5106,0.054,0.854,0.093,31.809999,31.68,32.34,-0.240002,-0.289999,-0.049997
24,2014-02-06,MRO,31.809999,32.950001,31.57,31.68,9408400.0,,,,,32.599998,31.9,32.099998,-0.289999,0.789999,1.079998
25,2014-02-07,MRO,32.599998,32.830002,31.68,31.9,8184400.0,,,,,32.27,32.490002,31.809999,0.789999,-0.329998,-1.119997
26,2014-02-10,MRO,32.27,32.490002,32.049999,32.490002,5862600.0,,,,,32.700001,32.349998,32.599998,-0.329998,0.430001,0.759999
27,2014-02-11,MRO,32.700001,32.900002,32.299999,32.349998,6140400.0,,,,,33.290001,32.950001,32.27,0.430001,0.59,0.159999
28,2014-02-12,MRO,33.290001,33.349998,32.849998,32.950001,5202500.0,,,,,33.27,33.02,32.700001,0.59,-0.020001,-0.610001
29,2014-02-13,MRO,33.27,33.419998,32.720001,33.02,6755900.0,,,,,33.220001,33.029999,33.290001,-0.020001,-0.049999,-0.029998
30,2014-02-14,MRO,33.220001,33.43,32.869999,33.029999,6096300.0,,,,,33.540001,33.279999,33.27,-0.049999,0.32,0.369999
31,2014-02-18,MRO,33.540001,33.599998,33.110001,33.279999,7382400.0,,,,,33.34,33.380001,33.220001,0.32,-0.200001,-0.520001
32,2014-02-19,MRO,33.34,34.049999,33.299999,33.380001,6136800.0,,,,,33.48,33.34,33.540001,-0.200001,0.14,0.340001
33,2014-02-20,MRO,33.48,33.700001,33.27,33.34,4224700.0,,,,,33.259998,33.580002,33.34,0.14,-0.220002,-0.360002
34,2014-02-21,MRO,33.259998,33.580002,33.240002,33.580002,7255100.0,,,,,33.889999,33.490002,33.48,-0.220002,0.630001,0.850003
35,2014-02-24,MRO,33.889999,34.330002,33.48,33.490002,6829800.0,,,,,34.029999,33.93,33.259998,0.630001,0.14,-0.490001
36,2014-02-25,MRO,34.029999,34.169998,33.75,33.93,5386100.0,,,,,33.77,33.950001,33.889999,0.14,-0.259999,-0.399999
37,2014-02-26,MRO,33.77,34.040001,33.66,33.950001,4772900.0,,,,,33.32,33.23,34.029999,-0.259999,-0.45,-0.190001
38,2014-02-27,MRO,33.32,33.799999,33.049999,33.23,6219500.0,,,,,33.5,33.400002,33.77,-0.45,0.18,0.63
39,2014-02-28,MRO,33.5,33.799999,33.23,33.400002,8611300.0,,,,,33.540001,33.380001,33.32,0.18,0.040001,-0.139999
40,2014-03-03,MRO,33.540001,33.970001,33.25,33.380001,5809600.0,,,,,33.869999,33.759998,33.5,0.040001,0.329998,0.289997
41,2014-03-04,MRO,33.869999,34.099998,33.52,33.759998,5218700.0,,,,,33.610001,33.889999,33.540001,0.329998,-0.259998,-0.589996
42,2014-03-05,MRO,33.610001,34.0,33.540001,33.889999,4804300.0,,,,,33.82,33.709999,33.869999,-0.259998,0.209999,0.469997
43,2014-03-06,MRO,33.82,34.189999,33.57,33.709999,7479100.0,,,,,34.240002,34.040001,33.610001,0.209999,0.420002,0.210003
44,2014-03-07,MRO,34.240002,34.32,33.900002,34.040001,5256700.0,,,,,34.299999,34.150002,33.82,0.420002,0.059997,-0.360005
45,2014-03-10,MRO,34.299999,34.32,34.0,34.150002,4341800.0,,,,,33.93,34.34,34.240002,0.059997,-0.369999,-0.429996
46,2014-03-11,MRO,33.93,34.400002,33.630001,34.34,4647800.0,,,,,33.459999,33.66,34.299999,-0.369999,-0.470001,-0.100002
47,2014-03-12,MRO,33.459999,33.720001,33.290001,33.66,4875600.0,,,,,32.869999,33.549999,33.93,-0.470001,-0.59,-0.119999
48,2014-03-13,MRO,32.869999,33.610001,32.759998,33.549999,6292300.0,,,,,33.080002,32.709999,33.459999,-0.59,0.210003,0.800003
49,2014-03-14,MRO,33.080002,33.099998,32.619999,32.709999,7438900.0,,,,,33.18,33.080002,32.869999,0.210003,0.099998,-0.110005
50,2014-03-17,MRO,33.18,33.380001,32.970001,33.080002,3528400.0,,,,,33.650002,33.240002,33.080002,0.099998,0.470002,0.370004
51,2014-03-18,MRO,33.650002,33.740002,33.130001,33.240002,5949900.0,,,,,33.290001,33.669998,33.18,0.470002,-0.360001,-0.830003
52,2014-03-19,MRO,33.290001,33.810001,33.189999,33.669998,5181400.0,,,,,33.82,33.34,33.650002,-0.360001,0.529999,0.89
53,2014-03-20,MRO,33.82,33.849998,33.119999,33.34,4839800.0,,,,,34.389999,34.07,33.290001,0.529999,0.569999,0.04
54,2014-03-21,MRO,34.389999,34.57,33.900002,34.07,9344400.0,,,,,34.23,34.34,33.82,0.569999,-0.159999,-0.729998
55,2014-03-24,MRO,34.23,34.759998,34.099998,34.34,8145000.0,0.9531,0.015,0.862,0.123,34.57,34.32,34.389999,-0.159999,0.34,0.499999
56,2014-03-25,MRO,34.57,34.619999,34.16,34.32,4765800.0,0.66675,0.0095,0.9505,0.04,34.5,34.689999,34.23,0.34,-0.07,-0.41
57,2014-03-26,MRO,34.5,34.900002,34.41,34.689999,5780400.0,,,,,34.490002,34.5,34.57,-0.07,-0.009998,0.060002
58,2014-03-27,MRO,34.490002,34.830002,34.360001,34.5,5558800.0,,,,,35.220001,34.66,34.5,-0.009998,0.729999,0.739997
