,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MSI,66.330002,67.489998,65.839996,67.370003,1101600.0,,,,,66.199997,66.489998,,,-0.130005,
1,2014-01-03,MSI,66.199997,66.639999,66.160004,66.489998,801600.0,,,,,65.919998,66.470001,66.330002,-0.130005,-0.279999,-0.149994
2,2014-01-06,MSI,65.919998,66.669998,65.910004,66.470001,1033000.0,,,,,66.190002,65.919998,66.199997,-0.279999,0.270004,0.550003
3,2014-01-07,MSI,66.190002,66.480003,65.739998,65.919998,1010300.0,0.7096,0.0,0.9675,0.0325,65.989998,66.239998,65.919998,0.270004,-0.200004,-0.470008
4,2014-01-08,MSI,65.989998,66.339996,65.800003,66.239998,900700.0,,,,,66.5,66.160004,66.190002,-0.200004,0.510002,0.710006
5,2014-01-09,MSI,66.5,66.660004,66.080002,66.160004,954600.0,,,,,66.150002,66.68,65.989998,0.510002,-0.349998,-0.86
6,2014-01-10,MSI,66.150002,66.690002,65.889999,66.68,2491200.0,,,,,65.489998,66.160004,66.5,-0.349998,-0.660004,-0.310006
7,2014-01-13,MSI,65.489998,66.739998,65.32,66.160004,1224100.0,,,,,66.349998,65.82,66.150002,-0.660004,0.86,1.520004
8,2014-01-14,MSI,66.349998,66.440002,65.760002,65.82,836400.0,,,,,65.620003,66.389999,65.489998,0.86,-0.729995,-1.589995
9,2014-01-15,MSI,65.620003,66.480003,65.540001,66.389999,1992000.0,,,,,65.809998,65.699997,66.349998,-0.729995,0.189995,0.91999
10,2014-01-16,MSI,65.809998,65.980003,65.529999,65.699997,1012100.0,,,,,66.099998,66.169998,65.620003,0.189995,0.29,0.100005
11,2014-01-17,MSI,66.099998,66.669998,65.910004,66.169998,1907000.0,,,,,67.110001,66.889999,65.809998,0.29,1.010003,0.720003
12,2014-01-21,MSI,67.110001,67.690002,66.769997,66.889999,2300600.0,,,,,64.510002,63.84,66.099998,1.010003,-2.599999,-3.610002
13,2014-01-22,MSI,64.510002,65.669998,62.68,63.84,4388000.0,0.857233333333,0.029,0.857666666667,0.113333333333,65.339996,64.68,67.110001,-2.599999,0.829994,3.429993
14,2014-01-23,MSI,65.339996,65.419998,64.559998,64.68,2821300.0,,,,,64.419998,65.160004,64.510002,0.829994,-0.919998,-1.749992
15,2014-01-24,MSI,64.419998,65.160004,64.419998,65.160004,1698800.0,,,,,64.43,64.540001,65.339996,-0.919998,0.010002,0.93
16,2014-01-27,MSI,64.43,64.879997,64.129997,64.540001,987800.0,,,,,64.339996,64.440002,64.419998,0.010002,-0.090004,-0.100006
17,2014-01-28,MSI,64.339996,64.730003,64.110001,64.440002,1431500.0,,,,,63.98,63.990002,64.43,-0.090004,-0.359996,-0.269992
18,2014-01-29,MSI,63.98,64.639999,63.77,63.990002,1474300.0,0.7411,0.0125,0.663,0.0745,64.910004,64.730003,64.339996,-0.359996,0.930004,1.29
19,2014-01-30,MSI,64.910004,65.199997,64.550003,64.730003,1178200.0,0.7985125,0.036,0.859625,0.10425,63.799999,64.120003,63.98,0.930004,-1.110005,-2.040009
20,2014-01-31,MSI,63.799999,64.330002,63.740002,64.120003,2110700.0,0.9801,0.019,0.887,0.093,62.720001,63.900002,64.910004,-1.110005,-1.079998,0.030007
21,2014-02-03,MSI,62.720001,63.98,62.669998,63.900002,1394300.0,,,,,62.990002,63.0,63.799999,-1.079998,0.270001,1.349999
22,2014-02-04,MSI,62.990002,63.310001,62.619999,63.0,916500.0,0.9728,0.00333333333333,0.841666666667,0.155,62.889999,62.91,62.720001,0.270001,-0.100003,-0.370004
23,2014-02-05,MSI,62.889999,63.110001,62.5,62.91,1118000.0,,,,,63.400002,63.099998,62.990002,-0.100003,0.510003,0.610006
24,2014-02-06,MSI,63.400002,63.470001,63.009998,63.099998,862700.0,0.9505,0.0725,0.778,0.15,64.599998,63.599998,62.889999,0.510003,1.199996,0.689993
25,2014-02-07,MSI,64.599998,64.620003,63.43,63.599998,1290100.0,0.779,0.0,0.911,0.089,65.080002,64.589996,63.400002,1.199996,0.480004,-0.719992
26,2014-02-10,MSI,65.080002,65.129997,64.32,64.589996,1096100.0,-0.85425,0.0865,0.848,0.066,65.029999,65.190002,64.599998,0.480004,-0.050003,-0.530007
27,2014-02-11,MSI,65.029999,65.400002,64.779999,65.190002,1200700.0,,,,,65.779999,65.07,65.080002,-0.050003,0.75,0.800003
28,2014-02-12,MSI,65.779999,65.849998,65.07,65.07,1086600.0,,,,,65.669998,65.309998,65.029999,0.75,-0.110001,-0.860001
29,2014-02-13,MSI,65.669998,65.809998,65.309998,65.309998,639200.0,0.968,0.031,0.909,0.06,65.610001,65.68,65.779999,-0.110001,-0.059997,0.050004
30,2014-02-14,MSI,65.610001,65.809998,65.529999,65.68,592200.0,,,,,65.779999,65.790001,65.669998,-0.059997,0.169998,0.229995
31,2014-02-18,MSI,65.779999,65.989998,65.559998,65.790001,690000.0,,,,,64.93,65.589996,65.610001,0.169998,-0.849999,-1.019997
32,2014-02-19,MSI,64.93,65.760002,64.919998,65.589996,826100.0,,,,,65.220001,64.989998,65.779999,-0.849999,0.290001,1.14
33,2014-02-20,MSI,65.220001,65.279999,64.589996,64.989998,994900.0,,,,,65.019997,65.550003,64.93,0.290001,-0.200004,-0.490005
34,2014-02-21,MSI,65.019997,65.82,65.0,65.550003,797900.0,0.4123,0.042,0.912,0.045,64.959999,64.949997,65.220001,-0.200004,-0.059998,0.140006
35,2014-02-24,MSI,64.959999,65.550003,64.839996,64.949997,766000.0,,,,,65.099998,65.010002,65.019997,-0.059998,0.139999,0.199997
36,2014-02-25,MSI,65.099998,65.529999,64.889999,65.010002,795700.0,,,,,65.449997,65.139999,64.959999,0.139999,0.349999,0.21
37,2014-02-26,MSI,65.449997,65.540001,64.669998,65.139999,957000.0,,,,,65.900002,65.190002,65.099998,0.349999,0.450005,0.100006
38,2014-02-27,MSI,65.900002,65.910004,65.019997,65.190002,853400.0,,,,,66.199997,65.93,65.449997,0.450005,0.299995,-0.15001
39,2014-02-28,MSI,66.199997,66.339996,65.769997,65.93,2038200.0,,,,,65.980003,65.800003,65.900002,0.299995,-0.219994,-0.519989
40,2014-03-03,MSI,65.980003,66.120003,65.389999,65.800003,896700.0,,,,,66.760002,66.32,66.199997,-0.219994,0.779999,0.999993
41,2014-03-04,MSI,66.760002,67.5,66.290001,66.32,1632000.0,,,,,66.330002,66.589996,65.980003,0.779999,-0.43,-1.209999
42,2014-03-05,MSI,66.330002,66.739998,66.18,66.589996,821800.0,,,,,66.57,66.400002,66.760002,-0.43,0.239998,0.669998
43,2014-03-06,MSI,66.57,66.790001,66.32,66.400002,687200.0,,,,,66.639999,66.699997,66.330002,0.239998,0.069999,-0.169999
44,2014-03-07,MSI,66.639999,66.949997,66.440002,66.699997,628800.0,,,,,66.43,66.540001,66.57,0.069999,-0.209999,-0.279998
45,2014-03-10,MSI,66.43,66.660004,66.129997,66.540001,724600.0,,,,,66.080002,66.5,66.639999,-0.209999,-0.349998,-0.139999
46,2014-03-11,MSI,66.080002,66.57,65.970001,66.5,843200.0,,,,,65.019997,62.790001,66.43,-0.349998,-1.060005,-0.710007
47,2014-03-12,MSI,65.019997,65.389999,62.470001,62.790001,1469000.0,,,,,64.209999,65.059998,66.080002,-1.060005,-0.809998,0.250007
48,2014-03-13,MSI,64.209999,65.169998,64.110001,65.059998,1242900.0,,,,,63.669998,63.84,65.019997,-0.809998,-0.540001,0.269997
49,2014-03-14,MSI,63.669998,64.139999,63.490002,63.84,1142300.0,,,,,65.080002,64.059998,64.209999,-0.540001,1.410004,1.950005
50,2014-03-17,MSI,65.080002,65.139999,63.889999,64.059998,1278600.0,,,,,65.720001,65.120003,63.669998,1.410004,0.639999,-0.770005
51,2014-03-18,MSI,65.720001,66.089996,65.099998,65.120003,1053200.0,,,,,65.699997,65.739998,65.080002,0.639999,-0.020004,-0.660003
52,2014-03-19,MSI,65.699997,66.370003,65.309998,65.739998,912900.0,,,,,66.660004,65.459999,65.720001,-0.020004,0.960007,0.980011
53,2014-03-20,MSI,66.660004,66.949997,65.260002,65.459999,1051800.0,,,,,66.809998,67.209999,65.699997,0.960007,0.149994,-0.810013
