,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,MU,21.66,21.790001,21.27,21.68,26413500.0,,,,,20.969999,21.200001,,,-0.690001,
1,2014-01-03,MU,20.969999,21.43,20.9,21.200001,34590200.0,,,,,20.67,20.969999,21.66,-0.690001,-0.299999,0.390002
2,2014-01-06,MU,20.67,20.969999,20.639999,20.969999,38180500.0,,,,,21.73,20.889999,20.969999,-0.299999,1.06,1.359999
3,2014-01-07,MU,21.73,21.940001,20.889999,20.889999,67904500.0,0.613133333333,0.041,0.813,0.146,23.870001,24.200001,20.67,1.06,2.140001,1.080001
4,2014-01-08,MU,23.870001,24.5,23.559999,24.200001,93499500.0,0.9468375,0.0245,0.881,0.09425,23.24,23.6,21.73,2.140001,-0.630001,-2.770002
5,2014-01-09,MU,23.24,23.709999,22.91,23.6,42782900.0,0.845,0.045,0.884,0.071,23.709999,23.389999,23.870001,-0.630001,0.469999,1.1
6,2014-01-10,MU,23.709999,23.719999,23.18,23.389999,33930200.0,,,,,23.33,23.700001,23.24,0.469999,-0.379999,-0.849998
7,2014-01-13,MU,23.33,23.799999,23.25,23.700001,27619700.0,,,,,23.67,22.870001,23.709999,-0.379999,0.34,0.719999
8,2014-01-14,MU,23.67,23.790001,22.870001,22.870001,33092200.0,,,,,23.33,23.719999,23.33,0.34,-0.34,-0.68
9,2014-01-15,MU,23.33,23.76,23.299999,23.719999,26949000.0,,,,,23.129999,23.48,23.67,-0.34,-0.200001,0.139999
10,2014-01-16,MU,23.129999,23.59,22.9,23.48,28888700.0,,,,,22.379999,22.9,23.33,-0.200001,-0.75,-0.549999
11,2014-01-17,MU,22.379999,23.280001,22.33,22.9,46943200.0,,,,,23.120001,22.4,23.129999,-0.75,0.740002,1.490002
12,2014-01-21,MU,23.120001,23.18,22.32,22.4,29508700.0,,,,,23.65,22.799999,22.379999,0.740002,0.529999,-0.210003
13,2014-01-22,MU,23.65,23.790001,22.75,22.799999,31254300.0,0.831533333333,0.024,0.844666666667,0.131333333333,23.639999,23.309999,23.120001,0.529999,-0.010001,-0.54
14,2014-01-23,MU,23.639999,23.65,23.24,23.309999,29418600.0,0.992,0.017,0.83,0.154,22.92,23.5,23.65,-0.010001,-0.719999,-0.709998
15,2014-01-24,MU,22.92,23.65,22.91,23.5,30019100.0,,,,,22.9,23.1,23.639999,-0.719999,-0.02,0.699999
16,2014-01-27,MU,22.9,23.370001,22.559999,23.1,30006400.0,,,,,23.049999,22.889999,22.92,-0.02,0.149999,0.169999
17,2014-01-28,MU,23.049999,23.200001,22.549999,22.889999,27555900.0,,,,,22.709999,22.84,22.9,0.149999,-0.34,-0.489999
18,2014-01-29,MU,22.709999,23.27,22.65,22.84,21718400.0,,,,,23.450001,23.110001,23.049999,-0.34,0.740002,1.080002
19,2014-01-30,MU,23.450001,23.76,22.950001,23.110001,32630000.0,,,,,23.040001,23.1,22.709999,0.740002,-0.41,-1.150002
20,2014-01-31,MU,23.040001,23.5,23.0,23.1,29539000.0,,,,,22.809999,23.0,23.450001,-0.41,-0.230002,0.179998
21,2014-02-03,MU,22.809999,23.629999,22.700001,23.0,36010100.0,,,,,23.0,22.950001,23.040001,-0.230002,0.190001,0.420003
22,2014-02-04,MU,23.0,23.18,22.65,22.950001,20104700.0,,,,,23.309999,22.950001,22.809999,0.190001,0.309999,0.119998
23,2014-02-05,MU,23.309999,23.48,22.700001,22.950001,26097800.0,,,,,24.110001,23.51,23.0,0.309999,0.800002,0.490003
24,2014-02-06,MU,24.110001,24.77,23.5,23.51,65314700.0,,,,,24.51,24.370001,23.309999,0.800002,0.399999,-0.400003
25,2014-02-07,MU,24.51,24.639999,23.92,24.370001,47809700.0,,,,,24.870001,24.639999,24.110001,0.399999,0.360001,-0.039998
26,2014-02-10,MU,24.870001,25.24,24.57,24.639999,28374800.0,,,,,24.709999,24.85,24.51,0.360001,-0.160002,-0.520003
27,2014-02-11,MU,24.709999,25.07,24.58,24.85,21177200.0,,,,,24.889999,24.91,24.870001,-0.160002,0.18,0.340002
28,2014-02-12,MU,24.889999,25.16,24.790001,24.91,23915300.0,,,,,24.91,24.84,24.709999,0.18,0.020001,-0.159999
29,2014-02-13,MU,24.91,25.01,24.68,24.84,23317000.0,,,,,25.08,24.889999,24.889999,0.020001,0.17,0.149999
30,2014-02-14,MU,25.08,25.299999,24.719999,24.889999,32449600.0,,,,,25.42,25.190001,24.91,0.17,0.34,0.17
31,2014-02-18,MU,25.42,25.66,25.1,25.190001,34133700.0,,,,,25.42,25.42,25.08,0.34,0.0,-0.34
32,2014-02-19,MU,25.42,25.68,25.17,25.42,27239800.0,,,,,25.49,25.35,25.42,0.0,0.07,0.07
33,2014-02-20,MU,25.49,25.66,25.32,25.35,23288000.0,,,,,25.08,25.57,25.42,0.07,-0.41,-0.48
34,2014-02-21,MU,25.08,25.59,24.540001,25.57,44791800.0,,,,,24.75,25.15,25.49,-0.41,-0.33,0.08
35,2014-02-24,MU,24.75,25.219999,24.559999,25.15,33037900.0,,,,,24.26,24.799999,25.08,-0.33,-0.49,-0.16
36,2014-02-25,MU,24.26,25.0,24.1,24.799999,37147600.0,,,,,24.219999,24.309999,24.75,-0.49,-0.040001,0.449999
37,2014-02-26,MU,24.219999,24.73,24.16,24.309999,20936900.0,,,,,24.190001,24.15,24.26,-0.040001,-0.029998,0.010003
38,2014-02-27,MU,24.190001,24.34,23.9,24.15,39242800.0,,,,,24.190001,24.23,24.219999,-0.029998,0.0,0.029998
39,2014-02-28,MU,24.190001,24.360001,23.9,24.23,33877300.0,,,,,24.48,23.860001,24.190001,0.0,0.289999,0.289999
40,2014-03-03,MU,24.48,24.77,23.709999,23.860001,35961800.0,,,,,25.110001,24.870001,24.190001,0.289999,0.630001,0.340002
41,2014-03-04,MU,25.110001,25.15,24.719999,24.870001,32780000.0,,,,,24.83,25.08,24.48,0.630001,-0.280001,-0.910002
42,2014-03-05,MU,24.83,25.129999,24.68,25.08,25938700.0,,,,,24.77,24.85,25.110001,-0.280001,-0.06,0.220001
43,2014-03-06,MU,24.77,24.870001,24.299999,24.85,32312100.0,,,,,24.42,24.82,24.83,-0.06,-0.35,-0.29
44,2014-03-07,MU,24.42,24.889999,24.33,24.82,23827000.0,,,,,24.85,24.32,24.77,-0.35,0.43,0.78
45,2014-03-10,MU,24.85,24.940001,24.08,24.32,23662500.0,,,,,24.67,24.93,24.42,0.43,-0.18,-0.61
46,2014-03-11,MU,24.67,25.07,24.559999,24.93,21103100.0,,,,,24.84,24.6,24.85,-0.18,0.17,0.35
47,2014-03-12,MU,24.84,24.940001,24.219999,24.6,19272800.0,,,,,24.110001,24.91,24.67,0.17,-0.729999,-0.899999
48,2014-03-13,MU,24.110001,24.940001,23.6,24.91,35572900.0,,,,,23.959999,24.07,24.84,-0.729999,-0.150002,0.579997
49,2014-03-14,MU,23.959999,24.32,23.73,24.07,24575000.0,,,,,23.93,24.110001,24.110001,-0.150002,-0.029999,0.120003
