,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-04-17,NAVI,16.99,17.379999,15.0,15.0,951100.0,,,,,16.82,16.969999,,,-0.17,
1,2014-04-21,NAVI,16.82,17.370001,16.33,16.969999,444300.0,,,,,16.799999,16.629999,16.99,-0.17,-0.020001,0.149999
2,2014-04-22,NAVI,16.799999,17.0,16.629999,16.629999,576700.0,,,,,16.780001,16.809999,16.82,-0.020001,-0.019998,3.00000000308e-06
3,2014-04-23,NAVI,16.780001,16.85,16.709999,16.809999,1608900.0,,,,,16.629999,16.85,16.799999,-0.019998,-0.150002,-0.130004
4,2014-04-24,NAVI,16.629999,16.860001,16.450001,16.85,368900.0,,,,,16.889999,16.9,16.780001,-0.150002,0.26,0.410002
5,2014-04-25,NAVI,16.889999,16.92,16.32,16.9,1086500.0,,,,,16.67,16.93,16.629999,0.26,-0.219999,-0.479999
6,2014-04-28,NAVI,16.67,16.93,16.379999,16.93,1187900.0,,,,,16.68,16.620001,16.889999,-0.219999,0.01,0.229999
7,2014-04-29,NAVI,16.68,16.879999,16.450001,16.620001,648500.0,,,,,16.549999,16.700001,16.67,0.01,-0.130001,-0.140001
8,2014-04-30,NAVI,16.549999,16.700001,16.360001,16.700001,26746200.0,,,,,17.0,16.120001,16.68,-0.130001,0.450001,0.580002
9,2014-05-01,NAVI,17.0,17.360001,16.120001,16.120001,3650100.0,,,,,16.950001,17.01,16.549999,0.450001,-0.049999,-0.5
10,2014-05-02,NAVI,16.950001,17.299999,16.870001,17.01,2995000.0,,,,,16.809999,16.93,17.0,-0.049999,-0.140002,-0.090003
11,2014-05-05,NAVI,16.809999,17.26,16.530001,16.93,3978400.0,,,,,16.34,16.690001,16.950001,-0.140002,-0.469999,-0.329997
12,2014-05-06,NAVI,16.34,16.799999,16.25,16.690001,14309200.0,,,,,16.6,16.360001,16.809999,-0.469999,0.26,0.729999
13,2014-05-07,NAVI,16.6,16.610001,16.26,16.360001,5692900.0,,,,,16.450001,16.5,16.34,0.26,-0.149999,-0.409999
14,2014-05-08,NAVI,16.450001,16.639999,16.35,16.5,5668200.0,,,,,16.280001,16.299999,16.6,-0.149999,-0.17,-0.020001
15,2014-05-09,NAVI,16.280001,16.51,16.030001,16.299999,2797000.0,,,,,15.95,16.280001,16.450001,-0.17,-0.330001,-0.160001
16,2014-05-12,NAVI,15.95,16.549999,15.775,16.280001,6980100.0,,,,,15.85,15.78,16.280001,-0.330001,-0.1,0.230001
17,2014-05-13,NAVI,15.85,16.129999,15.78,15.78,8292000.0,,,,,15.74,15.77,15.95,-0.1,-0.11,-0.01
18,2014-05-14,NAVI,15.74,16.040001,15.5,15.77,4577500.0,,,,,15.74,15.66,15.85,-0.11,0.0,0.11
19,2014-05-15,NAVI,15.74,16.0,15.59,15.66,4919000.0,,,,,15.86,15.66,15.74,0.0,0.12,0.12
20,2014-05-16,NAVI,15.86,15.95,15.66,15.66,2786900.0,,,,,16.02,15.76,15.74,0.12,0.16,0.04
21,2014-05-19,NAVI,16.02,16.040001,15.664,15.76,4532400.0,,,,,15.94,16.1,15.86,0.16,-0.08,-0.24
22,2014-05-20,NAVI,15.94,16.165001,15.82,16.1,9754800.0,,,,,15.93,15.93,16.02,-0.08,-0.01,0.07
23,2014-05-21,NAVI,15.93,16.129999,15.82,15.93,1743600.0,,,,,15.97,15.84,15.94,-0.01,0.04,0.05
24,2014-05-22,NAVI,15.97,16.040001,15.8,15.84,2128900.0,,,,,16.07,16.0,15.93,0.04,0.1,0.06
25,2014-05-23,NAVI,16.07,16.129999,15.97,16.0,2826400.0,,,,,15.98,16.09,15.97,0.1,-0.09,-0.19
26,2014-05-27,NAVI,15.98,16.34,15.79,16.09,1726900.0,,,,,15.68,16.02,16.07,-0.09,-0.3,-0.21
27,2014-05-28,NAVI,15.68,16.049999,15.665,16.02,4219100.0,,,,,15.68,15.73,15.98,-0.3,0.0,0.3
28,2014-05-29,NAVI,15.68,15.82,15.53,15.73,3463400.0,,,,,15.8,15.63,15.68,0.0,0.12,0.12
