,Date,Symbol,Close,High,Low,Open,Volume,compound,neg,neu,pos,Next_Close,Next_Open,Prev_Close,Prev_Slope,Next_Slope,Diff_Slope
0,2014-01-02,NKE,78.239998,78.830002,77.93,78.150002,5318600.0,,,,,78.029999,78.150002,,,-0.209999,
1,2014-01-03,NKE,78.029999,78.629997,77.959999,78.150002,5597000.0,,,,,77.43,78.470001,78.239998,-0.209999,-0.599999,-0.39
2,2014-01-06,NKE,77.43,78.599998,77.410004,78.470001,6045800.0,,,,,77.489998,77.709999,78.029999,-0.599999,0.059998,0.659997
3,2014-01-07,NKE,77.489998,78.0,77.410004,77.709999,6769000.0,,,,,77.089996,77.5,77.43,0.059998,-0.400002,-0.46
4,2014-01-08,NKE,77.089996,77.949997,76.93,77.5,6897800.0,0.8402,0.049,0.8605,0.091,77.089996,77.419998,77.489998,-0.400002,0.0,0.400002
5,2014-01-09,NKE,77.089996,77.459999,76.760002,77.419998,6263200.0,,,,,76.919998,77.0,77.089996,0.0,-0.169998,-0.169998
6,2014-01-10,NKE,76.919998,77.349998,76.699997,77.0,5108000.0,,,,,75.18,76.830002,77.089996,-0.169998,-1.739998,-1.57
7,2014-01-13,NKE,75.18,76.919998,75.0,76.830002,8262400.0,,,,,75.169998,75.099998,76.919998,-1.739998,-0.010002,1.729996
8,2014-01-14,NKE,75.169998,75.339996,74.650002,75.099998,7808400.0,,,,,75.43,75.25,75.18,-0.010002,0.260002,0.270004
9,2014-01-15,NKE,75.43,75.730003,75.139999,75.25,5852400.0,,,,,74.790001,75.230003,75.169998,0.260002,-0.639999,-0.900001
10,2014-01-16,NKE,74.790001,75.379997,74.349998,75.230003,4848000.0,,,,,73.389999,74.599998,75.43,-0.639999,-1.400002,-0.760003
11,2014-01-17,NKE,73.389999,74.739998,73.379997,74.599998,9851800.0,,,,,73.75,74.139999,74.790001,-1.400002,0.360001,1.760003
12,2014-01-21,NKE,73.75,74.599998,73.410004,74.139999,13147000.0,,,,,73.5,73.959999,73.389999,0.360001,-0.25,-0.610001
13,2014-01-22,NKE,73.5,74.059998,73.5,73.959999,7424000.0,,,,,72.730003,73.010002,73.75,-0.25,-0.769997,-0.519997
14,2014-01-23,NKE,72.730003,73.18,72.019997,73.010002,9505200.0,,,,,71.650002,72.290001,73.5,-0.769997,-1.080001,-0.310004
15,2014-01-24,NKE,71.650002,72.660004,71.639999,72.290001,9212000.0,,,,,71.900002,71.910004,72.730003,-1.080001,0.25,1.330001
